"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
64371.1,45971,91767,70097,32663,140645,907.2,7545.78,0.001,0
49113.5,40078,80310.9,118582,42462,183020,18408.8,3272.94,0.005,1
87148.6,76095,75055.8,47819,31391,99833.2,6134.4,2512.62,0.011,2
140605,126122,73061.8,66773.5,44170,99073.3,13986.4,3890.7,0.026,4
77201.3,72456,69828.1,31547.3,24860,83165.2,104,870.21,0.034,5
150952,126458,78229.8,209276,63758,215112,13730.4,7038.9,0.036,7
122504,106024,75723,55923.1,41336,88663.1,3600.8,3357.09,0.041,8
55823,47007,77827.1,60172.2,39291,100365,3656.8,1083.06,0.044,9
66259.4,56406,76984.3,52900.7,20870,166119,900.8,1727.55,0.055,10
20586.5,11672,115589,42937.3,23020,122239,315.2,18472.4,0.101,12
108894,94027,75898.3,49278.2,35131,91927.3,4116,2403.72,0.108,13
92871.5,85110,71512.5,50355.4,35058,94132.3,4938.4,2920.5,0.128,19
88966.8,81723,71345,34135.2,28911,77378.3,2799.2,1939.41,0.138,20
78444.6,68126,75462.3,59753.4,35886,109123,7684.8,3288.78,0.139,21
43345.4,32207,88200.8,43815.4,24811,115734,3550.4,4230.27,0.147,22
64102,47955,87602.7,59898,25219,155655,997.6,5154.93,0.179,25
107716,91989,76740.7,48106.1,37233,84674.3,8615.2,6745.86,0.188,27
86714.9,82302,69050,45289.5,34746,85422.6,469.6,1725.57,0.193,28
146089,128139,74716.2,52617.5,37151,92819.6,7454.4,2415.6,0.212,29
51964.4,43294,78660.7,68666.4,35178,127924,3148,6348.87,0.232,33
57548.4,50206,75120.3,47179.4,21722,142342,1443.2,1948.32,0.236,34
100760,93763,70426.3,56658.7,41187,90154.3,1440,2770.02,0.264,37
91986.2,79603,75730.9,75456.8,40311,122675,4994.4,5513.31,0.265,38
81393.8,64914,82173.7,78506,36630,140458,6106.4,6630.03,0.279,39
162495,142293,74840.5,76841.8,53509,94113.2,53592,3665.97,0.282,40
92561,79782,76033.2,50304.9,35186,93695.8,1541.6,4119.39,0.287,41
94860.5,89370,69562.2,48439.7,35134,90355.4,2897.6,7172.55,0.291,42
27280.5,13248,134953,96672.5,27427,230996,3827.2,5151.96,0.304,43
43766.6,29258,98034.3,45593.5,15242,196038,4446.4,1828.53,0.309,45
135920,118420,75220.7,66479.5,46144,94417.5,1540.8,2307.69,0.311,46
73261.5,68171,70429.7,36665.6,26735,89879.2,2071.2,3583.8,0.312,47
97329.2,89983,70886.3,33002.6,26779,80767.1,962.4,992.97,0.319,50
82145.7,74235,72519.7,53471.9,35791,97911,5620,5435.1,0.321,51
65991.9,59234,73012.9,27340.8,20342,88084.2,1660.8,14807.4,0.333,53
92970.5,82752,73628.6,46494.4,35200,86564,3309.6,3549.15,0.339,54
88161.8,74067,78007.4,41082,31171,86373.6,2991.2,1433.52,0.342,56
25603.5,18395,91217.8,46550.8,14431,211403,3550.4,2886.84,0.345,58
131558,117259,73527.7,69434.6,46687,97467.6,3068.8,3699.63,0.356,60
191206,163157,76802.6,106489,69841,99925.3,6636.8,4013.46,0.362,61
210450,177698,77615.2,155219,78658,129325,24965.6,5595.48,0.366,62
46935.7,39838,77212.2,42303.7,19162,144683,3073.6,4131.27,0.367,63
86611.2,79606,71303.1,43415.5,31846,89344.8,237.6,2191.86,0.368,64
115898,95306,79695.8,92605.6,43994,137951,10628,14614.4,0.37,65
65662,55918,76955.9,69844.5,29326,156084,1723.2,3895.65,0.374,66
35056.3,22398,102574,59098.1,25642,151043,3049.6,4849.02,0.375,67
50596.3,32397,102351,121438,31689,251147,2364.8,8426.88,0.375,68
116418,97230,78469.4,72216.5,46186,102472,2096.8,4348.08,0.377,69
84878,76432,72778,66348.8,38148,113983,2404.8,2795.76,0.378,70
14739.7,8741,110511,75701.3,50497,98246.7,156,3648.15,0.387,72
60276.8,43347,91132.1,75074.7,23287,211281,1771.2,2732.4,0.397,75
101738,93120,71601,44817.3,34375,85444.3,2376.8,3428.37,0.408,77
39349.4,31025,83120.2,52682.9,22565,153008,1924,4515.39,0.411,78
145918,126634,75515.8,59104,41770,92732.6,5289.6,3621.42,0.418,79
74302,69735,69828,24073.8,19843,79509.3,169.6,1288.98,0.44,81
46134.7,44539,67883.9,43784.7,28155,101917,1305.6,3991.68,0.442,82
145526,123752,77067.1,62459.1,43004,95184.6,3910.4,2269.08,0.453,85
157586,141050,73219,70558.3,48558,95228.6,4142.4,4518.36,0.454,86
67531.6,57255,77299,74518.3,41011,119081,1108.8,4293.63,0.454,87
148294,135146,71911.6,74236.1,49022,99244,10504.8,4940.1,0.457,88
57467.3,50162,75080.3,45218.2,22242,133235,2362.4,10136.6,0.457,89
95801.9,86883,72263.6,56363.7,39447,93640.8,5660.8,5267.79,0.459,90
100738,90934,72601.6,63574.8,42466,98112.4,1328,6260.76,0.46,91
65382.7,60246,71123.8,61773,35014,115621,2124.8,19429.7,0.461,92
103169,88137,76713.4,63375.8,39449,105285,10648,3443.22,0.462,94
53326.3,44691,78199,49886.1,28787,113570,10404.8,2986.83,0.471,96
138700,120566,75393.3,69618.8,50774,89859.7,1452.8,7095.33,0.474,97
