"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
67680.6,53823,82409.3,33987.7,20139,110602,5383.2,602.91,0.046,0
121927,105187,75965.9,63529.3,42115,98859.2,5368.8,2984.85,0.239,2
63132.4,50153,82496.5,71914.6,32109,146781,21376,3908.52,0.261,3
193510,157258,80643.8,145150,74218,128170,23996.8,11203.8,0.441,7
95635,86293,72630.9,65347.9,45601,93915.5,3474.4,3483.81,0.482,9
122126,113411,70572.2,49389.1,36695,88207.3,4840.8,2020.59,0.484,10
95794.9,84490,74304.8,70417.7,44314,104141,2228,3087.81,0.511,12
50702.3,36422,91231.4,55510.3,21314,170682,21200,2419.56,0.513,13
64735.3,39315,107910,96460.6,34499,183241,19501.6,2495.79,0.527,14
41061.5,24739,108776,56366.6,23299,158549,7937.6,1801.8,0.557,17
86516.8,75034,75565.3,47077.5,30206,102141,14112,1681.02,0.561,18
89132.9,79751,73245.7,44059,31767,90894.6,8252,4224.33,0.602,19
105404,82110,84127.9,74223.3,43802,111052,16488.8,6885.45,0.623,20
63423.4,45931,90494.7,105754,25087,262143,7056,2338.38,0.681,22
43920.2,32043,89827.9,91821.5,25643,234669,9405.6,3311.55,0.757,24
109339,96050,74603.1,50416.7,32370,102073,9804,3898.62,0.758,25
21711.3,18097,78624.7,52176,38485,88850.3,17317.6,2066.13,0.809,27
122377,111623,71850.1,62539.3,43411,94413.3,5688,4389.66,0.848,28
75797.3,60710,81822.6,90875.1,45442,131059,5925.6,6097.41,0.909,31
160873,125691,83879.9,82926.4,53663,101274,4007.2,2967.03,0.91,32
106836,92855,75403.5,119038,55939,139460,9696,6029.1,0.966,35
23912.5,16490,95035,86682.4,30382,186980,78748.8,2440.35,1.03,39
127128,110287,75543.6,42044.3,30779,89522.6,8793.6,4380.75,1.074,41
59420.4,45706,85200.5,66113.2,31262,138596,15362.4,3629.34,1.187,43
81967.9,59284,90612.1,79502.9,28912,180213,32940,2309.67,1.341,47
122958,109651,73489.1,61982.9,41667,97489.9,21120,2194.83,1.351,48
57777.7,39247,96479.2,48757.5,22667,140970,23492,1721.61,1.382,50
51272.5,27843,120684,74574.7,28227,173144,27220.8,2984.85,1.39,51
20105.3,14110,93382,68177.3,38126,117192,10498.4,3989.7,1.419,52
32627.4,17971,118984,49139.6,22839,141005,7152,4565.88,1.43,53
103701,92907,73150,51904.7,36427,93382,11080.8,3763.98,1.49,54
34337.9,19782,113759,64057.9,20658,203219,13615.2,2475.99,1.587,57
95204.5,83982,74293.5,34551,28314,79972.3,3557.6,3092.76,1.588,58
138473,118347,76680.8,102103,45899,145785,3925.6,3421.44,1.67,60
107701,88459,79791.6,44919.3,31659,92985.5,18952,1308.78,1.756,64
55770.8,40358,90564.3,76129,43090,115785,13978.4,2511.63,1.808,66
24511.5,16286,98636,57208.1,37710,99421.7,18656,2608.65,1.812,67
37538.3,20126,122235,55302.4,25854,140183,18751.2,4098.6,1.817,69
43221.4,29702,95365.8,39802.9,29558,88251.1,219.2,680.13,1.874,74
53873,29670,118996,132398,74358,116690,2657.6,27811.1,1.896,75
94635.1,90855,68262.6,40959.3,30999,86593.3,1792.8,1721.61,1.92,77
93958,84787,72624.7,44985.6,34675,85023.1,29620.8,1856.25,1.959,78
154858,132739,76456.7,90025.6,59399,99326.9,18204,4205.52,1.963,79
35412.8,19406,119592,53615.4,26442,132885,5625.6,3112.56,2.042,82
51295.9,43992,76416.8,45336.1,23932,124149,4142.4,7404.21,2.043,83
34712.3,25611,88825.4,46042.9,19371,155772,11652.8,2374.02,2.059,85
123354,110622,73078.8,58389.2,42414,90220.1,3317.6,2350.26,2.098,86
125730,105422,78160.4,54017.4,36510,96962,1421.6,2023.56,2.117,87
126163,109843,75273.3,86302.3,54259,104239,5081.6,3904.56,2.119,88
56865.9,38466,96884.6,29649.5,18994,102301,4553.6,1650.33,2.219,92
43323.5,29086,97615.7,49591.1,17454,186204,3539.2,1571.13,2.227,93
14529.8,8746,108876,51141.4,29950,111907,5963.2,1858.23,2.259,94
38824.5,18618,136664,61725.5,16906,239279,11200,3223.44,2.278,96
39045.2,34179,74866.7,35155.9,29271,78711.9,2432.8,1008.81,2.302,97
174977,151683,75600.5,83832.2,59091,92975.7,23634.4,2704.68,2.331,99
20014.8,14636,89620.8,47914,30856,101766,9313.6,1326.6,2.357,100
74483,55252,88346.4,82726.4,39552,137074,10185.6,2188.89,2.375,101
159292,137975,75661.1,71345.3,49651,94171.1,29775.2,3115.53,2.392,102
60956.2,36181,110412,160323,48373,217206,24808,3675.87,2.412,103
170252,151127,73829.6,72456.1,48835,97235.3,15423.2,3599.64,2.543,107
70044,63620,72153.5,48863.4,33696,95035.4,2257.6,3144.24,2.548,108
122748,108874,73887.3,57420,41194,91350.1,18996,2468.07,2.598,109
133140,117715,74123.5,62509.6,45395,90244,1720.8,3626.37,2.618,110
