"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
45579.3,39563,75502,30118.8,19471,101375,1236.8,2563.11,0.001,0
49151.7,36709,87749.8,65482.6,25905,165662,6041.6,8140.77,0.002,1
99469.5,89910,72504,40832.6,32518,82292.9,117.6,1238.49,0.002,2
76615.5,70635,71084.8,34019.4,26299,84774.8,394.4,1426.59,0.004,3
118498,100031,77635,50127.7,39227,83747.6,439.2,2108.7,0.009,4
25368.7,15438,107693,135476,43338,204867,571.2,2641.32,0.012,6
42363.4,33150,83750.4,56736.9,30574,121617,475.2,5276.7,0.014,7
76437.7,66805,74985.7,73293.7,33409,143775,2208.8,2766.06,0.015,9
55180.3,40029,90341.9,70579.1,39401,117395,8473.6,7129.98,0.018,10
41900,33974,80825.4,71992.8,36914,127814,584,1777.05,0.019,11
71372.3,66409,70434.1,25819.2,21306,79418.3,708,1255.32,0.026,12
78619.3,65907,78176.8,37091.3,27571,88165.8,667.2,2345.31,0.031,15
68370.9,59997,74683,46931.9,37225,82625.4,168.8,3598.65,0.031,16
119969,105067,74831.5,31936.4,23663,88449.7,522.4,1246.41,0.036,17
88302.2,83275,69492.4,38846.6,29579,86069.6,2271.2,3283.83,0.037,18
83893.7,73162,75149.1,52851.2,34474,100471,296.8,3394.71,0.041,19
99633.3,89263,73149.8,41546.3,32639,83421.1,361.6,3069,0.042,20
73104.7,67820,70642.7,28676.3,23576,79713.8,1596,1134.54,0.049,22
111208,81311,89632.5,97251.7,40111,158896,2771.2,2737.35,0.05,23
60945.3,59260,67399.8,33555.1,19468,112958,1313.6,1288.98,0.052,24
87479.3,76842,74608.2,28149.7,23402,78831.6,1686.4,1156.32,0.053,25
100263,92234,71240.8,38661.5,30826,82194.2,1465.6,2029.5,0.063,26
78780,74949,68885.9,25482.6,20785,80347.7,334.4,676.17,0.064,27
116586,104998,72768.7,48360.5,32726,96845.2,1610.4,1737.45,0.066,28
21292.4,11574,120565,45752.9,22850,131224,2044,1330.56,0.069,30
78044.5,71075,71962.3,25529.1,20727,80719.7,446.4,681.12,0.072,31
39936,25330,103326,42977.9,28438,99043.5,1168,665.28,0.073,32
101580,95242,69897.3,55110.3,34218,105550,798.4,2071.08,0.076,33
49949.6,43995,74406.2,41927.5,23547,116693,969.6,3450.15,0.077,34
58073.3,51325,74152.8,43279.8,24169,117356,2404.8,1050.39,0.077,35
127687,112478,74397.5,50403.9,35214,93805.5,741.6,1536.48,0.077,36
43270.5,31907,88876.3,53664.9,24087,146012,992,1880.01,0.077,37
