"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
62992.8,49147,83998.9,89492,27663,212014,1523.2,4553.01,0.002,0
68998.8,55615,81307.3,61001.8,36987,108087,5213.6,4415.4,0.01,1
72468.2,58186,81622.4,65025.2,41102,103681,1868,5841.99,0.011,2
49816.3,45107,72378.1,41528.5,24451,111309,3179.2,7925.94,0.015,3
134904,122599,72113.8,69330.7,40051,113447,1769.6,3902.58,0.027,4
80235.5,65200,80649,52164.1,34532,98998.8,13660,1635.48,0.029,5
47426.3,39562,78563.6,48517.9,27790,114418,433.6,2577.96,0.049,6
54855.1,42821,83953.7,39746.5,18529,140581,672,2269.08,0.055,7
70142.3,59399,77389.3,39291.1,30531,84339.9,2776,3427.38,0.059,8
131453,115686,74468.2,60308.8,43382,91106.9,623.2,3374.91,0.066,9
70504.2,64150,72027.5,28315,23286,79689.6,557.6,1031.58,0.069,10
112933,101171,73155.2,56480.5,39063,94757.3,2019.2,3787.74,0.071,11
90497.2,82074,72261.9,34567.8,26810,84499.7,1697.6,1826.55,0.079,12
40918,32694,82021.3,63920.3,23842,175702,942.4,2275.02,0.083,13
70200,59872,76841,38582.3,25392,99579.7,1054.4,2481.93,0.106,15
83895.2,76662,71719.5,31514.7,25366,81421.8,1043.2,1521.63,0.107,16
66684.5,54823,79715.4,58784.2,33027,116646,665.6,4011.48,0.111,17
95926.7,82175,76503.3,73131.3,39211,122229,4159.2,1756.26,0.112,18
38567.1,30762,82164.1,44950,20510,143629,468,1734.48,0.114,19
27303.1,19726,90709.6,42235.4,19982,138522,1037.6,6717.15,0.161,22
69562,53699,84895.7,106043,44007,157921,3042.4,16510.2,0.164,23
36535.2,21528,111221,53073.9,13400,259571,313.6,5538.06,0.214,26
70052.6,61126,75106.6,32026.5,21958,95586.5,1985.6,1826.55,0.216,28
52159.4,39706,86090.7,86339.9,33678,168014,4667.2,6337.98,0.252,30
84510.7,72324,76578.9,31382,24352,84455.1,4042.4,2289.87,0.26,31
52728.8,35486,97380.2,62974.9,28042,147176,655.2,6474.6,0.26,32
106681,97104,71999.8,65972.6,42916,100745,1188,4506.48,0.266,33
69737.5,63761,71678.8,20443.5,17201,77890,2270.4,681.12,0.308,35
44741.6,37891,77384.7,75948.8,39463,126128,1452,1584,0.309,36
126537,109014,76070.4,47238.8,34418,89948.4,4957.6,1955.25,0.311,37
56497,45911,80647,105143,51031,135029,754.4,5775.66,0.328,38
77974.3,70790,72187,61806.7,34354,117907,1724.8,3930.3,0.341,39
34045.4,32291,69096.7,56816.1,26279,141691,1028,1635.48,0.353,40
87329.6,79994,71545.8,34658.9,27162,83624.4,1391.2,2258.19,0.391,42
30271,21071,94150.3,87629.9,26747,214712,2561.6,3832.29,0.397,44
42471.8,39291,70841.4,47792.2,27003,115991,594.4,881.1,0.403,45
86482.5,80641,70283.3,42879.9,33493,83903.4,656,1761.21,0.407,46
35333.2,29551,78359.4,91204.7,36843,162234,1989.6,4970.79,0.412,47
92002.6,78735,76579.4,57094.3,33679,111100,949.6,1706.76,0.422,49
101946,94450,70737.3,20702.9,13298,102029,673.6,775.17,0.428,50
43500.6,38412,74217.8,30970.2,18667,108730,1660.8,1155.33,0.453,51
37933,35402,70221.3,36230,19806,119881,999.2,3864.96,0.457,52
38841.7,31186,81624,46667.6,23122,132273,2004,8731.8,0.459,53
46350.7,39715,76486,44216.4,29511,98192.7,621.6,11469.2,0.481,54
76958.7,65895,76539.4,33069,26951,80412.9,2047.2,2113.65,0.483,56
55516.5,46070,78973.9,55417.2,28402,127872,3901.6,15492.5,0.484,57
28204,22778,81147.5,51962.1,26558,128225,1981.6,1569.15,0.523,58
79182.5,72586,71491.8,27537.8,22958,78609.6,600,1868.13,0.54,60
65124.5,56410,75660.4,81472.1,27678,192910,13827.2,3503.61,0.596,61
57266.8,43459,86358.1,57251.7,26487,141656,702.4,5691.51,0.613,62
30179.8,18834,105015,56760.7,15666,237448,632.8,5013.36,0.616,63
48642.4,34773,91675.3,57732.8,18689,202450,607.2,2654.19,0.622,65
33877.7,26861,82655.6,34042.1,13913,160353,1120,1196.91,0.64,67
60191.8,56261,70114.8,41718.6,24037,113744,492,3312.54,0.66,68
84956.8,81166,68596.8,41143.4,32922,81901.9,2831.2,4492.62,0.663,69
114715,100794,74587.1,53290.7,31594,110542,577.6,2451.24,0.682,70
52750.6,47766,72375,39606.9,24678,105182,760.8,2985.84,0.704,71
49809.2,27343,119383,49595,21451,151520,638.4,4167.9,0.749,73
94979.8,84319,73822,28838.7,23387,80813,357.6,1095.93,0.769,74
80921.1,62799,84447.9,50888,27675,120506,8066.4,5556.87,0.802,75
119537,101005,77560,47649.7,34249,91178.4,1211.2,1616.67,0.846,76
