"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
171565,139517,80590,88700,58329,99659.6,1231.2,5012.37,0.014,2
36787.9,21599,111622,38742.7,24923,101875,44.8,350.46,0.02,3
132436,118513,73235.3,74726.2,48674,100613,813.6,2338.38,0.059,5
55335.5,32299,112278,122495,40335,199028,3073.6,4592.61,0.076,8
40982,27814,96562.7,80242.5,30226,173982,1346.4,2453.22,0.101,11
118132,105234,73568.3,77105.2,53410,94610.8,831.2,2828.43,0.136,14
43613.7,31403,91018.9,54423.3,27291,130691,896.8,2181.96,0.138,15
139471,124447,73447.9,73813.4,52495,92150.4,510.4,2296.8,0.151,20
72250.6,49446,95761.4,80567.2,31782,166133,827.2,1983.96,0.162,21
89558.8,81423,72084.4,42603.7,32799,85126.8,408.8,1712.7,0.166,22
101561,75850,87750.6,117369,56878,135236,1156,4030.29,0.205,26
21036.6,12787,107817,49518.8,19507,166364,597.6,1947.33,0.228,30
120703,106794,74071.8,52594.7,40666,84760,436.8,1693.89,0.247,31
101868,91327,73100.2,53882.7,43439,81292.4,972.8,1356.3,0.255,33
149169,137941,70870.3,73200.6,50518,94961.7,867.2,3974.85,0.26,34
36362.8,35216,67670.2,42426.4,23924,116221,326.4,546.48,0.312,39
171783,144326,78003.9,92235.3,60022,100709,1206.4,4010.49,0.315,40
74992.3,57711,85160.5,78723.8,37819,136419,1009.6,2336.4,0.324,42
50210.2,42374,77655.5,88538.7,46258,125437,942.4,1420.65,0.346,43
73541.5,48411,99556.2,111014,54059,134582,1156,2750.22,0.351,44
62776,54683,75235.2,47489.3,27967,111283,714.4,1644.39,0.37,46
132742,113995,76313.7,81745.3,53599,99950.7,2005.6,2346.3,0.383,47
135814,122154,72864.8,78881.2,53498,96630.9,1125.6,3198.69,0.387,48
143795,123693,76186.8,57209.1,44521,84213.2,1224,2900.7,0.39,49
83209.6,70971,76837.4,86020.1,39659,142147,587.2,2651.22,0.411,51
124552,113096,72174.4,61480,42184,95513.8,724,2780.91,0.453,52
78515.6,59867,85950.5,159777,62239,168241,1460.8,3727.35,0.487,53
122426,106494,75340.3,60839.5,42074,94765.8,1039.2,2255.22,0.53,56
145281,132131,72058.4,83964.9,57827,95158.4,908,4425.3,0.531,57
49004.3,32531,98722.6,164055,51027,210702,1645.6,5085.63,0.535,58
82086.4,59082,91053.4,72489.8,47738,99515.9,834.4,1157.31,0.553,59
61116.1,45011,88985,112092,39507,185943,1722.4,3348.18,0.583,60
114708,92550,81226.1,159713,56626,184843,1191.2,6343.92,0.599,61
80773.7,66274,79874.2,102466,54946,122215,1533.6,3663.99,0.601,62
147880,130907,74033.3,73048.1,50875,94098.9,1067.2,3611.52,0.663,67
73469.8,65399,73623.7,58847.6,36323,106176,645.6,2019.6,0.67,68
34657.7,25328,89676.6,37716,24119,102482,5388.8,993.96,0.689,69
112286,91767,80190.1,91321.6,44407,134773,1360,3342.24,0.705,70
50114.2,32947,99683.9,133189,53095,164397,1160.8,3288.78,0.722,72
128078,108826,77129.5,84784.6,56190,98886.7,1135.2,5012.37,0.728,74
11954.3,10436,75070.5,86279.5,76640,73778.9,771.2,210.87,0.795,81
87321,80150,71399.5,56403.3,40274,91782.4,988.8,1872.09,0.838,83
135629,114814,77417.1,56814.1,41182,90412.6,594.4,2652.21,0.846,84
45162,25042,118191,33526.4,19058,115289,735.2,1051.38,0.848,86
44484.2,30915,94301,46752.8,21415,143077,1064.8,709.83,0.855,88
134789,121243,72857.9,87968.4,59615,96705.5,1148.8,3565.98,0.857,89
149322,120851,80975.7,72384.8,52323,90664,700.8,1734.48,0.87,90
118247,100720,76940.5,118681,67828,114671,801.6,3437.28,0.897,92
164607,136423,79075,84704.4,56807,97720.1,372.8,3143.25,0.905,94
44786,29526,99407.2,65586.5,36054,119218,755.2,2002.77,0.907,95
116009,102863,73911.3,55061.8,39163,92141.3,736.8,3127.41,0.924,97
107323,97706,71986.3,51286.9,36782,91380.1,520.8,2204.73,0.925,99
54933.1,38971,92378.8,115494,62447,121207,1604.8,1804.77,0.97,102
95232.5,84506,73854.6,59854.4,40218,97533.9,839.2,2114.64,0.978,103
40657.5,20267,131471,134206,24927,262143,1188.8,3068.01,1.003,105
98305.7,78215,82369.9,203047,85719,155239,869.6,4215.42,1.027,106
64821.9,52609,80749.8,128828,59169,142690,828.8,1689.93,1.032,110
111738,99059,73924.3,63758,43091,96967.9,625.6,3039.3,1.042,111
164405,135438,79552.7,86678.5,55850,101711,433.6,3061.08,1.066,113
51881.7,31239,108842,116799,35283,216947,1781.6,1977.03,1.077,114
27466.9,18793,95784.2,60507.8,19469,203680,748,2142.36,1.09,116
156454,137783,74416.8,88982.2,60435,96492.7,1001.6,3971.88,1.093,117
96797.2,74870,84729.6,41223.6,28406,95107.7,775.2,1294.92,1.103,120
81750.2,77011,69569.1,36337,29463,80826.1,485.6,1751.31,1.106,121
121698,106159,75128.8,68027.9,46479,95920.2,997.6,2887.83,1.162,124
59507.8,34642,112577,138006,45014,200923,1267.2,4033.26,1.167,125
116126,103214,73734.8,95089.5,59678,104424,1780,3028.41,1.186,128
123535,111957,72313.3,65291.5,45366,94320.5,772,2208.69,1.215,131
90519,74987,79110.4,68374.4,45039,99491.1,894.4,1544.4,1.241,132
36662.3,28766,83525.8,66033,32830,131817,1266.4,3137.31,1.25,133
133081,117518,74215.1,66536.9,47018,92742.4,520,2631.42,1.252,134
66605.8,52337,83403.2,47627.9,31137,100245,876,1861.2,1.303,136
73558.7,53803,89599.9,118120,44475,174055,1796.8,2664.09,1.312,137
42373.5,19959,139135,122466,32967,243453,1112.8,2693.79,1.349,138
93983,75572,81502,66787.4,45956,95242.8,2506.4,646.47,1.417,142
118811,97798,79617.2,58751.6,42374,90865.7,623.2,2808.63,1.426,144
125523,112254,73282.7,95953.8,60622,103732,668,3562.02,1.458,147
74072.7,56582,85794.6,55522.2,33810,107622,708,2374.02,1.459,148
153457,137941,72907.8,82591.7,55761,97070.2,854.4,2886.84,1.488,150
31295.2,21063,97372.6,79104,23267,222812,999.2,2222.55,1.574,156
109688,101978,70491,51581,39534,85506.4,617.6,2444.31,1.582,157
154468,132810,76223.3,75958.7,55578,89568.4,1101.6,2730.42,1.626,164
119936,98379,79896.3,68390.2,45631,98223.1,914.4,2352.24,1.632,165
96453.2,76452,82681.4,106273,44176,157658,1369.6,3505.59,1.637,167
43914.8,39279,73270.7,61400.8,31035,129659,952,1669.14,1.655,168
19403.3,12004,105932,75711.2,39924,124281,1267.2,1823.58,1.658,169
145727,122301,78088.8,113292,59421,124950,904.8,4024.35,1.668,171
160913,145405,72525.8,94453.9,61917,99974.7,1599.2,4196.61,1.696,172
160892,134771,78238.1,99456.4,63447,102731,1013.6,3712.5,1.711,173
109567,90274,79541.8,81808.6,50182,106839,1145.6,4257,1.719,174
77750.4,49688,102549,110884,40488,179483,1519.2,3682.8,1.756,178
93675.7,76777,79960.5,71458.2,41145,113819,1394.4,2587.86,1.761,179
70352.9,47345,97384,53460,32017,109428,785.6,3759.03,1.794,184
45249.4,39983,74168.1,51326.6,22303,150820,552.8,1702.8,1.808,185
128931,111665,75669.3,86389.4,59253,95549.8,634.4,3678.84,1.843,186
209626,183971,74675,112231,72775,101068,1372.8,4317.39,1.884,188
90739.7,78986,75288.3,63443.2,37326,111392,1152.8,1652.31,1.889,189
35561,19115,121921,54948,29403,122473,500,714.78,1.905,190
60375.9,49467,79988.6,53719.4,31247,112669,1344.8,2069.1,1.915,193
60728.5,48611,81872.4,80633.5,42967,122987,1125.6,6333.03,1.945,196
59434.4,42506,91636.4,110209,37498,192614,2929.6,2549.25,1.981,200
61294.7,40833,98376.6,133246,92833,94065.9,510.4,3614.49,1.983,201
98943.8,88094,73607.5,44684.6,33518,87369.5,19616,2381.94,2.01,204
92912,77870,78195.5,68269.4,45182,99024,1322.4,3230.37,2.017,205
205850,177059,76192.5,109886,68519,105102,1064.8,5892.48,2.055,209
73114.9,53790,89080.8,110203,37690,191623,1918.4,4498.56,2.064,210
100033,87311,75084.9,47966.5,35919,87517.2,552.8,1792.89,2.065,212
79672.3,59162,88256.1,77068.5,39226,128761,120918,2924.46,2.067,213
154501,134351,75365,100603,66943,98488.4,1323.2,3304.62,2.07,214
117650,103102,74783.1,61953.2,46682,86975,980,2440.35,2.114,217
182569,152190,78617.8,93236.2,60926,100291,685.6,3986.73,2.129,218
112551,89658,82269.7,93615.4,56074,109412,999.2,3938.22,2.136,219
78588.9,61310,84005.9,53359,36442,95959,748,2408.67,2.14,221
104047,91910,74189.9,80383,50482,104354,1098.4,3121.47,2.188,223
127596,109987,76028.5,68105.1,47735,93502.3,976.8,2362.14,2.241,225
85087.9,70494,79103.4,56117.2,39230,93747,716.8,2819.52,2.241,226
33906.6,22498,98768.9,112361,48626,151435,1002.4,2274.03,2.245,228
107438,100902,69781.1,57887.3,41238,91995.3,489.6,1737.45,2.247,229
66885,58033,75532.5,70344.5,32785,140616,1212.8,1977.03,2.248,230
138055,114009,79358.1,76668.6,51117,98295.1,1148,5551.92,2.251,231
65307.1,47290,90504.6,86262.7,43358,130387,2190.4,2506.68,2.257,233
93532.1,66222,92563.2,86822,36362,156481,5726.4,2197.8,2.265,234
85745.4,69868,80429,75333.1,51932,95067.2,1207.2,1538.46,2.285,235
149470,123370,79400.6,131699,64410,134001,1820.8,3693.69,2.303,236
42921.8,30803,91319.9,90442.4,30583,193808,656.8,2028.51,2.365,241
173357,150246,75617,94176.7,63462,97254.5,1137.6,3853.08,2.367,242
49207.1,26706,120753,93281.8,46374,131826,734.4,1924.56,2.388,246
110923,99846,72806.6,71082,50402,92425.5,503.2,2326.5,2.413,249
58890.8,51766,74556,88697.1,43202,134551,1528.8,1968.12,2.428,251
89298.3,69532,84166.3,76009.2,46600,106896,1326.4,2104.74,2.457,253
68020.7,41007,108708,76313.2,41899,119365,1151.2,3038.31,2.475,254
65488.8,55538,77278.1,55957.8,34274,106998,1083.2,1420.65,2.478,255
139143,110202,82746.7,145993,65198,146750,3516.8,3379.86,2.524,256
86706.4,76434,74343.7,33848.1,28578,77621.6,112,1526.58,2.535,260
66067.6,58986,73403.9,68612.9,41802,107569,838.4,2084.94,2.545,261
59531.9,51078,76382.9,46146.9,29138,103792,691.2,2034.45,2.557,264
43542.7,39293,72624,27468.5,24073,74780,365.6,476.19,2.589,266
133454,121755,71833.2,58152.6,42751,89146.2,916,2777.94,2.608,267
124653,101886,80180.1,71049.3,45818,101626,495.2,2384.91,2.613,268
128168,108837,77176.1,63481.8,45045,92359.7,961.6,2802.69,2.615,269
91383.2,82538,72559.2,77047.7,44954,112324,771.2,3084.84,2.62,270
171123,145483,77086.3,98701,61323,105482,685.6,3489.75,2.629,271
55245.1,40548,89290.2,88162.5,29216,197762,1108.8,3774.87,2.635,273
89911.4,76675,76849.5,71607.7,47143,99545.7,908,1814.67,2.676,276
125775,106431,77447.3,100314,46559,141201,1918.4,3318.48,2.697,278
32826.3,22048,97573.7,109230,44416,161169,852,2197.8,2.701,280
