"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
134758,113911,77530,65137.1,44855,95169.4,907.2,3173.94,0.081,1
126837,110832,75000.1,60885,44992,88686,600.8,2625.48,0.152,4
75872.9,58235,85385.2,61371.1,31963,125833,953.6,2095.83,0.154,5
42416.4,40674,68343.4,50779.1,26694,124667,430.4,974.16,0.161,6
59561.6,50310,77587.5,41126.6,26850,100383,315.2,1256.31,0.178,11
188729,154735,79933.6,83141.2,60891,89483.5,1041.6,4109.49,0.179,12
89891.9,81751,72062.2,50048.5,32755,100137,493.6,1456.29,0.181,13
52195.3,47810,71547.1,60771.2,38294,104003,661.6,1376.1,0.183,14
40386.1,31178,84891.3,39452.5,19774,130755,418.4,1113.75,0.189,16
115346,102654,73638.5,80712.7,54698,96705.3,520,1604.79,0.19,17
110781,99966,72626.2,51780,37326,90913.9,417.6,1812.69,0.196,18
39558.5,35754,72509.5,33402.6,19290,113482,647.2,1032.57,0.198,19
86583.9,77982,72765,34254,27310,82199.6,447.2,1067.22,0.2,20
64147.2,57358,73293.2,34828.2,24462,93308,546.4,1104.84,0.2,21
69385.7,63621,71474.2,30170.2,20533,96295.6,94.4,815.76,0.205,23
93231.8,64931,94100.5,103595,50883,133427,1007.2,2340.36,0.208,25
52512.7,41126,83681.2,86025.1,39526,142634,975.2,1748.34,0.21,27
35468.2,27014,86045.8,32672,17074,125407,630.4,814.77,0.216,29
104756,80475,85309.9,58276.4,37199,102669,514.4,2595.78,0.225,30
69301.4,67569,67216.3,30504.9,24513,81555.4,597.6,803.88,0.228,31
114581,85386,87944.1,81281,42110,126498,677.6,2935.35,0.231,32
71980.7,65691,71810.9,23748.1,19051,81694.2,89.6,822.69,0.238,33
88633,76284,76145,38376.4,30812,81625.1,349.6,1123.65,0.24,34
46198.6,30650,98782.1,69889,32714,140009,1464,2725.47,0.243,36
31077.5,23391,87071.8,56131,16447,223664,545.6,1070.19,0.246,38
50700.8,45807,72537.5,29463.4,19355,99763,443.2,1198.89,0.247,39
82525.6,73226,73858.9,31350.3,24618,83458.2,311.2,1076.13,0.252,40
86305.4,81923,69041.8,35063.8,27447,83722.9,261.6,1203.84,0.255,41
78240.2,73288,69964.4,69235.6,37563,120795,1224.8,2217.6,0.283,44
81282.2,76034,70059.6,31198.9,25318,80758.7,151.2,909.81,0.286,45
134673,114846,76850.3,47028,33358,92392.4,616.8,1906.74,0.293,47
