"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
70358.3,51268,89939.2,101567,45568,146074,459.2,2478.96,0.179,5
24548.2,18787,85633.1,53820.4,27411,128677,150.4,1450.35,0.195,8
114567,108431,69244.7,83779.7,47647,115235,359.2,2246.31,0.219,9
34658.5,13979,162485,109715,31119,231057,247.2,2178,0.239,16
199190,167162,78092.7,115525,75418,100388,492,4403.52,0.243,17
87446.6,67914,84384.7,82447.2,45166,119631,337.6,1526.58,0.283,20
185602,152575,79722.1,89766.3,62847,93607.1,390.4,2648.25,0.289,21
84389,69930,79086.5,104856,49674,138339,461.6,3659.04,0.309,23
36366.7,21043,113260,79714.8,23703,220402,258.4,1894.86,0.312,24
115243,88992,84867.7,97171.5,55808,114110,176.8,1656.27,0.396,28
78670,64840,79514.5,46617.1,33292,91766.8,353.6,1515.69,0.443,30
30430.1,16559,120434,79736.6,25807,202488,288,1988.91,0.456,31
36679.5,30322,79276.7,70512.8,34034,135780,139.2,1396.89,0.473,33
104753,92174,74479.9,58894.1,41198,93686.2,306.4,1943.37,0.499,36
94483,81700,75789.9,80125.6,61968,84739.1,91.2,663.3,0.584,43
68660.3,56242,80006.4,117098,59474,129034,220.8,1485,0.608,45
106454,80114,87083.3,161385,67570,156527,346.4,2708.64,0.627,47
69654,58654,77826.7,74903.4,40298,121814,237.6,1390.95,0.662,52
69739.8,55090,82963.6,89622.7,50626,116018,367.2,2156.22,0.663,53
143359,126706,74149.6,71207.7,51106,91313.5,183.2,1851.3,0.747,59
72808.3,69234,68919.4,44370.8,29174,99673.9,109.6,1513.71,0.796,62
47973.1,28231,111366,78891.1,35479,145726,286.4,1391.94,0.812,63
57239.5,43503,86229.7,64413.4,28491,148166,159.2,1338.48,0.83,66
140441,117474,78348.9,91191.9,61350,97414,294.4,2811.6,0.896,70
95039.9,69899,89107.6,71737.4,38863,120973,184,985.05,0.915,71
82198.7,76403,70507.4,36093.4,26115,90577,52,1064.25,0.918,73
158385,136278,76167.4,99299,53622,121362,496.8,2822.49,0.918,74
128323,118491,70974.1,63857,46763,89492.4,407.2,2284.92,0.921,75
133278,121879,71665.3,75271.7,51571,95654.6,330.4,2279.97,0.944,76
139476,106947,85469.2,100528,60707,108524,584.8,2678.94,0.964,78
51950.3,36614,92986.8,75388.5,29986,164766,119.2,1903.77,0.974,79
56932.2,52690,70812.5,71320.6,40610,115096,339.2,2275.02,0.979,80
168234,138986,79327.1,88012,57114,100990,412.8,2714.58,1.037,84
86215,75396,74940.1,56873.5,39604,94113.3,476,2482.92,1.085,90
102430,73271,91617.1,128831,55319,152625,388,2094.84,1.163,97
70434,59675,77351.7,71551.3,33311,140770,111.2,1392.93,1.167,98
82185.5,54148,99470.1,160147,60100,174633,427.2,2882.88,1.186,100
85583.9,70994,79004.3,54426.2,35590,100221,420,1916.64,1.215,101
