"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
35817.6,20714,113322,46227.1,23066,131342,175.2,853.38,0.003,0
101030,89846,73693.5,40486.1,32338,82048.8,181.6,928.62,0.006,2
92898.8,80123,75985.9,54029.2,31759,111492,235.2,1507.77,0.014,3
39494.5,25263,102455,44908.4,26399,111486,96,1394.91,0.019,4
49828.7,37919,86119.8,102802,38571,174670,98.4,1207.8,0.021,5
39891.5,26898,97194.3,92791.7,39554,153744,277.6,1787.94,0.025,7
76948.6,72938,69139.6,27926.9,22830,80167.2,35.2,552.42,0.029,8
82047.4,73955,72707.2,29894,24247,80799.1,124,803.88,0.032,9
40600.6,33802,78717.2,35059.9,23086,99527.1,36.8,607.86,0.045,10
89779.6,77382,76035.7,37737.8,30614,80786.1,280,1407.78,0.051,11
37228.6,23757,102699,71059.2,23113,201486,365.6,2110.68,0.055,12
121543,106382,74875.7,53614.4,37466,93783.1,146.4,1318.68,0.056,13
132459,117733,73733.1,59060.4,40085,96559.4,224,2148.3,0.07,16
64580.1,48919,86516.9,66179.5,34855,124434,272.8,1052.37,0.075,18
36681.8,22522,106739,39516.8,20446,126664,72,837.54,0.077,20
75752.8,71763,69179.6,36400.3,29699,80323.6,148,914.76,0.081,22
91228,83655,71468.8,38853.5,32103,79316.8,188.8,1058.31,0.087,23
77581.9,72619,70014.9,37559.6,27451,89669.1,292,1208.79,0.087,24
33047,26400,82036.8,44280.7,21668,133929,320,1126.62,0.091,25
33754.5,23389,94580.1,36832,17997,134123,100.8,1048.41,0.094,26
49863.8,45699,71508.7,36327.1,23511,101260,50.4,767.25,0.094,27
49876.3,32403,100876,68954.5,28503,158545,293.6,1342.44,0.098,28
67792.9,41262,107675,91081,35934,166112,180,1174.14,0.098,29
38470.4,32252,78171.7,58937.7,24536,157423,189.6,1134.54,0.101,30
100233,89734,73203.9,42361.1,32486,85457.7,178.4,1534.5,0.104,31
99573.2,94071,69369.2,42753.2,32195,87028.1,151.2,1131.57,0.111,33
100235,93098,70560.4,46929,36250,84842.4,98.4,1276.11,0.118,34
50807.6,44637,74595.7,40240.5,25085,105131,136.8,608.85,0.131,36
82516.2,74018,73060.4,73330.3,33222,144656,217.6,1833.48,0.133,37
53211.6,45983,75838.4,33024.4,22543,96007.1,137.6,873.18,0.156,40
98853.3,90163,71852.6,36907.2,29415,82228.5,296,1067.22,0.168,42
99782.3,85922,76107.8,49760.4,35190,92671.1,102.4,1372.14,0.169,43
87817.9,81710,70434.9,37634.9,29326,84104.1,180.8,1102.86,0.173,44
36994.6,29363,82569.2,70130.6,22423,204972,204.8,1488.96,0.188,47
69634.5,62607,72892.3,105556,51403,134578,324,1427.58,0.188,48
83394.5,71202,76758.2,35950.9,28354,83095,142.4,1237.5,0.19,49
81871.1,77099,69592.4,36148.9,28219,83952.4,103.2,1080.09,0.192,50
38884.6,33735,75539.9,42344.3,18195,152519,42.4,515.79,0.196,51
40836.1,35583,75211.1,72560.1,36699,129576,265.6,1256.31,0.197,52
134920,120278,73513.9,66695.3,47126,92750.2,230.4,1538.46,0.198,53
70438.7,58126,79418.3,70728.6,28794,160980,289.6,1779.03,0.201,54
25402.3,17070,97525.6,85027.1,24938,223448,238.4,2429.46,0.202,55
32990.1,24235,89211.4,34605.4,16911,134108,53.6,845.46,0.208,56
118255,101908,76048.6,58029.8,42416,89660.6,264,1927.53,0.22,58
96549.2,79187,79905.1,54927.2,31955,112649,150.4,1388.97,0.22,59
89043.2,80142,72815,47745.7,35166,88979.8,151.2,1332.54,0.226,60
57336.2,48147,78044.1,59936.6,33283,118018,80,1429.56,0.227,61
93051.7,81643,74693.9,42343.3,32495,85398.1,202.4,1089.99,0.231,63
81050.6,73026,72737.5,38084.3,29350,85039,237.6,1074.15,0.233,65
133077,116478,74875.6,56559.7,40878,90677,349.6,1809.72,0.233,66
161349,145658,72596,83841.1,56890,96583.1,383.2,2507.67,0.235,67
94468.1,85211,72655.7,40308.8,31707,83315.4,62.4,1117.71,0.251,69
108535,96019,74078.3,48441.7,36195,87710.3,245.6,1657.26,0.251,70
129896,112671,75554.9,66716.1,41311,105839,136,1846.35,0.255,71
117193,97007,79173.5,56089.4,37759,97351,187.2,1825.56,0.26,72
53607.1,46386,75738.2,45564.8,27494,108610,192,1066.23,0.261,73
27785.9,12418,146640,68060.5,30434,146560,43.2,511.83,0.263,74
85463,80487,69587.7,36827,29427,82016.3,100.8,814.77,0.263,75
47949.7,37782,83172.8,95762.7,34418,182344,174.4,926.64,0.27,77
78467.2,73816,69665.5,33696.6,25980,85001.6,144.8,925.65,0.273,79
68796.8,60072,75054.4,28614,23256,80634.9,34.4,591.03,0.276,80
57581.9,44906,84035.3,77232.9,39722,127424,259.2,1234.53,0.277,81
76803.5,66066,76187.3,39469.3,28658,90259.7,108.8,1071.18,0.281,82
88835,80017,72758.2,31156.3,26129,78145.3,216.8,715.77,0.282,83
95811.3,90554,69340.8,47722,37246,83968.9,328,2190.87,0.282,84
35304.4,31655,73091.4,52660.1,25511,135280,304.8,1590.93,0.286,85
91268.6,77737,76943.8,51995.8,39741,85745.1,272,1669.14,0.293,86
48789,34455,92800.4,66557.7,24643,177005,59.2,865.26,0.295,87
88235.2,83670,69111.7,38631.8,29926,84601.1,156.8,999.9,0.298,89
24068.5,18546,85050.7,106735,40002,174866,213.6,861.3,0.3,90
82314.2,74210,72692.9,27428,22114,81284.2,44.8,825.66,0.303,91
67213.4,47631,92479.6,76249.8,33423,149511,216,1983.96,0.305,92
34421.4,32098,70279.8,60718.7,26678,149159,159.2,773.19,0.308,96
132752,114509,75976.9,50924.6,35213,94777.4,327.2,1541.43,0.31,97
74321.5,64147,75930.8,67791.2,42771,103873,174.4,1163.25,0.31,98
103600,94043,72196.3,42871.9,33083,84927.5,94.4,1024.65,0.318,100
83680,74572,73540.3,34390.6,27256,82690.9,232.8,820.71,0.319,101
72835.6,64539,73960.8,34398.5,26843,83982.5,34.4,822.69,0.331,102
28472.3,18307,101926,96581.4,31347,201919,385.6,1720.62,0.343,103
50353.7,28255,116793,70279.1,32079,143577,208.8,1463.22,0.355,105
89340.4,83906,69780.6,39260.4,31090,82758.8,94.4,1015.74,0.36,106
40178.6,29575,89032.7,90323.6,33075,178971,283.2,1655.28,0.374,109
119221,89043,87746.9,147180,79139,121882,790.4,8331.84,0.38,110
79132.6,75359,68817.7,51937.4,37711,90259.3,112.8,848.43,0.385,111
