"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
81291.8,49902,106760,108058,62654,113028,3329.2,4801.54,0.003,0
88593.8,73863,78606.1,76656,40247,124822,8399.26,17036.7,0.007,2
32792.9,14386,149389,74489.5,26790,182223,2921.66,6893.25,0.011,3
63839.9,54931,76164.9,49311.2,32899,98229.8,1072.56,3444.1,0.012,4
19971.2,17218,76015.4,46431.7,22870,133054,1142.26,10664.6,0.013,6
59524.1,30426,128212,40268.7,18382,143567,2025.4,6841.74,0.021,10
76344,56843,88019.3,110566,53243,136094,4195.94,12413.9,0.022,11
41095.8,37167,72463.6,51143.4,32523,103057,1653.12,4118.78,0.022,12
55134.9,29967,120577,97218.6,33259,191567,3553.88,17601.3,0.031,15
47516.9,35031,88894.7,61383.8,36595,109929,2390.3,5121.71,0.035,16
100029,92994,70493.8,61777.7,44034,91944,5357.06,2882.54,0.035,17
199471,155711,83953.8,112879,69195,106910,10570.6,3230.99,0.042,18
44356.9,32031,90755.1,64968.2,34943,121849,6002.4,8346.64,0.042,19
135346,94054,94307.9,85779.3,38050,147743,6329.58,3196.65,0.047,20
126615,110783,74901.7,68926.4,48347,93432.1,4434.56,4523.79,0.048,21
51224.4,45142,74366.3,46383.2,29698,102356,920.86,8395.12,0.051,22
39724.4,27183,95772.2,62363.5,34091,119887,1493.22,3292.6,0.053,23
88148.2,82311,70183.6,45970.1,32023,94079.2,391.96,2129.08,0.06,24
100994,83563,79206.9,77240.8,55371,91420.6,1333.32,3382.49,0.061,25
66114.3,39477,109757,90275.8,23617,250511,1367.76,18740.6,0.064,27
75269.6,66694,73962.7,54431.9,35890,99394,2614.98,6255.94,0.067,28
76989.5,46935,107501,71622.1,38423,122162,1980.3,3737,0.068,29
58577.7,46403,82730.6,85265.2,34055,164086,2535.44,24534.9,0.068,30
83676,71608,76580.7,53603.7,38828,90475.3,1630.98,4013.74,0.071,31
105501,89426,77316.3,49500.1,35634,91037.7,1071.74,2145.24,0.077,32
66996.7,57338,76575.7,42652.3,28350,98598.3,904.46,7762.86,0.086,34
79420.3,52334,99455.2,62113,37178,109490,2215.64,4516.72,0.088,35
101064,91051,72743,36258,28139,84445.2,4133.62,2238.16,0.089,36
79790,49723,105165,89342.6,47999,121985,1997.52,5398.45,0.091,37
73075.8,61906,77360.8,46856.9,32482,94539,470.68,2501.77,0.096,38
100441,80298,81976.2,78812.3,45786,112808,1597.36,10988.8,0.096,39
24921.3,14094,115882,81965.5,35242,152423,1745.78,10886.8,0.098,40
86936.3,74354,76626.2,60853.5,39426,101154,4642.84,9407.14,0.104,41
97994.8,88950,72199.9,58336.6,47250,80913.2,724.06,1496.82,0.106,42
133119,111555,78204.3,71683.7,49315,95262.4,378.02,4344.01,0.106,43
46577.6,26487,115246,51865.5,25287,134419,2273.04,3515.81,0.108,44
65669.5,57038,75453.5,42682.6,27450,101903,2100.02,3353.2,0.12,45
47032.7,32877,93753.4,76516.6,33945,147727,3726.9,5823.66,0.121,46
137436,116259,77473.8,83405.8,52391,104332,2038.52,8872.85,0.123,47
117616,103623,74385.8,37897.2,27715,89613.3,4893.76,2404.81,0.132,49
58989.3,38742,99786.4,74677.4,37634,130043,4937.22,8690.04,0.135,50
81813.2,72213,74248.5,39401.1,29953,86208.1,1537.5,5621.66,0.145,51
136168,119911,74421.3,90460.6,55511,106797,2121.34,5530.76,0.149,53
31605.5,29358,70553.2,39365.8,26414,97670.7,3500.58,1108.98,0.152,56
75029.5,61403,80079.7,71638.3,39115,120028,4204.96,2641.15,0.153,57
50806.5,45498,73182.4,28731.5,24346,77341.1,447.72,1212,0.156,58
87680.5,65114,88248.8,82697.8,45066,120261,3096.32,7549.75,0.159,60
62919.6,43655,94456.4,75248,34935,141161,10811.7,7085.15,0.162,61
66296,54847,79216.3,63321.9,36203,114628,2693.7,6561.97,0.163,62
57102.8,29588,126480,75436.9,29408,168112,1198.02,23751.2,0.163,63
139430,114934,79503.9,67614.5,50210,88253,1890.92,4960.11,0.166,64
32856.9,26771,80434.4,40321.2,30743,85954.2,826.56,1436.22,0.176,65
28237.8,24566,75331.4,36694.3,22198,108334,1784.32,4264.22,0.181,68
53937.2,30646,115344,64510.7,21138,200008,2289.44,12238.2,0.183,69
70932.5,55785,83331.3,122072,60121,133066,7868.72,18426.4,0.187,70
103380,87290,77616.3,65327.8,43386,98679.8,1545.7,6499.35,0.187,71
55248.7,42171,85859.4,74169.4,43227,112447,1295.6,6624.59,0.192,74
76233.4,70362,71004.7,43596.6,31854,89695.2,1058.62,2373.5,0.192,75
65273.8,45954,93088.3,68835.5,39734,113535,3433.34,4615.7,0.195,77
86432.3,74810,75717.5,44699.6,31694,92428.6,1224.26,1842.24,0.195,78
38729.8,36534,69474.8,34058.2,25410,87841,882.32,1156.45,0.202,80
136801,115887,77363.3,79492,55247,94296.4,2015.56,6311.49,0.204,81
85143,76516,72925.1,72395.8,44304,107090,5530.9,2865.37,0.205,82
117946,97167,79550.9,93547.2,55323,110817,788.02,4161.2,0.207,83
75181.9,43963,112074,72950.3,33375,143247,546.94,1480.66,0.207,84
81468.8,62215,85817.5,62741.2,37159,110654,5571.08,7294.22,0.209,86
77180.6,46071,109789,77762.9,31559,161484,648.62,5176.25,0.21,87
116631,77442,98699.9,111597,42118,173646,1959.8,6222.61,0.222,88
69799.7,47986,95327.6,81932.2,42470,126431,3664.58,17651.8,0.224,89
80786.2,53627,98726.5,112235,48879,150483,1747.42,7944.66,0.224,90
48785.7,25883,123526,71644.4,29151,161068,275.52,2780.53,0.228,91
76652.9,57418,87490.4,85083.4,50158,111169,805.24,7293.21,0.23,93
50559.2,26734,123941,53902.7,26766,131980,587.94,4660.14,0.238,94
36489.3,25886,92380.6,45792.4,26634,112677,1546.52,6910.42,0.245,96
62124.8,51219,79490.3,71450.4,34087,137371,3578.48,4905.57,0.246,97
53084.8,25046,138903,52211.9,23906,143134,3105.34,2696.7,0.246,98
92416.6,83918,72173,33882.5,26826,82775,455.1,1433.19,0.249,99
52381,35019,98027.9,53732,24575,143291,757.68,2241.19,0.25,100
121052,109754,72282.1,65600.5,45246,95018.2,543.66,2719.93,0.251,102
163875,136343,78769.9,66589.3,46899,93050.9,5391.5,2679.53,0.255,103
91153.4,77570,77012.1,52424.1,37570,91447,391.14,4786.39,0.256,104
112420,98823,74553.2,70477.8,48103,96019.6,1717.08,4988.39,0.259,105
43754.2,32538,88126.9,63241.1,41402,100106,1442.38,4105.65,0.261,106
40463.8,35485,74731.2,29488,23453,82399.8,1391.54,3522.88,0.262,107
88017.1,77588,74345.1,62825,41572,99040.2,1457.96,2240.18,0.264,108
70768.2,38615,120105,67896.2,25427,174997,2654.34,16065.1,0.266,109
217162,177398,80226.1,123012,72854,110656,5257.02,8082.02,0.267,110
121586,103491,76994.6,95781.3,61911,101389,4391.1,15148,0.267,111
57794.8,52959,71520.2,128123,66655,125972,2906.9,11383.7,0.268,112
67264.6,53974,81673.6,59322.3,36658,106055,1567.02,8822.35,0.275,113
102842,73170,92112.4,86328.7,41138,137528,2218.92,6159.99,0.277,114
16038.6,11503,91376.5,53704.7,21387,164567,890.52,6244.83,0.277,115
104559,93587,73219.3,59109.2,42547,91047.1,1457.96,3442.08,0.279,116
152885,128906,77726.8,86314.6,55454,102007,5852.34,7717.41,0.281,117
107885,98251,71962,66165.1,48187,89986.9,672.4,5022.73,0.282,118
46166.8,28279,106991,54527.9,16503,216539,1205.4,5789.32,0.283,119
66470.6,48786,89292.4,59745.5,39910,98107.8,529.72,4931.83,0.284,120
143193,104530,89776.1,102431,59846,112170,1743.32,4169.28,0.286,121
115767,103458,73333.5,64094.6,43266,97085.6,3795.78,3351.18,0.288,122
61601.8,30995,130251,75669.2,29575,167677,2487.06,7947.69,0.289,123
67958.2,42611,104520,88747.7,38739,150137,2430.48,9790.94,0.291,124
78462,63230,81323.5,76961,41950,120232,3420.22,9192.01,0.296,127
90778.1,79503,74830.3,75536.9,46923,105500,1373.5,15811.5,0.297,129
88867.1,80239,72583.1,43254.3,33643,84258.6,1105.36,1883.65,0.307,130
26555.1,21931,79354,48702.2,29531,108081,651.9,12016,0.315,131
87312.4,78451,72938.6,48163.9,28979,108923,4213.98,2437.13,0.317,132
129095,114091,74154.9,60402,41039,96457.2,592.04,6433.7,0.317,133
86287,60735,93107.8,87620.5,43727,131322,9248.78,8136.56,0.319,134
51075.1,40474,82701.4,64515.8,46286,91347.4,1070.92,21683.7,0.327,135
49392.4,39723,81488.8,43954.2,30379,94821.5,686.34,7118.48,0.33,136
28214.9,18582,99509.7,61157.5,30086,133219,3221.78,5955.97,0.331,137
45942.5,33985,88594.5,60603,35493,111900,1583.42,10031.3,0.331,138
137457,124691,72245.6,76800.4,52743,95428.6,1398.92,2873.45,0.331,139
108882,93359,76432.6,75693.4,47323,104825,1972.92,3077.47,0.332,140
50610.6,29490,112472,76368.1,37922,131978,4483.76,6230.69,0.332,141
