"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
78706.9,65246,79056.8,72929.1,45774,104415,203.36,1561.46,0.035,2
61112,35699,112189,56437.8,26195,141199,233.7,1165.54,0.09,4
94723.4,62432,99432.8,119768,59252,132470,382.94,2974.45,0.096,5
81787.1,68007,78815.4,67666,39127,113338,287,1441.27,0.11,6
58238,31572,120888,94232,44976,137309,392.78,2725.99,0.113,9
46320.1,38550,78745.3,61373.7,35158,114403,364.08,2315.93,0.118,10
52260.1,37383,91617,119789,60791,129139,690.44,4213.72,0.134,11
137795,113804,79351.6,65205.6,42188,101292,198.44,1576.61,0.145,13
140396,111327,82648.1,105363,49659,139050,273.06,1969.5,0.148,14
48641.9,43539,73217,67029.7,48355,90845.9,177.94,2695.69,0.156,15
152263,117071,85236.4,159395,82523,126584,835.58,6101.41,0.172,18
108369,95310,74515.5,108458,60638,117218,665.84,2580.55,0.224,22
25645,14934,112540,72397.8,27478,172671,359.16,1867.49,0.231,23
68899.1,53388,84576.5,79354.7,47164,110266,629.76,2408.85,0.249,24
128051,117789,71245.7,74499.6,45369,107615,312.42,2006.87,0.25,25
93098.3,80405,75882,41233.2,30113,89737.4,141.04,1163.52,0.266,27
45386.3,37619,79067.4,83481.5,41511,131798,437.88,1988.69,0.272,28
88612.7,58959,98497.6,127032,57055,145915,706.84,5020.71,0.275,29
63662.2,50075,83318.3,58283.1,29823,128077,51.66,1319.06,0.307,30
107368,93410,75328.9,86147.9,47846,117999,320.62,1576.61,0.328,31
129817,101499,83820.2,103724,61403,110706,514.96,2426.02,0.338,32
102294,73186,91601.4,105054,44214,155716,522.34,2795.68,0.338,33
104123,92458,73804.2,58635.6,40842,94087.9,182.86,1391.78,0.348,34
78891.8,67037,77125.3,85586.4,52409,107023,658.46,3609.74,0.362,35
62074.2,39333,103427,85988.4,31537,178690,255.84,1702.86,0.387,37
181047,138982,85371.7,143226,79810,117610,597.78,4138.98,0.4,38
93839.4,71396,86137.3,110834,50368,144211,608.44,3240.08,0.409,39
120639,83062,95183.9,129603,68098,124727,704.38,5258.06,0.415,40
104939,78567,87533.9,106624,60227,116023,449.36,2792.65,0.441,42
40072.8,30367,86482.3,101991,40015,167039,511.68,2650.24,0.46,43
69562.7,40003,113963,130265,61283,139305,712.58,2724.98,0.473,44
36223.1,29164,81398.9,56514.6,35704,103735,219.76,1894.76,0.479,45
52410.2,45747,75081.5,32914.9,23047,93596.1,174.66,1070.6,0.516,46
49476.9,27050,119871,124639,38746,210818,680.6,4418.75,0.52,47
20135.5,11687,112912,61426.2,29799,135093,346.04,1219.07,0.526,49
72748.7,52962,90020.4,95563.2,47826,130950,368.18,2173.52,0.58,50
70981.5,41862,111123,86740.8,44006,129179,353.42,2341.18,0.58,51
27301.6,14323,124921,68042.7,33447,133323,396.88,2528.03,0.598,52
22541.9,16681,88562,45479.3,23657,125989,117.26,1150.39,0.603,53
58527.9,32430,118276,59781.9,28350,138196,138.58,1457.43,0.612,54
63281.4,39435,105166,75231.9,24767,199071,163.18,1158.47,0.626,55
67551.3,47154,93884.8,70603,31122,148674,197.62,926.17,0.636,57
55724.2,42047,86853.8,41047.4,26507,101486,118.08,645.39,0.673,59
84483.4,56411,98149.4,100426,46847,140490,337.84,2267.45,0.771,60
117427,102478,75096.2,97929.6,67146,95581.5,492.82,3763.26,0.803,62
22443.9,15134,97190.7,95524.8,46666,134151,462.48,2357.34,0.806,63
38974.7,25702,99379.2,55688.4,33190,109961,174.66,1137.26,0.816,64
51175.4,43144,77735.8,65069.2,38764,110009,195.98,1124.13,0.836,65
97313,76107,83796.6,121071,68783,115355,321.44,2712.86,0.837,67
99464.2,62439,104398,104384,41107,166416,373.1,4234.93,0.854,69
105814,84492,82074.5,64111.8,34876,120473,204.18,1914.96,0.888,73
50251.9,29374,112116,97587.2,38494,166142,201.72,1433.19,0.894,74
58974.3,41282,93622.9,78767.9,35638,144849,464.12,2249.27,0.908,76
101819,83340,80067.4,72385.7,44504,106594,208.28,1527.12,0.908,77
85323.2,70347,79488,80600,53071,99530.9,308.32,1791.74,0.94,78
127512,108571,76969,140034,79311,115713,433.78,4150.09,0.966,79
99267.5,88081,73859.2,56184.3,40241,91501,324.72,1307.95,0.977,80
88706.7,80111,72567.9,49416.3,37423,86538.9,153.34,1140.29,0.991,81
128012,111083,75523.4,125444,71819,114470,430.5,2680.54,1.018,82
41598.2,31597,86279.8,117236,46169,166414,600.24,4080.4,1.025,84
33424.9,26704,82030.2,111623,45572,160523,569.08,3271.39,1.025,85
75525.6,44938,110144,144501,52794,179376,350.96,2767.4,1.047,87
68989.9,37675,120009,69762.7,22463,203533,216.48,1368.55,1.067,88
117200,92790,82776.7,95780.3,56226,111640,417.38,1746.29,1.125,91
91816.2,82787,72683.7,69311.2,47911,94808.8,286.18,1975.56,1.13,92
48398.6,16782,189003,77410.4,18110,262143,228.78,1440.26,1.135,93
106146,89571,77663.3,72658.4,46899,101532,191.88,1286.74,1.15,94
114634,91571,82041.7,121581,61687,129167,469.86,2937.08,1.163,96
59210.5,43951,88289.7,47497.3,31647,98359.4,101.68,857.49,1.167,97
162446,139518,76306.1,84423.9,57166,96784.9,461.66,3008.79,1.17,98
127875,107055,78281.4,68360.8,47291,94734.6,362.44,1815.98,1.182,99
29443.3,18606,103708,62794.7,28714,143321,137.76,1632.16,1.191,100
79422.6,60686,85770.1,89137.5,49294,118508,382.12,2267.45,1.194,101
34658.1,18638,121867,76647.9,40158,125086,200.08,1453.39,1.196,102
50753.6,28343,117355,91077.8,35159,169768,271.42,1331.18,1.196,103
49593,19012,170951,106053,22848,262143,157.44,1331.18,1.214,104
157870,124062,83395.4,91045.4,52126,114468,304.22,1972.53,1.218,105
140143,116873,78584.5,126842,75117,110663,300.94,2994.65,1.222,106
171612,132047,85172.7,110689,60171,120558,372.28,3509.75,1.224,107
41791.8,29564,92642,108510,46140,154125,523.16,2483.59,1.239,108
110625,98735,73428.2,116844,62367,122781,324.72,2965.36,1.259,109
101890,72699,91851.1,101324,52251,127086,118.08,1608.93,1.271,110
152938,132739,75508.5,115365,78567,96230.9,572.36,3086.56,1.286,112
63411.7,43404,95745.8,57647.8,26620,141924,132.02,1502.88,1.299,113
86938.7,61007,93392.8,101002,39419,167921,527.26,2723.97,1.344,115
140412,108453,84848.3,132817,75601,115135,440.34,2424,1.357,116
