"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
152443,124854,80017.6,98915.4,46370,139800,477.24,2979.5,0,0
125382,88855,92476.7,112483,50103,147130,521.52,2197.76,0.001,2
25276.1,17614,94044,36690.3,18842,127616,183.68,1026.16,0.001,3
83145.1,62743,86846.3,69207.2,43047,105363,226.32,1386.73,0.001,4
96064,79474,79216.5,47562.9,32342,96378.8,143.5,1128.17,0.002,5
72954.1,40726,117397,100207,37810,173689,236.16,1577.62,0.002,6
61274.8,54786,73298,41783.7,28690,95445.7,104.96,753.46,0.002,8
82978.4,61531,88379.4,63648.2,27659,150810,322.26,1544.29,0.005,9
62959.8,58258,70825.2,54354.2,33874,105159,150.06,1113.02,0.006,10
36896.9,19381,124765,79483,30965,168222,382.94,1977.58,0.006,11
83075.6,67338,80852.5,75560.1,45034,109959,266.5,1354.41,0.007,12
65003.6,39114,108914,53213.9,25642,136004,87.74,1088.78,0.009,13
65245.3,46322,92308.6,61116.1,25986,154133,290.28,1567.52,0.01,14
70012.2,63822,71892.4,40348.5,30954,85426.1,95.94,799.92,0.01,15
117293,98607,77955,55577.3,38379,94903.8,311.6,1102.92,0.012,16
26600.1,23204,75127.7,47648.8,30992,100759,322.26,1574.59,0.015,17
34725.2,17567,129547,52560.4,21899,157295,296.02,1627.11,0.015,18
76890.7,47514,106055,55077.3,30922,116731,170.56,1421.07,0.015,19
46478.9,43782,69572.9,62092.8,39366,103371,305.86,1675.59,0.023,20
29768,24733,78877.4,68625.5,37097,121235,564.16,2654.28,0.026,21
34478,30931,73051.3,61629.2,30919,130629,372.28,1463.49,0.027,22
92682.8,67526,89951.4,63654.2,37954,109913,460.02,1648.32,0.027,23
45496.9,33086,90119.2,71269.6,26654,175236,409.18,1763.46,0.027,24
27033,16555,107015,78727.5,31519,163694,359.16,1650.34,0.028,25
43375.7,32875,86469.1,58120.4,29855,127583,218.12,1196.85,0.031,26
34485.9,21831,103526,81931.2,34899,153857,309.96,1335.22,0.032,27
29328.8,16626,115607,49390,18002,179804,322.26,1974.55,0.034,28
