"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
62048.972656,38137.000000,106627.203125,69082.000000,37881.000000,119515.273438,814.659973,16613.000000,0.636851
92733.359375,85012.000000,71488.421875,51755.000000,40336.000000,84089.039062,2841.300049,8350.000000,0.640036
88190.070312,78910.000000,73243.242188,45861.000000,36158.000000,83122.585938,812.349976,4771.000000,0.641097
39584.531250,26205.000000,98996.828125,159805.000000,50013.000000,209405.156250,2261.489990,28828.000000,0.641097
115663.906250,101270.000000,74850.890625,52993.000000,40102.000000,86602.898438,207.899994,7396.000000,0.644281
64566.703125,50012.000000,84608.562500,49525.000000,32412.000000,100137.921875,750.750000,5830.000000,0.647465
147166.734375,123172.000000,78302.859375,55385.000000,39952.000000,90851.804688,1796.409912,12931.000000,0.650650
19486.929688,9904.000000,128947.437500,48540.000000,23424.000000,135805.906250,780.010010,16941.000000,0.653834
136475.656250,118517.000000,75466.554688,56046.000000,39009.000000,94158.546875,250.250000,9193.000000,0.654895
117443.773438,106836.000000,72043.085938,67056.000000,43652.000000,100673.093750,1934.239990,42082.000000,0.655957
124808.156250,111160.000000,73582.468750,62207.000000,45592.000000,89419.148438,890.119995,21971.000000,0.657018
138703.468750,116973.000000,77710.843750,136509.000000,77897.000000,114847.226562,1523.829956,21810.000000,0.657018
154824.203125,136389.000000,74394.257812,104186.000000,72261.000000,94489.890625,1733.269897,9067.000000,0.659141
62303.351562,49518.000000,82457.132812,64711.000000,38842.000000,109183.367188,770.769958,10684.000000,0.660203
73690.414062,61249.000000,78848.226562,44972.000000,32341.000000,91131.539062,1614.689941,11845.000000,0.662325
79490.593750,72808.000000,71551.148438,54001.000000,40924.000000,86477.609375,533.609985,23826.000000,0.663387
67923.414062,50460.000000,88216.984375,67703.000000,38492.000000,115270.289062,536.690002,8883.000000,0.677185
42022.472656,30500.000000,90294.585938,30966.000000,18736.000000,108314.890625,595.979980,21500.000000,0.682492
44996.820312,39190.000000,75246.539062,49183.000000,35078.000000,91888.281250,1208.900024,2592.000000,0.685677
93551.804688,82524.000000,74293.671875,49293.000000,36680.000000,88071.593750,846.229980,15654.000000,0.693107
88712.265625,70973.000000,81916.320312,86217.000000,48553.000000,116374.218750,2008.159912,58871.000000,0.694168
61841.992188,38923.000000,104125.500000,48354.000000,20767.000000,152594.390625,956.339966,18950.000000,0.694168
109625.140625,79141.000000,90779.664062,90198.000000,44129.000000,133953.093750,5475.469727,29931.000000,0.696291
117102.492188,105648.000000,72641.492188,56388.000000,43316.000000,85313.609375,1859.549927,4622.000000,0.700536
108282.140625,89992.000000,78855.664062,93794.000000,57464.000000,106969.296875,824.669983,38962.000000,0.704782
103960.054688,82893.000000,82191.812500,78627.000000,54441.000000,94651.078125,1302.069946,24919.000000,0.706905
87195.460938,79061.000000,72278.898438,57064.000000,44241.000000,84531.234375,1101.869995,21233.000000,0.706905
138888.328125,114964.000000,79174.226562,106807.000000,60336.000000,116012.062500,3302.530029,49836.000000,0.709028
36070.609375,25815.000000,91571.710938,72318.000000,37495.000000,126401.718750,1069.530029,44009.000000,0.715396
36193.062500,28068.000000,84507.218750,35064.000000,20804.000000,110457.343750,193.269989,9416.000000,0.718581
50619.250000,36785.000000,90183.046875,42448.000000,24097.000000,115444.750000,3009.929932,23596.000000,0.727072
64083.222656,51461.000000,81610.500000,50304.000000,29345.000000,112343.593750,925.539978,17318.000000,0.729195
83555.140625,71632.000000,76444.468750,57050.000000,41232.000000,90677.843750,2601.829834,11708.000000,0.748300
84466.015625,79236.000000,69861.742188,51171.000000,38660.000000,86744.507812,403.479980,5531.000000,0.758914
149699.468750,113225.000000,86647.867188,124121.000000,70585.000000,115242.531250,2410.869873,32061.000000,0.759976
57325.562500,42991.000000,87387.781250,75975.000000,44795.000000,111152.976562,2955.260010,29371.000000,0.761037
86312.242188,62237.000000,90887.398438,72156.000000,46621.000000,101431.023438,827.750000,18866.000000,0.766344
83808.734375,77505.000000,70866.265625,46086.000000,34805.000000,86777.539062,1301.299927,23734.000000,0.767406
67700.632812,46556.000000,95300.906250,45832.000000,32152.000000,93420.195312,1319.010010,12087.000000,0.772713
76149.679688,66218.000000,75365.390625,51867.000000,35690.000000,95241.125000,2287.669922,15671.000000,0.772713
107381.539062,93332.000000,75401.328125,66037.000000,45808.000000,94476.976562,1284.359985,7569.000000,0.774836
47056.351562,30357.000000,101587.281250,56604.000000,34501.000000,107521.515625,580.579956,2986.000000,0.776959
59987.863281,45597.000000,86219.804688,56397.000000,34025.000000,108627.000000,1476.089966,12586.000000,0.776959
100900.382812,90384.000000,73161.265625,52095.000000,40996.000000,83278.804688,507.429993,6350.000000,0.776959
88448.406250,69689.000000,83177.476562,62233.000000,41689.000000,97831.609375,793.099976,5900.000000,0.780143
68847.710938,40276.000000,112027.109375,83215.000000,41796.000000,130480.867188,1831.829956,37882.000000,0.783327
80083.882812,65265.000000,80416.421875,44481.000000,33509.000000,86994.750000,1048.739990,9561.000000,0.786511
91565.742188,73076.000000,82117.968750,70050.000000,46276.000000,99204.703125,214.059998,13014.000000,0.796064
111224.101562,99208.000000,73473.742188,72965.000000,49304.000000,96986.742188,3314.849854,34328.000000,0.799248
77779.453125,67389.000000,75640.750000,57771.000000,37785.000000,100200.617188,315.699982,25887.000000,0.804556
90251.179688,70100.000000,84375.203125,68180.000000,44084.000000,101357.507812,770.769958,10213.000000,0.806678
66523.531250,48420.000000,90038.953125,64007.000000,42580.000000,98514.859375,3669.819824,4642.000000,0.808801
59062.773438,51624.000000,74979.429688,43773.000000,27884.000000,102880.046875,1312.849976,44454.000000,0.826845
89821.421875,80431.000000,73187.421875,38765.000000,30875.000000,82283.507812,1406.789917,10347.000000,0.830029
109147.195312,93185.000000,76762.046875,75073.000000,48833.000000,100751.226562,1137.289917,22942.000000,0.831091
91945.734375,72744.000000,82835.093750,78801.000000,45932.000000,112433.640625,1441.439941,11743.000000,0.835337
157492.828125,132392.000000,77961.289062,74989.000000,53884.000000,91204.796875,1191.959961,9902.000000,0.836398
98312.343750,88264.000000,72996.898438,61305.000000,40888.000000,98260.726562,1236.619995,16502.000000,0.840644
117145.156250,106856.000000,71846.460938,64325.000000,45084.000000,93505.523438,2162.929932,13265.000000,0.840644
113592.523438,97665.000000,76223.828125,63201.000000,44465.000000,93150.585938,778.469971,4131.000000,0.852319
49371.839844,35362.000000,91500.289062,60805.000000,34546.000000,115351.023438,1420.650024,12939.000000,0.854442
85676.289062,70604.000000,79526.390625,86232.000000,54060.000000,104537.562500,1021.789978,40201.000000,0.854442
92407.093750,70337.000000,86099.648438,92361.000000,62737.000000,96481.671875,2030.489990,23596.000000,0.854442
68723.679688,63901.000000,70482.078125,39342.000000,28249.000000,91271.109375,1218.140015,4111.000000,0.855504
55951.750000,34985.000000,104812.171875,54600.000000,27293.000000,131105.625000,269.500000,6133.000000,0.857626
131827.296875,112973.000000,76473.437500,74485.000000,54813.000000,89056.414062,3133.129883,50854.000000,0.858688
85680.242188,73409.000000,76491.187500,64443.000000,38401.000000,109979.851562,4308.149902,46323.000000,0.859749
70529.625000,56712.000000,81503.546875,47126.000000,32984.000000,93634.781250,679.139954,10984.000000,0.863995
78909.148438,69179.000000,74753.757812,39599.000000,29787.000000,87123.921875,763.070007,15276.000000,0.865056
125625.015625,109592.000000,75123.742188,60118.000000,41592.000000,94727.187500,812.349976,8663.000000,0.867179
41172.429688,33070.000000,81592.875000,82936.000000,39838.000000,136434.906250,2198.349854,29069.000000,0.868241
67819.921875,41457.000000,107211.000000,121338.000000,53189.000000,149504.734375,3183.949951,37137.000000,0.869302
92473.453125,81035.000000,74786.695312,49052.000000,38847.000000,82752.132812,468.159973,5595.000000,0.871425
86474.984375,75061.000000,75501.585938,46185.000000,34325.000000,88180.046875,1069.530029,2771.000000,0.875671
31874.130859,20844.000000,100216.039062,66565.000000,30796.000000,141654.890625,1493.799927,33727.000000,0.879916
89559.929688,81356.000000,72144.640625,46417.000000,37224.000000,81721.054688,746.130005,9337.000000,0.887346
83352.898438,78032.000000,70004.812500,43470.000000,34192.000000,83319.195312,622.929993,3891.000000,0.888408
111409.750000,90636.000000,80556.835938,86604.000000,50732.000000,111875.734375,333.410004,22733.000000,0.889469
24306.720703,17081.000000,93259.492188,47052.000000,24957.000000,123556.507812,810.809998,25074.000000,0.901145
91325.585938,81525.000000,73414.460938,46112.000000,32721.000000,92356.476562,3036.109863,8824.000000,0.904329
93783.273438,86821.000000,70791.414062,52175.000000,39377.000000,86835.992188,1818.739990,8139.000000,0.909636
141381.562500,125971.000000,73553.296875,75011.000000,56803.000000,86543.335938,462.769989,4453.000000,0.911759
84914.734375,56825.000000,97931.757812,93439.000000,48233.000000,126959.101562,1742.510010,36746.000000,0.913882
27950.201172,17629.000000,103905.179688,58528.000000,28781.000000,133271.640625,309.539978,4710.000000,0.920250
48722.460938,44137.000000,72344.640625,44198.000000,28585.000000,101331.476562,378.839996,12832.000000,0.922373
