"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
126284.664062,110244.000000,75071.578125,69887.000000,44128.000000,103791.570312,2489.409912,5297.000000,0.636765
50653.222656,46766.000000,70983.390625,61089.000000,38318.000000,104481.671875,770.000000,6547.000000,0.641003
69315.390625,53193.000000,85399.460938,86695.000000,36169.000000,157086.000000,913.219971,31276.000000,0.641003
69120.265625,62589.000000,72374.796875,41122.000000,30809.000000,87473.515625,1613.919922,17590.000000,0.646301
149102.234375,120508.000000,81086.429688,96020.000000,64492.000000,97574.375000,1225.069946,22276.000000,0.648420
82272.179688,77576.000000,69503.320312,39061.000000,32668.000000,78361.132812,2466.310059,2595.000000,0.649479
15326.000000,12409.000000,80941.632812,19192.000000,10217.000000,123105.304688,608.299988,13699.000000,0.649479
76170.218750,48674.000000,102557.664062,138439.000000,71858.000000,126259.265625,10671.429688,34400.000000,0.651598
80273.484375,61809.000000,85113.867188,68963.000000,43461.000000,103991.148438,756.139954,17687.000000,0.652658
43766.000000,25881.000000,110824.484375,47772.000000,27245.000000,114912.312500,1477.630005,19572.000000,0.654777
69790.179688,63801.000000,71688.054688,31848.000000,23053.000000,90538.781250,703.010010,941.000000,0.655836
66485.609375,57180.000000,76201.492188,41155.000000,26712.000000,100970.875000,799.260010,9254.000000,0.661134
89554.406250,82338.000000,71279.820312,44593.000000,35030.000000,83426.968750,1278.199951,1368.000000,0.665372
110108.625000,101348.000000,71201.007812,49700.000000,37172.000000,87623.460938,2638.020020,9086.000000,0.671729
58773.632812,50321.000000,76544.367188,46285.000000,31285.000000,96958.085938,717.639954,13081.000000,0.673848
66925.640625,53389.000000,82152.484375,67725.000000,37721.000000,117664.578125,3254.790039,8503.000000,0.678086
94780.250000,88652.000000,70066.320312,43102.000000,35208.000000,80229.851562,1273.579956,4794.000000,0.679145
87099.875000,77153.000000,73985.164062,44089.000000,35857.000000,80581.664062,820.049988,10188.000000,0.683383
92166.140625,84144.000000,71784.085938,54620.000000,42560.000000,84106.585938,2229.149902,16352.000000,0.685502
77961.945312,67901.000000,75246.523438,51836.000000,35561.000000,95529.484375,867.019958,26054.000000,0.690800
82519.453125,77621.000000,69671.804688,47173.000000,37137.000000,83246.625000,773.079956,18482.000000,0.693978
100396.359375,67943.000000,96839.648438,70975.000000,43852.000000,106070.820312,2112.879883,20494.000000,0.700336
70218.359375,62244.000000,73932.117188,69454.000000,47184.000000,96467.820312,3227.839844,16744.000000,0.700336
68782.140625,61097.000000,73779.500000,61840.000000,40765.000000,99417.304688,1112.650024,17354.000000,0.700336
108173.125000,75733.000000,93608.257812,57279.000000,34853.000000,107704.835938,2100.560059,22769.000000,0.703514
70336.859375,64552.000000,71409.039062,47963.000000,36072.000000,87139.703125,569.029968,7293.000000,0.704574
22407.560547,16523.000000,88876.226562,25167.000000,12271.000000,134409.953125,302.609985,8467.000000,0.705633
106806.421875,99269.000000,70512.109375,64962.000000,45749.000000,93058.859375,2006.619995,6981.000000,0.715169
89890.945312,79985.000000,73652.468750,39110.000000,30897.000000,82956.695312,1084.929932,13421.000000,0.719407
68558.570312,66622.000000,67441.000000,47602.000000,30314.000000,102911.023438,1069.530029,4995.000000,0.724704
24097.371094,22712.000000,69533.515625,25553.000000,19708.000000,84972.671875,750.750000,2776.000000,0.724704
86219.023438,70504.000000,80143.679688,69878.000000,45032.000000,101694.898438,2109.030029,22178.000000,0.727883
