"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
38040.082031,29814.000000,83618.265625,37270.000000,22882.000000,106744.460938,385.769989,51552.000000,0.567079
34267.039062,19397.000000,115776.906250,67290.000000,34849.000000,126543.593750,241.779999,14585.000000,0.567079
58388.902344,49249.000000,77698.539062,25711.000000,20277.000000,83098.890625,990.989990,11869.000000,0.568196
47150.359375,39881.000000,77481.664062,22179.000000,16985.000000,85576.859375,99.329994,2861.000000,0.569312
58444.203125,52325.000000,73200.179688,32274.000000,22225.000000,95168.007812,716.099976,4181.000000,0.572661
61908.351562,56625.000000,71650.789062,26952.000000,19969.000000,88453.421875,1120.349976,5515.000000,0.573777
63255.300781,52756.000000,78578.726562,31436.000000,22356.000000,92153.781250,1011.779968,11012.000000,0.573777
70265.765625,62608.000000,73551.898438,29944.000000,23472.000000,83606.429688,784.630005,5527.000000,0.574893
64274.402344,55893.000000,75363.414062,35093.000000,24693.000000,93137.929688,658.349976,8385.000000,0.574893
92058.703125,82208.000000,73388.960938,51687.000000,38576.000000,87810.023438,1641.640015,27505.000000,0.577126
56689.613281,48615.000000,76421.070312,23564.000000,18263.000000,84558.406250,765.380005,7429.000000,0.578242
43071.589844,28140.000000,100310.585938,47964.000000,27112.000000,115940.125000,1034.109985,20069.000000,0.581591
69810.718750,52413.000000,87289.703125,50944.000000,35209.000000,94824.226562,997.149963,27244.000000,0.581591
93987.882812,80720.000000,76308.109375,38613.000000,29968.000000,84441.460938,1098.789917,6639.000000,0.582708
39321.460938,31960.000000,80631.140625,28175.000000,18076.000000,102150.742188,1193.500000,10675.000000,0.582708
43286.472656,37157.000000,76346.921875,18993.000000,14513.000000,85766.226562,719.179993,3378.000000,0.583824
45620.132812,39567.000000,75561.984375,21653.000000,14699.000000,96540.648438,1122.659912,7489.000000,0.586056
53659.171875,34877.000000,100828.835938,73263.000000,32205.000000,149087.531250,1107.260010,29366.000000,0.586056
94573.273438,87609.000000,70745.640625,58541.000000,40637.000000,94410.093750,2822.050049,16504.000000,0.587173
49698.113281,41673.000000,78156.500000,23671.000000,17917.000000,86582.718750,1165.780029,9424.000000,0.587173
14380.370117,9828.000000,95892.546875,43744.000000,21488.000000,133414.328125,385.000000,6593.000000,0.588289
39962.941406,33193.000000,78902.523438,26582.000000,17917.000000,97230.445312,957.880005,4823.000000,0.588289
44991.292969,35399.000000,83294.703125,23807.000000,17943.000000,86953.992188,1908.059937,7009.000000,0.589405
71593.750000,60062.000000,78118.742188,40225.000000,29086.000000,90634.171875,1787.939941,16020.000000,0.589405
119267.093750,99733.000000,78372.140625,54887.000000,40197.000000,89486.140625,6365.589844,10139.000000,0.590522
98838.484375,83530.000000,77546.742188,51436.000000,37006.000000,91090.898438,1342.880005,6443.000000,0.591638
128907.460938,106258.000000,79505.343750,67645.000000,41618.000000,106520.804688,392.699982,8572.000000,0.591638
74082.250000,40813.000000,118958.531250,107322.000000,62441.000000,112641.609375,1470.699951,63398.000000,0.593871
100867.203125,83840.000000,78845.820312,74626.000000,47456.000000,103057.351562,5030.409668,32688.000000,0.593871
61177.601562,54740.000000,73243.257812,27250.000000,21156.000000,84413.687500,669.899963,7344.000000,0.593871
34918.000000,24009.000000,95313.671875,28277.000000,17033.000000,108798.304688,3763.760010,1981.000000,0.594987
