"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
47278.339844,40746.000000,76042.632812,42250.000000,24062.000000,115073.390625,50.049999,1099.000000,0.613494
97397.523438,87325.000000,73095.265625,31758.000000,25065.000000,83035.796875,102.409996,638.000000,0.615876
73281.195312,67351.000000,71306.382812,37307.000000,28803.000000,84885.312500,79.309998,1142.000000,0.617067
93154.429688,73038.000000,83586.195312,62982.000000,43182.000000,95585.851562,7.700000,1540.000000,0.617067
115918.281250,102329.000000,74239.179688,47627.000000,37197.000000,83912.226562,59.289997,1237.000000,0.618259
125877.812500,110524.000000,74640.156250,78794.000000,53884.000000,95832.601562,51.590000,1998.000000,0.618259
45202.222656,32206.000000,91982.015625,33894.000000,17786.000000,124889.078125,7.700000,560.000000,0.618259
72273.148438,62575.000000,75693.062500,41570.000000,30175.000000,90284.390625,34.649998,1146.000000,0.619450
89437.484375,69213.000000,84686.046875,40405.000000,27597.000000,95951.804688,123.199997,1243.000000,0.620641
120077.632812,103536.000000,76006.492188,63246.000000,43968.000000,94270.601562,194.809998,1701.000000,0.620641
99745.406250,90257.000000,72425.578125,43512.000000,32209.000000,88534.335938,123.969994,1514.000000,0.620641
69446.531250,47308.000000,96204.617188,46860.000000,21304.000000,144152.125000,70.070000,1065.000000,0.621832
93117.304688,78904.000000,77341.265625,45030.000000,31388.000000,94019.562500,30.799999,1167.000000,0.624215
95650.039062,87022.000000,72033.757812,65804.000000,43018.000000,100249.453125,53.129997,2086.000000,0.624215
176191.328125,141357.000000,81685.906250,129627.000000,73353.000000,115813.062500,257.179993,3075.000000,0.625406
62338.113281,57909.000000,70548.453125,29215.000000,21477.000000,89148.125000,130.899994,945.000000,0.625406
56014.160156,44866.000000,81820.171875,52469.000000,31762.000000,108261.710938,88.549995,1841.000000,0.626597
100081.156250,84250.000000,77850.671875,70134.000000,46670.000000,98485.148438,64.680000,1866.000000,0.626597
79429.765625,67312.000000,77334.046875,39727.000000,28352.000000,91829.460938,59.289997,1469.000000,0.628980
88626.945312,77432.000000,75011.054688,47801.000000,36028.000000,86951.445312,143.220001,1147.000000,0.630171
81789.492188,66861.000000,80168.656250,51025.000000,35853.000000,93269.023438,132.440002,1130.000000,0.630171
78257.398438,68109.000000,75301.015625,30061.000000,23245.000000,84752.750000,13.860000,692.000000,0.632554
84409.921875,75965.000000,72821.546875,38534.000000,29433.000000,85800.437500,26.949999,893.000000,0.632554
91856.460938,79673.000000,75557.648438,44034.000000,31357.000000,92030.875000,37.730000,1195.000000,0.632554
70061.148438,59300.000000,77428.796875,56048.000000,35636.000000,103074.468750,9.240000,1143.000000,0.633745
112849.921875,97041.000000,76212.460938,84028.000000,45941.000000,119868.070312,102.409996,2845.000000,0.633745
71005.992188,62736.000000,74175.093750,47344.000000,33296.000000,93186.460938,137.830002,1377.000000,0.634936
96000.804688,83069.000000,75738.343750,56393.000000,40797.000000,90589.296875,96.250000,1466.000000,0.636127
105879.750000,92732.000000,74827.835938,50722.000000,35804.000000,92842.062500,66.989998,1674.000000,0.636127
55180.710938,42010.000000,86082.437500,43508.000000,28474.000000,100138.390625,40.809998,937.000000,0.637319
73187.968750,58317.000000,82247.843750,52201.000000,31865.000000,107360.578125,43.119999,1477.000000,0.638510
84566.343750,54067.000000,102505.039062,137570.000000,54291.000000,166064.125000,70.070000,4427.000000,0.638510
77840.281250,67477.000000,75601.179688,50254.000000,31701.000000,103890.929688,26.180000,1183.000000,0.638510
18493.900391,16884.000000,71784.898438,38674.000000,31744.000000,79843.101562,10.780000,296.000000,0.642084
66335.515625,52220.000000,83250.937500,44917.000000,25400.000000,115892.929688,6.160000,1470.000000,0.643275
21205.179688,20596.000000,67474.398438,14723.000000,11652.000000,82808.664062,-40.040001,520.000000,0.645657
107184.039062,94665.000000,74202.851562,56576.000000,41561.000000,89212.601562,-43.889999,1386.000000,0.645657
92242.773438,76228.000000,79304.484375,57567.000000,42532.000000,88702.882812,14.629999,1599.000000,0.648040
127397.773438,95904.000000,87057.265625,149191.000000,67472.000000,144910.218750,157.849991,5083.000000,0.650422
58813.921875,53001.000000,72723.710938,38435.000000,24957.000000,100928.648438,-23.099998,952.000000,0.653996
57927.542969,37297.000000,101786.726562,35050.000000,20069.000000,114456.968750,77.000000,1071.000000,0.655187
95881.515625,81148.000000,77434.953125,55399.000000,36604.000000,99186.671875,-11.549999,1612.000000,0.656379
17488.230469,7377.000000,155362.437500,74393.000000,14309.000000,262143.000000,87.779999,2259.000000,0.659952
87208.101562,74492.000000,76723.265625,50400.000000,36236.000000,91152.835938,-1.540000,1228.000000,0.661144
145064.546875,133711.000000,71100.734375,90577.000000,55323.000000,107298.125000,107.799995,2990.000000,0.664717
73170.593750,63440.000000,75588.078125,47535.000000,33156.000000,93957.460938,-23.099998,963.000000,0.667100
78368.000000,70712.000000,72631.593750,40403.000000,27324.000000,96905.687500,138.599991,1362.000000,0.668291
84438.359375,78089.000000,70864.679688,39766.000000,30073.000000,86659.281250,10.010000,1076.000000,0.670674
116276.945312,100180.000000,76066.335938,66684.000000,47456.000000,92089.570312,37.730000,1599.000000,0.671865
56996.921875,50352.000000,74184.742188,39614.000000,25840.000000,100469.937500,118.579994,953.000000,0.673056
87257.085938,75309.000000,75933.562500,52828.000000,39693.000000,87222.835938,147.839996,1265.000000,0.673056
134199.671875,108629.000000,80962.820312,64550.000000,45553.000000,92866.523438,164.779999,1632.000000,0.673056
111991.195312,95729.000000,76669.085938,51738.000000,36353.000000,93271.578125,28.490000,1316.000000,0.674247
84400.445312,77053.000000,71785.242188,46298.000000,32605.000000,93058.914062,-3.850000,1057.000000,0.675439
63878.613281,57175.000000,73219.921875,49931.000000,32103.000000,101930.601562,-36.189999,981.000000,0.675439
72912.265625,52704.000000,90664.429688,54456.000000,27888.000000,127970.046875,51.590000,1303.000000,0.676630
71409.679688,67980.000000,68842.375000,56287.000000,41496.000000,88895.914062,26.180000,1629.000000,0.676630
124981.953125,109777.000000,74613.242188,77797.000000,51873.000000,98288.203125,63.910000,2559.000000,0.676630
50544.203125,25081.000000,132070.687500,60661.000000,24461.000000,162523.171875,109.339996,2071.000000,0.677821
115498.796875,101744.000000,74395.843750,56981.000000,41572.000000,89827.460938,29.259998,1755.000000,0.680204
90946.382812,67424.000000,88399.718750,76278.000000,43492.000000,114939.648438,85.470001,2270.000000,0.682586
99606.359375,89184.000000,73194.773438,71759.000000,44692.000000,105226.835938,180.179993,2060.000000,0.682586
50559.210938,35133.000000,94311.570312,66759.000000,36329.000000,120430.445312,112.419998,1943.000000,0.683777
87904.882812,79890.000000,72110.835938,61441.000000,41506.000000,97012.421875,-23.869999,1911.000000,0.683777
71671.171875,61143.000000,76820.601562,45766.000000,32659.000000,91837.492188,3.850000,1469.000000,0.683777
28174.560547,26315.000000,70167.132812,11863.000000,10475.000000,74219.906250,-10.010000,377.000000,0.684969
109142.453125,97777.000000,73153.812500,43765.000000,33857.000000,84714.625000,-8.469999,1115.000000,0.684969
85937.781250,76301.000000,73813.171875,39994.000000,31049.000000,84416.468750,38.500000,1043.000000,0.686160
59700.300781,41196.000000,94973.273438,47588.000000,26520.000000,117599.054688,33.110001,947.000000,0.686160
100375.820312,80176.000000,82047.375000,62723.000000,42128.000000,97574.398438,186.339996,2124.000000,0.687351
94442.132812,81889.000000,75582.312500,45249.000000,31333.000000,94642.664062,143.989990,1694.000000,0.687351
164844.562500,140025.000000,77152.328125,78529.000000,53161.000000,96809.250000,131.669998,2693.000000,0.688542
26714.640625,20125.000000,86994.812500,50804.000000,38029.000000,87551.367188,35.419998,475.000000,0.688542
57631.292969,39928.000000,94593.375000,54427.000000,32156.000000,110925.734375,42.349998,1444.000000,0.689734
112030.695312,88333.000000,83117.789062,79658.000000,49037.000000,106459.757812,25.410000,2664.000000,0.689734
86935.554688,73207.000000,77826.007812,40353.000000,29939.000000,88332.078125,-33.110001,729.000000,0.689734
72069.328125,59305.000000,79641.437500,43471.000000,30345.000000,93884.187500,-3.850000,1012.000000,0.689734
99827.562500,84222.000000,77679.210938,45160.000000,32154.000000,92044.726562,-11.549999,1408.000000,0.690925
82914.453125,73848.000000,73581.976562,55274.000000,38508.000000,94069.726562,101.639999,1305.000000,0.692116
43313.332031,30676.000000,92534.312500,71444.000000,35108.000000,133364.312500,224.839996,2169.000000,0.692116
79715.742188,72484.000000,72074.546875,36858.000000,26164.000000,92322.500000,103.180000,1035.000000,0.692116
72243.132812,63313.000000,74779.679688,37721.000000,27041.000000,91419.828125,35.419998,981.000000,0.693307
47276.761719,33061.000000,93715.554688,50558.000000,24801.000000,133598.203125,20.020000,1687.000000,0.694499
74404.570312,66189.000000,73670.507812,47819.000000,33245.000000,94265.789062,4.620000,1182.000000,0.694499
38599.402344,24856.000000,101772.218750,61495.000000,27964.000000,144118.734375,62.369999,1462.000000,0.694499
125018.296875,109208.000000,75023.804688,85690.000000,54664.000000,102732.695312,38.500000,2588.000000,0.694499
76396.953125,64168.000000,78025.664062,38540.000000,26652.000000,94768.023438,-3.080000,790.000000,0.695690
99107.085938,87061.000000,74603.804688,34048.000000,27601.000000,80843.804688,23.099998,883.000000,0.696881
140000.640625,120513.000000,76133.546875,66656.000000,45557.000000,95887.960938,111.649994,1776.000000,0.698072
102989.140625,69028.000000,97779.109375,82591.000000,43856.000000,123419.468750,56.980000,2395.000000,0.698072
102928.312500,93453.000000,72180.773438,47331.000000,34873.000000,88948.031250,30.799999,1282.000000,0.699264
108350.085938,81548.000000,87075.484375,56652.000000,37368.000000,99356.281250,55.439999,1349.000000,0.699264
104957.031250,92840.000000,74089.445312,41610.000000,31496.000000,86580.929688,25.410000,1275.000000,0.700455
108128.093750,94252.000000,75184.421875,50376.000000,39528.000000,83521.593750,33.110001,1519.000000,0.704029
72872.765625,58973.000000,80982.648438,66767.000000,37465.000000,116792.804688,77.769997,1754.000000,0.704029
81099.820312,62980.000000,84391.195312,55613.000000,36532.000000,99766.054688,20.020000,1679.000000,0.705220
89061.445312,79460.000000,73454.953125,51301.000000,34980.000000,96113.843750,57.750000,1878.000000,0.707602
108013.539062,95420.000000,74185.445312,50142.000000,38236.000000,85942.726562,6.160000,1358.000000,0.708794
70162.273438,59372.000000,77446.515625,49977.000000,28780.000000,113804.484375,-5.390000,1062.000000,0.708794
88013.109375,74817.000000,77095.140625,55053.000000,37825.000000,95385.421875,43.889999,1274.000000,0.709985
90402.070312,80989.000000,73153.023438,44895.000000,33961.000000,86635.812500,35.419998,1321.000000,0.709985
72790.601562,67706.000000,70457.640625,35868.000000,24894.000000,94426.179688,13.860000,1184.000000,0.709985
26007.589844,23280.000000,73214.500000,17291.000000,14848.000000,76318.898438,67.759995,579.000000,0.711176
109527.179688,81611.000000,87953.507812,78400.000000,50315.000000,102117.117188,216.369995,2044.000000,0.711176
95754.320312,82137.000000,76401.078125,37541.000000,28073.000000,87638.914062,110.110001,1208.000000,0.712367
79515.875000,63569.000000,81976.320312,48981.000000,30417.000000,105533.710938,-16.170000,998.000000,0.713559
96074.273438,85473.000000,73664.484375,47500.000000,36261.000000,85848.710938,-5.390000,1325.000000,0.713559
84142.109375,76179.000000,72386.585938,53399.000000,36327.000000,96334.867188,43.119999,1314.000000,0.715941
84602.679688,75756.000000,73189.203125,69074.000000,42332.000000,106936.453125,83.159996,1828.000000,0.715941
93998.945312,83184.000000,74056.484375,51351.000000,38788.000000,86762.375000,16.170000,1417.000000,0.717132
60536.910156,49924.000000,79467.726562,61982.000000,33156.000000,122513.343750,6.160000,1659.000000,0.719515
74506.484375,58312.000000,83736.750000,58583.000000,37516.000000,102337.554688,210.979996,1790.000000,0.720706
75725.453125,55766.000000,88992.281250,72740.000000,35362.000000,134808.234375,214.059998,2213.000000,0.720706
43738.351562,34296.000000,83579.320312,67356.000000,43672.000000,101077.187500,162.470001,2753.000000,0.720706
145497.468750,111809.000000,85282.234375,134723.000000,76769.000000,115010.039062,168.629990,3041.000000,0.721897
88387.570312,78169.000000,74103.132812,26935.000000,21341.000000,82714.593750,20.789999,870.000000,0.723089
84358.570312,67525.000000,81873.726562,52117.000000,36497.000000,93584.125000,15.400000,1498.000000,0.724280
114434.664062,102340.000000,73281.125000,51635.000000,39796.000000,85032.453125,85.470001,1279.000000,0.725471
38697.359375,26972.000000,94026.031250,55777.000000,27580.000000,132538.125000,105.489998,1407.000000,0.726662
102279.726562,91964.000000,72887.257812,79493.000000,51896.000000,100386.414062,26.949999,1936.000000,0.729045
92976.679688,81164.000000,75074.164062,31377.000000,25256.000000,81419.187500,-19.250000,779.000000,0.729045
132667.078125,115817.000000,75070.765625,70027.000000,48025.000000,95560.429688,61.599998,2310.000000,0.729045
49954.070312,43085.000000,75984.445312,47764.000000,28189.000000,111045.500000,-8.469999,1171.000000,0.729045
120298.835938,96840.000000,81411.648438,96682.000000,58152.000000,108958.445312,155.539993,3180.000000,0.735001
92765.750000,82944.000000,73296.398438,48693.000000,36996.000000,86256.468750,52.360001,1915.000000,0.736192
106808.789062,92370.000000,75780.242188,53864.000000,42226.000000,83598.523438,100.099998,2104.000000,0.737384
130925.914062,110477.000000,77666.484375,59678.000000,42589.000000,91832.570312,61.599998,1233.000000,0.738575
66964.351562,63369.000000,69254.296875,38319.000000,28653.000000,87644.375000,13.860000,1203.000000,0.738575
116269.835938,93173.000000,81781.851562,70430.000000,48421.000000,95324.351562,26.180000,2647.000000,0.738575
74749.015625,64103.000000,76420.007812,45877.000000,30199.000000,99559.429688,56.980000,1083.000000,0.738575
129820.703125,110240.000000,77176.421875,58374.000000,39972.000000,95706.960938,167.860001,1925.000000,0.739766
105705.953125,90674.000000,76400.570312,47633.000000,36562.000000,85380.343750,170.940002,1564.000000,0.739766
72582.828125,51521.000000,92327.171875,94581.000000,37653.000000,164620.625000,80.080002,2911.000000,0.740957
84461.273438,75224.000000,73583.617188,45422.000000,31228.000000,95323.953125,26.180000,1509.000000,0.740957
130452.703125,111300.000000,76813.546875,58208.000000,43408.000000,87880.562500,39.270000,1499.000000,0.740957
87721.601562,79831.000000,72013.671875,41682.000000,32467.000000,84136.867188,13.860000,1105.000000,0.743340
98842.429688,88988.000000,72793.390625,78383.000000,45692.000000,112424.679688,36.959999,2306.000000,0.744531
65658.484375,53397.000000,80584.953125,46362.000000,29425.000000,103258.460938,-12.320000,1702.000000,0.746914
138872.531250,119180.000000,76364.742188,63141.000000,45100.000000,91751.851562,14.629999,1536.000000,0.748105
72824.570312,65501.000000,72863.484375,36858.000000,24157.000000,99992.789062,79.309998,1024.000000,0.750487
76337.703125,66048.000000,75745.937500,42695.000000,29488.000000,94888.085938,19.250000,1168.000000,0.752870
121581.796875,109675.000000,72650.875000,53228.000000,38731.000000,90066.101562,199.429993,1290.000000,0.754061
77138.765625,58744.000000,86057.570312,56852.000000,33720.000000,110493.851562,37.730000,1756.000000,0.755252
87266.562500,77828.000000,73483.851562,41362.000000,31028.000000,87363.031250,33.879997,1492.000000,0.755252
127180.523438,118045.000000,70607.843750,64139.000000,40109.000000,104799.757812,73.919998,2106.000000,0.755252
50353.019531,36868.000000,89506.765625,52337.000000,36356.000000,94343.640625,153.229996,2765.000000,0.756444
115439.546875,102736.000000,73639.679688,88091.000000,54980.000000,105004.218750,102.409996,2500.000000,0.756444
61883.863281,40261.000000,100733.242188,77357.000000,39109.000000,129629.203125,33.879997,2377.000000,0.756444
124408.414062,109221.000000,74648.921875,69572.000000,46785.000000,97455.828125,32.340000,1383.000000,0.757635
75326.500000,68256.000000,72324.750000,35115.000000,28704.000000,80173.375000,65.449997,802.000000,0.758826
68933.031250,52702.000000,85719.617188,60585.000000,38318.000000,103619.671875,170.169998,1862.000000,0.760017
