"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
45394.980469,91448.593750,32532.000000,56503.000000,106542.203125,34756.000000,238.699997,1307.000000,0.504644
132268.906250,82591.343750,104955.000000,63544.000000,109789.343750,37931.000000,316.470001,2665.000000,0.529826
89431.953125,82854.046875,70739.000000,46124.000000,108799.718750,27783.000000,138.599991,1464.000000,0.587241
27994.441406,86303.679688,21258.000000,23718.000000,120700.648438,12878.000000,20.020000,984.000000,0.680917
41581.652344,86016.703125,31681.000000,31130.000000,120939.929688,16869.000000,24.639999,618.000000,0.703077
86736.468750,83971.421875,67694.000000,57472.000000,112802.781250,33390.000000,139.369995,1262.000000,0.765528
70255.492188,84125.335938,54731.000000,26656.000000,105803.867188,16511.000000,-4.620000,443.000000,0.777615
50040.972656,98138.234375,33417.000000,35282.000000,113117.804688,20441.000000,407.329987,1179.000000,0.779630
33215.550781,86006.101562,25310.000000,34730.000000,119253.132812,19086.000000,25.410000,612.000000,0.781644
24841.550781,133203.734375,12222.000000,61605.000000,221369.953125,18238.000000,208.669998,1744.000000,0.794739
69085.500000,80461.835938,56270.000000,56125.000000,124356.203125,29578.000000,173.250000,1413.000000,0.845103
88893.171875,87237.250000,66780.000000,32675.000000,113061.718750,18940.000000,-19.250000,417.000000,0.885394
28097.931641,108274.601562,17007.000000,52787.000000,134467.640625,25727.000000,160.160004,1160.000000,0.893452
61465.953125,86431.632812,46606.000000,18616.000000,100346.953125,12158.000000,51.590000,469.000000,0.931728
87256.289062,91392.492188,62570.000000,35979.000000,118310.078125,19930.000000,55.439999,759.000000,0.941801
102928.312500,86426.601562,78049.000000,53897.000000,106994.023438,33013.000000,26.949999,970.000000,0.965976
37225.589844,85932.242188,28390.000000,28744.000000,143165.140625,13158.000000,23.099998,382.000000,1.046557
117832.453125,84227.914062,91683.000000,77990.000000,108833.609375,46963.000000,264.880005,2629.000000,1.052601
74110.695312,79479.593750,61109.000000,46992.000000,114823.007812,26821.000000,86.239998,1119.000000,1.056630
37807.820312,83567.390625,29650.000000,20076.000000,104970.539062,12534.000000,20.789999,370.000000,1.084834
90263.820312,81009.125000,73023.000000,75484.000000,116818.656250,42347.000000,157.849991,2714.000000,1.253049
80557.882812,81144.781250,65062.000000,40044.000000,107686.656250,24370.000000,294.910004,1329.000000,1.291325
93627.640625,83516.820312,73470.000000,58530.000000,103575.687500,37034.000000,73.919998,1250.000000,1.314492
58010.492188,98834.703125,38466.000000,50317.000000,132613.812500,24866.000000,237.159988,2712.000000,1.318521
33569.472656,91522.132812,24038.000000,38480.000000,147010.921875,17154.000000,35.419998,820.000000,1.320536
