"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
84860.218750,79061.164062,70343.000000,42786.000000,85220.906250,32903.000000,102.409996,1327.000000,0.541220
60473.710938,81238.187500,48785.000000,61411.000000,127535.304688,31557.000000,84.699997,2176.000000,0.541220
70430.875000,76869.085938,60047.000000,31883.000000,87649.828125,23839.000000,165.550003,1202.000000,0.548842
60261.203125,96295.671875,41012.000000,45915.000000,108835.554688,27648.000000,37.730000,1315.000000,0.551020
154278.312500,85020.296875,118922.000000,80505.000000,97946.304688,53866.000000,435.049988,3019.000000,0.551020
101060.750000,80009.640625,82779.000000,54646.000000,98012.539062,36539.000000,157.080002,1982.000000,0.551020
36368.441406,90590.726562,26310.000000,47402.000000,95544.609375,32514.000000,71.610001,1435.000000,0.555376
76545.468750,79628.000000,62999.000000,55534.000000,101223.093750,35955.000000,92.399994,1485.000000,0.555376
83555.929688,73492.437500,74510.000000,41262.000000,89016.601562,30378.000000,154.000000,2341.000000,0.556465
97008.843750,77938.156250,81572.000000,66594.000000,100680.640625,43348.000000,128.589996,1793.000000,0.557554
81072.171875,73177.789062,72606.000000,36741.000000,83345.734375,28890.000000,70.070000,1126.000000,0.559732
84612.164062,74456.429688,74475.000000,45801.000000,89979.140625,33359.000000,154.000000,1989.000000,0.560821
94922.453125,75219.929688,82702.000000,43606.000000,84264.992188,33914.000000,164.009995,2000.000000,0.560821
118221.132812,75247.812500,102963.000000,61104.000000,89628.500000,44679.000000,187.110001,2111.000000,0.560821
82873.375000,72992.992188,74407.000000,40140.000000,86195.976562,30519.000000,154.769989,1298.000000,0.566266
129396.476562,76989.179688,110147.000000,84290.000000,100643.671875,54887.000000,111.649994,3033.000000,0.567355
81316.281250,75884.554688,70227.000000,37035.000000,85682.421875,28327.000000,10.010000,1340.000000,0.571711
103914.234375,77714.523438,87630.000000,40035.000000,94959.593750,27630.000000,76.229996,1470.000000,0.571711
62180.113281,82325.617188,49499.000000,36147.000000,91680.398438,25839.000000,62.369999,1448.000000,0.572800
89501.468750,78322.445312,74890.000000,54856.000000,97442.484375,36894.000000,95.479996,2901.000000,0.576067
94738.382812,77305.289062,80315.000000,42233.000000,106391.773438,26015.000000,243.319992,1647.000000,0.582601
64405.542969,74793.234375,56434.000000,39262.000000,92244.726562,27894.000000,57.750000,1063.000000,0.589134
31459.380859,91881.195312,22439.000000,31053.000000,98337.250000,20695.000000,116.269997,1522.000000,0.592401
94724.164062,74661.054688,83147.000000,34832.000000,79841.554688,28591.000000,179.409988,1302.000000,0.592401
63027.781250,87122.992188,47411.000000,31156.000000,96737.554688,21107.000000,126.279999,1149.000000,0.594579
106752.703125,76438.046875,91527.000000,46940.000000,100285.570312,30675.000000,159.389999,2432.000000,0.601113
44733.750000,75167.195312,39002.000000,45870.000000,106291.507812,28282.000000,224.839996,1500.000000,0.604380
90381.531250,74602.875000,79397.000000,30407.000000,80027.039062,24901.000000,53.129997,1006.000000,0.606558
78406.710938,84245.375000,60994.000000,50001.000000,106095.500000,30886.000000,143.989990,1764.000000,0.609825
78069.382812,79890.617188,64042.000000,36588.000000,87200.203125,27498.000000,168.629990,1092.000000,0.613092
63316.132812,70307.640625,59019.000000,53081.000000,90180.601562,38575.000000,154.000000,1844.000000,0.614181
56591.652344,74878.164062,49531.000000,40950.000000,89806.890625,29883.000000,449.679993,2127.000000,0.617448
88479.210938,79810.796875,72654.000000,56952.000000,101132.781250,36906.000000,174.789993,1592.000000,0.617448
74650.265625,76900.882812,63618.000000,32346.000000,88025.398438,24082.000000,61.599998,1368.000000,0.619626
37999.000000,92294.953125,26982.000000,41962.000000,127469.250000,21574.000000,204.049988,1583.000000,0.622893
136037.218750,75304.804688,118390.000000,62146.000000,91882.882812,44326.000000,154.769989,1799.000000,0.623982
104746.890625,75019.851562,91505.000000,55409.000000,91428.968750,39717.000000,272.579987,2033.000000,0.626160
90029.984375,77688.453125,75947.000000,46515.000000,93135.164062,32731.000000,106.259995,1647.000000,0.627249
154210.375000,82171.312500,122991.000000,59190.000000,88686.898438,43739.000000,49.279999,2272.000000,0.645761
68374.500000,74505.617188,60143.000000,47761.000000,87375.843750,35823.000000,217.909988,2988.000000,0.649028
35038.082031,70089.000000,32762.000000,28551.000000,87558.179688,21370.000000,60.829998,1801.000000,0.650117
38391.632812,86966.718750,28931.000000,32411.000000,83313.875000,25495.000000,103.180000,1861.000000,0.651206
71390.718750,75697.937500,61807.000000,29873.000000,90373.304688,21663.000000,127.049995,1325.000000,0.656651
58785.480469,84023.585938,45851.000000,39625.000000,101206.757812,25659.000000,113.959999,1281.000000,0.656651
136186.531250,79949.843750,111634.000000,92774.000000,103314.140625,58850.000000,254.869995,2968.000000,0.658829
99323.539062,79085.226562,82307.000000,54166.000000,92619.375000,38327.000000,255.639999,2318.000000,0.661007
120700.945312,81576.796875,96967.000000,60362.000000,99366.609375,39811.000000,221.759995,2044.000000,0.661007
57216.542969,81024.726562,46279.000000,31458.000000,91681.039062,22487.000000,107.799995,836.000000,0.662096
69120.265625,76578.789062,59153.000000,23971.000000,87582.281250,17937.000000,33.879997,733.000000,0.663185
52305.902344,84085.656250,40767.000000,33770.000000,90587.804688,24431.000000,53.899998,854.000000,0.680608
50936.042969,88173.085938,37859.000000,37715.000000,105994.687500,23319.000000,122.430000,1135.000000,0.682786
93783.273438,77583.703125,79220.000000,46219.000000,87150.671875,34756.000000,307.229980,1553.000000,0.683875
79223.570312,75970.796875,68342.000000,53813.000000,97481.585938,36178.000000,194.809998,2355.000000,0.687142
33303.242188,80710.054688,27042.000000,26375.000000,83221.570312,20770.000000,169.399994,842.000000,0.691498
77877.414062,70946.851562,71938.000000,45235.000000,85605.570312,34630.000000,68.529999,1229.000000,0.694765
82909.710938,87974.539062,61763.000000,47874.000000,98628.476562,31811.000000,206.360001,1664.000000,0.699121
90753.625000,74541.968750,79789.000000,59025.000000,91385.632812,42329.000000,84.699997,2531.000000,0.702388
85345.281250,72997.164062,76622.000000,43743.000000,98996.523438,28958.000000,9.240000,1517.000000,0.702388
75612.484375,90098.726562,54999.000000,59386.000000,119799.335938,32487.000000,147.839996,2183.000000,0.704566
66408.195312,84800.429688,51322.000000,34951.000000,98214.078125,23322.000000,93.169998,990.000000,0.704566
82436.500000,75591.984375,71470.000000,36898.000000,86715.468750,27886.000000,134.750000,1139.000000,0.705655
28032.361328,75135.125000,24451.000000,37835.000000,115807.515625,21411.000000,176.330002,2322.000000,0.705655
82757.242188,75627.890625,71714.000000,51238.000000,97370.921875,34486.000000,157.080002,2312.000000,0.706744
61092.281250,76195.023438,52546.000000,28741.000000,88772.281250,21218.000000,132.440002,986.000000,0.710010
41440.242188,80727.296875,33642.000000,29023.000000,89323.343750,21294.000000,236.389999,2099.000000,0.713277
40973.351562,73264.843750,36651.000000,37714.000000,86836.406250,28463.000000,201.739990,2649.000000,0.714366
85404.531250,87895.093750,63679.000000,71353.000000,103936.132812,44991.000000,174.789993,1959.000000,0.717633
77973.000000,72352.492188,70627.000000,57881.000000,102490.859375,37011.000000,253.329987,3346.000000,0.718722
87870.914062,75215.289062,76563.000000,34217.000000,83501.968750,26855.000000,92.399994,1090.000000,0.721989
86552.406250,76883.335938,73778.000000,40012.000000,93257.929688,28118.000000,89.320000,1451.000000,0.724167
86884.203125,78071.171875,72934.000000,58239.000000,108166.156250,35286.000000,200.970001,2138.000000,0.727434
147023.750000,85109.656250,113211.000000,57780.000000,97356.218750,38895.000000,77.769997,1910.000000,0.733968
81008.179688,78130.273438,67950.000000,35705.000000,84898.164062,27562.000000,143.220001,1308.000000,0.735057
99131.570312,77287.226562,84059.000000,50623.000000,95249.320312,34831.000000,116.269997,1437.000000,0.737235
83427.953125,77775.421875,70299.000000,53947.000000,96536.898438,36623.000000,251.019989,1691.000000,0.739413
83744.742188,81161.390625,67622.000000,48733.000000,95949.226562,33286.000000,234.079987,2015.000000,0.743769
84337.242188,75181.601562,73517.000000,33699.000000,80882.539062,27305.000000,73.919998,1082.000000,0.744858
94341.015625,82778.593750,74690.000000,67152.000000,106398.960938,41362.000000,36.189999,2324.000000,0.744858
91697.671875,77286.617188,77756.000000,42198.000000,86518.843750,31964.000000,140.139999,1751.000000,0.745947
56573.480469,82938.500000,44703.000000,48248.000000,104621.671875,30223.000000,200.199997,1701.000000,0.747036
84739.351562,73865.156250,75184.000000,35839.000000,81497.039062,28820.000000,150.149994,1048.000000,0.748125
109710.460938,78098.531250,92063.000000,55107.000000,97378.929688,37087.000000,28.490000,1280.000000,0.750302
86173.203125,79315.851562,71202.000000,40584.000000,87438.789062,30418.000000,77.000000,1722.000000,0.750302
83187.000000,80103.195312,68059.000000,40133.000000,83531.500000,31487.000000,102.409996,1470.000000,0.752480
31454.640625,75784.390625,27201.000000,40160.000000,97663.203125,26949.000000,226.379990,2195.000000,0.753569
170648.687500,83131.765625,134529.000000,104780.000000,99385.789062,69093.000000,315.699982,5919.000000,0.753569
96418.710938,74502.992188,84814.000000,60629.000000,99419.054688,39966.000000,65.449997,1884.000000,0.754658
112800.945312,79763.953125,92680.000000,46735.000000,96741.156250,31660.000000,51.590000,1311.000000,0.759014
28038.681641,73969.218750,24842.000000,25588.000000,82729.898438,20270.000000,29.259998,1094.000000,0.762281
110721.664062,86954.367188,83449.000000,76022.000000,111545.460938,44665.000000,343.419983,3429.000000,0.782972
34510.359375,77994.031250,28998.000000,33409.000000,87656.828125,24978.000000,379.609985,1322.000000,0.782972
127995.015625,76243.937500,110019.000000,67341.000000,90164.054688,48947.000000,271.039978,2700.000000,0.782972
67023.601562,76791.242188,57200.000000,39412.000000,90883.351562,28420.000000,49.279999,1115.000000,0.786239
85863.523438,75247.414062,74782.000000,37888.000000,86222.242188,28798.000000,126.279999,869.000000,0.788417
26645.910156,82088.398438,21273.000000,38072.000000,99354.382812,25113.000000,361.899994,2493.000000,0.788417
46117.832031,85797.210938,35227.000000,28194.000000,90935.679688,20319.000000,128.589996,898.000000,0.794950
67197.398438,79483.250000,55406.000000,29514.000000,86666.789062,22318.000000,53.129997,1390.000000,0.794950
63430.683594,75574.828125,55005.000000,26142.000000,87584.593750,19561.000000,53.129997,843.000000,0.797128
113132.742188,76471.218750,96955.000000,68640.000000,91469.750000,49179.000000,154.000000,2409.000000,0.798217
92053.171875,79720.859375,75674.000000,60387.000000,107594.000000,36782.000000,137.830002,2830.000000,0.802573
82512.343750,77384.171875,69879.000000,40709.000000,97088.875000,27479.000000,61.599998,1258.000000,0.803662
66427.945312,85619.750000,50846.000000,29204.000000,98462.460938,19438.000000,70.839996,1120.000000,0.804751
38117.500000,78676.843750,31751.000000,33204.000000,93848.156250,23187.000000,140.139999,1854.000000,0.804751
146305.640625,79794.664062,120162.000000,74966.000000,94157.921875,52178.000000,15.400000,2177.000000,0.805840
84326.968750,77193.718750,71592.000000,59412.000000,103531.828125,37608.000000,188.649994,1933.000000,0.812374
88784.156250,76980.328125,75585.000000,57083.000000,95890.890625,39013.000000,77.769997,2102.000000,0.812374
57863.550781,79811.125000,47514.000000,35097.000000,95148.390625,24174.000000,265.649994,1312.000000,0.814552
66257.304688,75471.250000,57535.000000,39538.000000,91357.132812,28363.000000,200.199997,1158.000000,0.817819
85731.593750,75264.648438,74650.000000,30470.000000,82386.414062,24238.000000,174.019989,1085.000000,0.822175
82409.640625,72107.750000,74899.000000,40867.000000,82440.976562,32487.000000,67.759995,1470.000000,0.824353
69544.492188,79230.726562,57524.000000,35903.000000,83603.578125,28144.000000,78.540001,2606.000000,0.825442
105443.671875,81561.226562,84726.000000,70058.000000,103965.421875,44162.000000,291.829987,2923.000000,0.827620
124643.835938,75207.453125,108615.000000,67095.000000,96017.859375,45795.000000,171.709991,2600.000000,0.831976
71932.664062,74584.359375,63206.000000,56489.000000,90237.007812,41026.000000,324.940002,2756.000000,0.833064
46715.859375,82720.554688,37011.000000,42721.000000,110666.968750,25299.000000,130.129990,1543.000000,0.835242
23722.121094,76066.781250,20438.000000,32227.000000,92107.664062,22930.000000,172.479996,1372.000000,0.835242
61349.820312,75316.523438,53383.000000,24911.000000,85016.265625,19203.000000,118.579994,867.000000,0.835242
70685.250000,75385.335938,61450.000000,27711.000000,85736.382812,21182.000000,201.739990,1195.000000,0.839598
85566.484375,78645.851562,71303.000000,39186.000000,87939.390625,29203.000000,310.309998,2074.000000,0.839598
59375.613281,72857.390625,53409.000000,30792.000000,88056.226562,22917.000000,33.110001,694.000000,0.846132
77235.140625,73550.656250,68819.000000,37711.000000,87012.929688,28403.000000,126.279999,1053.000000,0.846132
73423.390625,75883.921875,63411.000000,28374.000000,83047.578125,22391.000000,10.010000,955.000000,0.847221
65043.863281,70674.203125,60315.000000,27717.000000,83619.273438,21723.000000,98.559998,756.000000,0.852666
67261.390625,76503.289062,57619.000000,26515.000000,81082.867188,21431.000000,130.129990,990.000000,0.853755
70836.140625,77871.640625,59615.000000,24685.000000,83497.093750,19375.000000,50.049999,749.000000,0.855933
78221.062500,80940.656250,63334.000000,45013.000000,104750.085938,28162.000000,247.169998,1629.000000,0.857022
73195.875000,84282.968750,56915.000000,45052.000000,87614.710938,33699.000000,148.610001,1399.000000,0.862467
113865.859375,78486.234375,95078.000000,57795.000000,85697.390625,44198.000000,131.669998,2265.000000,0.862467
76388.265625,78404.125000,63851.000000,34877.000000,88968.867188,25691.000000,56.980000,1395.000000,0.869001
54394.660156,73202.359375,48698.000000,21663.000000,86325.328125,16446.000000,5.390000,853.000000,0.869001
