"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
187663.718750,84222.304688,146027.000000,102210.000000,110903.078125,60399.000000,183.259995,2264.000000,0.620062
118870.515625,82645.164062,94262.000000,97316.000000,101578.398438,62786.000000,101.639999,3191.000000,0.621094
60581.941406,86629.101562,45831.000000,68192.000000,131662.812500,33943.000000,32.340000,2051.000000,0.623157
109123.492188,81297.734375,87967.000000,53568.000000,96332.156250,36443.000000,194.039993,1929.000000,0.632443
66548.023438,90831.851562,48015.000000,62654.000000,104536.585938,39279.000000,105.489998,2538.000000,0.648950
117713.953125,87443.210938,88223.000000,86219.000000,107867.984375,52383.000000,183.259995,3043.000000,0.653077
126448.984375,75661.351562,109527.000000,64096.000000,89345.867188,47015.000000,34.649998,1529.000000,0.668553
115064.296875,84091.867188,89674.000000,61575.000000,100849.187500,40014.000000,36.959999,1490.000000,0.670616
139939.031250,72905.265625,125794.000000,71423.000000,91076.351562,51394.000000,49.279999,1772.000000,0.676806
68295.500000,78481.742188,57030.000000,34570.000000,92119.195312,24594.000000,20.789999,847.000000,0.685060
83672.851562,80770.421875,67891.000000,52791.000000,115728.750000,29895.000000,40.809998,1238.000000,0.688155
71218.500000,72242.570312,64607.000000,33180.000000,88729.117188,24507.000000,79.309998,1133.000000,0.689187
25067.490234,74514.585938,22047.000000,31348.000000,112367.921875,18283.000000,-28.490000,706.000000,0.693314
91514.390625,72045.343750,83246.000000,34744.000000,85273.867188,26702.000000,26.949999,922.000000,0.696409
36528.812500,113791.820312,21038.000000,63726.000000,130193.507812,32078.000000,52.360001,2396.000000,0.699504
118212.445312,79076.164062,97971.000000,84079.000000,108736.101562,50675.000000,48.509998,2427.000000,0.701568
50031.492188,94965.210938,34527.000000,43917.000000,91314.593750,31519.000000,66.220001,2892.000000,0.703631
136332.671875,80377.640625,111159.000000,62246.000000,88946.507812,45863.000000,-10.010000,1487.000000,0.724265
110562.875000,88015.164062,82325.000000,44692.000000,106922.750000,27393.000000,37.730000,885.000000,0.728392
77453.179688,88558.070312,57318.000000,51800.000000,110312.757812,30774.000000,40.809998,968.000000,0.733551
45175.359375,80585.007812,36739.000000,39986.000000,124911.695312,20979.000000,128.589996,1919.000000,0.747995
81162.234375,81006.492188,65662.000000,48647.000000,95664.937500,33326.000000,116.269997,1364.000000,0.759344
57220.492188,87871.453125,42676.000000,45938.000000,93427.039062,32224.000000,10.780000,3223.000000,0.763471
58242.750000,88146.250000,43303.000000,95321.000000,139034.468750,44931.000000,186.339996,2594.000000,0.765534
138914.390625,83132.992188,109510.000000,101175.000000,107052.296875,61938.000000,74.689995,3712.000000,0.767597
88792.843750,80601.804688,72196.000000,33623.000000,97449.015625,22612.000000,137.830002,1228.000000,0.768629
81015.289062,79416.914062,66855.000000,45211.000000,102926.617188,28787.000000,54.669998,1197.000000,0.768629
138369.296875,79885.218750,113515.000000,87941.000000,99075.164062,58171.000000,158.619995,2689.000000,0.776883
25517.791016,117654.000000,14214.000000,41712.000000,146890.796875,18610.000000,56.980000,1891.000000,0.778946
63931.542969,76498.406250,54770.000000,46110.000000,106456.171875,28386.000000,79.309998,1678.000000,0.779978
32974.601562,91325.007812,23663.000000,21852.000000,81670.523438,17535.000000,-15.400000,962.000000,0.783073
124352.320312,77622.195312,104990.000000,72986.000000,99488.554688,48078.000000,43.119999,1815.000000,0.795454
86097.359375,83971.671875,67195.000000,54807.000000,106750.421875,33647.000000,155.539993,1488.000000,0.826405
128760.523438,76278.406250,110627.000000,71358.000000,96640.242188,48391.000000,62.369999,1911.000000,0.836722
55467.480469,98397.992188,36943.000000,33438.000000,133890.921875,16367.000000,58.519997,767.000000,0.842913
92625.132812,79032.906250,76807.000000,40212.000000,99375.304688,26519.000000,62.369999,883.000000,0.842913
140338.765625,78636.460938,116959.000000,99526.000000,96238.078125,67775.000000,97.019997,2842.000000,0.844976
90530.843750,76926.453125,77126.000000,52906.000000,101875.992188,34034.000000,15.400000,1061.000000,0.848071
80612.390625,85002.882812,62151.000000,83313.000000,129681.984375,42103.000000,217.139999,2290.000000,0.855293
103323.312500,74440.398438,90964.000000,39476.000000,85236.531250,30352.000000,76.229996,1379.000000,0.860452
97158.156250,82802.640625,76898.000000,40459.000000,100367.968750,26418.000000,26.180000,1092.000000,0.864579
58573.761719,84644.000000,45351.000000,56026.000000,126197.625000,29095.000000,98.559998,1105.000000,0.867674
128620.695312,76549.843750,110115.000000,51106.000000,90759.093750,36903.000000,43.119999,1628.000000,0.902752
149272.078125,80430.609375,121629.000000,112751.000000,111396.281250,66333.000000,237.929993,3404.000000,0.906879
39859.449219,72965.257812,35801.000000,25693.000000,84018.593750,20041.000000,86.239998,1224.000000,0.917196
145017.140625,83274.281250,114127.000000,80132.000000,99379.875000,52843.000000,50.049999,2692.000000,0.929577
108222.101562,80492.593750,88113.000000,58307.000000,99208.335938,38517.000000,70.070000,1694.000000,0.933704
133176.625000,85807.890625,101714.000000,88631.000000,107688.851562,53938.000000,122.430000,3145.000000,0.934736
166732.671875,83734.953125,130495.000000,80367.000000,112007.570312,47023.000000,148.610001,2291.000000,0.934736
110852.015625,80833.140625,89874.000000,51681.000000,102343.812500,33094.000000,42.349998,1013.000000,0.938863
59964.953125,77920.906250,50434.000000,41882.000000,98414.437500,27890.000000,21.559999,1339.000000,0.939894
133615.859375,84589.789062,103519.000000,102397.000000,109005.242188,61563.000000,52.360001,2117.000000,0.947116
138188.390625,80623.835938,112328.000000,114575.000000,115066.617188,65256.000000,287.209991,2893.000000,0.953307
31445.951172,73030.296875,28219.000000,21449.000000,80921.171875,17371.000000,-36.959999,948.000000,0.971877
202677.671875,83323.507812,159411.000000,96360.000000,107130.960938,58947.000000,55.439999,3746.000000,0.972909
75782.335938,75714.179688,65595.000000,34669.000000,95117.328125,23887.000000,11.549999,1054.000000,0.976004
56093.160156,88219.859375,41670.000000,63604.000000,118197.468750,35266.000000,93.169998,1768.000000,0.978068
67492.859375,75747.718750,58394.000000,51768.000000,90081.984375,37662.000000,69.299995,1391.000000,0.998702
43340.980469,102047.664062,27834.000000,47693.000000,115072.843750,27162.000000,56.980000,1694.000000,1.002829
66846.640625,72164.023438,60707.000000,41540.000000,96064.273438,28339.000000,115.500000,965.000000,1.006956
182812.328125,81277.484375,147406.000000,96856.000000,103262.640625,61470.000000,191.729996,4358.000000,1.015210
87476.703125,78686.648438,72857.000000,36729.000000,92604.617188,25993.000000,19.250000,1115.000000,1.018305
140407.500000,80925.054688,113707.000000,79957.000000,122709.453125,42703.000000,297.220001,4341.000000,1.019336
88766.773438,82019.812500,70927.000000,37668.000000,96509.242188,25579.000000,68.529999,1379.000000,1.033780
57296.332031,71882.007812,52238.000000,29703.000000,96952.679688,20078.000000,0.770000,625.000000,1.047193
115920.656250,75657.296875,100413.000000,64177.000000,88187.031250,47693.000000,40.809998,1756.000000,1.061637
112504.695312,78576.078125,93834.000000,105972.000000,106606.414062,65146.000000,111.649994,3504.000000,1.066795
66313.390625,81631.812500,53238.000000,47307.000000,103890.875000,29842.000000,140.139999,1574.000000,1.072986
128403.445312,83009.929688,101374.000000,66819.000000,98881.132812,44286.000000,41.579998,2342.000000,1.079176
108048.304688,77956.843750,90833.000000,46926.000000,87995.140625,34949.000000,49.279999,1645.000000,1.082271
