"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
42044.800781,34815.000000,79145.429688,47380.000000,24303.000000,127765.945312,6259.959961,15634.000000,0.803037
30690.400391,20907.000000,96203.476562,53296.000000,31979.000000,109221.882812,1595.010010,13415.000000,0.949959
49414.402344,37212.000000,87026.289062,61843.000000,29820.000000,135913.578125,1780.660034,21680.000000,1.015369
187944.796875,156145.000000,78882.765625,119528.000000,75185.000000,104188.164062,12004.050781,51865.000000,1.071722
69714.398438,59769.000000,76441.023438,85486.000000,47453.000000,118062.312500,5797.810059,24499.000000,1.118013
69656.804688,56428.000000,80900.062500,58644.000000,33320.000000,115344.937500,2075.330078,50242.000000,1.119019
36792.000000,22116.000000,109025.164062,75987.000000,36916.000000,134897.703125,3731.170166,40241.000000,1.135120
57291.199219,37152.000000,101061.476562,52440.000000,34868.000000,98563.382812,1930.760010,42653.000000,1.166316
35116.800781,20631.000000,111551.296875,70404.000000,36951.000000,124867.976562,4732.890137,23040.000000,1.221663
26054.400391,16853.000000,101317.335938,41463.000000,20005.000000,135832.015625,990.660034,11660.000000,1.263928
33116.800781,18469.000000,117512.742188,41875.000000,21333.000000,128642.015625,3478.370117,5431.000000,1.270972
35915.199219,28188.000000,83501.437500,61630.000000,28428.000000,142077.656250,4388.450195,149274.000000,1.326319
49895.199219,33617.000000,97270.179688,52732.000000,29857.000000,115746.539062,1586.320068,34805.000000,1.340408
112227.203125,85021.000000,86507.125000,91466.000000,53001.000000,113098.164062,4281.800293,3444.000000,1.346446
27003.201172,22852.000000,77441.000000,47503.000000,27824.000000,111887.453125,1420.420044,3570.000000,1.370597
30708.800781,27092.000000,74285.101562,50756.000000,29072.000000,114417.484375,3336.170166,17486.000000,1.421919
50235.199219,26248.000000,125427.234375,81382.000000,40924.000000,130325.750000,2339.190186,42574.000000,1.453115
66165.601562,54158.000000,80066.265625,43748.000000,26378.000000,108691.671875,5777.270020,3814.000000,1.469216
26786.400391,13212.000000,132869.609375,68922.000000,23448.000000,192633.578125,4548.030273,136653.000000,1.469216
43629.601562,29403.000000,97245.507812,80347.000000,29211.000000,180261.593750,7879.460449,6803.000000,1.537645
59099.199219,37696.000000,102746.312500,52487.000000,34212.000000,100543.320312,974.860046,13251.000000,1.633244
