"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
104868.000000,84780.000000,81064.273438,65514.000000,46072.000000,93191.640625,59801.421875,16039.000000,0.647804
73967.203125,61386.000000,78967.757812,34302.000000,25018.000000,89855.937500,5790.700195,9992.000000,0.653167
60890.402344,51323.000000,77752.929688,37728.000000,26095.000000,94751.578125,932.990051,5554.000000,0.653167
80212.804688,70166.000000,74919.851562,32182.000000,24194.000000,87173.664062,3127.610107,3869.000000,0.654239
81541.601562,56784.000000,94109.437500,73261.000000,44164.000000,108713.726562,2062.689941,64595.000000,0.655312
71659.203125,57532.000000,81628.617188,56048.000000,36652.000000,100217.226562,1003.300049,69126.000000,0.656384
71204.804688,61106.000000,76366.937500,42184.000000,30790.000000,89787.937500,1014.360046,24525.000000,0.656384
60697.601562,53177.000000,74804.492188,48205.000000,28921.000000,109234.226562,2454.530029,22182.000000,0.658529
127943.203125,112020.000000,74851.687500,54789.000000,35252.000000,101856.687500,12085.419922,21859.000000,0.659602
84830.398438,64453.000000,86255.812500,32212.000000,25105.000000,84088.664062,1429.109985,3524.000000,0.660674
90355.203125,76949.000000,76953.804688,45524.000000,32277.000000,92433.039062,7482.880371,16349.000000,0.660674
29088.000000,18557.000000,102727.335938,54225.000000,25209.000000,140969.078125,465.309998,6839.000000,0.661747
82579.203125,65580.000000,82523.804688,43236.000000,32956.000000,85978.718750,315.210022,10400.000000,0.661747
55735.199219,45360.000000,80526.054688,34298.000000,25920.000000,86718.890625,3003.580078,26997.000000,0.661747
91298.398438,78312.000000,76403.773438,54393.000000,38984.000000,91440.070312,8649.709961,25369.000000,0.662819
101312.000000,83241.000000,79763.375000,66536.000000,47565.000000,91674.617188,647.799988,16718.000000,0.662819
40469.601562,33857.000000,78335.828125,34532.000000,19893.000000,113763.085938,739.440002,26319.000000,0.663892
69388.804688,60744.000000,74862.781250,39198.000000,27336.000000,93974.257812,646.220032,11534.000000,0.664964
75599.203125,68721.000000,72095.421875,36221.000000,26341.000000,90117.289062,2927.739990,28808.000000,0.664964
82202.398438,73834.000000,72963.898438,41064.000000,27214.000000,98889.195312,537.200012,10355.000000,0.666037
79729.601562,69608.000000,75065.500000,45081.000000,32060.000000,92153.101562,1227.660034,28860.000000,0.669254
47480.000000,36280.000000,85767.625000,48190.000000,28376.000000,111297.578125,1768.810059,39827.000000,0.671399
57200.000000,46735.000000,80210.960938,29873.000000,23019.000000,85049.609375,2016.869995,18564.000000,0.672472
94788.804688,80463.000000,77204.171875,48401.000000,34687.000000,91446.593750,1188.950073,18494.000000,0.672472
58830.402344,45006.000000,85666.562500,37570.000000,19438.000000,126668.773438,2004.230103,20201.000000,0.673544
153541.609375,109801.000000,91643.093750,107131.000000,60169.000000,116686.953125,13410.250000,77615.000000,0.675689
60936.800781,52284.000000,76381.960938,36698.000000,24952.000000,96386.671875,1437.800049,8694.000000,0.676762
64515.199219,54079.000000,78183.179688,40925.000000,25899.000000,103558.476562,1193.690063,9649.000000,0.676762
84760.804688,72321.000000,76808.726562,33328.000000,27669.000000,78939.750000,2422.930176,18605.000000,0.677835
72373.601562,57449.000000,82561.515625,76319.000000,41705.000000,119929.078125,1111.530029,23822.000000,0.677835
16920.800781,11161.000000,99356.835938,56333.000000,30253.000000,122032.187500,1216.599976,67366.000000,0.678907
70407.203125,58932.000000,78297.132812,41162.000000,27348.000000,98639.492188,1234.770020,26315.000000,0.678907
73287.203125,56889.000000,84426.695312,36308.000000,28457.000000,83616.718750,718.900024,10678.000000,0.679980
24296.000000,16709.000000,95293.718750,33382.000000,18577.000000,117765.132812,1859.660034,16617.000000,0.682125
17015.201172,10625.000000,104951.367188,35523.000000,20657.000000,112699.585938,551.420044,13467.000000,0.684270
99956.804688,82513.000000,79390.765625,55400.000000,39233.000000,92541.851562,1460.710083,37749.000000,0.684270
23037.599609,16255.000000,92881.703125,47738.000000,20783.000000,150534.453125,1595.010010,35835.000000,0.685342
62172.000000,51917.000000,78481.117188,32014.000000,23161.000000,90586.304688,3232.680176,25156.000000,0.685342
68296.000000,53288.000000,83993.523438,93143.000000,43688.000000,139723.031250,2446.630127,83819.000000,0.685342
76699.203125,61255.000000,82059.585938,76977.000000,45827.000000,110082.804688,2194.620117,44681.000000,0.687487
90814.398438,78481.000000,75835.085938,51655.000000,38337.000000,88302.734375,8324.230469,31665.000000,0.692850
74554.398438,57749.000000,84607.476562,62418.000000,33649.000000,121567.531250,6320.000000,62545.000000,0.693922
47499.199219,33469.000000,93008.679688,67668.000000,29833.000000,148650.484375,682.559998,86631.000000,0.693922
74122.398438,66845.000000,72670.890625,45517.000000,32125.000000,92856.101562,3993.450195,24284.000000,0.693922
116662.398438,99532.000000,76815.359375,65058.000000,44504.000000,95803.546875,4089.040039,41455.000000,0.696067
39521.601562,30233.000000,85670.882812,41326.000000,25801.000000,104970.382812,3678.239990,32637.000000,0.697140
93842.398438,79589.000000,77272.679688,50637.000000,36341.000000,91316.875000,3299.830078,28285.000000,0.698212
66026.398438,53904.000000,80274.304688,34769.000000,23680.000000,96225.554688,575.119995,7435.000000,0.700358
26739.201172,21165.000000,82796.148438,29960.000000,16221.000000,121044.234375,920.350037,37982.000000,0.704648
83730.398438,66305.000000,82759.296875,54908.000000,38181.000000,94247.156250,537.200012,47012.000000,0.706793
110089.601562,93158.000000,77447.265625,51138.000000,36054.000000,92954.453125,10799.300781,21887.000000,0.712155
87428.000000,75500.000000,75889.820312,32735.000000,25848.000000,82997.562500,1704.030029,15759.000000,0.714300
48959.199219,40517.000000,79191.210938,51557.000000,24993.000000,135191.437500,2488.500000,49877.000000,0.714300
30696.000000,18185.000000,110623.757812,35485.000000,15385.000000,151156.656250,1689.810059,22473.000000,0.715373
71096.804688,65245.000000,71413.906250,35387.000000,24505.000000,94638.757812,4105.629883,19194.000000,0.715373
35221.601562,24564.000000,93970.156250,39052.000000,28276.000000,90511.804688,15630.940430,55814.000000,0.716445
68743.203125,57394.000000,78495.226562,46847.000000,24982.000000,122895.093750,2588.830078,43583.000000,0.718590
62586.402344,51752.000000,79256.109375,30366.000000,21464.000000,92716.468750,6460.620117,11102.000000,0.718590
115671.203125,103308.000000,73378.914062,56635.000000,39596.000000,93737.539062,2611.739990,22152.000000,0.722881
64334.402344,47257.000000,89218.945312,42945.000000,21625.000000,130147.679688,891.910034,18352.000000,0.722881
18020.800781,13229.000000,89274.414062,35258.000000,20909.000000,110510.703125,539.570007,23283.000000,0.722881
136018.406250,111684.000000,79815.390625,117297.000000,67236.000000,114331.250000,3069.150146,76436.000000,0.723953
102400.000000,88966.000000,75432.039062,29563.000000,23494.000000,82465.343750,1264.790039,4330.000000,0.725026
88163.203125,76039.000000,75985.531250,43655.000000,30151.000000,94888.195312,8399.280273,14893.000000,0.727171
76092.000000,65752.000000,75842.031250,26391.000000,21228.000000,81475.445312,5859.430176,6697.000000,0.728243
71651.203125,57204.000000,82087.507812,32648.000000,20592.000000,103905.367188,4176.729980,26484.000000,0.729316
62877.601562,55651.000000,74046.226562,42050.000000,25367.000000,108636.765625,689.670044,21647.000000,0.729316
90648.000000,74811.000000,79409.554688,43766.000000,34671.000000,82727.601562,1096.520020,21782.000000,0.729316
62988.800781,42189.000000,97846.218750,51788.000000,27993.000000,121243.828125,2178.820068,36673.000000,0.731461
75767.203125,64337.000000,77179.218750,49768.000000,33681.000000,96837.859375,5063.899902,15498.000000,0.731461
37350.402344,24797.000000,98713.390625,49394.000000,23801.000000,136006.265625,8534.370117,55419.000000,0.731461
73652.000000,52260.000000,92362.375000,70377.000000,42980.000000,107311.007812,5010.970215,42228.000000,0.732533
73089.601562,48160.000000,99460.140625,49947.000000,25472.000000,128506.851562,3811.750000,20745.000000,0.733606
78080.804688,72789.000000,70300.515625,30897.000000,23041.000000,87880.992188,1159.719971,5755.000000,0.733606
70322.398438,56563.000000,81478.156250,35556.000000,25699.000000,90672.710938,2693.110107,20890.000000,0.733606
64296.800781,53720.000000,78439.226562,40012.000000,28072.000000,93410.742188,558.530029,21872.000000,0.734678
77378.398438,67616.000000,74998.078125,40108.000000,29252.000000,89857.718750,5108.930176,18344.000000,0.736823
47872.800781,30068.000000,104343.218750,45167.000000,30096.000000,98354.093750,1381.710083,22450.000000,0.736823
30100.800781,24048.000000,82031.195312,37514.000000,22580.000000,108880.320312,919.559998,16654.000000,0.738968
90587.203125,80084.000000,74131.195312,54804.000000,38144.000000,94159.898438,1963.150024,18192.000000,0.738968
84434.398438,70883.000000,78065.156250,39461.000000,31075.000000,83221.757812,623.309998,13752.000000,0.738968
84285.601562,72924.000000,75746.546875,42115.000000,32252.000000,85577.593750,3000.420166,11069.000000,0.742186
127653.601562,101785.000000,82191.937500,68235.000000,42429.000000,105396.046875,4183.050293,40109.000000,0.743258
32744.000000,21982.000000,97621.273438,39408.000000,21130.000000,122226.343750,1361.960083,31588.000000,0.744331
101759.203125,87210.000000,76469.343750,47106.000000,35194.000000,87717.765625,1813.050049,30478.000000,0.745403
90128.000000,76736.000000,76973.375000,45805.000000,32004.000000,93796.921875,8247.600586,39262.000000,0.746476
86204.804688,74884.000000,75443.601562,42875.000000,34912.000000,80483.968750,1065.710083,25567.000000,0.746476
67016.000000,54097.000000,81186.765625,45815.000000,33553.000000,89486.242188,2008.180054,8240.000000,0.748621
72868.000000,64781.000000,73717.250000,24725.000000,20173.000000,80324.078125,1685.070068,3942.000000,0.748621
59192.800781,42496.000000,91285.281250,39683.000000,24080.000000,108001.039062,1247.410034,5621.000000,0.749694
86128.804688,72829.000000,77503.984375,41399.000000,27213.000000,99699.585938,1736.420044,11224.000000,0.750766
103923.203125,85389.000000,79761.000000,37584.000000,29229.000000,84269.218750,8657.610352,28185.000000,0.750766
119554.398438,102297.000000,76591.859375,66327.000000,46509.000000,93461.617188,3442.030029,10337.000000,0.750766
69983.203125,61833.000000,74174.296875,42305.000000,31305.000000,88564.140625,2804.500000,20572.000000,0.752911
64682.402344,56997.000000,74372.789062,33269.000000,24597.000000,88641.593750,3502.070068,12501.000000,0.755056
63384.000000,53984.000000,76947.492188,34768.000000,26112.000000,87260.859375,2648.080078,23784.000000,0.755056
109395.203125,90960.000000,78818.421875,52190.000000,38788.000000,88179.945312,38391.632812,21829.000000,0.757201
39169.601562,28426.000000,90305.328125,36813.000000,20510.000000,117629.289062,2181.979980,21962.000000,0.759346
103189.601562,91820.000000,73650.992188,49414.000000,37756.000000,85771.695312,3058.880127,10573.000000,0.760419
18305.599609,16029.000000,74844.085938,38613.000000,22937.000000,110325.742188,1113.109985,18890.000000,0.762564
71453.601562,63576.000000,73656.460938,42253.000000,29640.000000,93424.171875,3468.100098,30942.000000,0.765781
82851.203125,73225.000000,74151.406250,30313.000000,24393.000000,81441.101562,1120.219971,14645.000000,0.765781
96044.000000,80344.000000,78342.375000,39088.000000,31148.000000,82241.914062,6341.330078,37773.000000,0.766854
102080.000000,75588.000000,88504.992188,81710.000000,30308.000000,176684.265625,6768.720215,29401.000000,0.766854
29037.599609,18283.000000,104086.218750,34425.000000,19995.000000,112832.046875,6886.430176,7542.000000,0.767926
44514.402344,38983.000000,74835.085938,29192.000000,20231.000000,94564.132812,2680.469971,4107.000000,0.768999
41267.199219,28372.000000,95322.406250,27113.000000,18128.000000,98018.406250,312.050018,13454.000000,0.770072
66511.203125,55173.000000,79003.828125,44948.000000,30529.000000,96488.976562,2200.150146,11385.000000,0.773289
21810.400391,13688.000000,104424.781250,37827.000000,26316.000000,94202.398438,745.760010,6098.000000,0.775434
76234.398438,59370.000000,84151.882812,42979.000000,30442.000000,92525.851562,483.480011,6300.000000,0.776507
44906.402344,36377.000000,80902.382812,37020.000000,25597.000000,94782.304688,3221.620117,49692.000000,0.776507
82624.000000,72091.000000,75111.273438,34844.000000,27615.000000,82691.882812,3112.600098,14641.000000,0.777579
85998.398438,76592.000000,73584.601562,36835.000000,27152.000000,88907.585938,2666.250000,13698.000000,0.780797
81708.804688,66906.000000,80035.695312,44346.000000,31050.000000,93599.335938,3578.700195,22385.000000,0.780797
91455.203125,81205.000000,73808.367188,43365.000000,33605.000000,84569.820312,4712.350098,32200.000000,0.780797
102663.203125,79648.000000,84473.375000,61195.000000,36656.000000,109408.437500,1769.600098,38435.000000,0.780797
88462.398438,67344.000000,86087.429688,64766.000000,37412.000000,113453.031250,4957.250000,16914.000000,0.780797
57604.800781,36608.000000,103124.679688,67427.000000,36340.000000,121598.671875,3302.989990,72116.000000,0.780797
64197.601562,55491.000000,75818.679688,25803.000000,20519.000000,82412.664062,1817.000000,3186.000000,0.781869
46160.000000,39124.000000,77321.906250,34007.000000,20816.000000,107065.859375,635.160034,17443.000000,0.784014
86372.000000,77484.000000,73053.484375,37787.000000,30104.000000,82261.789062,778.150024,10351.000000,0.785087
56283.199219,37928.000000,97252.046875,46871.000000,29260.000000,104980.789062,2910.360107,67694.000000,0.786159
82228.804688,72272.000000,74564.789062,45391.000000,30944.000000,96133.164062,4691.020020,34973.000000,0.786159
103304.804688,92680.000000,73049.023438,43866.000000,34268.000000,83891.742188,1206.330078,15221.000000,0.786159
19296.000000,12796.000000,98826.406250,46071.000000,19452.000000,155218.437500,1039.640015,7981.000000,0.788304
61647.199219,51772.000000,78036.601562,36615.000000,26172.000000,91685.796875,893.490051,10804.000000,0.790449
182937.609375,144281.000000,83094.789062,118634.000000,71805.000000,108276.554688,3301.410156,30408.000000,0.790449
80809.601562,54325.000000,97486.203125,66074.000000,30469.000000,142119.062500,5338.030273,62366.000000,0.791522
32798.402344,25948.000000,82837.828125,31561.000000,19724.000000,104866.242188,474.790009,6505.000000,0.794740
65376.000000,54092.000000,79207.304688,49872.000000,30664.000000,106587.898438,471.630005,25215.000000,0.796885
54584.800781,44761.000000,79919.343750,43836.000000,23097.000000,124381.359375,1883.360107,30063.000000,0.797957
89521.601562,74889.000000,78341.109375,44298.000000,33097.000000,87715.312500,1847.020020,13977.000000,0.799030
148616.796875,121201.000000,80360.312500,93065.000000,63057.000000,96723.726562,1238.720093,35874.000000,0.802247
93871.203125,79244.000000,77632.921875,55539.000000,38088.000000,95563.007812,2707.330078,29793.000000,0.804392
77166.398438,65384.000000,77345.789062,39013.000000,30440.000000,83993.304688,387.890015,13410.000000,0.805465
72579.203125,65014.000000,73161.945312,42455.000000,29602.000000,93991.312500,19895.361328,30237.000000,0.807610
70666.398438,60904.000000,76040.867188,53245.000000,34220.000000,101971.492188,3923.930176,56250.000000,0.809755
37244.000000,20804.000000,117324.695312,31047.000000,22980.000000,88542.039062,1399.880005,14797.000000,0.809755
23300.800781,16181.000000,94372.492188,35083.000000,22417.000000,102564.992188,917.980042,25132.000000,0.810827
45436.800781,26261.000000,113390.437500,45042.000000,18769.000000,157273.812500,2720.760010,20254.000000,0.812972
95583.203125,79389.000000,78904.390625,41234.000000,30761.000000,87848.625000,5334.870117,19933.000000,0.814045
67520.000000,57397.000000,77094.460938,32283.000000,24673.000000,85749.554688,1277.430054,7567.000000,0.815117
59985.601562,49761.000000,79001.960938,41510.000000,28277.000000,96205.382812,2209.630127,15478.000000,0.820480
66681.601562,53880.000000,81107.007812,38270.000000,27208.000000,92181.078125,2885.870117,20269.000000,0.821553
60657.601562,47204.000000,84214.398438,34270.000000,24688.000000,90972.093750,4486.410156,27851.000000,0.822625
80112.804688,67829.000000,77404.546875,36008.000000,27473.000000,85895.976562,2130.630127,17180.000000,0.825843
77528.804688,63381.000000,80164.843750,58426.000000,37477.000000,102169.500000,4755.800293,51206.000000,0.826915
88731.203125,77882.000000,74665.367188,31191.000000,25418.000000,80420.703125,1033.320068,6784.000000,0.827988
63933.601562,53105.000000,78899.398438,67068.000000,30737.000000,142999.281250,2196.989990,37701.000000,0.829060
76452.804688,68696.000000,72935.992188,29475.000000,22920.000000,84278.953125,2451.370117,13439.000000,0.830133
42064.800781,30448.000000,90539.898438,55093.000000,26336.000000,137096.562500,871.369995,57751.000000,0.832278
90620.804688,68212.000000,87065.695312,58658.000000,33092.000000,116167.375000,6488.270020,25395.000000,0.832278
90379.203125,82580.000000,71725.500000,45294.000000,33988.000000,87336.343750,2340.770020,28667.000000,0.833350
58065.601562,41000.000000,92814.320312,48520.000000,27864.000000,114118.820312,1958.410034,11762.000000,0.837640
54493.601562,43444.000000,82204.515625,42963.000000,30688.000000,91749.968750,23503.291016,18402.000000,0.841931
82484.804688,71397.000000,75713.601562,33580.000000,26273.000000,83762.757812,475.580017,3722.000000,0.844076
76459.203125,62501.000000,80172.007812,41857.000000,27393.000000,100140.203125,3610.300049,32005.000000,0.845148
91162.398438,70604.000000,84618.703125,57376.000000,40600.000000,92615.601562,472.420013,57230.000000,0.845148
66200.000000,56669.000000,76558.320312,39856.000000,29161.000000,89571.789062,2170.130127,15371.000000,0.845148
49519.199219,36733.000000,88348.093750,33648.000000,21853.000000,100908.585938,1331.940063,36217.000000,0.847293
72043.203125,61902.000000,76272.546875,36223.000000,27562.000000,86129.843750,681.770020,24112.000000,0.848366
98329.601562,84713.000000,76070.132812,42907.000000,33785.000000,83230.820312,2285.469971,34631.000000,0.849438
41456.800781,26448.000000,102726.593750,50621.000000,24368.000000,136141.578125,3631.630127,10403.000000,0.851583
43773.601562,37786.000000,75920.890625,27826.000000,18474.000000,98711.953125,729.170044,6942.000000,0.852656
69664.804688,60884.000000,74987.726562,44395.000000,34496.000000,84342.273438,3809.380127,12619.000000,0.853728
39163.199219,26001.000000,98711.570312,55176.000000,24353.000000,148483.328125,2810.820068,49730.000000,0.854801
66008.000000,59232.000000,73033.171875,24618.000000,18464.000000,87378.960938,361.029999,4484.000000,0.855873
129943.203125,110993.000000,76725.187500,48229.000000,35313.000000,89506.296875,4830.850098,40439.000000,0.855873
78196.804688,64105.000000,79942.367188,34786.000000,24685.000000,92353.062500,935.360046,9936.000000,0.859091
