"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
40939.199219,24300.000000,110411.164062,34181.000000,19436.000000,115254.468750,346.809998,1476.000000,0.755399
33656.000000,20088.000000,109800.859375,64769.000000,35244.000000,120437.562500,946.420044,3114.000000,0.759423
26823.201172,15849.000000,110914.601562,91620.000000,32429.000000,185155.531250,964.590027,3320.000000,0.759423
41621.601562,33605.000000,81169.867188,62896.000000,31253.000000,131889.812500,472.420013,3419.000000,0.779540
38916.800781,24244.000000,105199.281250,84583.000000,39936.000000,138802.875000,1295.599976,4182.000000,0.798651
57219.199219,38204.000000,98155.109375,74555.000000,32504.000000,150321.078125,3481.530029,3201.000000,0.808710
27935.201172,21100.000000,86765.937500,36975.000000,20392.000000,118830.601562,522.190002,2277.000000,0.817763
51304.000000,40109.000000,83828.039062,38971.000000,23897.000000,106875.484375,367.350006,2038.000000,0.834862
25888.000000,12786.000000,132691.687500,52497.000000,26294.000000,130845.195312,969.330017,2149.000000,0.840897
43305.601562,34029.000000,83401.679688,54325.000000,26189.000000,135944.218750,574.330017,3354.000000,0.846932
95604.000000,77708.000000,80628.812500,89577.000000,42220.000000,139045.921875,1262.420044,4428.000000,0.932430
37908.800781,27272.000000,91096.773438,63932.000000,37388.000000,112063.968750,916.400024,2908.000000,1.070233
27972.800781,23625.000000,77596.835938,43483.000000,24761.000000,115088.320312,752.080017,1944.000000,1.099403
28116.800781,21444.000000,85929.062500,35487.000000,18912.000000,122973.570312,567.220032,1773.000000,1.113485
37462.402344,23141.000000,106094.640625,37863.000000,26549.000000,93464.523438,841.350037,1712.000000,1.134608
27542.400391,15919.000000,113387.695312,99471.000000,40939.000000,159235.250000,2825.830078,4607.000000,1.144666
93080.804688,60148.000000,101418.890625,101663.000000,34496.000000,193140.843750,666.760010,3010.000000,1.183895
25770.400391,18889.000000,89411.250000,57711.000000,25133.000000,150485.343750,682.559998,2114.000000,1.229158
71165.601562,59120.000000,78888.851562,68703.000000,43376.000000,103802.101562,1338.260010,3566.000000,1.234188
36511.199219,21820.000000,109660.773438,69704.000000,19704.000000,231837.250000,356.290009,1961.000000,1.237205
32749.599609,21541.000000,99636.867188,102843.000000,29697.000000,226956.234375,1147.869995,3640.000000,1.251287
50785.601562,41409.000000,80375.882812,36121.000000,19681.000000,120279.757812,961.430054,2119.000000,1.307615
39132.000000,28570.000000,89763.906250,71250.000000,36606.000000,127559.421875,930.619995,3864.000000,1.386072
52887.199219,39016.000000,88835.750000,33985.000000,22456.000000,99182.445312,596.450012,2539.000000,1.441395
61473.601562,48913.000000,82365.304688,93133.000000,55189.000000,110593.851562,790.790039,4395.000000,1.489676
37500.800781,30629.000000,80239.390625,46805.000000,28965.000000,105900.656250,705.470032,1963.000000,1.500740
55575.199219,46932.000000,77605.390625,40358.000000,24816.000000,106580.507812,438.450012,1742.000000,1.585232
49275.199219,39305.000000,82160.015625,59107.000000,36233.000000,106909.078125,579.070007,2552.000000,1.608367
73737.601562,65341.000000,73957.671875,95806.000000,51545.000000,121810.882812,1580.000000,3204.000000,1.615408
37721.601562,17708.000000,139604.859375,126906.000000,39692.000000,209536.218750,1395.140015,4985.000000,1.635525
26780.000000,12317.000000,142490.406250,57374.000000,29433.000000,127749.890625,795.530029,2718.000000,1.646590
19275.201172,10146.000000,124504.203125,60798.000000,19698.000000,202277.281250,2157.489990,2757.000000,1.683806
58398.402344,35713.000000,107165.398438,70193.000000,47573.000000,96697.046875,1166.830078,3977.000000,1.692859
86048.804688,55301.000000,101974.562500,119060.000000,49477.000000,157703.906250,2213.580078,5818.000000,1.714988
33073.601562,22981.000000,94317.539062,82149.000000,28417.000000,189454.078125,5451.000000,3265.000000,1.720017
32662.400391,16025.000000,133576.484375,59519.000000,26169.000000,149055.640625,959.850037,2820.000000,1.776345
57111.199219,32309.000000,115845.109375,119638.000000,47841.000000,163888.640625,1393.560059,3773.000000,1.789421
28316.800781,15417.000000,120371.664062,78445.000000,27389.000000,187702.062500,1376.970093,3872.000000,1.845749
36520.000000,22844.000000,104770.390625,65438.000000,32396.000000,132378.843750,1433.850098,3297.000000,1.903083
31668.000000,23212.000000,89410.398438,47836.000000,24344.000000,128778.351562,780.520020,2504.000000,1.903083
43512.000000,36004.000000,79202.382812,39103.000000,20448.000000,125325.414062,883.220032,2193.000000,1.929236
45100.800781,34089.000000,86706.156250,44158.000000,29037.000000,99663.835938,859.520020,2596.000000,1.948347
46038.402344,38152.000000,79082.953125,35211.000000,22968.000000,100469.710938,481.110016,2161.000000,1.960417
