"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
42716.800781,34420.000000,81333.187500,29481.000000,21476.000000,89964.000000,643.059998,1344.000000,0.554461
46137.601562,41936.000000,72102.109375,24615.000000,18432.000000,87520.000000,406.850006,1107.000000,0.571724
92606.398438,80945.000000,74977.492188,32737.000000,27569.000000,77821.171875,289.140015,1623.000000,0.662103
48133.601562,43612.000000,72330.640625,42165.000000,25352.000000,108998.320312,294.670013,2792.000000,0.703739
24900.800781,15903.000000,102615.796875,37648.000000,17691.000000,139466.359375,248.060013,871.000000,0.705769
60256.800781,41765.000000,94552.609375,30577.000000,21889.000000,91548.007812,249.639999,1295.000000,0.707800
35990.402344,24678.000000,95577.726562,35862.000000,17542.000000,133978.578125,281.240021,1096.000000,0.716940
73818.398438,60912.000000,79422.164062,33157.000000,26612.000000,81654.039062,75.050003,1161.000000,0.736234
79201.601562,64042.000000,81049.250000,51792.000000,35274.000000,96225.000000,285.190002,2187.000000,0.755529
60176.000000,49231.000000,80105.921875,35009.000000,26507.000000,86556.382812,365.770020,929.000000,0.776854
67283.203125,54556.000000,80824.695312,50720.000000,31080.000000,106949.359375,406.059998,1508.000000,0.795133
47518.402344,40849.000000,76236.039062,26772.000000,18689.000000,93880.351562,493.750000,1235.000000,0.819505
44549.601562,27796.000000,105036.789062,36145.000000,18740.000000,126403.351562,288.350006,1207.000000,0.834737
48857.601562,42584.000000,75190.960938,40289.000000,28188.000000,93670.351562,496.120026,1275.000000,0.867233
88349.601562,75608.000000,76580.250000,43944.000000,32632.000000,88254.289062,272.550018,1773.000000,0.869264
62499.199219,55809.000000,73392.242188,32441.000000,24241.000000,87704.851562,285.980011,1481.000000,0.873326
60668.000000,42461.000000,93637.414062,49869.000000,37545.000000,87047.937500,418.700012,2076.000000,0.915977
74144.804688,66772.000000,72772.328125,42996.000000,32708.000000,86149.742188,162.740005,1584.000000,0.919024
82624.804688,68997.000000,78480.218750,39569.000000,31317.000000,82804.679688,420.279999,2475.000000,0.922070
62969.601562,53900.000000,76563.562500,26958.000000,22188.000000,79625.007812,199.870010,863.000000,0.940349
56972.000000,38976.000000,95795.281250,36357.000000,20912.000000,113939.000000,482.690002,1109.000000,0.945426
91800.804688,74853.000000,80374.304688,81877.000000,50725.000000,105783.953125,595.660034,2234.000000,0.949488
60996.800781,54765.000000,72993.453125,33854.000000,23545.000000,94230.445312,392.630005,1800.000000,0.958628
40524.800781,35281.000000,75276.585938,25873.000000,18805.000000,90168.195312,249.639999,900.000000,0.962690
55441.601562,48457.000000,74982.375000,25530.000000,19853.000000,84276.140625,300.990021,833.000000,0.966752
74432.804688,62493.000000,78057.195312,43512.000000,29785.000000,95739.546875,515.869995,2064.000000,0.983000
76700.804688,63166.000000,79578.632812,36599.000000,28302.000000,84748.500000,198.290009,1094.000000,1.016511
56900.000000,47154.000000,79081.281250,46703.000000,34114.000000,89720.585938,557.739990,1541.000000,1.022604
90474.398438,79369.000000,74705.867188,58581.000000,43113.000000,89048.882812,484.270020,2604.000000,1.035806
44141.601562,34893.000000,82906.710938,59731.000000,30489.000000,128391.578125,1105.210083,3163.000000,1.047992
75825.601562,66577.000000,74639.992188,34601.000000,27237.000000,83254.804688,282.029999,1545.000000,1.049007
63560.000000,54820.000000,75984.460938,28427.000000,22916.000000,81296.554688,171.430008,1058.000000,1.061193
70273.601562,62293.000000,73932.078125,28130.000000,21649.000000,85155.328125,438.450012,1444.000000,1.064240
82232.804688,72348.000000,74490.085938,24514.000000,20988.000000,76546.093750,179.330002,1051.000000,1.067286
93992.000000,81640.000000,75451.484375,31419.000000,24920.000000,82627.429688,317.580017,1599.000000,1.082518
68510.398438,51847.000000,86598.992188,46839.000000,25927.000000,118395.523438,449.510010,1541.000000,1.088611
50915.199219,43236.000000,77175.937500,27835.000000,22244.000000,82008.390625,386.309998,1232.000000,1.091658
59166.402344,46708.000000,83016.382812,51517.000000,31364.000000,107646.289062,375.250000,1842.000000,1.095720
48048.800781,42598.000000,73921.921875,49956.000000,30054.000000,108934.468750,613.830017,2253.000000,1.098766
58431.199219,51620.000000,74183.390625,26889.000000,22340.000000,78880.820312,201.450012,1304.000000,1.099782
63061.601562,52621.000000,78539.085938,59616.000000,34637.000000,112798.289062,967.750000,3556.000000,1.099782
134712.796875,102269.000000,86326.625000,60993.000000,44729.000000,89365.671875,240.950012,1972.000000,1.110952
73184.000000,66265.000000,72378.882812,30357.000000,24349.000000,81706.703125,258.330017,1521.000000,1.117045
78567.203125,67475.000000,76309.453125,35105.000000,28487.000000,80761.101562,386.309998,3113.000000,1.118061
69247.203125,61736.000000,73509.539062,30231.000000,24632.000000,80432.726562,144.570007,1165.000000,1.119076
42649.601562,36017.000000,77604.585938,30628.000000,22421.000000,89524.843750,1386.450073,1323.000000,1.129231
82507.203125,61189.000000,88368.695312,65426.000000,42661.000000,100507.679688,807.380005,2202.000000,1.132278
29649.599609,18700.000000,103909.960938,29519.000000,13948.000000,138697.828125,77.420006,1340.000000,1.134309
71043.203125,60245.000000,77282.546875,42203.000000,30241.000000,91459.132812,312.839996,1366.000000,1.136340
61916.800781,57488.000000,70584.812500,27767.000000,22976.000000,79201.695312,370.510010,1183.000000,1.139386
64876.000000,55733.000000,76287.187500,29320.000000,21557.000000,89136.507812,276.500000,1195.000000,1.141417
74535.203125,61623.000000,79268.125000,33890.000000,27123.000000,81886.781250,372.880005,1373.000000,1.142433
50776.000000,46564.000000,71464.140625,32011.000000,23712.000000,88473.046875,339.700012,1054.000000,1.142433
82006.398438,70747.000000,75966.070312,51324.000000,38443.000000,87494.992188,436.870026,2537.000000,1.143448
55948.000000,47621.000000,76995.617188,25866.000000,20577.000000,82381.023438,305.730011,1204.000000,1.146495
30656.800781,26710.000000,75219.921875,28281.000000,18562.000000,99850.429688,604.350037,1746.000000,1.154619
27963.201172,24052.000000,76193.101562,32321.000000,22544.000000,93958.000000,414.750000,1985.000000,1.155634
72339.203125,58253.000000,81383.312500,67003.000000,36825.000000,119242.593750,409.220001,3663.000000,1.166805
43744.000000,28471.000000,100692.171875,40530.000000,26115.000000,101710.664062,419.490021,1067.000000,1.167820
27235.201172,24589.000000,72588.804688,31246.000000,20285.000000,100948.375000,547.470032,1946.000000,1.178990
30835.201172,19681.000000,102678.507812,47700.000000,28677.000000,109009.562500,423.440002,2330.000000,1.185083
68032.000000,49181.000000,90655.843750,37343.000000,28569.000000,85663.164062,271.760010,1611.000000,1.191177
59957.601562,42828.000000,91747.960938,44693.000000,28168.000000,103983.265625,515.080017,2107.000000,1.193207
82112.804688,71412.000000,75356.312500,41789.000000,31584.000000,86711.117188,401.320007,2053.000000,1.197269
91064.804688,80656.000000,73993.546875,41246.000000,32916.000000,82121.093750,247.270004,1200.000000,1.197269
69725.601562,61516.000000,74282.093750,35186.000000,27228.000000,84690.382812,327.059998,1434.000000,1.199300
45968.800781,30781.000000,97872.429688,51714.000000,28585.000000,118563.179688,371.300018,1851.000000,1.201331
53335.199219,45276.000000,77201.515625,23277.000000,18184.000000,83891.414062,370.510010,1135.000000,1.202347
95065.601562,64742.000000,96231.492188,55400.000000,36530.000000,99389.390625,396.580017,1737.000000,1.204378
77140.000000,67512.000000,74882.203125,36288.000000,29116.000000,81679.156250,63.200001,1260.000000,1.206409
86791.203125,78876.000000,72112.539062,49661.000000,33656.000000,96701.437500,115.340004,1859.000000,1.207424
65564.000000,56568.000000,75958.179688,23684.000000,19992.000000,77638.789062,208.560013,865.000000,1.219610
51356.000000,36544.000000,92099.031250,88371.000000,44272.000000,130815.914062,731.540039,3050.000000,1.222657
107824.804688,71721.000000,98526.328125,57459.000000,29177.000000,129061.687500,398.950012,3997.000000,1.227734
120554.398438,100145.000000,78892.125000,64213.000000,47077.000000,89391.062500,480.320007,3657.000000,1.235858
65907.203125,45989.000000,93920.171875,48469.000000,35633.000000,89143.898438,463.730011,1763.000000,1.237889
82218.398438,64265.000000,83844.476562,39066.000000,29949.000000,85486.304688,191.970001,1447.000000,1.250075
