"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
20706.958984,11021.000000,123133.226562,40750.250000,27933.000000,95607.648438,242.060013,2563.099854,0.305098
56291.679688,39524.000000,93339.023438,67206.796875,40864.000000,107783.492188,101.920006,2049.149902,0.309139
45236.718750,36740.000000,80692.265625,54131.000000,38404.000000,92373.953125,180.180008,2470.949951,0.327324
15684.120117,12276.000000,83730.406250,41487.449219,25328.000000,107348.445312,132.860001,3341.149902,0.337426
143173.359375,128101.000000,73246.960938,69922.851562,46945.000000,97613.453125,234.780014,5213.600098,0.342478
81827.679688,60955.000000,87977.335938,104750.796875,58159.000000,118037.593750,311.220001,4296.850098,0.344498
30879.560547,25648.000000,78903.726562,91179.101562,52736.000000,113309.953125,788.970032,4593.250000,0.344498
54990.558594,38237.000000,94250.625000,67681.796875,42409.000000,104590.875000,287.559998,2950.699951,0.345508
108410.960938,82004.000000,86639.937500,114560.500000,55920.000000,134260.328125,202.020004,3867.449951,0.348539
52354.878906,45193.000000,75921.703125,42875.398438,30637.000000,91715.312500,71.889999,1916.150024,0.367734
37385.160156,25344.000000,96672.742188,86192.546875,22960.000000,246024.171875,140.139999,2637.199951,0.385919
53432.558594,42584.000000,82231.734375,64803.300781,40344.000000,105268.421875,228.410004,2282.849854,0.398042
48815.558594,43248.000000,73972.820312,75823.296875,46596.000000,106643.390625,140.139999,3281.300049,0.399052
53969.878906,47556.000000,74374.843750,82300.398438,53300.000000,101193.976562,355.809998,3657.500000,0.401072
25495.718750,21202.000000,78808.015625,57153.898438,34982.000000,107073.296875,225.680008,2992.500000,0.402083
41378.960938,30195.000000,89809.953125,49617.550781,29863.000000,108888.445312,193.830002,2670.449951,0.402083
69202.562500,47644.000000,95190.570312,84579.445312,44540.000000,124449.906250,183.820007,2281.899902,0.440472
54014.718750,40836.000000,86685.976562,123915.148438,49744.000000,163253.906250,346.710022,3914.949951,0.463708
61867.800781,56224.000000,72114.546875,62513.800781,42020.000000,97498.914062,267.540009,2565.949951,0.475832
100290.359375,89360.000000,73552.250000,127426.351562,66020.000000,126492.171875,202.020004,4265.500000,0.476842
56039.359375,45009.000000,81596.914062,82551.195312,47937.000000,112858.023438,221.130005,3870.300049,0.484924
29017.560547,26010.000000,73113.992188,30706.849609,20222.000000,99515.578125,70.980003,2223.949951,0.518262
17017.160156,7460.000000,149495.531250,62835.847656,22800.000000,180614.484375,260.260010,4406.100098,0.525334
76554.796875,67320.000000,74526.070312,70253.445312,48536.000000,94860.101562,113.750000,3325.949951,0.530385
131359.921875,108265.000000,79516.039062,87814.195312,58365.000000,98603.460938,264.809998,4237.949707,0.532406
27441.320312,19020.000000,94552.812500,56869.847656,34520.000000,107967.046875,149.240005,2256.250000,0.570796
89790.960938,78937.000000,74547.296875,72501.148438,48361.000000,98249.320312,236.600006,3270.849854,0.622319
27932.279297,25469.000000,71874.429688,31556.150391,19821.000000,104337.015625,212.940002,1904.750000,0.625350
65448.160156,59341.000000,72280.734375,63073.347656,44909.000000,92043.351562,190.190002,2143.199951,0.648586
20523.798828,16027.000000,83923.859375,70806.351562,39771.000000,116677.101562,125.580002,3933.949951,0.653637
94662.562500,85657.000000,72426.132812,72114.500000,49961.000000,94595.703125,383.110016,2724.599854,0.654647
36537.757812,28841.000000,83025.500000,73353.296875,36477.000000,131789.390625,471.380005,4617.000000,0.655657
28092.638672,27688.000000,66493.757812,35758.949219,21948.000000,106775.039062,234.780014,2237.250000,0.676873
41298.398438,29385.000000,92105.898438,58700.500000,28621.000000,134411.656250,151.059998,2252.449951,0.679904
88552.156250,69423.000000,83594.109375,103633.601562,66847.000000,101601.148438,418.600006,4522.949707,0.713242
67482.679688,43641.000000,101339.218750,100522.351562,50649.000000,130068.367188,128.309998,3535.899902,0.715263
53994.960938,35314.000000,100204.281250,75062.351562,47510.000000,103542.125000,113.750000,2809.149902,0.716273
18819.119141,15608.000000,79019.085938,48428.148438,23192.000000,136848.359375,127.400002,2253.399902,0.722335
20368.000000,12465.000000,107086.828125,40205.898438,21317.000000,123607.156250,190.190002,1524.750000,0.725365
57679.437500,41248.000000,91642.742188,59776.847656,40912.000000,95755.179688,84.630005,2302.800049,0.736478
53055.597656,39169.000000,88770.500000,62009.347656,31941.000000,127229.718750,171.080002,2187.849854,0.753652
70980.195312,51529.000000,90274.570312,103937.601562,57225.000000,119032.851562,230.230011,3976.699951,0.873873
150389.562500,127696.000000,77182.765625,120678.500000,78992.000000,100121.359375,260.260010,5073.949707,0.875894
108443.640625,94000.000000,75605.984375,101155.046875,61088.000000,108520.453125,134.680008,4385.199707,0.875894
22429.119141,13602.000000,108066.078125,104418.296875,41106.000000,166475.875000,369.460022,6025.850098,0.876904
39135.441406,23349.000000,109845.406250,79113.148438,41909.000000,123714.695312,251.160004,3173.949951,0.877914
42265.121094,26090.000000,106166.609375,60717.347656,33546.000000,118618.375000,887.250000,3285.099854,0.889027
65788.640625,52804.000000,81651.468750,61801.300781,39460.000000,102640.906250,202.930008,2462.399902,0.910242
45249.640625,34189.000000,86737.851562,69263.546875,43561.000000,104204.585938,86.450005,2192.599854,0.913273
124768.437500,102050.000000,80125.664062,89718.000000,59442.000000,98915.898438,158.340012,2819.599854,0.933478
23702.119141,12329.000000,125990.929688,77159.000000,25593.000000,197581.062500,183.820007,3961.500000,0.970858
23263.599609,14248.000000,107004.726562,37411.000000,28024.000000,87488.125000,168.350006,2804.399902,0.971868
110678.039062,96333.000000,75295.023438,86592.500000,58877.000000,96386.132812,261.170013,3044.750000,0.980961
22244.439453,17729.000000,82227.515625,28404.048828,16101.000000,115613.179688,43.680000,1594.099976,0.982981
112530.921875,99892.000000,73828.000000,72595.195312,52128.000000,91267.625000,282.100006,4196.149902,0.985002
113078.117188,87855.000000,84351.351562,94943.000000,60059.000000,103601.203125,241.150009,5347.549805,0.985002
32702.039062,30492.000000,70286.007812,65725.750000,40312.000000,106851.625000,113.750000,3853.199951,0.986012
47184.597656,34288.000000,90185.773438,59371.199219,32644.000000,119193.445312,384.930023,3884.550049,1.026422
88137.960938,69993.000000,82525.539062,133437.953125,65261.000000,134000.234375,182.000000,4561.899902,1.030463
18309.160156,13056.000000,91904.796875,48591.550781,32512.000000,97948.320312,328.510010,2792.050049,1.062791
104994.757812,90288.000000,76210.968750,100495.750000,61220.000000,107580.687500,204.750000,3674.599854,1.084007
120185.640625,101169.000000,77854.742188,149359.953125,76245.000000,128381.593750,301.210022,5660.100098,1.085017
95270.562500,86673.000000,72036.867188,61760.449219,42613.000000,94983.523438,130.130005,2254.349854,1.086027
58010.800781,49228.000000,77228.320312,90103.695312,46380.000000,127318.585938,282.100006,3502.649902,1.087038
98679.921875,77809.000000,83114.914062,133390.453125,62005.000000,140986.656250,449.540009,7517.350098,1.088048
27844.878906,25197.000000,72422.984375,34184.800781,29629.000000,75612.921875,131.949997,1734.699951,1.101181
48367.917969,40115.000000,79018.820312,51997.300781,34323.000000,99283.132812,40.950001,1830.650024,1.110274
68003.281250,63493.000000,70191.406250,75276.101562,49985.000000,98695.507812,80.990005,2629.599854,1.142602
84411.679688,70236.000000,78763.085938,68777.148438,45692.000000,98647.007812,330.330017,2347.449951,1.144622
151553.875000,120252.000000,82595.171875,110992.296875,68712.000000,105862.015625,178.360001,3871.250000,1.154725
83113.601562,72593.000000,75033.867188,60889.300781,39201.000000,101794.367188,273.000000,4346.250000,1.155735
25163.599609,18352.000000,89860.601562,55213.050781,33268.000000,108766.460938,121.940002,3678.399902,1.157756
101124.078125,78153.000000,84798.632812,93823.898438,51885.000000,118509.078125,80.080002,3838.949951,1.158766
75865.476562,59649.000000,83352.945312,67644.750000,44533.000000,99547.898438,130.130005,3346.849854,1.159776
121546.796875,97303.000000,81864.804688,77733.750000,50579.000000,100720.828125,129.220001,3303.149902,1.159776
76444.601562,55864.000000,89679.820312,80699.648438,48872.000000,108216.000000,141.960007,3518.800049,1.162807
13786.399414,10380.000000,87042.921875,46263.097656,25996.000000,116629.414062,121.030006,2848.099854,1.163817
65433.718750,52039.000000,82404.820312,103495.851562,52851.000000,128336.343750,86.450005,4188.549805,1.196146
17863.798828,6749.000000,173465.984375,62117.648438,22253.000000,182939.031250,69.160004,2033.949951,1.199176
80928.601562,74052.000000,71621.789062,56689.347656,42592.000000,87227.484375,298.480011,2867.099854,1.202207
93536.242188,84397.000000,72632.804688,80757.601562,52013.000000,101753.992188,146.510010,3135.000000,1.225443
96081.476562,88332.000000,71285.554688,84416.046875,60268.000000,91794.828125,178.360001,2981.099854,1.227463
55682.160156,50141.000000,72778.484375,43334.250000,32169.000000,88282.304688,171.080002,1627.349976,1.238576
110153.640625,94853.000000,76107.546875,137268.343750,77409.000000,116214.117188,368.550018,5745.600098,1.239587
145474.640625,132501.000000,71952.859375,119092.945312,71013.000000,109907.710938,513.239990,4788.000000,1.246658
16863.640625,9045.000000,122186.351562,50820.250000,27077.000000,123003.156250,250.250000,4137.250000,1.248679
117703.476562,96938.000000,79574.734375,96991.195312,57194.000000,111137.796875,143.779999,4032.750000,1.250700
19716.679688,17525.000000,73731.937500,38251.750000,28369.000000,88366.414062,80.990005,2424.399902,1.256761
30428.119141,22900.000000,87080.234375,34719.648438,17044.000000,133500.765625,250.250000,2470.949951,1.264843
58171.917969,44617.000000,85446.242188,103637.398438,55149.000000,123156.914062,121.940002,3553.000000,1.274946
25875.718750,12460.000000,136098.812500,56384.398438,29704.000000,124401.023438,115.570000,1914.250000,1.277976
58406.757812,40649.000000,94165.796875,125591.898438,61961.000000,132838.250000,200.200012,4674.000000,1.278987
85698.359375,74964.000000,74920.335938,57880.648438,42532.000000,89186.171875,197.470001,2646.699951,1.281007
26895.640625,20939.000000,84179.421875,31301.548828,22459.000000,91338.812500,100.100006,1520.949951,1.282017
104568.398438,78025.000000,87830.757812,81534.695312,46905.000000,113920.851562,78.260002,3628.050049,1.293130
168306.562500,138100.000000,79870.664062,166927.343750,92180.000000,118678.132812,422.240021,7086.049805,1.297171
27273.359375,13123.000000,136202.593750,90015.351562,36147.000000,163201.546875,430.430023,3424.750000,1.312325
51945.238281,35629.000000,95548.101562,93858.101562,48077.000000,127942.359375,195.650009,3328.800049,1.317376
18998.480469,11459.000000,108655.593750,110121.148438,44451.000000,162356.312500,408.590027,4785.149902,1.332530
20159.759766,20013.000000,66016.585938,29991.500000,30317.000000,64832.367188,0.910000,846.450012,1.335561
9367.759766,7293.000000,84180.109375,68723.000000,55289.000000,81459.796875,317.589996,2996.300049,1.344653
