"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
93891.500000,83061.000000,74081.382812,44081.000000,33377.000000,86553.390625,1735.579956,19435.000000,0.549771
85294.718750,73608.000000,75941.132812,39892.000000,28284.000000,92432.546875,1178.869995,11976.000000,0.589870
98658.359375,87001.000000,74317.250000,35696.000000,27737.000000,84341.250000,2982.209961,12471.000000,0.601477
72217.062500,64845.000000,72986.625000,35985.000000,25501.000000,92479.242188,2544.079834,7162.000000,0.657404
98132.226562,89316.000000,72004.945312,40581.000000,29876.000000,89018.492188,4416.719727,13425.000000,0.738656
82104.703125,74888.000000,71851.484375,27439.000000,21468.000000,83763.851562,2115.189941,17268.000000,0.748153
93389.062500,80472.000000,76055.593750,40516.000000,32968.000000,80540.421875,1246.630005,6612.000000,0.757650
98136.960938,88820.000000,72410.539062,43647.000000,32212.000000,88800.757812,1473.010010,29146.000000,0.769258
87761.890625,78309.000000,73447.031250,33295.000000,26065.000000,83714.601562,4534.529785,15997.000000,0.781921
82825.968750,74513.000000,72847.453125,30704.000000,23589.000000,85303.210938,9844.450195,11261.000000,0.789307
95217.125000,82649.000000,75501.812500,33304.000000,25641.000000,85121.914062,3046.119873,13972.000000,0.795638
83749.484375,75712.000000,72493.218750,36323.000000,28384.000000,83866.414062,1014.859985,11847.000000,0.799859
92221.445312,81633.000000,74036.539062,32288.000000,25173.000000,84059.359375,1971.969971,13450.000000,0.804080
91258.429688,80185.000000,74586.421875,33360.000000,25209.000000,86726.210938,3688.299805,8340.000000,0.819909
97165.265625,85085.000000,74840.726562,40063.000000,28873.000000,90935.093750,4061.750000,14831.000000,0.825185
77812.632812,66838.000000,76296.851562,42921.000000,30278.000000,92901.468750,1027.179932,27324.000000,0.828350
88003.632812,75693.000000,76194.703125,34376.000000,27001.000000,83436.375000,1564.640015,11412.000000,0.831516
90714.125000,80265.000000,74067.664062,25688.000000,20809.000000,80901.953125,1756.369995,3310.000000,0.835737
104287.109375,93085.000000,73422.789062,51432.000000,36925.000000,91283.617188,1987.369995,8739.000000,0.836792
124462.921875,110053.000000,74117.046875,51514.000000,36325.000000,92939.343750,5185.949707,14148.000000,0.842068
109143.242188,83386.000000,85779.523438,57636.000000,37774.000000,99995.578125,4345.879883,13974.000000,0.842068
100874.312500,82636.000000,80000.226562,47526.000000,35836.000000,86914.390625,1242.780029,13757.000000,0.843123
61038.562500,47988.000000,83358.828125,61939.000000,39120.000000,103763.656250,6716.709961,47832.000000,0.849455
115725.523438,104757.000000,72397.914062,41957.000000,32289.000000,85158.843750,2941.399902,14989.000000,0.854731
61759.832031,53884.000000,75114.921875,32018.000000,21068.000000,99598.054688,3450.369873,40254.000000,0.857897
90215.632812,78788.000000,75041.531250,41037.000000,29748.000000,90406.109375,4780.929688,13780.000000,0.862117
145805.562500,122361.000000,78092.796875,53151.000000,38637.000000,90154.625000,2189.109863,19226.000000,0.863173
127331.414062,110836.000000,75289.539062,52279.000000,36272.000000,94457.343750,2337.719971,16848.000000,0.864228
90071.062500,78513.000000,75183.695312,39123.000000,29697.000000,86337.515625,2668.819824,9536.000000,0.868449
95923.382812,86768.000000,72451.070312,45288.000000,34272.000000,86601.148438,974.049988,14288.000000,0.870559
95086.773438,84116.000000,74083.500000,41341.000000,30656.000000,88378.257812,1461.459961,13297.000000,0.871615
81214.375000,69856.000000,76191.960938,53474.000000,35908.000000,97595.859375,4165.699707,31469.000000,0.873725
89543.343750,77020.000000,76192.054688,36915.000000,28332.000000,85389.718750,2515.589844,8042.000000,0.874780
66136.429688,57857.000000,74914.312500,31266.000000,24165.000000,84794.062500,3897.739990,5551.000000,0.874780
60203.531250,40769.000000,96776.937500,70743.000000,39089.000000,118606.593750,3455.760010,21947.000000,0.879001
83499.054688,73688.000000,74261.679688,31510.000000,24504.000000,84273.562500,6125.349609,11771.000000,0.882167
120121.085938,106556.000000,73879.046875,58032.000000,41628.000000,91361.226562,3363.359863,16239.000000,0.888498
62347.589844,57149.000000,71497.523438,28897.000000,21869.000000,86597.179688,2192.189941,864.000000,0.891664
114155.796875,93848.000000,79717.359375,46830.000000,32392.000000,94747.187500,2514.819824,9351.000000,0.894829
80178.679688,73239.000000,71745.796875,41673.000000,28343.000000,96358.242188,3423.419922,77003.000000,0.896940
108786.953125,98076.000000,72693.226562,44700.000000,33324.000000,87908.390625,4108.719727,15760.000000,0.896940
118600.335938,100173.000000,77591.679688,55729.000000,40105.000000,91067.343750,2487.869873,22563.000000,0.901161
74607.601562,64093.000000,76287.328125,32060.000000,21513.000000,97665.796875,1289.750000,26570.000000,0.907492
120478.953125,105521.000000,74825.945312,48474.000000,34981.000000,90814.789062,379.609985,24349.000000,0.907492
95223.445312,83520.000000,74719.382812,39380.000000,28768.000000,89711.054688,3750.669922,14436.000000,0.908547
69665.359375,61828.000000,73843.390625,39879.000000,28624.000000,91304.851562,4368.209961,41361.000000,0.910658
51752.902344,41481.000000,81764.617188,27889.000000,20681.000000,88377.429688,870.869995,22214.000000,0.918044
103699.351562,91127.000000,74577.679688,42291.000000,32691.000000,84781.234375,2780.469971,17673.000000,0.923320
