"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
102695.265625,92790.000000,72531.929688,35452.000000,28854.000000,80522.023438,190.959991,1497.000000,0.518717
70027.968750,55893.000000,82109.625000,51120.000000,30065.000000,111431.914062,462.000000,2889.000000,0.521781
66766.851562,62860.000000,69609.171875,31569.000000,24524.000000,84362.500000,170.940002,1386.000000,0.661671
74911.750000,65416.000000,75049.164062,28873.000000,21996.000000,86025.679688,123.199997,1018.000000,0.668819
82009.898438,73540.000000,73084.046875,28176.000000,22976.000000,80368.312500,138.599991,858.000000,0.695367
71397.039062,59176.000000,79070.507812,50487.000000,33144.000000,99828.507812,386.539978,2046.000000,0.759696
73063.945312,55908.000000,85646.398438,38981.000000,25796.000000,99033.140625,89.320000,1144.000000,0.766844
94672.812500,85260.000000,72771.257812,38338.000000,29080.000000,86400.250000,307.229980,2189.000000,0.778076
45891.890625,35064.000000,85773.765625,33296.000000,19580.000000,111444.671875,427.349976,1823.000000,0.780118
98009.773438,85624.000000,75015.984375,43589.000000,34668.000000,82400.156250,364.209991,2154.000000,0.793393
69136.851562,51713.000000,87617.289062,54386.000000,31749.000000,112263.093750,305.690002,2363.000000,0.817899
81118.781250,66090.000000,80438.804688,47041.000000,27694.000000,111319.382812,193.269989,1855.000000,0.828110
79508.765625,72084.000000,72286.312500,39916.000000,29364.000000,89086.468750,356.509979,1803.000000,0.830152
57331.882812,36340.000000,103393.015625,41733.000000,26420.000000,103520.585938,442.750000,3648.000000,0.834237
69894.460938,63749.000000,71853.726562,35751.000000,26645.000000,87933.101562,216.369995,1813.000000,0.835258
108015.914062,95784.000000,73905.148438,47833.000000,36764.000000,85267.750000,177.869995,1863.000000,0.845469
74431.429688,58057.000000,84019.812500,44263.000000,29389.000000,98704.281250,287.979980,2413.000000,0.855680
52298.000000,46653.000000,73465.843750,42258.000000,25533.000000,108464.351562,501.269989,1808.000000,0.866912
63497.042969,48492.000000,85815.023438,50438.000000,34172.000000,96731.390625,276.429993,2119.000000,0.877123
78231.335938,65661.000000,78082.398438,28102.000000,22349.000000,82406.054688,256.410004,1033.000000,0.881207
62895.851562,44352.000000,92937.023438,35924.000000,20832.000000,113014.367188,63.139999,1230.000000,0.897545
54303.019531,38974.000000,91312.226562,65056.000000,41674.000000,102306.234375,652.190002,4149.000000,0.898566
61071.742188,50701.000000,78941.195312,30075.000000,22697.000000,86839.460938,120.119995,980.000000,0.901629
52121.832031,40382.000000,84588.585938,48280.000000,23626.000000,133923.562500,214.830002,2864.000000,0.903671
56069.460938,36160.000000,101619.695312,28658.000000,12400.000000,151462.156250,100.869995,1146.000000,0.903671
128951.703125,114708.000000,73673.835938,72701.000000,50272.000000,94775.085938,336.489990,5354.000000,0.904692
66197.265625,49668.000000,87346.062500,62187.000000,37344.000000,109133.656250,481.250000,2300.000000,0.916946
61880.703125,41745.000000,97147.289062,54614.000000,26805.000000,133526.687500,604.450012,2115.000000,0.922051
79022.914062,68329.000000,75792.789062,40957.000000,27533.000000,97488.757812,407.329987,2550.000000,0.923072
58065.000000,45520.000000,83597.273438,39576.000000,21952.000000,118151.093750,160.929993,1608.000000,0.924093
53652.062500,40325.000000,87195.078125,41784.000000,24977.000000,109635.117188,232.539993,2173.000000,0.945536
73470.789062,58269.000000,82633.679688,34829.000000,25353.000000,90030.906250,117.809998,1212.000000,0.945536
99739.085938,89021.000000,73426.507812,50994.000000,38553.000000,86684.382812,444.289978,2220.000000,0.955747
98539.859375,82429.000000,78345.109375,67918.000000,46669.000000,95375.390625,496.649994,3272.000000,0.960853
105821.289062,88921.000000,77991.757812,50148.000000,36045.000000,91177.687500,223.299988,1598.000000,0.961874
88712.265625,71399.000000,81427.570312,50047.000000,36771.000000,89197.476562,207.129990,2143.000000,0.964937
69659.828125,58020.000000,78683.671875,53567.000000,34624.000000,101391.140625,332.639984,1832.000000,0.971064
64313.113281,52207.000000,80732.937500,56003.000000,29423.000000,124739.578125,412.720001,2541.000000,0.971064
86339.101562,79625.000000,71062.085938,46305.000000,33577.000000,90378.671875,186.339996,2436.000000,0.974127
53782.410156,40941.000000,86091.789062,46190.000000,25597.000000,118260.257812,396.549988,1550.000000,0.988422
101628.765625,89509.000000,74409.750000,58617.000000,42977.000000,89385.570312,581.349976,2676.000000,0.992507
89642.882812,76369.000000,76926.976562,34520.000000,26849.000000,84260.226562,173.250000,1882.000000,0.999654
125135.210938,102493.000000,80013.867188,57804.000000,40809.000000,92828.617188,503.579987,2939.000000,1.004760
66683.898438,56895.000000,76811.601562,49887.000000,36411.000000,89791.398438,338.029999,2408.000000,1.006802
78758.265625,67039.000000,76992.523438,33362.000000,25903.000000,84407.679688,182.489990,2217.000000,1.007823
74073.562500,66724.000000,72754.718750,35144.000000,25920.000000,88857.921875,103.949997,1446.000000,1.022118
70358.195312,62331.000000,73975.945312,35628.000000,25327.000000,92190.820312,252.559998,1908.000000,1.026203
60009.191406,51629.000000,76173.515625,38639.000000,27581.000000,91811.234375,213.289993,1606.000000,1.027224
98371.593750,86221.000000,74771.578125,46023.000000,36425.000000,82804.757812,194.809998,2249.000000,1.031308
45505.582031,34308.000000,86925.906250,227990.000000,154208.000000,96892.203125,969.429993,24209.000000,1.031308
71057.343750,64904.000000,71749.265625,48122.000000,34924.000000,90302.468750,604.450012,2534.000000,1.045604
84913.945312,74748.000000,74449.093750,50199.000000,35736.000000,92059.593750,298.759979,2115.000000,1.049688
46591.832031,42504.000000,71838.945312,35249.000000,23496.000000,98317.953125,207.129990,1534.000000,1.049688
76065.148438,55393.000000,89993.414062,43497.000000,30805.000000,92537.554688,179.409988,1415.000000,1.057857
92116.375000,79116.000000,76304.906250,62083.000000,37176.000000,109443.500000,653.729980,2840.000000,1.066026
75943.492188,63693.000000,78140.968750,40883.000000,29961.000000,89426.531250,357.279999,1975.000000,1.066026
55565.441406,35909.000000,101410.140625,41573.000000,20293.000000,134259.500000,244.089996,1582.000000,1.073173
74541.242188,65447.000000,74642.609375,47672.000000,32227.000000,96944.554688,448.910004,2179.000000,1.093595
123075.679688,106640.000000,75636.609375,62942.000000,40112.000000,102836.242188,598.289978,4843.000000,1.095638
46076.750000,37291.000000,80976.273438,33679.000000,21995.000000,100349.492188,197.889999,1348.000000,1.097680
57063.281250,44517.000000,84006.085938,34945.000000,24773.000000,92445.625000,124.739998,993.000000,1.100743
96692.843750,85879.000000,73788.265625,51801.000000,34851.000000,97409.843750,600.599976,2900.000000,1.123207
74361.125000,70800.000000,68832.351562,28398.000000,20976.000000,88724.796875,264.880005,1252.000000,1.139545
64863.742188,56860.000000,74760.992188,35434.000000,24476.000000,94876.726562,261.799988,1654.000000,1.146692
52580.031250,39242.000000,87811.140625,44891.000000,25150.000000,116977.203125,317.239990,1848.000000,1.151798
86513.695312,74036.000000,76581.140625,47693.000000,35316.000000,88504.039062,270.269989,1822.000000,1.151798
45527.703125,37336.000000,79914.921875,39872.000000,23164.000000,112806.578125,206.360001,1463.000000,1.155882
69284.578125,59548.000000,76251.664062,37347.000000,26424.000000,92626.890625,351.119995,1736.000000,1.166093
88717.789062,75660.000000,76846.539062,35688.000000,28332.000000,82551.492188,328.019989,1771.000000,1.168135
62930.613281,53714.000000,76781.117188,31651.000000,24950.000000,83137.476562,180.179993,782.000000,1.172220
84819.140625,71871.000000,77342.835938,45593.000000,32399.000000,92224.539062,435.819977,1932.000000,1.172220
118360.960938,100760.000000,76983.960938,54784.000000,38776.000000,92591.414062,304.919983,2677.000000,1.173241
117303.945312,108345.000000,70955.109375,43383.000000,30073.000000,94541.562500,502.809998,2276.000000,1.175283
50888.640625,35683.000000,93462.937500,36431.000000,22999.000000,103810.687500,85.470001,1088.000000,1.179368
99306.164062,76989.000000,84533.226562,58369.000000,33901.000000,112836.515625,331.100006,2088.000000,1.183452
54438.902344,38006.000000,93872.226562,26363.000000,15986.000000,108077.414062,145.529999,1154.000000,1.192642
53767.402344,48856.000000,72124.218750,32754.000000,22668.000000,94695.875000,157.080002,1628.000000,1.196726
47620.410156,39061.000000,79896.859375,51123.000000,25253.000000,132673.234375,635.250000,1669.000000,1.198768
67947.898438,57700.000000,77175.625000,46057.000000,31872.000000,94703.554688,134.750000,1335.000000,1.200811
92768.914062,77804.000000,78141.281250,75018.000000,49084.000000,100162.570312,527.450012,2690.000000,1.204895
60626.183594,39034.000000,101788.125000,42865.000000,23198.000000,121096.671875,260.259979,1713.000000,1.206937
69410.984375,60168.000000,75603.617188,34576.000000,25128.000000,90177.203125,994.069946,1690.000000,1.206937
50347.492188,42648.000000,77367.601562,26195.000000,18652.000000,92039.218750,138.599991,1039.000000,1.206937
85768.718750,75512.000000,74437.695312,41591.000000,30824.000000,88428.109375,118.579994,1398.000000,1.210000
78611.320312,67197.000000,76668.179688,43027.000000,29097.000000,96910.929688,345.729980,2488.000000,1.210000
77119.015625,59288.000000,85246.117188,55289.000000,29788.000000,121640.257812,10.010000,1590.000000,1.217148
47877.160156,31041.000000,101081.718750,67384.000000,28433.000000,155315.234375,519.750000,2878.000000,1.223275
54907.371094,47117.000000,76371.789062,35853.000000,24797.000000,94755.906250,321.859985,2748.000000,1.230422
78179.195312,72240.000000,70924.031250,32377.000000,25680.000000,82626.914062,117.809998,1322.000000,1.235528
44779.570312,29000.000000,101195.656250,33500.000000,16520.000000,132896.859375,232.539993,1062.000000,1.236549
96172.234375,78229.000000,80567.859375,58491.000000,41633.000000,92072.789062,409.639984,2444.000000,1.239612
111886.125000,94965.000000,77213.390625,75230.000000,46469.000000,106098.117188,486.639984,2562.000000,1.242676
60408.933594,54761.000000,72295.250000,42964.000000,27245.000000,103346.992188,252.559998,1830.000000,1.243697
146243.218750,123864.000000,77376.765625,64692.000000,46264.000000,91640.476562,605.989990,3460.000000,1.248802
62871.363281,54097.000000,76165.734375,43451.000000,30997.000000,91867.109375,15.400000,937.000000,1.260034
44999.191406,37100.000000,79489.679688,32837.000000,22712.000000,94751.921875,320.320007,1410.000000,1.263098
103462.351562,91992.000000,73707.585938,53521.000000,34168.000000,102656.062500,328.789978,2033.000000,1.269224
87486.968750,67164.000000,85366.359375,40228.000000,25400.000000,103794.570312,278.739990,2025.000000,1.278414
55300.792969,47429.000000,76413.015625,27911.000000,18113.000000,100986.875000,102.409996,924.000000,1.282498
65788.039062,51857.000000,83141.812500,46134.000000,30997.000000,97539.695312,290.289978,1803.000000,1.284541
84070.218750,74013.000000,74441.320312,41666.000000,31449.000000,86827.023438,123.969994,1818.000000,1.299857
92274.375000,81736.000000,73985.687500,30384.000000,24184.000000,82337.328125,141.679993,1401.000000,1.309047
80804.359375,72890.000000,72651.859375,40898.000000,30238.000000,88639.843750,44.660000,1137.000000,1.312110
61808.812500,58627.000000,69092.773438,23541.000000,18615.000000,82878.484375,217.909988,1572.000000,1.320279
88979.281250,76478.000000,76248.679688,44733.000000,34708.000000,84465.312500,360.359985,1707.000000,1.323342
58426.820312,47733.000000,80218.304688,39657.000000,26913.000000,96568.984375,196.349991,1445.000000,1.329469
59579.429688,47600.000000,82029.359375,43246.000000,24464.000000,115850.648438,311.850006,1463.000000,1.335595
80057.812500,70897.000000,74004.101562,50576.000000,30417.000000,108970.265625,287.979980,2119.000000,1.340701
73804.171875,62349.000000,77576.710938,49503.000000,32777.000000,98978.804688,39.270000,2177.000000,1.341722
94574.062500,84313.000000,73511.859375,38077.000000,27721.000000,90018.914062,279.509979,1659.000000,1.347849
61071.742188,55317.000000,72353.851562,27940.000000,21185.000000,86432.656250,197.889999,890.000000,1.354996
70863.000000,66585.000000,69746.601562,43801.000000,30393.000000,94447.484375,270.269989,1481.000000,1.354996
45285.960938,35965.000000,82520.804688,50002.000000,26041.000000,125837.382812,281.820007,2240.000000,1.354996
76627.632812,66779.000000,75201.320312,49474.000000,34507.000000,93961.460938,419.649994,1584.000000,1.357038
54126.851562,43146.000000,82215.210938,46639.000000,25678.000000,119033.164062,194.809998,1812.000000,1.361123
70052.460938,52059.000000,88187.593750,48395.000000,21087.000000,150406.156250,388.849976,2008.000000,1.362144
60340.203125,45141.000000,87602.304688,37030.000000,23665.000000,102547.992188,298.759979,1080.000000,1.364186
68948.828125,62575.000000,72211.437500,43506.000000,29931.000000,95259.414062,56.980000,2183.000000,1.369292
58644.863281,43810.000000,87727.687500,45499.000000,31734.000000,93963.015625,294.139984,2072.000000,1.372355
47236.472656,38285.000000,80859.070312,33376.000000,22173.000000,98648.335938,87.779999,1241.000000,1.375418
72513.312500,62056.000000,76579.742188,40868.000000,30908.000000,86654.750000,227.919998,2221.000000,1.383587
78108.093750,68313.000000,74932.914062,35438.000000,27901.000000,83239.484375,66.989998,1729.000000,1.392777
117193.343750,96936.000000,79231.484375,62644.000000,43000.000000,95475.289062,688.380005,3352.000000,1.406051
62808.160156,53896.000000,76372.929688,32892.000000,24492.000000,88012.820312,247.939987,1161.000000,1.407072
89228.132812,79653.000000,73414.117188,31689.000000,25285.000000,82134.484375,168.629990,2241.000000,1.413199
54745.421875,45724.000000,78466.359375,24451.000000,18332.000000,87411.125000,180.949997,1020.000000,1.420347
75659.093750,66952.000000,74058.945312,38069.000000,27480.000000,90789.304688,257.179993,2086.000000,1.420347
87802.968750,78389.000000,73406.414062,31509.000000,25649.000000,80508.937500,130.129990,907.000000,1.429536
150431.015625,120437.000000,81857.296875,84632.000000,57077.000000,97174.742188,95.479996,2740.000000,1.433621
47588.019531,33536.000000,92996.437500,37503.000000,19568.000000,125602.851562,108.570000,1265.000000,1.437705
73650.914062,58449.000000,82581.164062,56564.000000,34373.000000,107845.648438,312.619995,2024.000000,1.438726
94595.390625,82917.000000,74766.375000,57516.000000,41921.000000,89916.000000,542.849976,2005.000000,1.439747
89653.156250,77160.000000,76147.085938,51557.000000,34588.000000,97688.203125,189.419998,1452.000000,1.447916
71363.859375,61077.000000,76573.867188,40476.000000,24021.000000,110429.843750,283.359985,1615.000000,1.452000
119932.273438,101567.000000,77386.179688,80420.000000,52139.000000,101083.742188,345.729980,2396.000000,1.457106
64965.652344,58232.000000,73114.250000,40275.000000,31176.000000,84663.289062,216.369995,1151.000000,1.457106
78661.093750,70693.000000,72922.828125,41439.000000,30961.000000,87715.070312,357.279999,1844.000000,1.459148
52621.113281,38201.000000,90274.531250,54139.000000,31849.000000,111402.359375,574.419983,3762.000000,1.464254
64110.871094,45144.000000,93070.398438,48457.000000,19708.000000,161136.500000,408.099976,2158.000000,1.466296
92622.765625,74024.000000,82002.132812,63177.000000,41276.000000,100309.328125,765.380005,4914.000000,1.467317
54453.121094,48537.000000,73524.109375,32012.000000,23149.000000,90627.609375,92.399994,1220.000000,1.478549
87098.289062,79544.000000,71759.953125,50215.000000,35708.000000,92161.148438,186.339996,1893.000000,1.490802
89780.343750,74813.000000,78647.351562,50498.000000,33837.000000,97805.265625,295.679993,2077.000000,1.493865
73093.171875,64570.000000,74186.687500,54087.000000,33246.000000,106618.703125,157.080002,2238.000000,1.496929
88770.718750,78037.000000,74550.242188,39019.000000,32241.000000,79313.578125,228.689987,1478.000000,1.496929
48467.292969,33337.000000,95280.093750,38906.000000,19469.000000,130964.281250,215.599991,1586.000000,1.497950
66263.625000,58151.000000,74678.914062,31509.000000,24323.000000,84897.984375,336.489990,1238.000000,1.501013
44862.519531,35635.000000,82506.242188,42959.000000,22131.000000,127213.468750,143.989990,1141.000000,1.508161
83198.062500,67161.000000,81185.039062,37365.000000,27165.000000,90143.664062,64.680000,1185.000000,1.512245
86207.171875,78016.000000,72416.859375,31778.000000,24384.000000,85408.585938,291.059998,2360.000000,1.512245
85448.773438,73757.000000,75924.609375,55861.000000,38921.000000,94059.929688,294.910004,2343.000000,1.514287
57630.500000,47133.000000,80132.226562,29837.000000,21581.000000,90607.375000,283.359985,1326.000000,1.520414
66732.093750,51993.000000,84114.296875,58855.000000,27081.000000,142429.046875,390.389984,1966.000000,1.521435
53404.792969,42029.000000,83274.328125,36806.000000,25465.000000,94722.882812,241.009995,1152.000000,1.529604
52894.453125,45753.000000,75765.328125,41983.000000,26969.000000,102020.765625,170.940002,1258.000000,1.535730
50049.660156,38821.000000,84491.757812,34957.000000,24549.000000,93321.195312,247.939987,1112.000000,1.536752
51730.781250,34365.000000,98653.539062,30947.000000,13017.000000,155807.234375,113.189995,1098.000000,1.537773
91128.875000,78717.000000,75869.539062,54294.000000,35229.000000,101002.351562,562.099976,2247.000000,1.537773
89341.890625,77677.000000,75377.664062,34691.000000,26893.000000,84539.078125,258.720001,1228.000000,1.547984
78017.242188,67605.000000,75629.585938,54746.000000,36437.000000,98466.773438,130.899994,11484.000000,1.547984
50916.292969,41513.000000,80380.843750,59770.000000,31529.000000,124237.585938,369.599976,2428.000000,1.552068
62838.972656,57408.000000,71735.914062,29541.000000,21828.000000,88693.382812,107.029999,1368.000000,1.555131
67229.000000,61260.000000,71921.640625,36659.000000,27944.000000,85974.960938,140.139999,1368.000000,1.557174
144863.890625,121878.000000,77895.937500,75046.000000,43474.000000,113130.023438,696.849976,4101.000000,1.557174
84296.953125,62475.000000,88427.140625,62693.000000,37979.000000,108182.109375,301.839996,2789.000000,1.560237
64772.890625,42493.000000,99897.773438,27436.000000,15001.000000,119861.718750,922.459961,2267.000000,1.560237
63309.023438,55456.000000,74816.437500,30667.000000,22036.000000,91204.960938,371.139984,1380.000000,1.560237
118907.640625,102548.000000,75991.054688,61824.000000,41204.000000,98332.632812,202.509995,4132.000000,1.580659
106061.453125,93339.000000,74468.804688,48268.000000,35407.000000,89340.851562,460.459991,1957.000000,1.582701
46422.769531,36643.000000,83027.117188,25871.000000,17859.000000,94937.109375,23.099998,896.000000,1.584743
92328.093750,83608.000000,72371.234375,32526.000000,26680.000000,79895.953125,218.679993,1558.000000,1.585764
71104.742188,62852.000000,74141.164062,40370.000000,28832.000000,91762.218750,1807.959961,2231.000000,1.595975
98592.000000,88253.000000,73213.664062,60902.000000,38953.000000,102463.828125,318.779999,1899.000000,1.596996
63433.839844,58932.000000,70542.320312,32869.000000,21332.000000,100979.882812,310.309998,1728.000000,1.611292
62635.152344,46026.000000,89185.617188,45380.000000,29358.000000,101301.984375,547.469971,2909.000000,1.612313
58050.781250,48008.000000,79245.460938,36602.000000,23672.000000,101332.742188,275.660004,1536.000000,1.612313
49583.562500,34804.000000,93365.953125,47720.000000,24676.000000,126737.632812,254.869995,2051.000000,1.614355
73447.882812,61896.000000,77767.226562,58068.000000,44360.000000,85787.750000,227.149994,1282.000000,1.628650
85456.671875,76380.000000,73324.023438,25636.000000,21208.000000,79219.210938,129.360001,1118.000000,1.629672
49698.902344,42713.000000,76254.710938,56885.000000,26809.000000,139058.343750,467.389984,3007.000000,1.630692
90425.773438,80577.000000,73546.335938,53126.000000,34113.000000,102062.718750,195.580002,2005.000000,1.633756
52402.281250,38604.000000,88960.625000,32392.000000,18956.000000,111987.875000,169.399994,1458.000000,1.646009
