"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
87238.914062,76035.000000,75192.859375,24651.000000,19703.000000,81994.015625,26.180000,854.000000,0.836682
96825.562500,84948.000000,74699.351562,38562.000000,29216.000000,86500.523438,61.599998,1212.000000,1.158795
80582.375000,74153.000000,71218.242188,29794.000000,24477.000000,79772.015625,157.080002,804.000000,1.411015
52241.121094,42088.000000,81345.617188,37117.000000,23384.000000,104024.109375,43.889999,864.000000,1.414054
144769.875000,123949.000000,76544.703125,49651.000000,33837.000000,96164.781250,394.239990,3049.000000,1.415067
80157.351562,69878.000000,75176.625000,37752.000000,28498.000000,86817.148438,119.349998,921.000000,1.444442
52189.769531,36160.000000,94588.187500,58265.000000,30640.000000,124623.210938,167.089996,1918.000000,1.461662
110485.453125,90820.000000,79726.648438,54105.000000,35952.000000,98626.648438,173.250000,1355.000000,1.495089
46499.402344,33611.000000,90666.296875,30752.000000,20235.000000,99597.882812,63.139999,928.000000,1.505218
94358.390625,69266.000000,89277.156250,58375.000000,35250.000000,108529.476562,133.979996,2714.000000,1.590304
65507.589844,59901.000000,71670.015625,34733.000000,24393.000000,93316.195312,100.869995,983.000000,1.594356
93118.093750,83924.000000,72715.640625,58194.000000,37364.000000,102071.562500,110.110001,1464.000000,1.596382
80762.492188,72549.000000,72955.531250,28544.000000,23077.000000,81061.648438,50.049999,620.000000,1.614615
61706.902344,51217.000000,78958.625000,34318.000000,25237.000000,89117.742188,45.430000,943.000000,1.627783
90043.414062,79440.000000,74283.546875,35819.000000,27972.000000,83920.843750,140.139999,1343.000000,1.657158
58218.261719,39569.000000,96423.765625,39715.000000,18629.000000,139715.625000,80.080002,983.000000,1.662223
75360.468750,64240.000000,76880.812500,29662.000000,23428.000000,82974.593750,77.000000,731.000000,1.688559
56146.882812,51305.000000,71720.929688,30127.000000,21673.000000,91099.664062,105.489998,1094.000000,1.692611
102140.679688,82784.000000,80859.734375,43987.000000,29568.000000,97494.992188,75.459999,1294.000000,1.698688
75904.781250,69738.000000,71331.210938,31709.000000,23754.000000,87483.406250,53.129997,844.000000,1.702740
86510.531250,77765.000000,72906.250000,37967.000000,28561.000000,87118.992188,46.969997,1008.000000,1.718947
59344.800781,47024.000000,82707.148438,28831.000000,21360.000000,88458.265625,45.430000,781.000000,1.724011
80964.734375,68402.000000,77572.367188,31456.000000,25138.000000,82007.343750,82.389999,974.000000,1.739205
66058.218750,53525.000000,80881.671875,46411.000000,30885.000000,98481.187500,210.209991,1484.000000,1.753387
82326.695312,71155.000000,75825.476562,27523.000000,18887.000000,95502.054688,180.179993,803.000000,1.766555
59283.179688,47910.000000,81093.351562,33872.000000,22822.000000,97267.351562,54.669998,902.000000,1.780736
64006.589844,52016.000000,80643.195312,60049.000000,30752.000000,127971.234375,165.550003,2135.000000,1.782762
52828.089844,33632.000000,102941.890625,56343.000000,28452.000000,129779.796875,137.830002,1467.000000,1.785800
102701.585938,85074.000000,79115.257812,62522.000000,42118.000000,97284.812500,213.289993,2080.000000,1.798969
46819.351562,35945.000000,85362.445312,48196.000000,26905.000000,117397.250000,264.109985,1949.000000,1.814162
80020.679688,72899.000000,71938.375000,51456.000000,35367.000000,95349.343750,83.159996,1423.000000,1.821253
70818.765625,65297.000000,71077.976562,43000.000000,27441.000000,102694.804688,81.619995,1377.000000,1.872913
56492.113281,49221.000000,75217.226562,37652.000000,24437.000000,100976.460938,55.439999,956.000000,1.873925
65876.523438,61316.000000,70410.398438,31666.000000,22884.000000,90686.203125,42.349998,1015.000000,1.885068
53558.839844,42748.000000,82109.851562,33673.000000,22856.000000,96552.054688,26.949999,913.000000,1.896210
67432.031250,55213.000000,80039.585938,47911.000000,32553.000000,96454.867188,61.599998,1352.000000,1.898236
56559.261719,51737.000000,71644.429688,35870.000000,25757.000000,91267.476562,208.669998,1388.000000,1.902288
86280.640625,76009.000000,74392.359375,49358.000000,37389.000000,86515.445312,117.809998,1456.000000,1.906339
100155.414062,88068.000000,74530.875000,40114.000000,29904.000000,87911.695312,74.689995,1096.000000,1.909378
79513.500000,60928.000000,85527.132812,52721.000000,31840.000000,108515.179688,150.149994,1441.000000,1.912417
76602.351562,65045.000000,77180.593750,46554.000000,32353.000000,94302.320312,89.320000,1389.000000,1.920520
94085.843750,86289.000000,71457.656250,45650.000000,33141.000000,90272.421875,69.299995,1251.000000,1.924572
53076.152344,42948.000000,80990.937500,48140.000000,24000.000000,131454.296875,118.579994,1220.000000,1.926598
109317.835938,91497.000000,78300.421875,91161.000000,61117.000000,97752.296875,502.039978,6112.000000,1.936727
54015.460938,44422.000000,79689.273438,37331.000000,23238.000000,105281.195312,238.699997,1272.000000,1.943818
54171.882812,40504.000000,87650.812500,41253.000000,23672.000000,114209.046875,257.949982,1423.000000,1.972180
44889.382812,40573.000000,72508.085938,41247.000000,29961.000000,90222.734375,311.850006,2456.000000,1.976232
46189.722656,33653.000000,89950.078125,25118.000000,17397.000000,94621.671875,10.780000,511.000000,1.979270
60764.433594,46563.000000,85524.078125,36382.000000,24599.000000,96927.945312,107.799995,834.000000,1.987374
85595.710938,75299.000000,74497.679688,43320.000000,28823.000000,98498.406250,229.459991,1249.000000,1.996490
98411.882812,81713.000000,78928.953125,62815.000000,44341.000000,92840.570312,45.430000,1188.000000,2.025865
50853.089844,43065.000000,77387.867188,37144.000000,26553.000000,91675.867188,169.399994,942.000000,2.073473
49111.140625,43125.000000,74632.992188,31302.000000,22405.000000,91560.273438,166.319992,906.000000,2.081577
77418.421875,66490.000000,76307.625000,54815.000000,38554.000000,93177.250000,165.550003,2158.000000,2.107913
82938.148438,68940.000000,78842.968750,32894.000000,26632.000000,80945.523438,22.330000,758.000000,2.110952
68327.890625,57480.000000,77904.257812,57167.000000,31020.000000,120776.812500,152.459991,1441.000000,2.120068
120589.554688,104848.000000,75375.367188,55686.000000,39172.000000,93164.445312,96.250000,1704.000000,2.140327
92200.109375,75072.000000,80488.414062,48477.000000,35328.000000,89928.343750,122.430000,1606.000000,2.145391
66393.968750,59307.000000,73367.320312,34615.000000,25691.000000,88300.515625,104.720001,893.000000,2.149443
72044.843750,60889.000000,77543.242188,48493.000000,29581.000000,107435.078125,132.440002,1169.000000,2.154508
95120.742188,83759.000000,74425.835938,51135.000000,31355.000000,106878.757812,220.989990,1435.000000,2.177805
48584.210938,32760.000000,97192.156250,57607.000000,28024.000000,134717.828125,213.289993,1841.000000,2.186922
76390.632812,68892.000000,72669.343750,40184.000000,29564.000000,89077.890625,112.419998,1553.000000,2.186922
68154.882812,47892.000000,93263.976562,37957.000000,24292.000000,102402.023438,280.279999,1338.000000,2.202116
68334.210938,55621.000000,80515.476562,49270.000000,28677.000000,112597.507812,146.300003,1921.000000,2.222374
59260.273438,56113.000000,69211.796875,47826.000000,31665.000000,98983.882812,99.329994,1403.000000,2.228452
55642.070312,48608.000000,75019.726562,37336.000000,23444.000000,104370.070312,194.809998,992.000000,2.231491
92640.140625,82906.000000,73230.703125,48789.000000,34714.000000,92107.968750,65.449997,1595.000000,2.238581
81727.875000,72296.000000,74085.960938,42577.000000,32152.000000,86785.468750,125.509995,1310.000000,2.249724
64244.382812,56909.000000,73983.375000,36105.000000,25401.000000,93152.921875,80.080002,935.000000,2.249724
80566.570312,73369.000000,71965.156250,34281.000000,27869.000000,80614.289062,146.300003,1205.000000,2.279099
101507.101562,88604.000000,75079.789062,48446.000000,37996.000000,83560.296875,67.759995,1509.000000,2.289228
59069.882812,50142.000000,77204.812500,47466.000000,33726.000000,92235.429688,243.319992,1465.000000,2.299357
64569.863281,49510.000000,85470.625000,45436.000000,28694.000000,103774.093750,97.790001,1211.000000,2.302396
67028.343750,48280.000000,90985.289062,36032.000000,22588.000000,104541.929688,87.779999,726.000000,2.308474
90238.539062,79588.000000,74306.093750,46144.000000,34292.000000,88186.554688,219.449997,1674.000000,2.312525
44951.792969,32521.000000,90586.421875,41254.000000,23533.000000,114886.421875,177.099991,1230.000000,2.319616
97963.953125,85920.000000,74722.601562,42498.000000,33856.000000,82264.562500,92.399994,1261.000000,2.357094
83302.343750,69676.000000,78352.695312,48156.000000,35484.000000,88940.132812,113.189995,1337.000000,2.367224
98038.210938,78880.000000,81453.250000,56045.000000,37344.000000,98354.890625,63.910000,1305.000000,2.387482
79651.750000,70105.000000,74460.554688,33268.000000,25565.000000,85282.687500,110.879997,1128.000000,2.446233
100350.539062,85717.000000,76724.257812,44537.000000,32021.000000,91151.953125,91.629997,1403.000000,2.446233
46502.562500,40333.000000,75560.757812,25866.000000,19769.000000,85748.101562,156.309998,971.000000,2.477633
70761.093750,62056.000000,74729.265625,43869.000000,33000.000000,87121.179688,180.179993,1557.000000,2.499918
67441.515625,58121.000000,76045.617188,43325.000000,24669.000000,115097.781250,91.629997,1212.000000,2.500931
73759.140625,67845.000000,71248.859375,41973.000000,29249.000000,94045.687500,50.820000,1232.000000,2.504982
46858.062500,33900.000000,90586.726562,49565.000000,27564.000000,117845.445312,84.699997,1308.000000,2.515112
87857.484375,74447.000000,77341.304688,51077.000000,28895.000000,115846.421875,142.449997,1947.000000,2.524228
97356.445312,85589.000000,74546.406250,51668.000000,36513.000000,92737.218750,83.930000,1268.000000,2.544487
97138.406250,85269.000000,74658.585938,54549.000000,37281.000000,95891.289062,134.750000,1924.000000,2.561707
68608.343750,51548.000000,87225.820312,38432.000000,19292.000000,130555.656250,206.360001,1384.000000,2.573862
73913.195312,56308.000000,86026.406250,58546.000000,40644.000000,94401.898438,148.610001,1734.000000,2.576901
53082.472656,39711.000000,87603.257812,33739.000000,23115.000000,95657.328125,167.860001,873.000000,2.578927
102052.203125,89336.000000,74864.476562,46137.000000,36012.000000,83961.859375,110.879997,948.000000,2.579940
61785.113281,52512.000000,77109.023438,42785.000000,24324.000000,115275.367188,66.989998,895.000000,2.585004
44783.519531,39876.000000,73601.484375,28698.000000,17988.000000,104555.937500,73.919998,700.000000,2.589056
68062.453125,56491.000000,78960.203125,52270.000000,33339.000000,102749.539062,25.410000,1873.000000,2.617418
80535.765625,68165.000000,77429.640625,47821.000000,27749.000000,112940.906250,207.899994,1377.000000,2.623496
85515.921875,75712.000000,74022.242188,32035.000000,25664.000000,81805.085938,159.389999,816.000000,2.643754
48295.070312,42233.000000,74942.953125,48142.000000,27081.000000,116503.601562,155.539993,1484.000000,2.645780
57923.589844,37029.000000,102516.421875,65016.000000,28965.000000,147104.734375,123.199997,1922.000000,2.649832
59633.941406,53268.000000,73368.062500,38391.000000,26480.000000,95014.828125,167.089996,1102.000000,2.672116
100777.140625,82388.000000,80163.742188,72153.000000,50064.000000,94451.484375,256.410004,2032.000000,2.692375
127391.453125,112696.000000,74081.843750,53812.000000,37036.000000,95221.492188,96.250000,2121.000000,2.694401
80937.085938,70157.000000,75606.046875,43204.000000,31661.000000,89429.179688,54.669998,1046.000000,2.713647
61523.621094,56669.000000,71150.226562,34984.000000,24601.000000,93195.867188,83.930000,913.000000,2.725802
84552.125000,75545.000000,73349.765625,42816.000000,32077.000000,87476.679688,45.430000,1139.000000,2.742009
64937.210938,51685.000000,82339.656250,48054.000000,30725.000000,102498.523438,76.229996,1103.000000,2.785565
87838.523438,74614.000000,77151.554688,65200.000000,40882.000000,104519.031250,105.489998,1471.000000,2.788604
75516.101562,66000.000000,74985.210938,31854.000000,24388.000000,85598.804688,96.250000,813.000000,2.818992
69220.593750,56564.000000,80200.140625,50947.000000,34000.000000,98201.843750,222.529999,1866.000000,2.820004
131178.718750,113726.000000,75593.343750,54657.000000,36398.000000,98412.031250,170.940002,1541.000000,2.846341
61392.480469,42136.000000,95486.468750,37165.000000,22588.000000,107829.171875,75.459999,1102.000000,2.859509
57572.042969,49583.000000,76095.468750,46250.000000,23711.000000,127832.648438,62.369999,1412.000000,2.866600
64629.902344,57673.000000,73441.398438,36891.000000,27337.000000,88440.156250,95.479996,840.000000,2.887871
66807.929688,55820.000000,78436.484375,17252.000000,15004.000000,75355.039062,117.039993,1184.000000,2.893949
68563.312500,62020.000000,72450.257812,32530.000000,25124.000000,84854.562500,48.509998,996.000000,2.895974
61396.433594,46008.000000,87456.023438,46857.000000,31948.000000,96119.335938,235.619995,1384.000000,2.922311
95660.312500,74772.000000,83844.148438,69371.000000,34384.000000,132221.312500,247.169998,2278.000000,2.927376
66503.781250,54744.000000,79614.062500,50067.000000,30632.000000,107116.445312,274.119995,1324.000000,2.934466
103281.445312,86905.000000,77885.648438,49962.000000,35981.000000,91001.070312,222.529999,1917.000000,2.935479
135244.843750,118689.000000,74677.562500,61683.000000,41073.000000,98421.281250,269.500000,2030.000000,2.946621
78585.250000,71057.000000,72479.328125,35922.000000,28161.000000,83597.328125,221.759995,1051.000000,2.962828
45405.250000,27620.000000,107736.375000,54469.000000,20496.000000,174164.734375,195.580002,1717.000000,2.973970
60909.000000,49781.000000,80185.859375,39426.000000,23909.000000,108069.023438,176.330002,1312.000000,2.987139
55510.929688,47164.000000,77134.343750,33607.000000,24604.000000,89516.679688,254.099991,2453.000000,2.996255
64866.902344,48424.000000,87789.468750,39012.000000,26456.000000,96639.343750,63.910000,727.000000,3.008410
62967.742188,41284.000000,99957.710938,54422.000000,27136.000000,131434.265625,52.360001,1499.000000,3.017526
80794.882812,70569.000000,75032.562500,32183.000000,26169.000000,80597.085938,-14.629999,897.000000,3.018539
66641.242188,57657.000000,75747.968750,41733.000000,28537.000000,95840.968750,110.110001,1101.000000,3.029682
89206.015625,74363.000000,78617.132812,39067.000000,29035.000000,88179.609375,56.980000,964.000000,3.030695
46485.179688,40665.000000,74915.843750,29531.000000,19789.000000,97798.960938,86.239998,662.000000,3.034746
95514.164062,85289.000000,73393.007812,43644.000000,33005.000000,86661.203125,211.750000,1364.000000,3.064121
113957.500000,93450.000000,79917.804688,61352.000000,43962.000000,91460.000000,47.739998,1867.000000,3.067160
61459.632812,57409.000000,70160.046875,43188.000000,30673.000000,92275.578125,111.649994,1131.000000,3.081341
75828.945312,61214.000000,81182.835938,59083.000000,30734.000000,125986.312500,121.659996,1516.000000,3.089445
120141.625000,95688.000000,82284.109375,57451.000000,40700.000000,92508.820312,187.879990,1322.000000,3.115781
78595.523438,66405.000000,77566.992188,61035.000000,33349.000000,119943.320312,164.779999,1657.000000,3.122871
74742.695312,64168.000000,76336.132812,33795.000000,25676.000000,86259.125000,40.040001,838.000000,3.134014
104829.843750,91224.000000,75310.539062,54536.000000,40056.000000,89226.867188,190.190002,1626.000000,3.153259
66229.648438,45729.000000,94916.273438,40978.000000,26369.000000,101844.375000,93.939995,1030.000000,3.179596
72695.015625,58805.000000,81015.906250,51253.000000,32885.000000,102141.296875,184.029999,1657.000000,3.180609
55512.511719,34941.000000,104120.320312,36167.000000,15293.000000,154988.593750,72.379997,830.000000,3.229229
68048.234375,57912.000000,77006.656250,37509.000000,28156.000000,87306.078125,64.680000,1063.000000,3.239359
63927.589844,61237.000000,68415.476562,29174.000000,22597.000000,84610.664062,75.459999,603.000000,3.296083
91176.273438,80656.000000,74084.109375,57413.000000,41712.000000,90204.695312,277.199982,2112.000000,3.303174
71929.500000,60252.000000,78237.593750,43173.000000,30796.000000,91875.109375,52.360001,869.000000,3.305199
67695.890625,59121.000000,75041.320312,41310.000000,29509.000000,91744.625000,120.119995,1530.000000,3.310264
73406.015625,64800.000000,74239.765625,33112.000000,25908.000000,83759.000000,137.059998,872.000000,3.311277
