"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
61440.671875,52975.000000,76008.984375,47832.000000,32139.000000,97536.273438,1890.349976,10004.000000,0.514912
54917.640625,44014.000000,81771.312500,36952.000000,24858.000000,97420.812500,1342.109985,11682.000000,0.542279
56101.062500,50686.000000,72537.562500,33947.000000,24554.000000,90606.453125,172.479996,1544.000000,0.542279
62571.160156,55441.000000,73964.460938,37250.000000,27413.000000,89053.226562,3179.329834,3405.000000,0.581810
66718.664062,59035.000000,74065.804688,33361.000000,25391.000000,86107.140625,179.409988,1129.000000,0.593973
43136.371094,32846.000000,86067.875000,37164.000000,19882.000000,122501.757812,5416.949707,1233.000000,0.597014
104502.781250,86474.000000,79199.460938,70764.000000,44874.000000,103346.921875,16819.878906,9185.000000,0.601068
87730.289062,75606.000000,76045.453125,31006.000000,23830.000000,85271.054688,1171.169922,1431.000000,0.603095
45629.609375,28943.000000,103319.703125,36752.000000,22171.000000,108636.468750,1719.409912,6602.000000,0.614245
94935.093750,82362.000000,75540.500000,43984.000000,33226.000000,86755.421875,5217.520020,2259.000000,0.619313
62108.222656,50410.000000,80744.390625,52849.000000,35754.000000,96870.625000,4208.049805,1842.000000,0.625395
53157.519531,40027.000000,87034.531250,51572.000000,28123.000000,120180.023438,3361.049805,10152.000000,0.628435
54658.523438,48737.000000,73498.585938,27834.000000,20241.000000,90120.507812,2229.149902,1709.000000,0.642626
77749.429688,68504.000000,74380.859375,44280.000000,29372.000000,98799.335938,6978.509766,2051.000000,0.646680
130091.671875,109288.000000,78011.203125,65867.000000,47896.000000,90125.687500,1954.260010,1236.000000,0.646680
122591.414062,100753.000000,79741.046875,54911.000000,33873.000000,106239.406250,2166.780029,5580.000000,0.648708
53251.531250,41670.000000,83750.718750,33942.000000,21382.000000,104032.507812,348.039978,1875.000000,0.651748
42074.609375,27592.000000,99934.820312,48642.000000,25580.000000,124620.882812,2037.419922,3399.000000,0.657830
81595.945312,71060.000000,75252.914062,36532.000000,26368.000000,90797.984375,2441.669922,3417.000000,0.660871
53109.332031,39195.000000,88801.460938,60340.000000,33087.000000,119516.492188,1526.140015,4048.000000,0.661885
47561.160156,31614.000000,98594.554688,56826.000000,32058.000000,116169.101562,6055.279785,6307.000000,0.678102
70436.398438,56668.000000,81459.023438,45952.000000,31980.000000,94168.554688,3556.629883,4884.000000,0.680129
54622.972656,43138.000000,82984.171875,25658.000000,17266.000000,97389.242188,776.929993,2623.000000,0.684184
87182.031250,78014.000000,73237.648438,47603.000000,32874.000000,94899.015625,9525.669922,18780.000000,0.693306
112685.601562,95826.000000,77066.382812,71592.000000,45014.000000,104230.984375,7051.659668,5188.000000,0.694320
29074.371094,19556.000000,97433.937500,43210.000000,23252.000000,121787.828125,3481.939941,8661.000000,0.697361
45410.781250,36190.000000,82233.796875,27352.000000,18650.000000,96114.781250,4114.109863,2642.000000,0.699388
51725.250000,44695.000000,75844.414062,21596.000000,16647.000000,85019.257812,504.349976,869.000000,0.703442
