"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
96516.671875,83863.000000,75424.398438,57875.000000,40903.000000,92729.039062,7917.139648,3666.000000,2.444726
94657.804688,79441.000000,78089.328125,120692.000000,57509.000000,137537.953125,3008.389893,13061.000000,2.452761
52531.050781,43203.000000,79686.023438,74261.000000,51767.000000,94012.960938,8144.290039,12192.000000,2.460795
92922.960938,72574.000000,83911.578125,92599.000000,56890.000000,106671.968750,10659.879883,9312.000000,2.474568
57846.171875,51281.000000,73926.148438,65177.000000,39969.000000,106868.820312,9873.709961,6034.000000,2.489489
155608.671875,138475.000000,73644.851562,130099.000000,78203.000000,109026.109375,3857.699951,14108.000000,2.503262
110246.875000,85075.000000,84926.703125,97518.000000,64519.000000,99055.156250,16996.980469,10626.000000,2.509001
111650.703125,91174.000000,80254.687500,160104.000000,77362.000000,135629.578125,3921.609863,27067.000000,2.546877
20296.679688,12183.000000,109181.921875,93930.000000,37255.000000,165234.109375,3762.989990,15075.000000,2.549172
136291.593750,117623.000000,75937.585938,75556.000000,54855.000000,90267.757812,10077.759766,4423.000000,2.550320
95326.140625,72126.000000,86616.390625,91663.000000,57578.000000,104331.976562,3337.179932,5339.000000,2.550320
119804.296875,102644.000000,76492.484375,75706.000000,52068.000000,95288.250000,7395.079590,13073.000000,2.551468
36415.050781,27225.000000,87658.296875,71507.000000,34202.000000,137017.796875,926.309998,8582.000000,2.561798
117490.382812,100958.000000,76267.859375,103629.000000,61838.000000,109826.164062,5117.419922,14395.000000,2.561798
30900.060547,22081.000000,91710.812500,37872.000000,27985.000000,88689.632812,9671.969727,12479.000000,2.561798
161192.390625,131014.000000,80631.875000,124372.000000,72242.000000,112826.937500,7055.509766,19258.000000,2.562946
186730.718750,150549.000000,81286.398438,107621.000000,72373.000000,97454.171875,10960.179688,11762.000000,2.562946
85995.453125,67830.000000,83087.101562,125829.000000,88178.000000,93519.132812,10139.359375,32360.000000,2.562946
90525.312500,75448.000000,78632.531250,69786.000000,50408.000000,90729.554688,26264.699219,6549.000000,2.564093
35990.820312,20390.000000,115678.992188,78585.000000,35046.000000,146953.906250,7774.689941,23590.000000,2.565241
79684.929688,67339.000000,77551.367188,67962.000000,42127.000000,105726.914062,4723.949707,18255.000000,2.567537
113510.359375,95194.000000,78145.843750,170247.000000,81086.000000,137598.437500,5992.139648,29273.000000,2.567537
67896.554688,50192.000000,88652.945312,111040.000000,57412.000000,126752.554688,3237.849854,5753.000000,2.575571
135382.296875,117469.000000,75529.828125,78792.000000,58333.000000,88521.304688,3029.179932,14403.000000,2.576719
18880.210938,15927.000000,77687.796875,55684.000000,31795.000000,114776.125000,3064.599854,8929.000000,2.577867
20940.531250,16543.000000,82957.062500,72054.000000,38863.000000,121507.117188,3220.139893,22170.000000,2.577867
90015.765625,80479.000000,73302.023438,99520.000000,62975.000000,103567.179688,3518.129883,6954.000000,2.579014
117202.820312,98666.000000,77848.546875,119629.000000,67950.000000,115379.046875,3583.579834,13458.000000,2.581310
