"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
47798.953125,39094.000000,80128.718750,30183.000000,22006.000000,89887.906250,1757.909912,9715.000000,0.574418
75948.234375,67286.000000,73972.945312,32459.000000,24534.000000,86705.515625,56.980000,4597.000000,0.750219
44265.281250,39650.000000,73164.429688,42186.000000,27186.000000,101695.781250,1962.729980,11364.000000,0.894335
81706.539062,68348.000000,78344.937500,41528.000000,31356.000000,86796.109375,752.289978,15260.000000,1.043561
54110.261719,41878.000000,84678.601562,28698.000000,21990.000000,85527.609375,1806.419922,7731.000000,1.056848
50805.691406,42215.000000,78872.492188,32674.000000,22707.000000,94302.343750,734.579956,6750.000000,1.234693
60627.761719,53422.000000,74375.742188,29005.000000,21658.000000,87767.648438,290.289978,13742.000000,1.262289
50554.472656,44954.000000,73700.625000,29552.000000,22346.000000,86669.648438,3294.059814,10724.000000,1.274555
59515.441406,50398.000000,77392.046875,21498.000000,16714.000000,84294.179688,515.130005,1349.000000,1.275577
73646.171875,63719.000000,75746.257812,35047.000000,24467.000000,93875.015625,1780.239990,32291.000000,1.279665
77144.289062,66183.000000,76390.132812,45893.000000,32583.000000,92307.148438,747.669983,20501.000000,1.403339
61430.402344,52272.000000,77018.335938,34549.000000,25860.000000,87556.195312,2913.679932,25426.000000,1.414582
80013.570312,69103.000000,75883.382812,41828.000000,33167.000000,82649.617188,3114.649902,8566.000000,1.452399
46875.441406,40037.000000,76729.757812,30641.000000,21073.000000,95292.015625,555.169983,11323.000000,1.473863
63462.281250,48638.000000,85510.593750,36107.000000,26622.000000,88885.445312,241.009995,24117.000000,1.492261
55400.332031,45855.000000,79178.195312,29415.000000,23131.000000,83340.164062,371.910004,10169.000000,1.562786
60713.871094,50634.000000,78582.468750,37297.000000,25258.000000,96773.148438,742.279968,6265.000000,1.626156
60827.632812,51436.000000,77502.132812,33640.000000,25452.000000,86619.179688,2108.260010,10579.000000,1.633311
60730.460938,53683.000000,74139.515625,28739.000000,21287.000000,88478.375000,269.500000,27208.000000,1.714056
55434.300781,44891.000000,80928.078125,28536.000000,21983.000000,85071.890625,174.789993,8906.000000,1.747785
83869.562500,73753.000000,74525.453125,26187.000000,20809.000000,82473.507812,173.250000,2671.000000,1.777426
60664.101562,50786.000000,78283.046875,41021.000000,28406.000000,94640.296875,804.649963,11305.000000,1.819332
47308.359375,41500.000000,74708.460938,33041.000000,23704.000000,91350.617188,2022.789917,12273.000000,1.878614
50757.500000,45023.000000,73883.203125,25263.000000,18639.000000,88826.437500,538.229980,15141.000000,1.960382
56585.332031,48998.000000,75684.242188,31019.000000,22198.000000,91578.578125,1797.179932,10865.000000,1.964470
70636.273438,63083.000000,73382.976562,37071.000000,28895.000000,84079.773438,198.659988,15493.000000,2.007398
67545.789062,57543.000000,76928.218750,33960.000000,25667.000000,86710.664062,957.109985,16997.000000,2.062591
45620.921875,36232.000000,82518.570312,74230.000000,37544.000000,129574.296875,866.250000,22444.000000,2.075879
73661.179688,63078.000000,76531.578125,35211.000000,25826.000000,89351.359375,971.739990,11743.000000,2.089166
73703.843750,57944.000000,83360.750000,47385.000000,33192.000000,93559.398438,167.089996,16747.000000,2.106541
69106.828125,57307.000000,79030.234375,39303.000000,27759.000000,92790.148438,530.529968,22025.000000,2.125961
52598.992188,40279.000000,85581.257812,32978.000000,23603.000000,91566.601562,396.549988,14371.000000,2.172978
84428.093750,71269.000000,77636.562500,62530.000000,42033.000000,97494.023438,1765.609985,43640.000000,2.174000
38109.601562,30692.000000,81374.656250,42427.000000,28340.000000,98112.062500,1211.209961,23073.000000,2.202618
110378.015625,95006.000000,76139.750000,52111.000000,37790.000000,90371.695312,57579.828125,6205.000000,2.226127
86946.609375,75711.000000,75261.625000,39848.000000,31295.000000,83447.156250,2912.139893,18771.000000,2.229193
75170.875000,66478.000000,74105.695312,40643.000000,30522.000000,87267.531250,568.260010,11624.000000,2.229193
67306.421875,58042.000000,75996.593750,48427.000000,33902.000000,93614.304688,184.799988,15993.000000,2.250657
74363.492188,54412.000000,89566.382812,38831.000000,27308.000000,93189.851562,910.909973,19160.000000,2.278254
89542.554688,76107.000000,77105.406250,43804.000000,28043.000000,102369.179688,1043.349976,5778.000000,2.288475
79741.023438,69195.000000,75524.359375,50888.000000,37435.000000,89087.640625,833.139954,9589.000000,2.291541
65882.054688,55118.000000,78334.601562,49028.000000,31482.000000,102061.460938,1623.159912,7636.000000,2.294607
53593.601562,41789.000000,84048.687500,53239.000000,35657.000000,97850.945312,1657.039917,18447.000000,2.310961
47583.281250,41631.000000,74906.148438,33659.000000,22607.000000,97574.921875,755.369995,12923.000000,2.358999
51105.101562,36291.000000,92288.015625,106862.000000,57767.000000,121233.718750,4666.199707,31895.000000,2.372287
85406.898438,73879.000000,75762.078125,40862.000000,31271.000000,85636.281250,253.329987,12667.000000,2.415215
51908.531250,45336.000000,75037.000000,30507.000000,22008.000000,90844.546875,683.760010,8661.000000,2.434634
78627.914062,67030.000000,76875.414062,53522.000000,39526.000000,88742.046875,1160.390015,18549.000000,2.481651
67209.250000,57035.000000,77226.710938,39033.000000,27631.000000,92579.593750,651.419983,32854.000000,2.523557
44010.902344,37914.000000,76074.757812,33440.000000,20650.000000,106127.062500,320.320007,6212.000000,2.532756
74852.500000,62271.000000,78777.171875,38165.000000,29067.000000,86048.835938,2932.159912,11914.000000,2.536844
61838.832031,53438.000000,75838.726562,37044.000000,27322.000000,88855.703125,1705.549927,10149.000000,2.538888
62379.191406,53637.000000,76217.593750,36216.000000,27025.000000,87824.304688,801.570007,18830.000000,2.565463
61974.710938,49826.000000,81515.164062,29021.000000,21154.000000,89908.304688,1345.959961,8089.000000,2.596126
72620.750000,61227.000000,77731.617188,45698.000000,31963.000000,93697.843750,3680.599854,10498.000000,2.598170
59885.160156,52831.000000,74286.570312,41439.000000,27519.000000,98686.234375,2309.229980,9799.000000,2.681982
64798.960938,57814.000000,73453.914062,44679.000000,29222.000000,100201.320312,2231.459961,12327.000000,2.689137
22311.179688,13387.000000,109224.281250,53353.000000,33231.000000,105219.289062,1942.709961,23854.000000,2.696291
56087.632812,51306.000000,71643.843750,34278.000000,25854.000000,86889.578125,2086.699951,7721.000000,2.698335
69458.382812,62251.000000,73123.710938,41416.000000,31771.000000,85431.335938,2134.439941,16757.000000,2.710601
69438.632812,52613.000000,86494.406250,77862.000000,48485.000000,105244.179688,2045.119995,12353.000000,2.716733
18203.970703,9219.000000,129408.335938,81112.000000,36199.000000,146848.140625,335.720001,11890.000000,2.724910
53501.171875,47446.000000,73899.859375,35098.000000,24070.000000,95562.218750,171.709991,7481.000000,2.724910
57698.441406,48022.000000,78741.515625,28404.000000,22018.000000,84543.765625,1021.019958,7428.000000,2.728998
64493.230469,56087.000000,75358.437500,37230.000000,28215.000000,86475.468750,1744.049927,8196.000000,2.731043
34119.312500,30480.000000,73361.007812,45460.000000,27632.000000,107819.429688,637.559998,9625.000000,2.732064
94612.773438,80903.000000,76641.695312,39812.000000,28419.000000,91808.968750,752.289978,20672.000000,2.733087
81990.945312,72791.000000,73819.000000,39474.000000,30547.000000,84688.125000,1879.569946,9885.000000,2.734109
45269.371094,35122.000000,84470.523438,42007.000000,26918.000000,102272.492188,429.660004,13268.000000,2.738197
23902.240234,16123.000000,97156.687500,44524.000000,23695.000000,123145.171875,303.380005,12057.000000,2.743308
92832.109375,82298.000000,73924.585938,43058.000000,32026.000000,88111.195312,3488.869873,15745.000000,2.745352
31488.611328,26083.000000,79118.101562,52517.000000,43443.000000,79224.593750,200.199997,2726.000000,2.754551
90912.414062,74691.000000,79769.125000,84949.000000,53111.000000,104822.312500,467.389984,21145.000000,2.755573
50724.320312,43671.000000,76120.750000,30233.000000,21811.000000,90841.773438,4035.569824,17995.000000,2.759661
64966.441406,60739.000000,70097.312500,36915.000000,27027.000000,89512.765625,662.969971,3447.000000,2.759661
