"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
109516.914062,94443.000000,75996.101562,82216.000000,57483.000000,93733.937500,133.209991,2014.000000,0.622531
25786.390625,19404.000000,87092.195312,41842.000000,31500.000000,87052.617188,115.500000,1563.000000,0.623688
116277.734375,94803.000000,80381.179688,148130.000000,68659.000000,141392.203125,126.279999,2552.000000,0.623688
71629.304688,49783.000000,94295.203125,95262.000000,43367.000000,143959.468750,250.250000,1855.000000,0.624845
67229.000000,51690.000000,85237.375000,82999.000000,44634.000000,121867.242188,148.610001,1616.000000,0.626002
30271.220703,21175.000000,93688.539062,47503.000000,35575.000000,87509.671875,59.289997,1834.000000,0.631788
98664.679688,86118.000000,75084.054688,50773.000000,40582.000000,81993.476562,84.699997,1216.000000,0.632945
160870.859375,137595.000000,76622.203125,120866.000000,78319.000000,101138.609375,421.190002,2348.000000,0.635259
78765.375000,69762.000000,73993.976562,50672.000000,38150.000000,87046.929688,197.889999,1586.000000,0.637573
82486.273438,73706.000000,73343.023438,67216.000000,45918.000000,95933.351562,122.430000,1786.000000,0.638730
54463.390625,38511.000000,92682.945312,88122.000000,49743.000000,116100.023438,269.500000,1654.000000,0.639888
46966.292969,31135.000000,98859.265625,49713.000000,30523.000000,106738.898438,96.250000,1084.000000,0.639888
71067.609375,62682.000000,74303.421875,58738.000000,38394.000000,100261.851562,132.440002,1486.000000,0.639888
92588.000000,81959.000000,74035.156250,53340.000000,39783.000000,87868.945312,120.889999,1413.000000,0.643359
35166.062500,29653.000000,77720.414062,111040.000000,74545.000000,97620.460938,585.969971,18700.000000,0.643359
111406.593750,106978.000000,68249.007812,82396.000000,56710.000000,95219.617188,174.789993,2309.000000,0.645673
92453.703125,75766.000000,79970.515625,81382.000000,54742.000000,97428.867188,107.029999,1328.000000,0.646830
78811.195312,67697.000000,76295.414062,80598.000000,50565.000000,104461.000000,221.759995,1724.000000,0.647987
126975.914062,97810.000000,85078.156250,124147.000000,60310.000000,134904.625000,157.080002,3307.000000,0.650302
114191.343750,102598.000000,72941.429688,82733.000000,56038.000000,96755.593750,177.099991,1603.000000,0.651459
61778.792969,41583.000000,97365.148438,110159.000000,50395.000000,143255.875000,160.929993,2630.000000,0.652616
115524.859375,102935.000000,73551.632812,66698.000000,51239.000000,85308.453125,67.759995,1358.000000,0.652616
60979.312500,47739.000000,83712.273438,52286.000000,32155.000000,106565.554688,215.599991,1183.000000,0.653773
79848.460938,71790.000000,72892.453125,36812.000000,28314.000000,85205.593750,100.099998,1293.000000,0.654930
58963.230469,43216.000000,89416.289062,61617.000000,38964.000000,103637.507812,128.589996,2283.000000,0.654930
104562.031250,90915.000000,75373.453125,65243.000000,51475.000000,83064.898438,153.229996,1316.000000,0.657244
151245.500000,136943.000000,72380.664062,93990.000000,61519.000000,100127.257812,89.320000,2110.000000,0.659559
108850.945312,97290.000000,73323.625000,70253.000000,52686.000000,87387.554688,125.509995,1871.000000,0.660716
