"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
23468.800781,19366.000000,79420.195312,31253.000000,19538.000000,104831.445312,1167.619995,17276.000000,0.738271
72634.398438,45774.000000,103992.835938,83465.000000,37198.000000,147049.906250,5097.870117,18221.000000,0.944019
149760.796875,110916.000000,88487.898438,94011.000000,47040.000000,130975.859375,3423.860107,40702.000000,0.982344
39997.601562,28320.000000,92559.421875,35951.000000,18672.000000,126182.765625,966.170044,17222.000000,1.121526
22824.800781,11198.000000,133581.546875,43655.000000,15834.000000,180685.484375,2272.040039,17379.000000,1.385771
28658.400391,18320.000000,102519.484375,52206.000000,27652.000000,123729.664062,1482.830078,37639.000000,1.673213
85768.804688,71473.000000,78644.304688,33736.000000,24197.000000,91371.757812,3508.390137,34036.000000,1.936449
47945.601562,33784.000000,93007.421875,39277.000000,28684.000000,89738.445312,4978.580078,42657.000000,2.005031
29332.800781,25909.000000,74196.398438,45389.000000,23393.000000,127158.273438,2911.150146,14772.000000,2.057477
42356.800781,36297.000000,76477.273438,44805.000000,28057.000000,104656.250000,3269.810059,27330.000000,2.153291
25248.000000,21277.000000,77767.218750,37505.000000,31833.000000,77213.195312,234.630005,3333.000000,2.155308
53823.199219,35176.000000,100277.382812,44484.000000,23896.000000,121999.640625,7338.310059,24710.000000,2.222882
39999.199219,25873.000000,101317.500000,66601.000000,29809.000000,146424.343750,6711.840332,262143.000000,2.280370
50260.000000,35496.000000,92794.664062,24885.000000,21496.000000,75868.226562,729.960022,4287.000000,2.355004
63782.402344,52912.000000,78999.921875,45645.000000,31312.000000,95534.960938,1297.970093,74435.000000,2.367107
62583.199219,46852.000000,87540.609375,54678.000000,30688.000000,116768.031250,889.540039,7169.000000,2.889544
62140.000000,45505.000000,89493.617188,54559.000000,29777.000000,120078.539062,1849.390015,59869.000000,2.959135
53907.199219,39097.000000,90361.476562,65361.000000,34861.000000,122873.664062,10266.839844,79797.000000,2.986367
54558.402344,36003.000000,99312.265625,73699.000000,25795.000000,187243.171875,2415.820068,35107.000000,3.206234
19175.201172,10168.000000,123590.281250,75812.000000,29224.000000,170011.468750,8750.830078,13010.000000,3.395845
81735.203125,57584.000000,93022.351562,45978.000000,26100.000000,115448.820312,2064.270020,29246.000000,3.513847
20520.800781,15223.000000,88343.375000,29914.000000,18967.000000,103360.781250,1024.630005,6301.000000,3.558224
93618.398438,71429.000000,85894.734375,51984.000000,32945.000000,103409.414062,2215.160156,11667.000000,3.695389
28312.000000,18277.000000,101518.585938,30152.000000,18101.000000,109167.531250,512.710022,17986.000000,3.719595
86211.203125,63757.000000,88616.750000,56259.000000,33725.000000,109325.125000,28133.480469,7415.000000,3.878948
41305.601562,31044.000000,87198.945312,39179.000000,24308.000000,105629.218750,1587.900024,11136.000000,3.878948
39491.199219,33297.000000,77727.578125,55022.000000,35029.000000,102941.039062,1129.700073,12730.000000,4.171433
92145.601562,71828.000000,84073.820312,60723.000000,40816.000000,97499.578125,3374.880127,14527.000000,4.460891
111195.203125,84119.000000,86630.726562,105605.000000,56243.000000,123054.054688,12044.339844,52796.000000,4.609151
