"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
128520.804688,103993.000000,80993.335938,65536.000000,45581.000000,94227.148438,7110.790039,26053.000000,0.446977
48668.000000,41100.000000,77603.546875,64498.000000,32460.000000,130219.992188,3808.590088,29390.000000,0.460064
64744.000000,56040.000000,75714.898438,23420.000000,19260.000000,79691.234375,1056.229980,4839.000000,0.484225
88346.398438,67633.000000,85607.164062,71435.000000,42769.000000,109461.625000,2102.189941,7650.000000,0.561741
65295.199219,52552.000000,81427.664062,29481.000000,21372.000000,90401.781250,309.680023,5948.000000,0.578855
51796.800781,43232.000000,78519.507812,29712.000000,20948.000000,92954.257812,2181.189941,4745.000000,0.601003
22804.000000,20705.000000,72179.812500,27331.000000,16389.000000,109290.648438,253.590012,8356.000000,0.667445
59256.000000,50253.000000,77277.000000,29054.000000,17693.000000,107617.867188,1327.200073,27064.000000,0.698653
85560.000000,70996.000000,78979.945312,38477.000000,27920.000000,90316.210938,1719.040039,4840.000000,0.706707
28738.400391,17917.000000,105118.031250,34941.000000,19453.000000,117714.156250,944.050049,3596.000000,0.729861
82060.000000,72149.000000,74538.585938,34175.000000,25765.000000,86927.726562,632.000000,2568.000000,0.736908
88959.203125,79073.000000,73729.734375,31883.000000,25205.000000,82899.601562,12969.430664,1866.000000,0.747981
91215.203125,75948.000000,78710.164062,31727.000000,25788.000000,80629.000000,1000.930054,11204.000000,0.754022
74980.804688,54276.000000,90536.187500,42639.000000,20548.000000,135993.265625,1081.510010,7134.000000,0.760062
53960.000000,35865.000000,98600.937500,39133.000000,19725.000000,130018.781250,1741.950073,12352.000000,0.761069
73065.601562,64245.000000,74533.851562,35355.000000,26881.000000,86195.656250,1984.480103,12433.000000,0.771136
52879.199219,37688.000000,91952.109375,27410.000000,18968.000000,94703.804688,3558.950195,8757.000000,0.795297
89968.000000,77412.000000,76165.750000,32683.000000,26304.000000,81429.179688,754.450012,23804.000000,0.795297
94356.000000,73928.000000,83645.101562,70000.000000,33724.000000,136031.312500,1290.070068,4671.000000,0.799323
31440.800781,24201.000000,85141.289062,46732.000000,27037.000000,113275.445312,282.820007,4589.000000,0.799323
87888.000000,78089.000000,73759.781250,33980.000000,26605.000000,83702.804688,2945.120117,8651.000000,0.799323
49187.199219,41581.000000,77524.171875,58759.000000,37261.000000,103347.468750,706.260010,11465.000000,0.799323
80581.601562,65241.000000,80945.968750,50691.000000,27229.000000,122005.414062,1906.270020,10764.000000,0.818451
41797.601562,29088.000000,94171.054688,58613.000000,28516.000000,134705.484375,1468.609985,12677.000000,0.842612
52157.601562,46140.000000,74083.234375,25509.000000,17992.000000,92916.734375,1276.640015,4695.000000,0.843618
38739.199219,31620.000000,80291.343750,37457.000000,21424.000000,114580.929688,1641.619995,7127.000000,0.848652
105297.601562,88705.000000,77794.757812,49185.000000,36453.000000,88425.875000,936.940002,5304.000000,0.851672
62966.402344,44324.000000,93100.046875,35573.000000,23668.000000,98500.593750,1840.700073,3493.000000,0.853685
50893.601562,40928.000000,81493.437500,23022.000000,17444.000000,86492.195312,1312.979980,6968.000000,0.881873
84832.804688,71553.000000,77699.093750,47993.000000,38005.000000,82759.351562,838.980042,3459.000000,0.884893
43136.000000,36465.000000,77525.328125,41878.000000,25477.000000,107725.265625,3325.900146,24472.000000,0.887913
87318.398438,76257.000000,75042.273438,29706.000000,24193.000000,80470.070312,2003.440063,1698.000000,0.887913
105746.398438,91644.000000,75620.835938,40529.000000,28472.000000,93288.445312,2718.390137,16547.000000,0.916101
73534.398438,64388.000000,74845.484375,31626.000000,25632.000000,80861.484375,2580.930176,1360.000000,0.918114
54047.199219,30763.000000,115139.523438,55115.000000,28127.000000,128418.132812,403.690002,9517.000000,0.924155
48660.000000,39524.000000,80684.695312,47509.000000,28884.000000,107794.968750,3223.989990,19317.000000,0.925161
47396.000000,32557.000000,95406.335938,71122.000000,29561.000000,157675.703125,2245.969971,7297.000000,0.941269
84195.203125,61568.000000,89621.507812,39184.000000,27396.000000,93734.953125,2481.390137,2810.000000,0.942275
79161.601562,68753.000000,75457.570312,31137.000000,25153.000000,81127.281250,2389.750000,2493.000000,0.957376
45908.000000,40284.000000,74685.406250,27335.000000,19292.000000,92858.523438,3676.660156,2234.000000,0.959389
87893.601562,80208.000000,71815.718750,56480.000000,33200.000000,111490.156250,1139.180054,18477.000000,0.961403
38964.800781,30317.000000,84229.875000,44712.000000,28253.000000,103714.500000,1173.940063,9981.000000,0.963416
27743.201172,22368.000000,81284.804688,27259.000000,16580.000000,107747.031250,326.270020,29795.000000,0.979523
82712.000000,70901.000000,76453.281250,48968.000000,32369.000000,99143.218750,2969.610107,22947.000000,0.981537
40249.601562,27685.000000,95278.960938,61085.000000,23505.000000,170315.546875,2812.400146,14307.000000,0.985564
72361.601562,53412.000000,88786.968750,24131.000000,15780.000000,100218.585938,266.230011,6230.000000,0.993617
81400.804688,73448.000000,72632.109375,43638.000000,28876.000000,99039.343750,985.920044,13847.000000,0.998651
35539.199219,28476.000000,81791.578125,29432.000000,16888.000000,114214.570312,477.950012,21610.000000,1.003684
68679.203125,44992.000000,100039.125000,54518.000000,31604.000000,113051.882812,2310.750000,35856.000000,1.018785
102784.000000,88681.000000,75958.234375,36012.000000,28105.000000,83973.757812,1198.430054,2500.000000,1.023818
77519.203125,64725.000000,78490.507812,26954.000000,21153.000000,83508.593750,1259.260010,9056.000000,1.032879
97775.203125,80876.000000,79229.882812,39582.000000,30408.000000,85308.015625,978.020020,8253.000000,1.039926
93114.398438,78028.000000,78207.125000,35904.000000,28540.000000,82445.851562,1222.130005,3828.000000,1.043952
40159.199219,34629.000000,76002.000000,24430.000000,17045.000000,93930.445312,648.590027,2291.000000,1.046973
26157.599609,17596.000000,97423.531250,31956.000000,14812.000000,141389.984375,2203.310059,41555.000000,1.052006
104560.000000,89232.000000,76793.570312,56581.000000,38068.000000,97407.078125,299.410004,2710.000000,1.053013
55157.601562,44909.000000,80491.851562,35263.000000,22637.000000,102089.328125,1035.690063,40141.000000,1.073147
49546.402344,34956.000000,92890.296875,35566.000000,22152.000000,105220.906250,1487.570068,37540.000000,1.077174
40626.402344,36383.000000,73179.562500,25403.000000,18303.000000,90958.367188,1225.290039,10102.000000,1.080194
91840.000000,77757.000000,77405.593750,33343.000000,26953.000000,81073.226562,3912.080078,24737.000000,1.081201
79709.601562,59124.000000,88354.109375,38651.000000,27264.000000,92907.570312,2389.750000,4469.000000,1.083214
87908.000000,65585.000000,87842.320312,53774.000000,37717.000000,93436.195312,523.770020,74094.000000,1.093281
36316.000000,27234.000000,87390.960938,32138.000000,17410.000000,120976.218750,2468.750000,11526.000000,1.117442
85891.203125,75425.000000,74629.976562,42751.000000,30677.000000,91329.968750,1903.110107,17740.000000,1.120462
65245.601562,52597.000000,81296.195312,25245.000000,16849.000000,98193.156250,3701.940186,15930.000000,1.126502
96156.804688,78189.000000,80596.156250,60067.000000,35929.000000,109564.718750,748.130005,18994.000000,1.131536
66316.000000,46806.000000,92853.171875,47239.000000,24946.000000,124102.273438,1301.920044,22195.000000,1.142610
78242.398438,58490.000000,87667.875000,64138.000000,34766.000000,120903.984375,3874.950195,22520.000000,1.143616
100326.398438,86605.000000,75919.296875,33086.000000,26249.000000,82605.968750,1832.800049,3410.000000,1.148650
71132.000000,62333.000000,74787.148438,30966.000000,23609.000000,85958.234375,2299.689941,3485.000000,1.163750
44652.800781,38877.000000,75272.421875,28213.000000,20525.000000,90083.664062,721.270020,19988.000000,1.165764
89316.804688,78621.000000,74451.687500,38878.000000,29373.000000,86743.226562,7961.620117,3343.000000,1.165764
43877.601562,28448.000000,101081.359375,55442.000000,31504.000000,115332.875000,1779.080078,10578.000000,1.168784
35444.800781,30837.000000,75328.679688,32200.000000,18309.000000,115258.023438,406.850006,3900.000000,1.171804
47120.000000,34801.000000,88734.703125,30040.000000,20629.000000,95433.687500,521.400024,9319.000000,1.184891
23159.201172,15114.000000,100420.890625,41238.000000,23678.000000,114138.593750,1796.460083,14511.000000,1.198985
39256.800781,26217.000000,98132.265625,47368.000000,26205.000000,118462.476562,1253.729980,14886.000000,1.205025
32466.400391,18969.000000,112168.164062,32590.000000,21885.000000,97592.796875,652.540039,8489.000000,1.209052
165910.406250,136545.000000,79630.187500,61398.000000,41781.000000,96306.445312,3214.510010,6601.000000,1.217106
39172.000000,22100.000000,116161.820312,39527.000000,22080.000000,117320.718750,2386.590088,20156.000000,1.223146
65900.000000,49558.000000,87146.828125,49682.000000,31885.000000,102115.710938,1068.869995,7589.000000,1.230193
103992.000000,88222.000000,77250.796875,43879.000000,33370.000000,86174.835938,1802.780029,14055.000000,1.238247
83976.000000,65599.000000,83895.359375,40169.000000,30955.000000,85043.312500,1121.010010,11801.000000,1.254354
57824.000000,41356.000000,91632.507812,28076.000000,20136.000000,91378.070312,2388.959961,13834.000000,1.256367
77480.804688,51821.000000,97986.953125,65508.000000,34745.000000,123561.156250,1148.660034,32931.000000,1.261401
42164.800781,21068.000000,131161.593750,61852.000000,23084.000000,175599.250000,876.110046,16025.000000,1.264421
70760.804688,60385.000000,76796.890625,31768.000000,22833.000000,91181.515625,568.799988,2143.000000,1.266434
66577.601562,55212.000000,79026.835938,48512.000000,29832.000000,106572.890625,2210.420166,7636.000000,1.301669
39848.800781,30457.000000,85744.851562,41910.000000,23001.000000,119412.804688,1075.190063,7005.000000,1.304689
57492.000000,50985.000000,73900.085938,33060.000000,25325.000000,85552.625000,605.929993,2338.000000,1.306702
65301.601562,61316.000000,69795.906250,36772.000000,24752.000000,97361.414062,769.460022,7686.000000,1.306702
78299.203125,65365.000000,78504.039062,23808.000000,19013.000000,82063.914062,800.270020,1898.000000,1.308716
29040.800781,14989.000000,126974.320312,33188.000000,19209.000000,113228.632812,956.690002,5302.000000,1.312743
31837.599609,16636.000000,125421.328125,45433.000000,18444.000000,161434.453125,1087.040039,8132.000000,1.313749
72107.203125,59393.000000,79565.234375,33073.000000,25381.000000,85397.429688,998.559998,6763.000000,1.318783
67306.398438,43047.000000,102469.218750,53051.000000,34867.000000,99714.632812,690.460022,31472.000000,1.329857
63904.800781,45781.000000,91480.414062,33945.000000,22421.000000,99220.351562,507.970001,2665.000000,1.332877
62910.402344,41500.000000,99346.898438,37360.000000,24060.000000,101763.296875,4638.090332,12109.000000,1.339924
44285.601562,34433.000000,84288.375000,53043.000000,32245.000000,107806.671875,935.360046,8350.000000,1.339924
84789.601562,75157.000000,73935.507812,43603.000000,31873.000000,89654.757812,1625.820068,3589.000000,1.343951
91043.203125,80072.000000,74515.531250,34162.000000,27340.000000,81888.835938,2206.469971,12901.000000,1.343951
24904.000000,12912.000000,126402.468750,39105.000000,23908.000000,107193.625000,1973.420044,17608.000000,1.346971
98378.398438,85844.000000,75105.156250,97557.000000,54628.000000,117036.968750,1184.210083,6868.000000,1.347977
64003.199219,50437.000000,83163.421875,54209.000000,30369.000000,116982.492188,3515.500000,25021.000000,1.350997
88648.804688,76213.000000,76229.632812,48214.000000,32165.000000,98235.742188,1754.590088,18671.000000,1.356031
