"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
25509.599609,11838.000000,141222.921875,76563.000000,29854.000000,168072.375000,751.290039,4143.000000,0.751437
48155.199219,38704.000000,81539.359375,55701.000000,26660.000000,136925.015625,698.360046,4901.000000,0.845747
134368.796875,117261.000000,75097.375000,55524.000000,41357.000000,87985.617188,941.680054,2714.000000,0.855888
161872.000000,131258.000000,80821.304688,84211.000000,55482.000000,99471.039062,728.380005,3951.000000,0.884282
62032.800781,40040.000000,101533.000000,65962.000000,40828.000000,105880.421875,1257.680054,4255.000000,0.925860
7781.600098,6972.000000,73146.156250,36857.000000,34200.000000,70627.500000,65.570000,584.000000,0.962367
71137.601562,57993.000000,80390.289062,62897.000000,41465.000000,99409.570312,695.200012,2792.000000,1.067832
30734.400391,14204.000000,141805.828125,73141.000000,19464.000000,246268.437500,865.050049,3346.000000,1.075945
168874.406250,135016.000000,81970.671875,92595.000000,62712.000000,96764.664062,952.740051,6611.000000,1.137804
56649.601562,34088.000000,108911.882812,55234.000000,27948.000000,129519.656250,1651.890015,3810.000000,1.181409
127797.601562,105804.000000,79159.046875,88462.000000,50124.000000,115662.078125,1672.430054,3568.000000,1.210818
29237.599609,12308.000000,155680.484375,69166.000000,20304.000000,223249.765625,1038.060059,3904.000000,1.249353
47768.000000,35280.000000,88733.664062,35756.000000,24480.000000,95723.257812,636.739990,2581.000000,1.292959
74540.804688,63684.000000,76708.531250,32471.000000,24692.000000,86182.554688,574.330017,2943.000000,1.317297
13020.000000,8397.000000,101617.093750,31533.000000,14649.000000,141070.843750,1254.520020,1966.000000,1.337579
12279.200195,9396.000000,85645.976562,44322.000000,39572.000000,73402.570312,608.299988,164.000000,1.408565
15800.799805,11224.000000,92259.546875,31056.000000,17228.000000,118138.273438,2381.060059,2086.000000,1.461297
40883.199219,22708.000000,117990.210938,43804.000000,30804.000000,93193.710938,415.540009,2028.000000,1.581973
