"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
50692.000000,35612.000000,93287.398438,60757.000000,25676.000000,155077.531250,624.100037,3761.000000,0.518673
90552.000000,77966.000000,76115.437500,26155.000000,21690.000000,79026.937500,213.300003,1477.000000,0.523738
73708.804688,64141.000000,75311.890625,24366.000000,19837.000000,80498.570312,358.660004,1024.000000,0.526778
55417.601562,45604.000000,79638.804688,34892.000000,18736.000000,122047.507812,477.160004,2338.000000,0.564260
39926.402344,23225.000000,112663.804688,52770.000000,30157.000000,114677.679688,318.369995,1859.000000,0.591612
64580.000000,51376.000000,82379.226562,46395.000000,26896.000000,113048.140625,452.670013,1973.000000,0.629094
69300.000000,49665.000000,91445.578125,42587.000000,26389.000000,105763.070312,1013.570007,2402.000000,0.651381
68180.804688,51796.000000,86267.226562,30456.000000,22932.000000,87038.398438,358.660004,1459.000000,0.669615
95036.804688,82134.000000,75831.351562,30832.000000,24754.000000,81627.460938,351.550018,1894.000000,0.732423
39240.000000,28261.000000,90995.812500,57105.000000,24689.000000,151583.031250,356.290009,3592.000000,0.737489
56798.402344,44439.000000,83762.914062,26180.000000,19431.000000,88298.726562,302.570007,1238.000000,0.745593
86438.398438,75542.000000,74989.101562,43858.000000,32406.000000,88695.859375,447.140015,2579.000000,0.771932
44971.199219,40976.000000,71925.828125,30235.000000,19716.000000,100501.164062,507.180023,1807.000000,0.787127
105423.203125,72694.000000,95042.445312,52249.000000,25970.000000,131851.765625,1046.750000,2645.000000,0.795231
88738.398438,75837.000000,76684.992188,52259.000000,37245.000000,91954.515625,575.119995,2241.000000,0.800297
23060.800781,13208.000000,114424.039062,51001.000000,18280.000000,182844.718750,845.300049,2432.000000,0.800297
29668.000000,17710.000000,109786.679688,46727.000000,16730.000000,183042.484375,389.470001,1692.000000,0.815492
72785.601562,48845.000000,97657.437500,44481.000000,29261.000000,99624.312500,564.059998,2269.000000,0.826635
57775.199219,43006.000000,88042.484375,36302.000000,24366.000000,97639.664062,348.390015,1431.000000,0.830688
84813.601562,70220.000000,79156.140625,40048.000000,30008.000000,87462.859375,344.440002,1611.000000,0.835753
27534.400391,20515.000000,87959.757812,35683.000000,16839.000000,138875.296875,410.010010,1982.000000,0.849935
92171.203125,76009.000000,79471.281250,45524.000000,33325.000000,89526.210938,504.810028,1890.000000,0.859053
127080.000000,101946.000000,81693.398438,51357.000000,32078.000000,104923.382812,608.299988,2567.000000,0.865131
48920.000000,41468.000000,77313.140625,40011.000000,21740.000000,120614.578125,312.050018,1654.000000,0.872222
70629.601562,59664.000000,77580.812500,40523.000000,25504.000000,104129.367188,521.400024,1794.000000,0.878300
