"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
58551.5,40213,95422.6,107771,53493,132034,7476.8,3010.59,0.005,0
21618.5,14401,98381.3,47804.1,23297,134476,2308,2473.02,0.008,1
16310.6,9257,115473,65481.6,21981,195232,2087.2,3841.2,0.023,4
94571.1,70848,87480.4,78951.5,48160,107437,27117.6,2666.07,0.027,5
74063.3,52960,91650.6,45588.5,27376,109135,8304,1235.52,0.027,6
70585.3,49240,93945.6,68345.6,36300,123391,9539.2,4239.18,0.03,7
74117.2,50473,96236.4,71696.8,46797,100406,20583.2,3438.27,0.032,8
56456.4,42228,87617.9,68292.2,36644,122137,8724,4839.12,0.033,9
19831.5,11885,109354,50891.9,28157,118452,4040,1642.41,0.034,10
79521.8,60445,86219.5,71467.1,39257,119308,2733.6,2045.34,0.036,11
32782.6,20333,105663,54346.1,24585,144870,6073.6,2248.29,0.04,13
31210.9,22912,89273.7,83027.3,39972,136127,1926.4,3980.79,0.042,15
74405,58145,83862.8,39900,24245,107853,5723.2,1674.09,0.046,16
96149.8,84881,74236.6,76002.3,45653,109103,10989.6,2364.12,0.051,18
211696,164577,84299.2,98580.2,60725,106390,35081.6,3730.32,0.056,19
93366.8,67480,90677,49861.4,28472,114769,11983.2,2941.29,0.06,22
83479.5,67073,81566.5,81098.8,44725,118835,28631.2,2650.23,0.06,23
34178.8,29273,76519.1,64901.4,35673,119232,27869.6,3098.7,0.065,25
57753.5,50228,75355.1,84126.2,41988,131306,11826.4,5393.52,0.065,26
100522,87172,75572.3,65767.7,38020,113365,8864,2101.77,0.074,28
106125,76679,90703.1,62067.1,35847,113472,4243.2,1736.46,0.076,29
69280.4,60568,74963,68516.9,44760,100320,15859.2,4356,0.077,30
70231.2,47784,96322.4,116169,51548,147692,14436.8,3313.53,0.078,31
89262.4,70841,82577.9,61768.1,36237,111710,4347.2,3182.85,0.078,32
41762,24868,110058,84768.8,25552,217416,8676,3175.92,0.079,33
104686,87368,78526.6,70418.7,43336,106493,10872,2761.11,0.08,35
83418.7,56803,96243.6,67387.3,39251,112514,18960,2224.53,0.083,36
45117.5,33948,87098.6,57632.9,32140,117518,1691.2,3128.4,0.085,38
32372.3,21260,99790.9,74003.5,25868,187486,4045.6,2460.15,0.085,39
20862.7,12687,107768,41782.9,22203,123330,6869.6,8561.52,0.089,40
30235.1,18160,109113,40019.8,22560,116256,2945.6,4729.23,0.09,41
24131.6,15013,105341,68022.9,33169,134401,8446.4,3006.63,0.091,43
70483.1,55402,83375.8,44331.2,27582,105333,5260,1387.98,0.1,45
64721.3,51348,82604.5,58242.7,35072,108833,5361.6,1793.88,0.102,46
50144.6,47539,69128.1,54865.8,32823,109548,2709.6,2581.92,0.104,47
93408.1,70945,86286.5,56772.5,33045,112593,3024.8,4141.17,0.106,48
148948,115357,84619.6,68410,41449,108165,13650.4,2209.68,0.107,49
79698.1,71824,72720.7,67878.4,43892,101351,1260,1599.84,0.108,50
99057.7,81033,80113.6,49657.4,36541,89060.2,8900,1397.88,0.113,52
145199,127321,74738.5,68280.3,45725,97863.7,12196.8,4995.54,0.117,53
64705.7,51589,82198.8,48423.9,29285,108366,2887.2,1597.86,0.117,55
47541,35311,88234.5,67126,32453,135555,1917.6,2920.5,0.133,56
99723.8,80268,81421,56513.2,35768,103546,21181.6,2613.6,0.133,57
88598.6,76028,76371.9,58064.5,29564,128714,19215.2,1366.2,0.138,60
77395.5,60008,84525.3,39645.5,25256,102875,12233.6,1337.49,0.14,62
57698.9,38853,97324.7,37085.4,16465,147612,5827.2,1198.89,0.14,63
116782,103576,73892.1,40430.6,31516,84073.5,6003.2,2404.71,0.141,64
167287,145381,75411.1,68110,51589,86523.5,9267.2,3125.43,0.141,65
63046.6,51409,80371.6,51407.7,27473,122632,3930.4,1409.76,0.142,66
148902,109660,88988.2,114300,58364,128346,7471.2,4214.43,0.143,67
113928,94308,79169.9,65095.5,45024,94751.6,7541.6,3444.21,0.152,71
72601.6,57708,82449.9,48343.7,27304,116036,7005.6,1492.92,0.159,73
39574.1,20354,127421,43254.1,22866,123970,8791.2,1579.05,0.16,76
56148.3,42209,87178.9,57255.7,31285,119939,13975.2,5506.38,0.17,78
79938.3,59508,88035.8,53019.4,31296,111026,23834.4,1688.94,0.177,80
82311.8,63131,85447.5,76467.6,39407,127170,9220,2595.78,0.181,82
17934.5,10777,109062,47354.7,25897,119838,10957.6,2023.56,0.183,84
65583.2,49410,86987.6,62244.3,28082,145262,3494.4,2284.92,0.183,86
99035.8,87757,73958.9,35451.9,28793,80692.4,4389.6,935.55,0.192,87
119443,102247,76557.9,67941.7,44692,99629.2,6997.6,2090.88,0.198,88
71426.9,58477,80049.2,64856.9,31901,133239,10440.8,2942.28,0.199,89
88736.7,77088,75439.1,54824.2,40864,87924.8,6348.8,2007.72,0.207,92
20285.5,16558,80289.2,37228,25134,97070.6,976,1511.73,0.21,95
56032.1,35913,102250,92028.4,38333,157336,12845.6,3054.15,0.211,96
91213.2,75125,79570.7,72733.3,41941,113651,1668.8,2235.42,0.212,97
125603,103217,79749.4,81625.5,46577,114851,20867.2,2297.79,0.214,98
87541,68648,83572.5,95320.2,48520,128749,23113.6,3065.04,0.214,99
55763,41210,88679.5,56929,26478,140906,9116,2251.26,0.221,102
68088.5,56521,78948.5,72125.5,41101,115005,12640,5576.67,0.224,104
123870,114542,70873.2,56560.7,41370,89600.2,9680.8,1223.64,0.225,105
13715.5,9905,90748.1,37744.7,18581,133127,7444,1996.83,0.228,107
24788.4,18800,86411.3,83522.3,50452,108494,11832,5105.43,0.231,109
42717.5,31169,89817.9,40007.9,16357,160296,4030.4,3645.18,0.231,110
118268,97304,79655.8,101370,63416,104759,4264,4659.93,0.235,111
103918,87373,77945.8,75816.2,48793,101832,15418.4,1763.19,0.237,112
81754.1,52800,101474,48189.2,26660,118460,4135.2,1777.05,0.237,113
46817.9,23041,133165,65327.1,27381,156359,1908,2290.86,0.239,114
57373.7,41893,89753.5,39634.6,23509,110489,23378.4,847.44,0.24,115
89167.3,68288,85573.8,51527.5,23284,145031,13285.6,2251.26,0.243,116
66103.4,41062,105503,38946.6,21958,116240,5190.4,1416.69,0.244,118
170797,138901,80584.9,100355,64673,101694,22948,5795.46,0.244,119
80966.3,70648,75107.7,74069.8,44776,108412,9163.2,2164.14,0.245,120
115846,88004,86269.5,87680.3,52820,108789,15668.8,2505.69,0.246,121
81262.7,69013,77168.6,53320.4,33425,104545,4374.4,1735.47,0.249,122
85787.5,58642,95872.8,74424.2,42326,115236,3012,3948.12,0.254,123
152236,125971,79200.1,112245,59415,123809,16699.2,3005.64,0.258,125
52120.4,29614,115343,66376.5,31546,137896,33222.4,4523.31,0.261,127
89325.6,78889,74206.1,42597.7,30861,90459.9,1604.8,2292.84,0.264,129
87789,65100,88377,54497.5,35144,101626,3432.8,1196.91,0.267,131
145602,117824,80986.6,67529.9,44416,99640.6,20468.8,3305.61,0.281,133
50395,27561,119832,36582.5,15213,157593,2028,1608.75,0.283,135
80610.7,66392,79571.3,37537.8,29400,83676.2,8241.6,943.47,0.286,137
