"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
114265,100605,74434.6,51965.1,41284,82491.6,641.6,3552.12,0.001,0
102670,88969,75628.3,54320.3,40109,88756.5,921.6,3826.35,0.002,1
126532,109285,75878.9,68469.4,49345,90935.5,762.4,4490.64,0.002,2
75995.4,72028,69145.8,43719.4,30952,92568.9,352,2814.57,0.011,3
44431.9,29778,97786.6,49283.2,32578,99141.2,608.8,4000.59,0.012,4
62063,56390,72129.2,64740.1,39442,107571,1760.8,19651.5,0.013,6
76796.5,56780,88639.2,42820.5,27436,102285,85.6,2946.24,0.016,7
90423.8,70213,84400.6,48708,35605,89653.9,762.4,5703.39,0.018,8
67432.6,55351,79840.7,57506.1,38748,97262.4,892.8,10204.9,0.024,9
68340.5,53572,83602.7,73398.6,41140,116924,420.8,6293.43,0.028,10
29573.7,24618,78728.7,36840.9,27870,86630.9,150.4,3615.48,0.03,11
34406.6,18497,121905,68084.3,23329,191263,1713.6,6637.95,0.034,12
126384,103644,79915,56282.5,41100,89745.2,1096.8,5743.98,0.036,13
87684.5,79920,71903,43734.2,35312,81167,888.8,3619.44,0.037,14
55752.8,45329,80606.6,69009.9,39253,115218,912,5490.54,0.038,15
91154.7,79731,74925.9,61203.8,39543,101435,360.8,4439.16,0.044,16
68887.3,52580,85861.5,43760,24212,118448,644.8,7761.6,0.049,17
84780.5,62904,88327.9,46119.2,34956,86464.8,780.8,1507.77,0.055,18
60316.6,50661,78026.7,47703.2,31073,100611,532,9023.85,0.056,19
101094,87557,75668.5,48658.5,38033,83845.2,1480.8,7261.65,0.057,21
87110.4,77693,73479.8,30560.3,25485,78587.4,659.2,1795.86,0.059,22
63443.6,39521,105206,172129,73717,153027,1746.4,12045.3,0.059,23
99081.1,87095,74555.1,36763.6,30787,78258.4,260,2040.39,0.059,24
111115,101772,71552.4,50923.6,39992,83449.9,272.8,3569.94,0.059,25
86966.9,78680,72438.5,57631.9,42748,88354.1,2388,7255.71,0.064,26
89399.7,79665,73544.2,34024.3,27985,79679,506.4,1917.63,0.067,27
32813,24742,86914.4,45404.4,34370,86576.1,1067.2,5929.11,0.071,29
55460.3,50112,72530.5,94748,58928,105373,324.8,3060.09,0.075,30
78279.2,53069,96668.6,97089.3,48909,130096,1543.2,12806.6,0.083,32
31264.7,21393,95777.4,55206.4,32641,110842,1656.8,4918.32,0.087,33
33601.6,26021,84628.4,43488.7,27873,102252,574.4,6580.53,0.092,34
22302.5,13188,110829,44916.3,20404,144268,897.6,7559.64,0.098,35
83432.7,74823,73077.1,41614.7,34355,79384.6,1573.6,10203.9,0.102,36
157833,134340,76996.7,61646.3,44452,90885.7,532,3088.8,0.103,37
72379.3,65993,71878.1,38419.9,26397,95385.4,712.8,4353.03,0.106,39
89696.9,79121,74296,38650.6,30981,81760,1134.4,4553.01,0.106,40
81847.7,74836,71676.4,33460,27056,81048,3680,4354.02,0.107,41
85339.8,73207,76397.5,52086.9,36467,93607,1368,5976.63,0.109,42
26043.4,22952,74363.1,55501.4,33656,108074,527.2,8670.42,0.11,43
78745.7,73068,70628.4,38338.7,31308,80253.2,420,4100.58,0.113,44
70572.1,60996,75824.8,41679,33136,82432.2,896,2878.92,0.117,45
161675,138788,76343.4,66354.8,48400,89847.6,590.4,3687.75,0.123,46
52387.9,37232,92213.6,42742.3,23200,120740,1707.2,11144.4,0.126,47
31267.9,25156,81458.5,71073.1,38564,120782,903.2,8241.75,0.127,48
29586.2,25273,76720.6,46002.3,33129,91002.1,312,4749.03,0.128,49
86163.5,76325,73983.8,32720.5,27493,77996.9,588.8,5317.29,0.135,51
70532.3,65508,70562.4,24122.3,19524,80971.2,1101.6,725.67,0.138,52
101040,79853,82924,53741.2,34829,101122,217.6,5373.72,0.142,55
98093.6,87339,73605.8,43033.3,35240,80029.3,1352.8,8791.2,0.15,56
133069,112189,77733.1,77120,54409,92891.6,2344.8,10071.3,0.15,57
96489.9,81953,77160.8,53582.8,38385,91483.7,5044.8,6056.82,0.151,58
34048.6,20896,106786,46142.9,21284,142080,392.8,10461.3,0.155,59
113022,97501,75968.5,52435.4,38953,88219.2,1192,5562.81,0.17,61
110783,93526,77628.1,54283.7,39222,90702.5,1304,4043.16,0.172,62
120069,106317,74013.2,58077.4,43197,88111.6,443.2,2564.1,0.172,63
57659.9,39749,95066.6,53003.6,25697,135177,835.2,5619.24,0.174,64
20815.9,16646,81952.9,40850.4,23957,111749,233.6,14304.5,0.185,65
106049,98090,70853.4,61286.9,45182,88896,868.8,5095.53,0.189,66
106139,86729,80203.2,50797.9,29213,113959,150.4,3055.14,0.192,67
82404.7,72813,74169.1,44865.8,31769,92553.3,608.8,6157.8,0.204,68
73720.1,65559,73694.3,46857.7,35335,86907.2,2968,7226.01,0.21,69
82393,68284,79077.2,44080.7,35016,82501.6,947.2,4052.07,0.213,70
153600,129730,77594.4,63958.9,46038,91046.8,2125.6,2178,0.227,72
108013,94160,75177.7,41424.6,32576,83337.4,1045.6,3313.53,0.227,73
79523.3,71788,72597.7,55253.9,38232,94714.3,990.4,8017.02,0.229,74
104821,94755,72498.1,46835.9,38371,79993.7,210.4,2497.77,0.236,77
78646.6,61113,84338.6,65317.2,38205,112044,318.4,1906.74,0.239,79
27518.4,15517,116224,56284.5,26953,136855,2058.4,16534,0.242,80
92067.3,82699,72960,54437.1,38939,91620,536.8,4023.36,0.248,82
33844.2,32872,67474.2,49635.6,36908,88135.9,1692,7371.54,0.248,83
96758.2,83232,76186.4,33229.4,26704,81550.3,432.8,1625.58,0.249,84
99945.3,88221,74245.5,32270,25981,81399.8,341.6,3225.42,0.253,85
36674,33169,72461.3,65146.9,44129,96749.8,872,6488.46,0.256,86
98386.9,87255,73897,41597.8,33303,81859.1,1848.8,2383.92,0.256,87
68500.4,50806,88360.4,52313.6,35890,95525.9,3892,8586.27,0.259,88
55823,41289,88605.2,42892.7,29949,93860.2,1445.6,3851.1,0.26,90
14816.1,11350,85549.6,41417.6,21250,127734,591.2,7788.33,0.26,91
88187.6,73821,78290.2,53591.7,40713,86266.9,1672,11163.2,0.265,92
62881.3,57096,72176.4,34785.6,27480,82958.9,672.8,1261.26,0.279,93
100651,87109,75724.4,55237.1,43221,83755.9,603.2,5818.23,0.287,94
52270.9,42101,81366.9,41265.2,26593,101694,2070.4,9220.86,0.287,95
65426.4,40950,104708,80522.6,38274,137878,1069.6,15550.9,0.288,96
154487,131269,77127.5,73847.1,50789,95289.2,526.4,4090.68,0.29,97
29779.6,24948,78228.2,50531.6,33844,97850.1,688.8,7769.52,0.3,98
93996.2,83951,73377.8,41061.2,33215,81017.3,654.4,1231.56,0.302,99
73157.8,59478,80609.1,46545.8,34434,88587.7,389.6,5525.19,0.309,100
33113.3,22690,95642,34780.7,26902,84729.3,556,3003.66,0.311,101
95811.3,83747,74976.9,37735.8,29527,83755.7,2322.4,3381.84,0.314,102
75887.8,68484,72621.1,24850,20000,81428.5,108.8,981.09,0.33,103
24229.9,20559,77237.8,47774.4,27263,114842,594.4,14056,0.331,104
91432.4,82098,72987.3,37642.8,32002,77087.6,1380.8,3075.93,0.337,105
45853.9,26260,114436,44135.2,26772,108040,385.6,2578.95,0.338,106
