"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
122540,89000,90233.2,43400.6,26529,107215,516,19411.9,0,0
72183.5,60264,78498.3,29164.4,19612,97456.6,803.2,5710.32,0.004,2
147883,108972,88936.9,91267.1,49836,120019,949.6,6234.03,0.004,3
48288.2,41364,76506.6,39701,26576,97902,823.2,11687,0.017,4
150081,121117,81208.5,32002.7,22153,94674.8,714.4,2062.17,0.022,7
96625.6,83031,76266.2,27658.6,21075,86008.8,514.4,2600.73,0.023,8
107131,93953,74728.5,50634.5,38257,86739.3,308,8285.31,0.033,14
25586.3,19125,87677.2,65339,35221,121577,1558.4,7373.52,0.034,16
30059.6,20236,97350.7,35257.9,25384,91028.2,282.4,2580.93,0.036,17
113903,93468,79863.9,115304,59768,126432,1364,5812.29,0.039,18
129987,103208,82540.4,19893.1,13932,93576.8,1382.4,3869.91,0.044,20
128588,103005,81812.7,25579.6,17373,96493.8,1132.8,3686.76,0.046,21
156940,126717,81166.8,32947.2,24297,88868.1,1004.8,3081.87,0.046,22
94298.9,87257,70824.9,54093.6,34201,103654,933.6,10496,0.059,24
106287,87732,79396.4,42472,28452,97829.5,2566.4,4753.98,0.062,26
128907,109395,77225.5,32094.8,23031,91327.6,275.2,1237.5,0.07,30
74863.6,48948,100234,44665.8,26000,112585,2079.2,6640.92,0.071,31
89960.5,72153,81710.4,26773.6,18093,96978.5,1068,2477.97,0.081,34
132400,111112,78092.3,95976.5,54904,114562,7794.4,11589.9,0.09,36
93516.5,78694,77880.2,50014.8,30786,106469,324,9607.95,0.091,37
90070.5,73532,80276.1,67936.8,41128,108255,1961.6,14745.1,0.1,41
112754,95265,77567.1,23118.5,18293,82823.6,332.8,1284.03,0.105,43
67651.7,48592,91241.9,48987.2,31364,102360,782.4,7544.79,0.115,45
107930,90695,77990.1,38608,29879,84682.1,2060.8,1386.99,0.116,47
123403,110345,73291.4,72900.6,42441,112571,3242.4,4194.63,0.124,51
21475,14776,95247.9,49654.4,28600,113782,983.2,7530.93,0.129,53
42337.6,36296,76444.7,51330.5,22828,147363,315.2,9625.77,0.135,55
95432.2,83016,75337.8,63871.8,37000,113133,488.8,8827.83,0.137,56
67534.7,45673,96905.3,35702.4,19213,121782,983.2,4103.55,0.143,59
33386.3,18789,116452,71885.9,33045,142567,1842.4,16777.5,0.144,60
