"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
162199,131496,80837.8,87646.7,58664,97913.8,458.4,1452.33,0.015,1
32963.6,25728,83966.9,44914.3,24384,120715,528.8,870.21,0.026,3
123796,101325,80070.1,59989.1,44105,89138.2,195.2,949.41,0.033,4
68120.5,51329,86975.1,84574.7,41749,132762,989.6,1434.51,0.036,5
34174.9,18121,123596,71602.7,39913,117570,728.8,1646.37,0.069,9
182384,145884,81932.8,102637,61832,108786,680,2577.96,0.074,10
44278.3,40275,72050.2,60397.9,37571,105354,578.4,1046.43,0.112,12
51449.6,44744,75357.6,80516.7,47624,110800,1003.2,1777.05,0.138,15
46444.3,35482,85783.6,97828.8,48026,133497,727.2,2507.67,0.17,17
122978,97593,82582.6,86173.6,57341,98489.2,595.2,1709.73,0.203,19
79415.7,61044,85259.6,84352,45956,120291,580.8,1386,0.243,22
38911.9,24604,103647,140052,65912,139253,2290.4,4114.44,0.254,24
52654.7,37033,93181.1,76017.1,30957,160928,890.4,1832.49,0.273,25
135445,114613,77447.6,60861.2,45009,88617.9,406.4,1082.07,0.274,26
28142.4,18932,97419.2,117365,47440,162135,867.2,2694.78,0.294,28
82085.6,60800,88479.7,74760.8,47156,103900,472,1575.09,0.302,29
191653,159963,78519.2,111867,68443,107116,628.8,3333.33,0.331,30
91775.6,77683,77425,63306.5,38691,107231,406.4,1215.72,0.349,31
161672,133269,79503.5,81824.5,55873,95975.7,516.8,1907.73,0.356,32
211463,167057,82956.2,110568,68869,105217,1022.4,2351.25,0.376,33
126739,102960,80671.8,63716.4,44420,94005.4,336.8,1077.12,0.403,34
52443.3,44239,77689.9,80383,45359,116140,616,1367.19,0.41,35
151876,129809,76676.9,122207,56789,141030,772,2491.83,0.419,36
98106.1,87960,73095.5,67807.1,45916,96781.2,295.2,1190.97,0.433,39
70675,54890,84382.5,77517,51226,99171.4,1016.8,1881.99,0.441,40
104176,90115,75761.9,41857.2,32755,83747.6,298.4,932.58,0.47,42
155839,119473,85484,87975.4,56865,101390,600,2138.4,0.475,43
131580,105979,81367.2,76809.1,47291,106442,276,1759.23,0.475,44
