"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
26492.7,21753,79815.5,42386.9,25136,110513,161.6,1557.27,0,0
82907.8,73357,74068.5,57566.5,35177,107248,153.6,1347.39,0,1
136841,104544,85782.1,80520.7,49988,105565,324,1897.83,0.004,2
72653.9,63345,75166.9,40345.5,31221,84689.2,300.8,951.39,0.023,7
78844,68792,75112.2,76234,37948,131656,190.4,1226.61,0.03,8
73595.3,70165,68740,52286.9,37717,90852.2,680,1151.37,0.039,11
22956.2,19162,78512.5,44590.6,26442,110517,224.8,1021.68,0.04,12
69279.6,64145,70781.9,48945.6,33537,95646.6,469.6,1547.37,0.044,13
80166.1,71460,73520.3,42248.2,33156,83507.7,194.4,779.13,0.046,14
31539.3,20186,102396,48529.8,26206,121363,328.8,1913.67,0.053,15
77089.7,65014,77708.7,34773.8,27014,84361.2,130.4,818.73,0.058,16
28601,19137,97946.3,33371.9,18837,116105,155.2,799.92,0.058,17
97485.2,74905,85291.9,69155.5,45869,98806.9,304.8,2101.77,0.063,18
61818.1,45145,89740,57997.2,29597,128422,348.8,1397.88,0.064,19
44637.8,29940,97708.3,43414.5,26240,108430,8.8,770.22,0.065,20
67980.9,64409,69170.4,44839.1,33977,86487.2,136.8,1257.3,0.066,21
30423.1,23456,85002.1,53805.5,32176,109591,217.6,1157.31,0.067,22
96145.9,78148,80629.3,41790.9,31824,86061,115.2,1217.7,0.071,23
116390,84292,90491.8,91023.6,42848,139221,404,2057.22,0.071,24
55972.8,49107,74698.8,39674.2,25783,100845,116.8,929.61,0.074,25
102422,90616,74074.3,41894.8,33800,81231.3,154.4,929.61,0.081,26
81044.3,68320,77741.8,68893.1,45328,99606.8,166.4,2159.19,0.081,27
90478.4,79813,74293.6,49465.4,36081,89846.8,320,1483.02,0.089,30
15638.2,10444,98129.7,40920.7,19084,140525,158.4,828.63,0.09,31
18671.6,12376,98874,42707.6,28300,98900.6,274.4,1048.41,0.096,32
49798.3,39008,83664.4,49771.3,29364,111082,88.8,1213.74,0.097,33
100279,91214,72049.2,39186.2,31294,82063.8,77.6,827.64,0.098,34
18597.5,13173,92523.2,71773,30261,155438,361.6,1960.2,0.101,36
96784,82344,77028.5,44514.4,34380,84854.4,56.8,824.67,0.104,37
43234.6,33061,85702.9,49500,25761,125928,323.2,1256.31,0.104,38
75433.8,64876,76201.2,34194.6,27676,80971.9,76.8,865.26,0.108,39
43652.7,31228,91610.8,43371.9,26364,107814,185.6,960.3,0.111,40
33620.3,31697,69512.7,49614.8,35589,91364.1,348,1856.25,0.113,41
39724.6,25053,103915,72694.7,42153,113020,334.4,2125.53,0.117,42
44059.1,36404,79317,74666.8,46624,104954,400.8,2505.69,0.122,44
61713.6,48040,84189.5,50342.5,33016,99928.7,205.6,863.28,0.129,46
27576.9,25684,70366,36591.4,23300,102921,135.2,1104.84,0.13,47
37765.3,33101,74770.7,44984.6,21513,137039,296,1006.83,0.14,48
41037.4,35903,74908.1,71756.2,41007,114678,288.8,2170.08,0.149,49
38642.8,28120,90060.2,53582.8,25096,139927,307.2,1674.09,0.151,50
25496.6,14021,119175,36347.9,25573,93148.7,224,828.63,0.156,51
168429,148992,74085.4,99510.8,68676,94961,365.6,3194.73,0.157,52
109102,93428,76530.5,47620,37152,84001.5,196,1125.63,0.161,53
67044.1,55983,78484.6,32099.8,25084,83865.8,115.2,744.48,0.163,54
44395.3,34616,84050.4,47661.6,29244,106810,262.4,1566.18,0.164,55
17318.3,12060,94110.7,40708.8,25404,105019,337.6,1428.57,0.166,56
79377.5,68751,75665.5,44010.4,29375,98187.9,84,895.95,0.175,57
39093.6,17592,145637,47800.2,23612,132671,239.2,1192.95,0.178,58
27645.5,18284,99090.9,46023.1,21388,141022,89.6,1553.31,0.195,59
38404.1,19312,130326,69431.7,22468,202522,118.4,1471.14,0.196,61
162136,133776,79429.5,79384.1,57920,89822.5,181.6,1943.37,0.199,62
65726.7,59828,71997.5,30635.6,22196,90454.7,147.2,754.38,0.202,63
102156,89656,74673,45253.9,33964,87320.7,169.6,943.47,0.205,64
67318.7,51205,86159.5,48998.1,30721,104526,330.4,1361.25,0.21,65
