"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
29140.679688,23177.000000,82399.085938,52310.800781,28285.000000,121203.492188,2067.520020,27740.949219,0.402818
12453.359375,10193.000000,80069.007812,30065.599609,16197.000000,121650.867188,1708.070068,6170.250000,0.418890
25010.839844,16185.000000,101273.437500,39387.000000,25785.000000,100107.289062,979.160034,4625.549805,0.471126
87963.921875,66341.000000,86896.546875,181338.843750,81877.000000,145147.265625,6149.780273,45708.300781,0.545461
25403.000000,17825.000000,93397.531250,32997.300781,22145.000000,97652.351562,1768.130005,3709.750000,0.578611
62202.960938,49073.000000,83070.796875,55405.898438,34677.000000,104711.507812,153.790009,4038.449951,0.597697
50837.917969,37576.000000,88666.015625,53269.347656,27772.000000,125704.312500,1877.330078,11881.649414,0.615779
73874.281250,57382.000000,84371.835938,68531.101562,47074.000000,95408.382812,3841.110107,5608.799805,0.666005
20740.400391,14435.000000,94163.000000,64535.398438,34647.000000,122070.937500,548.730042,9494.299805,0.697146
76743.281250,60793.000000,82730.703125,78556.445312,43161.000000,119280.718750,1425.970093,5898.549805,0.705182
34817.121094,26773.000000,85226.718750,58803.097656,39093.000000,98578.257812,617.890015,8633.599609,0.724268
40798.320312,31349.000000,85290.078125,57354.347656,28757.000000,130708.164062,1636.180054,23575.199219,0.726277
37581.238281,25101.000000,98120.554688,47984.500000,26329.000000,119439.109375,1368.640015,6881.799805,0.730296
34459.160156,29619.000000,76245.500000,24151.849609,19015.000000,83240.375000,611.520020,1709.049927,0.850839
16166.719727,13169.000000,80454.265625,23734.798828,17153.000000,90682.906250,131.949997,1653.000000,0.869926
31005.718750,28124.000000,72251.132812,42472.597656,25576.000000,108831.882812,2141.229980,18469.900391,0.882985
19908.199219,15209.000000,85784.984375,33435.250000,19869.000000,110282.984375,485.029999,6893.199707,0.890016
28429.320312,24477.000000,76118.156250,38211.847656,27593.000000,90756.773438,2397.850098,7420.449707,0.891021
