"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
28234.759766,25785.000000,71762.390625,21492.798828,16653.000000,84582.492188,137.410004,4315.850098,0.595863
19804.839844,18492.000000,70188.726562,39347.097656,23416.000000,110123.476562,2244.969971,19104.500000,0.597897
29096.599609,21920.000000,86992.468750,25085.699219,16640.000000,98799.062500,121.030006,2023.500000,0.598914
20421.958984,17968.000000,74486.507812,25856.150391,18400.000000,92092.867188,585.130005,3198.649902,0.598914
38331.359375,34028.000000,73824.023438,48026.300781,31308.000000,100531.875000,1593.410034,8472.099609,0.602981
32419.320312,31540.000000,67363.109375,49288.847656,30324.000000,106522.695312,1658.930054,12527.649414,0.605015
23198.240234,22773.000000,66759.757812,16710.500000,15809.000000,69273.156250,104.650002,769.500000,0.606031
35154.558594,29317.000000,78585.429688,52102.750000,33541.000000,101803.945312,803.530029,24388.400391,0.607048
37131.320312,29294.000000,83069.507812,62653.449219,36842.000000,111450.421875,270.270020,3504.550049,0.608065
19376.958984,13805.000000,91987.570312,32701.849609,20649.000000,103789.453125,120.120003,3076.099854,0.609082
86937.921875,75726.000000,75239.203125,48008.250000,36078.000000,87207.398438,101.920006,1694.799927,0.609082
30636.359375,17668.000000,113639.609375,71130.296875,28900.000000,161300.875000,2829.190186,16557.548828,0.610099
13923.200195,9808.000000,93033.328125,41849.398438,26676.000000,102813.093750,182.000000,8270.700195,0.614166
19028.878906,14288.000000,87281.390625,32496.650391,20164.000000,105618.953125,924.559998,6951.149902,0.630435
13533.320312,6849.000000,129496.234375,47323.300781,27841.000000,111396.140625,1126.580078,13945.049805,0.647721
79647.242188,70368.000000,74178.062500,37586.750000,30756.000000,80091.210938,805.350037,6748.799805,0.658907
78371.960938,71969.000000,71366.632812,35104.398438,27841.000000,82633.585938,111.930000,1714.750000,0.662974
92314.921875,81437.000000,74289.953125,64967.648438,48733.000000,87368.312500,4502.680176,8320.099609,0.668058
59479.878906,41988.000000,92837.796875,118863.046875,55056.000000,141488.828125,2166.709961,57834.097656,0.670092
31241.320312,24725.000000,82808.132812,57264.097656,35409.000000,105986.054688,322.140015,2415.849854,0.671109
17381.199219,16252.000000,70089.484375,30436.099609,20732.000000,96211.671875,4915.820312,15469.799805,0.672125
30256.359375,28432.000000,69741.171875,34957.148438,24416.000000,93829.937500,259.350006,6464.750000,0.673142
30716.160156,18997.000000,105964.859375,46292.550781,27137.000000,111796.765625,1982.890015,21851.900391,0.673142
63897.000000,60969.000000,68683.328125,67822.398438,45001.000000,98771.335938,1003.730042,8293.500000,0.677210
12397.879883,11268.000000,72107.507812,28057.298828,16928.000000,108622.585938,2077.530029,5864.350098,0.687378
22199.599609,20656.000000,70433.429688,42550.500000,28404.000000,98175.945312,766.220032,29545.000000,0.699580
22275.599609,12248.000000,119191.187500,38411.347656,20056.000000,125514.875000,849.030029,9657.700195,0.700597
15298.040039,11436.000000,87668.093750,28218.798828,17464.000000,105894.812500,295.750000,11533.950195,0.700597
71636.835938,67423.000000,69631.898438,44721.250000,33787.000000,86744.953125,1684.410034,8906.250000,0.702630
48053.281250,33573.000000,93802.156250,112546.500000,48597.000000,151775.781250,2604.420166,18689.349609,0.702630
23448.279297,10268.000000,149659.765625,70536.546875,33420.000000,138320.859375,1705.340088,38380.000000,0.703647
28604.119141,25389.000000,73835.109375,59609.648438,31241.000000,125046.507812,852.670044,6003.049805,0.705681
102955.679688,79041.000000,85364.609375,100430.195312,62753.000000,104884.125000,5739.370117,34485.949219,0.705681
79408.601562,70386.000000,73936.898438,48246.699219,35558.000000,88922.210938,1315.859985,20248.298828,0.717883
43988.039062,38717.000000,74458.250000,44072.398438,30877.000000,93543.054688,280.279999,6776.350098,0.722967
20736.599609,15649.000000,86842.210938,33170.199219,21173.000000,102670.484375,227.500000,3062.800049,0.722967
20353.560547,11776.000000,113271.984375,36627.250000,22292.000000,107680.046875,440.440002,4180.000000,0.725001
25494.958984,18245.000000,91577.835938,37075.648438,26021.000000,93378.031250,763.490051,6590.149902,0.728051
14990.240234,8825.000000,111320.164062,35225.050781,18121.000000,127394.132812,158.340012,3300.300049,0.729068
10391.479492,8222.000000,82828.507812,25544.548828,18010.000000,92953.226562,316.680023,10015.849609,0.734152
40188.800781,26728.000000,98541.351562,110539.148438,52492.000000,138007.562500,6897.800293,8454.049805,0.743304
30222.160156,22105.000000,89601.429688,49497.847656,14989.000000,216418.125000,2691.780029,44157.898438,0.748388
47873.917969,31277.000000,100312.218750,94021.500000,35053.000000,175785.062500,485.029999,7518.299805,0.749405
25357.400391,17711.000000,93829.968750,45681.699219,23883.000000,125352.593750,2636.270020,5306.699707,0.756522
83756.562500,59834.000000,91738.312500,118716.750000,61662.000000,126175.296875,9815.260742,38542.449219,0.757539
21599.958984,19995.000000,70796.453125,39055.449219,26335.000000,97191.500000,917.280029,7243.750000,0.761607
12977.000000,7720.000000,110163.296875,53225.648438,31560.000000,110525.851562,1063.790039,13195.500000,0.761607
15256.240234,9880.000000,101197.671875,43600.250000,21532.000000,132704.171875,915.460022,6679.449707,0.763640
19897.560547,13724.000000,95016.507812,49461.750000,28812.000000,112506.085938,2024.750000,3386.750000,0.766691
31386.480469,23040.000000,89277.101562,45465.097656,25536.000000,116682.367188,1280.369995,15630.349609,0.766691
31744.439453,17685.000000,117636.609375,77534.250000,34837.000000,145858.843750,388.570007,4325.350098,0.767708
73152.281250,51966.000000,92254.710938,66126.648438,29086.000000,148995.250000,233.870010,3064.699951,0.774825
86500.921875,75228.000000,75356.570312,54317.199219,37768.000000,94252.593750,1353.170044,15487.849609,0.779909
129569.359375,110787.000000,76646.703125,77068.750000,52739.000000,95769.304688,1413.229980,17000.250000,0.780926
17023.240234,14006.000000,79654.085938,30911.099609,21958.000000,92257.484375,142.870010,5265.850098,0.781943
19398.240234,14088.000000,90238.726562,35265.898438,23544.000000,98164.546875,4178.720215,21651.449219,0.786011
8201.919922,7021.000000,76559.046875,36109.500000,32441.000000,72946.960938,58.240002,398.049988,0.796179
43038.800781,36161.000000,78000.906250,36884.699219,26721.000000,90463.523438,3304.210205,27096.849609,0.806347
81145.195312,70376.000000,75564.554688,45112.648438,34120.000000,86650.140625,962.780029,2963.050049,0.819566
40728.398438,30688.000000,86977.843750,35689.597656,25808.000000,90629.015625,364.000000,2622.000000,0.825667
59482.160156,54268.000000,71832.812500,27820.750000,22648.000000,80504.273438,2442.440186,4285.449707,0.827701
34959.238281,21222.000000,107958.187500,38804.648438,24374.000000,104336.648438,230.230011,6498.949707,0.828717
19349.599609,16229.000000,78137.617188,45314.050781,28757.000000,103268.835938,3381.560059,8631.700195,0.842953
40218.441406,29703.000000,88737.015625,49174.847656,33123.000000,97295.625000,592.410034,8652.599609,0.847020
65503.640625,56588.000000,75861.429688,33939.699219,27180.000000,81834.882812,445.900024,1247.349976,0.850071
41968.718750,30168.000000,91171.507812,75242.851562,47240.000000,104384.320312,688.869995,33718.347656,0.854138
18508.279297,12625.000000,96075.929688,29951.599609,22005.000000,89202.820312,547.820007,8278.299805,0.854138
48168.800781,43796.000000,72079.429688,56104.148438,39236.000000,93710.921875,1966.510010,9551.299805,0.855155
14994.799805,6990.000000,140586.437500,47371.750000,25710.000000,120752.812500,672.489990,8564.250000,0.856172
24641.480469,22724.000000,71066.023438,63752.597656,37428.000000,111630.062500,3110.380127,10081.399414,0.857189
20549.640625,16649.000000,80890.218750,44840.949219,29245.000000,100485.429688,1253.979980,25314.650391,0.858206
17767.279297,14253.000000,81694.835938,44473.300781,27993.000000,104118.968750,2054.780029,11895.899414,0.860239
