"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
43396.757812,37222.000000,76407.773438,44448.597656,31654.000000,92025.757812,536.900024,3169.199951,0.570947
23997.000000,17837.000000,88168.828125,41392.449219,26537.000000,102223.148438,574.210022,4815.549805,0.608337
25532.958984,16945.000000,98750.554688,55655.750000,35829.000000,101801.757812,272.089996,5628.750000,0.625516
21519.400391,15977.000000,88270.351562,56716.898438,30509.000000,121832.851562,1044.680054,23857.349609,0.638653
23278.798828,19065.000000,80020.945312,48317.949219,31357.000000,100984.312500,673.400024,4756.649902,0.661895
42607.121094,33833.000000,82531.859375,77057.351562,47961.000000,105294.523438,3828.370117,18776.750000,0.727579
15710.719727,13082.000000,78704.921875,33144.550781,22762.000000,95429.281250,699.790039,5190.799805,0.747790
24143.679688,22319.000000,70893.875000,34682.597656,21515.000000,105645.304688,550.549988,5182.250000,0.754863
17789.320312,12449.000000,93649.367188,25045.798828,16229.000000,101140.031250,295.750000,2812.949951,0.759916
25777.679688,12200.000000,138472.625000,36476.199219,17516.000000,136475.484375,452.270020,8032.250000,0.769011
122071.195312,92985.000000,86036.007812,111055.000000,57241.000000,127148.382812,4328.870117,8033.199707,0.780126
26704.878906,18396.000000,95136.500000,45807.097656,28536.000000,105200.937500,133.770004,3549.199951,0.813474
62529.000000,52384.000000,78228.093750,58066.847656,39236.000000,96989.218750,912.730042,8591.799805,0.846821
24026.640625,20312.000000,77521.164062,28581.699219,19484.000000,96136.843750,402.220001,4543.850098,0.847832
27000.519531,21293.000000,83102.710938,36314.699219,22397.000000,106260.664062,2416.959961,23002.349609,0.857937
36535.480469,31022.000000,77183.585938,58458.250000,33630.000000,113919.710938,1079.260010,16936.599609,0.972126
17437.439453,12720.000000,89841.195312,28872.400391,19684.000000,96127.906250,296.660004,2080.500000,0.975158
27369.119141,19472.000000,92114.960938,60986.199219,36128.000000,110628.640625,3579.030029,7363.449707,1.010526
25353.599609,21985.000000,75577.601562,50889.597656,31717.000000,105151.835938,169.260010,3121.699951,1.027705
25412.119141,21713.000000,76700.992188,44796.300781,28517.000000,102948.078125,125.580002,4694.899902,1.035789
17894.958984,13930.000000,84189.804688,24872.900391,16762.000000,97247.968750,1117.479980,2762.599854,1.042863
16520.878906,12257.000000,88334.203125,36824.847656,17893.000000,134876.953125,148.330002,2426.300049,1.050947
75369.960938,65332.000000,75605.312500,52231.949219,36820.000000,92967.757812,1577.940063,2771.149902,1.073179
27126.679688,22756.000000,78123.312500,37706.449219,25184.000000,98123.007812,303.029999,3865.550049,1.075200
