"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
40580.199219,30850.000000,86206.289062,71904.546875,45014.000000,104686.023438,5671.120117,35616.449219,0.526503
15186.319336,11922.000000,83480.179688,38361.949219,21670.000000,116017.007812,2276.820068,15641.750000,0.537577
71072.156250,59917.000000,77737.281250,68985.195312,36381.000000,124268.546875,2080.260010,40755.949219,0.537577
8111.479980,7461.000000,71249.703125,33533.097656,31281.000000,70254.312500,12.740001,200.449997,0.553684
31140.240234,22319.000000,91438.101562,43445.398438,26815.000000,106180.781250,1433.250000,26472.699219,0.558717
16071.719727,12904.000000,81624.015625,22794.298828,13340.000000,111982.546875,1434.160034,6101.850098,0.594958
13776.519531,9661.000000,93453.890625,36110.449219,24141.000000,98029.671875,2140.320068,12692.000000,0.597979
34929.597656,22637.000000,101124.093750,69602.695312,45337.000000,100612.796875,3518.970215,15652.200195,0.649320
22360.718750,15957.000000,91836.320312,35574.648438,16865.000000,138240.156250,80.080002,3235.699951,0.666434
50141.000000,44002.000000,74679.343750,58285.347656,37702.000000,101315.273438,5534.620117,20160.900391,0.702675
26631.919922,21680.000000,80505.054688,28420.199219,18880.000000,98651.804688,451.360016,6267.149902,0.705695
35348.359375,31385.000000,73812.015625,30772.400391,22521.000000,89547.539062,2284.100098,12885.799805,0.707709
106421.281250,84807.000000,82238.796875,126330.046875,70759.000000,117005.132812,2190.370117,125833.195312,0.717776
18198.958984,15436.000000,77266.578125,30263.199219,18044.000000,109916.265625,1409.590088,7064.199707,0.731869
8632.080078,6868.000000,82369.250000,32816.800781,26432.000000,81366.601562,232.960007,2104.250000,0.741936
67535.882812,59360.000000,74562.531250,51807.300781,36832.000000,92181.890625,2104.830078,4049.849854,0.788245
24253.119141,20644.000000,76993.429688,32101.449219,21728.000000,96824.398438,3361.540039,15879.250000,0.828512
14775.160156,11320.000000,85539.304688,35578.449219,23404.000000,99626.960938,1998.360107,13258.200195,0.882874
24031.958984,16435.000000,95829.539062,47593.097656,31751.000000,98235.054688,1445.080078,7668.399902,0.893948
49223.679688,43569.000000,74041.695312,52012.500000,37909.000000,89917.726562,827.190002,10393.950195,0.913075
24598.919922,22115.000000,72896.898438,46011.347656,27763.000000,108612.164062,1799.980103,21923.150391,0.913075
33249.238281,19122.000000,113953.664062,112656.695312,62882.000000,117411.484375,199.290009,1393.650024,0.931196
