"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
59231.359375,53531.000000,72514.734375,50585.597656,35531.000000,93303.820312,81.900002,1573.199951,0.421841
14132.959961,11396.000000,81275.679688,29184.000000,17060.000000,112110.351562,227.500000,1726.150024,0.426985
38761.519531,20829.000000,121958.570312,49987.097656,17529.000000,186887.687500,98.280006,2705.599854,0.438303
101041.242188,86661.000000,76410.828125,63997.699219,46085.000000,91009.070312,30.940001,2015.900024,0.459909
51030.199219,48260.000000,69297.875000,32500.449219,25940.000000,82110.632812,114.660004,1143.799927,0.466083
47968.917969,44482.000000,70673.328125,44299.449219,31586.000000,91914.406250,134.680008,1729.949951,0.469169
16393.199219,12541.000000,85666.593750,56203.898438,30157.000000,122140.093750,144.690002,2522.250000,0.483574
15606.599609,15444.000000,66225.992188,31184.699219,21856.000000,93508.437500,43.680000,1171.349976,0.487689
77387.757812,55485.000000,91406.398438,96996.898438,46301.000000,137292.687500,154.699997,3781.000000,0.491805
14294.080078,10620.000000,88208.742188,45466.050781,26248.000000,113519.625000,74.620003,2394.000000,0.492834
72953.921875,63665.000000,75097.914062,51415.898438,39185.000000,85991.890625,41.860001,1297.699951,0.493862
25441.759766,25045.000000,66574.210938,37582.949219,25029.000000,98407.304688,98.280006,1991.199951,0.521642
28732.560547,26896.000000,70011.046875,37742.550781,29284.000000,84465.781250,139.230011,3098.899902,0.558682
29695.480469,14309.000000,136006.921875,60934.898438,28225.000000,141485.546875,236.600006,2972.550049,0.559711
84508.960938,72944.000000,75926.460938,46711.500000,36336.000000,84249.367188,252.980011,1406.000000,0.579260
29168.798828,15576.000000,122727.687500,52068.550781,20760.000000,164372.093750,106.470001,2293.300049,0.585433
53263.078125,47721.000000,73147.023438,54557.550781,39181.000000,91255.554688,165.620010,1546.599976,0.586462
22628.240234,17904.000000,82828.671875,44297.550781,33220.000000,87389.664062,151.059998,3142.599854,0.599837
20103.519531,17689.000000,74481.554688,48355.000000,27613.000000,114764.539062,311.220001,2481.399902,0.603953
74336.359375,62901.000000,77450.398438,52906.449219,37925.000000,91424.570312,282.100006,2215.399902,0.625559
38895.281250,20629.000000,123565.914062,65170.949219,29909.000000,142801.281250,154.699997,1804.049927,0.680090
24732.679688,23735.000000,68290.750000,27158.599609,19927.000000,89319.312500,5.460000,1499.099976,0.702725
25358.919922,20141.000000,82514.382812,48966.800781,28905.000000,111021.906250,153.790009,2854.750000,0.702725
14515.240234,7541.000000,126146.500000,78133.695312,39217.000000,130570.164062,196.560013,2968.750000,0.723303
66994.000000,60359.000000,72740.085938,58170.398438,41415.000000,92050.117188,216.580002,1826.849976,0.726389
61864.000000,49019.000000,82709.132812,75750.148438,49579.000000,100130.335938,193.830002,6416.299805,0.741823
49474.480469,48057.000000,67469.046875,45940.097656,32669.000000,92158.632812,67.340004,2061.500000,0.754169
39820.199219,35535.000000,73439.054688,35265.898438,26159.000000,88351.468750,205.660004,2147.000000,0.763429
55964.121094,47140.000000,77803.664062,52310.800781,35440.000000,96733.664062,70.980003,1499.099976,0.774747
21406.919922,18460.000000,75998.046875,45798.550781,27868.000000,107702.523438,121.940002,1383.199951,0.777833
16894.039062,14473.000000,76498.843750,24117.650391,18029.000000,87668.445312,80.080002,751.450012,0.793267
20466.039062,14987.000000,89495.054688,34359.597656,20191.000000,111524.476562,79.170006,1734.699951,0.798411
63764.757812,56156.000000,74415.687500,61218.000000,42044.000000,95423.437500,59.150002,1623.549927,0.809729
93655.562500,67572.000000,90833.640625,142036.390625,66676.000000,139607.906250,549.640015,7964.799805,0.810758
51626.039062,48841.000000,69273.039062,58215.050781,35277.000000,108149.265625,83.720001,1826.849976,0.810758
21954.119141,15733.000000,91450.148438,37767.250000,25521.000000,96983.453125,54.600002,1410.750000,0.812815
38230.281250,31942.000000,78437.789062,45961.949219,32530.000000,92596.445312,142.870010,2291.399902,0.815902
44637.839844,42276.000000,69197.312500,33443.800781,25844.000000,84807.804688,101.920006,1130.500000,0.824133
26242.039062,18560.000000,92661.546875,95699.195312,44356.000000,141395.593750,554.190002,6487.549805,0.840595
17277.080078,10312.000000,109801.273438,31948.500000,18524.000000,113030.492188,72.800003,2313.250000,0.860144
21850.759766,15009.000000,95410.179688,40783.500000,26193.000000,102042.054688,252.980011,2579.250000,0.904386
65629.039062,60060.000000,71612.796875,44254.800781,31960.000000,90747.265625,115.570000,1028.849976,0.907472
20450.839844,13181.000000,101681.679688,59690.398438,28633.000000,136621.031250,63.700001,2322.750000,0.948627
18740.839844,14432.000000,85102.531250,25985.349609,20292.000000,83923.515625,200.200012,977.549988,0.949656
47174.718750,39993.000000,77304.585938,50742.347656,35357.000000,94053.523438,80.990005,1435.449951,0.978465
25078.480469,22064.000000,74489.812500,33840.898438,23252.000000,95380.921875,30.940001,2063.399902,1.015505
8882.120117,5797.000000,100413.773438,30083.650391,12789.000000,154160.765625,125.580002,1583.650024,1.025793
25050.359375,24013.000000,68367.156250,36522.750000,28205.000000,84862.789062,288.470001,1572.250000,1.066949
13686.080078,8933.000000,100406.460938,48070.949219,21121.000000,149158.562500,96.459999,1829.699951,1.093700
18167.039062,14857.000000,80136.976562,40559.300781,26809.000000,99149.335938,32.760002,1657.750000,1.101931
