"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
29556.271484,28055.000000,69042.945312,15647.000000,12839.000000,79869.289062,90.860001,2717.000000,0.623352
87670.250000,77911.000000,73745.140625,45085.000000,35235.000000,83856.695312,1293.599976,11721.000000,0.624435
91173.109375,74419.000000,80290.257812,61591.000000,36227.000000,111420.421875,4441.359863,6497.000000,0.625517
40654.191406,34019.000000,78318.382812,60902.000000,35827.000000,111404.062500,1925.769897,11888.000000,0.626599
68172.265625,59151.000000,75531.054688,54770.000000,37695.000000,95222.351562,2957.569824,21633.000000,0.627681
46369.839844,40440.000000,75145.750000,46550.000000,29948.000000,101866.593750,2842.839844,37005.000000,0.629846
73970.070312,54335.000000,89218.789062,64815.000000,36399.000000,116698.703125,274.119995,48992.000000,0.638503
57494.621094,45499.000000,82814.289062,49421.000000,34047.000000,95128.929688,719.950012,14030.000000,0.638503
123407.484375,108363.000000,74634.640625,68018.000000,49263.000000,90486.320312,672.209961,19847.000000,0.641750
105307.000000,98157.000000,70309.796875,82451.000000,50297.000000,107432.031250,1108.030029,19868.000000,0.643914
34063.222656,18559.000000,120284.898438,45910.000000,20907.000000,143911.515625,307.229980,9084.000000,0.644997
18366.710938,11431.000000,105299.687500,80470.000000,33459.000000,157616.250000,1309.770020,17936.000000,0.646079
19245.191406,11682.000000,107965.492188,49534.000000,28102.000000,115517.046875,190.190002,7522.000000,0.647161
56281.972656,50725.000000,72715.531250,58788.000000,38405.000000,100318.460938,2374.679932,17715.000000,0.647161
114789.375000,99103.000000,75909.265625,75467.000000,53167.000000,93023.968750,1456.839966,17015.000000,0.650408
69098.929688,46822.000000,96716.664062,52762.000000,30482.000000,113437.773438,562.099976,13936.000000,0.651490
99963.445312,87454.000000,74910.296875,45565.000000,35162.000000,84925.421875,3006.079834,15477.000000,0.653654
87529.632812,78244.000000,73313.507812,31203.000000,24992.000000,81822.976562,56.980000,4236.000000,0.655819
93374.054688,86003.000000,71152.890625,50290.000000,39555.000000,83322.093750,1061.059937,2861.000000,0.665559
70361.351562,61027.000000,75560.023438,53338.000000,36503.000000,95760.875000,285.669983,20719.000000,0.667723
43614.320312,25526.000000,111976.343750,41712.000000,25618.000000,106707.695312,445.829987,9431.000000,0.668805
62188.011719,50163.000000,81246.203125,47463.000000,33891.000000,91780.570312,425.039978,27308.000000,0.668805
56755.972656,39095.000000,95141.562500,69467.000000,44115.000000,103198.218750,601.369995,87635.000000,0.669888
85678.664062,78410.000000,71611.234375,44248.000000,35198.000000,82386.406250,1335.949951,11819.000000,0.676381
131049.156250,116686.000000,73602.984375,63375.000000,46554.000000,89215.617188,1876.489990,18460.000000,0.676381
101109.734375,88489.000000,74883.062500,49379.000000,38265.000000,84570.820312,1089.549927,7098.000000,0.683956
148881.828125,132314.000000,73742.156250,65634.000000,46570.000000,92363.960938,590.589966,8134.000000,0.687203
47205.660156,34090.000000,90750.078125,46371.000000,33802.000000,89905.031250,558.250000,35097.000000,0.692614
98388.179688,86554.000000,74496.468750,42664.000000,32186.000000,86870.937500,1747.130005,5529.000000,0.693696
95068.601562,81883.000000,76089.242188,44255.000000,33695.000000,86074.953125,1124.969971,14539.000000,0.694778
124611.445312,109259.000000,74744.742188,92828.000000,56971.000000,106783.726562,282.589996,32614.000000,0.698025
93558.125000,83971.000000,73018.359375,67339.000000,48103.000000,91743.312500,907.059998,29790.000000,0.713176
84498.398438,72690.000000,76182.242188,41068.000000,32722.000000,82251.468750,1128.049927,10919.000000,0.713176
77363.125000,70102.000000,72324.187500,38728.000000,31554.000000,80436.015625,261.799988,2956.000000,0.714258
120102.914062,101703.000000,77392.648438,78296.000000,49091.000000,104524.382812,1004.849976,12961.000000,0.715340
140452.531250,120607.000000,76319.765625,63604.000000,45391.000000,91832.125000,1506.119995,7786.000000,0.715340
71856.820312,51864.000000,90799.179688,67260.000000,45820.000000,96201.468750,1335.949951,28591.000000,0.717505
116348.046875,104862.000000,72714.476562,94707.000000,62574.000000,99190.046875,1440.669922,17953.000000,0.718587
94277.812500,83321.000000,74154.062500,54495.000000,41357.000000,86355.015625,152.459991,12485.000000,0.718587
93193.929688,75315.000000,81093.507812,52065.000000,38515.000000,88592.281250,756.909973,12936.000000,0.718587
124138.234375,111051.000000,73259.343750,85103.000000,56895.000000,98028.125000,1174.250000,47486.000000,0.719669
68120.125000,56051.000000,79647.468750,59374.000000,33143.000000,117404.421875,1402.169922,27308.000000,0.719669
100106.429688,83363.000000,78698.882812,81147.000000,55555.000000,95725.851562,1380.609985,29147.000000,0.720751
39925.812500,34902.000000,74969.296875,43378.000000,33094.000000,85901.390625,592.899963,12859.000000,0.720751
100586.750000,92902.000000,70957.070312,58597.000000,35954.000000,106809.062500,1642.409912,38806.000000,0.720751
35941.050781,32359.000000,72790.648438,41448.000000,29779.000000,91216.500000,1260.489990,12065.000000,0.721834
85663.648438,77201.000000,72719.953125,46667.000000,35093.000000,87150.382812,750.750000,13223.000000,0.725080
83136.445312,78158.000000,69710.460938,48748.000000,37274.000000,85709.851562,444.289978,9769.000000,0.726162
26489.490234,19894.000000,87263.265625,31443.000000,22294.000000,92430.632812,197.119995,12902.000000,0.728327
124814.476562,103634.000000,78930.101562,100909.000000,67474.000000,98010.679688,589.820007,32739.000000,0.734820
28328.611328,23046.000000,80558.187500,46919.000000,30066.000000,102271.125000,435.819977,10063.000000,0.735902
100649.953125,82795.000000,79669.007812,61727.000000,44507.000000,90892.234375,250.250000,4412.000000,0.736984
21293.660156,20951.000000,66607.859375,33721.000000,25187.000000,87741.273438,315.699982,6573.000000,0.739149
41006.531250,35389.000000,75938.960938,36276.000000,20685.000000,114932.750000,886.269958,20422.000000,0.742396
155269.765625,134066.000000,75901.117188,92761.000000,62946.000000,96577.781250,2004.309937,13538.000000,0.742396
73220.359375,67819.000000,70755.539062,42872.000000,30079.000000,93409.335938,138.599991,10372.000000,0.742396
20578.710938,16759.000000,80472.960938,36278.000000,23123.000000,102820.351562,830.059998,6858.000000,0.743478
104585.734375,85877.000000,79813.343750,72572.000000,50277.000000,94597.500000,1590.819946,21804.000000,0.745642
24803.630859,19473.000000,83476.140625,16570.000000,13205.000000,82236.398438,123.199997,1063.000000,0.745642
98240.453125,84319.000000,76356.296875,61718.000000,47419.000000,85298.109375,435.819977,4694.000000,0.747807
51460.601562,30882.000000,109206.726562,52792.000000,30370.000000,113920.859375,836.989990,5264.000000,0.747807
65499.691406,44111.000000,97313.312500,58188.000000,35723.000000,106749.398438,4027.099854,15962.000000,0.748889
108009.593750,95542.000000,74088.015625,53564.000000,39430.000000,89027.906250,4291.209961,5861.000000,0.749971
97031.750000,84698.000000,75079.375000,58620.000000,41534.000000,92495.789062,1144.989990,4474.000000,0.751053
140164.968750,121762.000000,75441.039062,68001.000000,49014.000000,90923.273438,215.599991,25876.000000,0.753218
30855.820312,22407.000000,90247.117188,23864.000000,18583.000000,84160.312500,605.989990,17004.000000,0.754300
99871.804688,81875.000000,79941.359375,69285.000000,48003.000000,94591.210938,1064.910034,10271.000000,0.757546
