"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
67844.414062,59070.000000,75270.890625,113031.000000,50494.000000,146702.578125,334.179993,2873.000000,0.440306
71124.492188,65651.000000,70999.914062,118485.000000,62067.000000,125107.273438,595.979980,3358.000000,0.444411
17910.880859,8250.000000,142279.703125,50468.000000,22782.000000,145179.125000,208.669998,1478.000000,0.469043
83457.968750,59178.000000,92424.578125,118690.000000,58206.000000,133636.875000,434.279999,2458.000000,0.482386
71483.945312,50589.000000,92604.554688,125522.000000,53209.000000,154601.859375,622.929993,3308.000000,0.514203
136542.031250,103394.000000,86546.789062,160269.000000,100166.000000,104859.828125,364.209991,3125.000000,0.593232
141967.750000,119854.000000,77627.765625,82818.000000,52302.000000,103773.476562,281.049988,2620.000000,0.601443
46899.929688,36022.000000,85326.578125,103927.000000,49430.000000,137790.015625,634.479980,3707.000000,0.627102
51844.542969,45667.000000,74401.296875,76477.000000,49123.000000,102029.539062,480.479980,3183.000000,0.632234
26103.970703,16427.000000,104142.562500,47425.000000,32875.000000,94541.296875,696.079956,2296.000000,0.637365
24782.300781,20319.000000,79931.734375,33368.000000,25791.000000,84789.468750,287.979980,1361.000000,0.639418
32691.781250,27351.000000,78333.101562,30431.000000,23043.000000,86548.015625,176.330002,1305.000000,0.647629
37558.972656,30519.000000,80653.523438,59303.000000,42355.000000,91759.687500,2009.699951,2037.000000,0.647629
106379.031250,92397.000000,75453.281250,49006.000000,38121.000000,84249.039062,174.019989,1455.000000,0.651734
37091.289062,30446.000000,79840.195312,13097.000000,11262.000000,76214.257812,233.309998,253.000000,0.651734
32864.000000,25351.000000,84958.187500,50990.000000,37635.000000,88791.835938,348.039978,1887.000000,0.659945
42434.851562,30555.000000,91016.539062,74132.000000,41627.000000,116710.664062,411.179993,2916.000000,0.661998
32414.490234,19779.000000,107402.601562,45977.000000,30711.000000,98113.015625,202.509995,1885.000000,0.663024
81535.898438,69955.000000,76385.351562,81910.000000,47027.000000,114148.343750,204.819992,1437.000000,0.664050
32273.080078,22038.000000,95972.796875,69909.000000,36054.000000,127074.835938,462.000000,2575.000000,0.669182
98719.984375,86667.000000,74650.250000,80006.000000,57791.000000,90728.203125,151.690002,1731.000000,0.674314
20961.861328,14698.000000,93465.554688,58062.000000,32602.000000,116715.273438,326.479980,1873.000000,0.689709
93998.156250,82762.000000,74433.476562,46771.000000,35914.000000,85347.890625,260.259979,1364.000000,0.697920
25125.160156,25076.000000,65664.484375,56233.000000,34512.000000,106782.742188,262.570007,2305.000000,0.697920
121088.835938,100054.000000,79313.945312,125097.000000,65602.000000,124971.140625,315.699982,3392.000000,0.700999
20555.009766,16914.000000,79643.671875,45848.000000,24342.000000,123436.632812,437.359985,1725.000000,0.705105
49254.921875,42522.000000,75912.960938,62977.000000,45102.000000,91509.484375,411.949982,2488.000000,0.707157
52975.820312,34307.000000,101198.695312,74435.000000,39379.000000,123877.500000,287.979980,2084.000000,0.716395
113491.406250,99842.000000,74495.437500,40370.000000,31366.000000,84348.921875,123.199997,1275.000000,0.720500
71890.789062,58899.000000,79991.757812,110711.000000,55555.000000,130601.312500,274.889984,2126.000000,0.723579
28902.941406,23705.000000,79906.476562,60519.000000,36717.000000,108020.085938,420.419983,1766.000000,0.726658
39631.929688,37917.000000,68500.093750,58054.000000,36953.000000,102958.539062,241.009995,1727.000000,0.727684
63598.160156,41895.000000,99486.070312,83913.000000,35351.000000,155563.406250,120.119995,1395.000000,0.729737
54752.531250,36799.000000,97509.773438,41017.000000,29711.000000,90474.578125,306.459991,1160.000000,0.730763
39190.320312,31368.000000,81878.882812,49241.000000,33624.000000,95974.843750,167.860001,1346.000000,0.731790
31373.271484,26303.000000,78168.976562,45234.000000,24251.000000,122240.539062,174.789993,1349.000000,0.736922
30139.291016,25980.000000,76028.046875,40449.000000,26140.000000,101410.320312,249.479996,1509.000000,0.740001
49101.660156,26410.000000,121845.007812,93480.000000,37470.000000,163498.937500,485.869995,2902.000000,0.742053
24785.460938,20003.000000,81204.820312,60939.000000,28851.000000,138424.953125,331.869995,1977.000000,0.743080
30022.371094,27694.000000,71045.937500,32258.000000,20782.000000,101725.546875,103.180000,1066.000000,0.760528
84347.515625,65339.000000,84601.828125,83683.000000,46571.000000,117761.039062,261.029999,2155.000000,0.762580
104272.890625,90003.000000,75926.671875,68883.000000,48979.000000,92168.414062,226.379990,1418.000000,0.764633
142233.968750,120646.000000,77262.781250,107491.000000,67346.000000,104602.054688,340.339996,2029.000000,0.767712
28814.460938,17146.000000,110135.578125,53379.000000,35482.000000,98592.132812,294.139984,2556.000000,0.781055
111164.851562,93823.000000,77649.398438,86102.000000,59183.000000,95344.625000,167.860001,1963.000000,0.786187
22326.191406,14222.000000,102880.703125,59266.000000,32542.000000,119355.187500,341.109985,2296.000000,0.787213
62255.160156,43739.000000,93279.554688,93100.000000,52315.000000,116628.156250,96.250000,2401.000000,0.795424
30537.451172,20072.000000,99706.171875,59342.000000,35048.000000,110963.171875,352.660004,3485.000000,0.797476
70654.445312,65559.000000,70629.664062,70756.000000,43571.000000,106425.492188,291.829987,1533.000000,0.803635
35880.222656,27771.000000,84672.726562,57578.000000,31083.000000,121398.578125,459.690002,1958.000000,0.804661
118525.281250,105469.000000,73648.867188,51738.000000,40077.000000,84604.679688,407.329987,2050.000000,0.804661
36673.382812,22164.000000,108438.320312,39386.000000,25568.000000,100954.351562,289.519989,1734.000000,0.806714
72251.031250,55419.000000,85440.804688,65073.000000,44203.000000,96478.164062,641.409973,3080.000000,0.816977
131800.437500,117017.000000,73815.539062,75404.000000,52717.000000,93739.710938,235.619995,1901.000000,0.825188
37269.832031,34112.000000,71602.828125,38098.000000,23556.000000,105993.828125,303.380005,1295.000000,0.843662
27607.339844,23406.000000,77299.601562,52848.000000,29882.000000,115904.109375,267.959991,1640.000000,0.843662
118862.609375,98043.000000,79452.695312,96496.000000,57903.000000,109216.476562,311.079987,2551.000000,0.853926
93670.304688,75711.000000,81081.710938,62980.000000,41531.000000,99382.562500,75.459999,1321.000000,0.859058
171515.328125,139823.000000,80390.414062,84155.000000,54863.000000,100526.445312,271.809998,2824.000000,0.866242
82808.593750,67538.000000,80353.937500,74680.000000,39446.000000,124074.140625,274.889984,1828.000000,0.867268
115889.054688,103230.000000,73572.664062,75311.000000,54622.000000,90358.867188,166.319992,2555.000000,0.874453
37923.949219,28317.000000,87770.039062,54065.000000,37097.000000,95511.867188,274.119995,1741.000000,0.880611
28007.871094,18459.000000,99437.875000,44184.000000,19983.000000,144905.296875,279.509979,1303.000000,0.885743
87454.585938,76360.000000,75057.929688,74752.000000,47816.000000,102454.140625,221.759995,1693.000000,0.885743
25556.500000,18187.000000,92091.648438,52455.000000,29243.000000,117556.031250,383.459991,1576.000000,0.886769
86867.609375,77798.000000,73176.125000,60935.000000,39350.000000,101485.039062,229.459991,2847.000000,0.894980
41787.050781,29968.000000,91382.679688,134934.000000,48180.000000,183541.625000,662.969971,3120.000000,0.901138
28083.710938,20950.000000,87851.750000,61833.000000,18134.000000,223463.515625,249.479996,1181.000000,0.902164
73614.570312,55746.000000,86542.617188,77861.000000,50358.000000,101328.460938,150.919998,1575.000000,0.924744
69997.164062,61299.000000,74835.382812,84610.000000,48087.000000,115311.851562,569.029968,3014.000000,0.932955
77208.281250,61058.000000,82870.742188,73880.000000,39506.000000,122558.585938,235.619995,1691.000000,0.933981
29257.650391,18650.000000,102811.226562,61744.000000,39630.000000,102105.843750,284.899994,3238.000000,0.942192
63362.742188,43732.000000,94954.289062,74061.000000,35408.000000,137078.093750,243.319992,2036.000000,0.943219
39046.542969,29935.000000,85483.695312,46705.000000,25739.000000,118919.101562,395.009979,1798.000000,0.956561
145755.000000,127818.000000,74732.812500,62917.000000,47662.000000,86511.867188,180.949997,1683.000000,0.967851
107498.460938,88749.000000,79381.398438,79364.000000,41705.000000,124714.046875,157.849991,1668.000000,0.971956
90537.953125,81737.000000,72592.531250,56523.000000,39737.000000,93220.210938,93.939995,1306.000000,0.977088
116532.109375,88258.000000,86530.945312,93991.000000,47574.000000,129478.164062,368.829987,2625.000000,0.980167
36204.910156,24758.000000,95836.703125,112586.000000,45778.000000,161178.656250,1134.209961,3345.000000,0.986325
72427.203125,53857.000000,88133.195312,65274.000000,39986.000000,106982.367188,246.399994,1568.000000,0.996589
35854.941406,20489.000000,114685.414062,97878.000000,47741.000000,134361.093750,520.519958,2508.000000,0.998642
21952.521484,13240.000000,108661.671875,80494.000000,38440.000000,137233.468750,378.839996,2847.000000,1.001721
40046.679688,32602.000000,80501.171875,66449.000000,40302.000000,108054.234375,338.029999,1848.000000,1.003773
114309.843750,100215.000000,74753.390625,43930.000000,32887.000000,87542.093750,236.389999,1199.000000,1.004800
64505.082031,57427.000000,73613.539062,50189.000000,29687.000000,110795.507812,79.309998,1489.000000,1.008905
50503.910156,39861.000000,83034.148438,81358.000000,55297.000000,96422.546875,387.309998,2871.000000,1.009932
37163.179688,28122.000000,86605.726562,43712.000000,19422.000000,147498.187500,178.639999,1176.000000,1.011984
26641.169922,24449.000000,71412.148438,36056.000000,32913.000000,71794.304688,108.570000,7295.000000,1.014037
131152.640625,113448.000000,75763.515625,69403.000000,51084.000000,89037.562500,171.709991,1671.000000,1.015063
106636.570312,88167.000000,79264.742188,85113.000000,49831.000000,111937.664062,103.949997,2163.000000,1.019169
50973.960938,37494.000000,89097.703125,79623.000000,43574.000000,119754.281250,254.869995,2082.000000,1.020195
31753.261719,22687.000000,91725.742188,73919.000000,44027.000000,110031.476562,284.130005,3236.000000,1.023274
18903.910156,14502.000000,85428.679688,39086.000000,23474.000000,109122.437500,190.959991,1189.000000,1.026353
25685.271484,20851.000000,80730.421875,81138.000000,40807.000000,130307.546875,395.779999,4342.000000,1.058170
105825.242188,88394.000000,78459.664062,91483.000000,54458.000000,110092.734375,331.100006,1931.000000,1.065355
24952.941406,13058.000000,125234.789062,45872.000000,27314.000000,110063.234375,448.139984,2606.000000,1.074592
144739.062500,118906.000000,79774.101562,76093.000000,54222.000000,91970.617188,324.169983,2421.000000,1.075618
18669.281250,12885.000000,94956.148438,35458.000000,25185.000000,92268.234375,298.759979,1587.000000,1.078697
156489.531250,126306.000000,81197.234375,76077.000000,50818.000000,98110.562500,333.410004,1921.000000,1.083829
90718.070312,76928.000000,77283.953125,70322.000000,45188.000000,101987.757812,102.409996,1942.000000,1.105382
113899.835938,98194.000000,76018.289062,53361.000000,38742.000000,90265.515625,144.759995,1444.000000,1.106409
64802.121094,55978.000000,75866.796875,84668.000000,52574.000000,105542.703125,260.259979,1937.000000,1.112567
83904.320312,66758.000000,82368.460938,79882.000000,53698.000000,97492.398438,244.089996,2144.000000,1.126936
29986.820312,23234.000000,84583.640625,48260.000000,21078.000000,150050.640625,320.320007,1523.000000,1.136173
58597.460938,46206.000000,83111.351562,66875.000000,36206.000000,121049.554688,660.659973,3245.000000,1.141305
99438.882812,80673.000000,80780.765625,131740.000000,65537.000000,131737.984375,1177.329956,8176.000000,1.144384
81275.992188,70217.000000,75857.742188,47145.000000,35529.000000,86962.617188,97.790001,1180.000000,1.149516
38691.042969,29808.000000,85066.304688,39727.000000,23492.000000,110827.031250,251.789993,1593.000000,1.159779
115879.570312,99724.000000,76153.023438,55122.000000,42060.000000,85888.625000,247.169998,1829.000000,1.161832
39396.511719,33610.000000,76819.093750,76669.000000,43114.000000,116541.726562,619.849976,3012.000000,1.166963
59544.671875,46433.000000,84041.945312,84610.000000,68901.000000,80477.804688,185.569992,6953.000000,1.167990
76298.992188,59854.000000,83542.140625,88358.000000,56734.000000,102066.304688,225.610001,2078.000000,1.173122
152764.671875,125472.000000,79791.398438,78629.000000,56592.000000,91055.804688,187.879990,1960.000000,1.175174
97640.843750,74643.000000,85727.929688,98411.000000,55603.000000,115991.289062,338.029999,2607.000000,1.176201
43288.839844,35451.000000,80025.312500,73110.000000,35679.000000,134290.109375,2327.709961,1673.000000,1.177227
33871.250000,27434.000000,80913.687500,51418.000000,34170.000000,98616.632812,236.389999,1664.000000,1.180306
94702.039062,84929.000000,73077.429688,69512.000000,47073.000000,96776.046875,285.669983,1436.000000,1.185438
36867.722656,27904.000000,86588.414062,78395.000000,40448.000000,127019.742188,468.929993,2149.000000,1.206991
57840.640625,38337.000000,98876.906250,147834.000000,72053.000000,134462.796875,647.570007,3371.000000,1.208018
28793.919922,20027.000000,94224.710938,84209.000000,37035.000000,149013.656250,679.909973,2162.000000,1.217255
36825.062500,35511.000000,67961.117188,52850.000000,32519.000000,106509.351562,257.179993,1495.000000,1.221360
118114.484375,103480.000000,74804.320312,42546.000000,31816.000000,87638.132812,148.610001,1317.000000,1.223413
58798.910156,43067.000000,89475.593750,80073.000000,53215.000000,98612.500000,447.369995,3819.000000,1.225466
145488.781250,121219.000000,78657.250000,71930.000000,51987.000000,90676.601562,180.179993,1944.000000,1.225466
155626.046875,133806.000000,76223.101562,108297.000000,72394.000000,98037.851562,182.489990,2602.000000,1.229571
96967.765625,87338.000000,72761.906250,48489.000000,36910.000000,86095.234375,252.559998,1203.000000,1.231624
50582.121094,38351.000000,86437.125000,70409.000000,40127.000000,114993.000000,125.509995,1380.000000,1.240861
27978.640625,22975.000000,79808.843750,53118.000000,33403.000000,104216.429688,228.689987,1520.000000,1.248045
104809.304688,85483.000000,80352.617188,55596.000000,39339.000000,92619.015625,158.619995,1600.000000,1.250098
22547.390625,17493.000000,84471.835938,58782.000000,27841.000000,138369.203125,467.389984,1863.000000,1.255230
30998.810547,23563.000000,86217.296875,51372.000000,31551.000000,106707.085938,194.809998,2387.000000,1.259335
26860.791016,21159.000000,83196.218750,53421.000000,33875.000000,103350.515625,290.289978,1645.000000,1.264467
34284.421875,21707.000000,103508.718750,70809.000000,42959.000000,108022.500000,528.219971,2938.000000,1.275757
