"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
27730.580078,24163.000000,75212.156250,69916.000000,36515.000000,125483.093750,262.570007,1743.000000,0.631253
36889.050781,26565.000000,91005.492188,59265.000000,34881.000000,111349.757812,136.289993,1825.000000,0.633347
97629.781250,86770.000000,73738.226562,38657.000000,29782.000000,85065.656250,195.580002,1287.000000,0.634394
103897.640625,91761.000000,74204.023438,44469.000000,35489.000000,82118.976562,126.279999,1603.000000,0.634394
127362.226562,107640.000000,77543.773438,73704.000000,50552.000000,95550.421875,113.959999,1956.000000,0.634394
23520.669922,13003.000000,118545.765625,43226.000000,23471.000000,120696.148438,63.910000,1435.000000,0.639628
40174.660156,23530.000000,111894.875000,32841.000000,21034.000000,102323.281250,158.619995,870.000000,0.642769
118418.632812,105547.000000,73528.226562,68752.000000,52591.000000,85674.945312,90.860001,1386.000000,0.644862
49290.472656,40967.000000,78851.281250,60362.000000,43431.000000,91084.343750,233.309998,2921.000000,0.646956
101029.945312,90462.000000,73192.039062,41592.000000,34782.000000,78367.351562,32.340000,1113.000000,0.648003
63884.933594,48259.000000,86756.109375,69359.000000,38931.000000,116758.148438,20.020000,1200.000000,0.656378
95213.171875,85562.000000,72928.296875,38861.000000,31982.000000,79632.125000,93.169998,1015.000000,0.657425
128314.960938,110107.000000,76373.429688,72135.000000,47691.000000,99126.453125,87.009995,2016.000000,0.660565
87242.070312,77550.000000,73726.585938,45451.000000,34734.000000,85756.796875,7.700000,1143.000000,0.660565
60484.773438,50810.000000,78014.773438,68474.000000,42922.000000,104550.406250,185.569992,1554.000000,0.666846
134975.453125,113863.000000,77687.679688,63091.000000,44195.000000,93556.546875,112.419998,2034.000000,0.673128
93177.343750,82467.000000,74047.437500,59280.000000,41635.000000,93310.296875,16.939999,1644.000000,0.675221
24817.060547,14992.000000,108485.257812,36083.000000,18612.000000,127054.351562,217.909988,1321.000000,0.676268
112946.304688,99602.000000,74316.273438,40916.000000,32914.000000,81469.007812,80.849998,1383.000000,0.686737
55603.363281,43066.000000,84614.820312,54807.000000,36526.000000,98336.296875,98.559998,998.000000,0.688830
38600.191406,22587.000000,111998.148438,65250.000000,30507.000000,140171.890625,103.949997,1569.000000,0.689877
110502.835938,85463.000000,84737.406250,102851.000000,66551.000000,101282.375000,192.500000,1993.000000,0.701393
137747.562500,118646.000000,76087.046875,138633.000000,58130.000000,156295.406250,247.939987,3705.000000,0.705580
43228.011719,34019.000000,83276.734375,68407.000000,38919.000000,115191.062500,151.690002,2811.000000,0.706627
66975.414062,48695.000000,90138.640625,56964.000000,37539.000000,99448.382812,1.540000,1301.000000,0.706627
104240.500000,88059.000000,77578.742188,66331.000000,43931.000000,98952.187500,164.779999,1943.000000,0.708721
68786.093750,59271.000000,76056.851562,64236.000000,43267.000000,97297.492188,91.629997,1394.000000,0.715002
66467.445312,49914.000000,87270.312500,45880.000000,31342.000000,95934.898438,27.719999,1360.000000,0.719189
210187.406250,172204.000000,79991.414062,168405.000000,100476.000000,109843.046875,156.309998,4003.000000,0.719189
91944.945312,75834.000000,79459.132812,57537.000000,38254.000000,98571.257812,86.239998,1563.000000,0.720236
51497.730469,37715.000000,89485.750000,56996.000000,33559.000000,111305.156250,114.729996,1391.000000,0.721283
63346.152344,55915.000000,74245.789062,39352.000000,29531.000000,87331.031250,46.969997,904.000000,0.722330
33117.589844,28643.000000,75773.992188,43029.000000,28359.000000,99437.515625,79.309998,1416.000000,0.723377
52936.320312,40866.000000,84892.937500,45175.000000,28086.000000,105411.546875,113.959999,1264.000000,0.729658
45425.792969,36739.000000,81031.742188,36842.000000,30119.000000,80164.585938,147.069992,904.000000,0.734892
85649.429688,76855.000000,73035.218750,45210.000000,34691.000000,85407.820312,113.959999,1341.000000,0.738033
101180.039062,89820.000000,73824.703125,40824.000000,31324.000000,85411.875000,182.489990,1278.000000,0.738033
68926.710938,63226.000000,71445.000000,15829.000000,13626.000000,76131.609375,128.589996,548.000000,0.742220
67832.562500,57063.000000,77904.679688,41440.000000,30707.000000,88442.757812,103.180000,981.000000,0.751642
33532.339844,25535.000000,86061.304688,34864.000000,25119.000000,90960.906250,177.099991,1115.000000,0.754782
30262.531250,29934.000000,66255.273438,25977.000000,18302.000000,93018.726562,56.209999,1309.000000,0.758970
80764.070312,73734.000000,71784.445312,50705.000000,37746.000000,88035.898438,224.839996,1545.000000,0.760017
56683.292969,47694.000000,77888.132812,48262.000000,28414.000000,111314.804688,85.470001,1309.000000,0.761063
105449.203125,90214.000000,76603.617188,81217.000000,54934.000000,96891.492188,132.440002,2131.000000,0.764204
34413.191406,28010.000000,80517.773438,52560.000000,37210.000000,92571.140625,277.199982,3093.000000,0.764204
