"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
37034.410156,16271.000000,149166.437500,81612.000000,27355.000000,195522.734375,188.649994,1874.000000,0.522890
44625.519531,34391.000000,85039.054688,51581.000000,26707.000000,126574.023438,204.049988,1411.000000,0.531013
29619.470703,22925.000000,84673.570312,53812.000000,30809.000000,114467.304688,147.069992,1342.000000,0.531013
99862.320312,77023.000000,84969.132812,82288.000000,43119.000000,125068.453125,167.089996,1872.000000,0.535074
71946.882812,56933.000000,82818.593750,84560.000000,46865.000000,118248.671875,303.380005,2693.000000,0.538120
35480.480469,27081.000000,85862.742188,63852.000000,32505.000000,128737.257812,204.819992,2558.000000,0.539135
51551.453125,35411.000000,95407.531250,70603.000000,38103.000000,121435.023438,1104.179932,1653.000000,0.541166
40198.359375,21034.000000,125246.734375,89205.000000,32254.000000,181253.140625,116.269997,2077.000000,0.543197
41942.679688,27710.000000,99197.242188,45398.000000,29598.000000,100520.414062,50.049999,1148.000000,0.544212
26725.701172,17410.000000,100602.851562,49819.000000,28690.000000,113800.562500,214.059998,1836.000000,0.546243
36003.460938,34131.000000,69131.367188,21626.000000,17351.000000,81682.992188,23.099998,836.000000,0.547258
114326.429688,95569.000000,78398.828125,63549.000000,46069.000000,90402.382812,92.399994,2049.000000,0.549289
85040.343750,70963.000000,78536.757812,84397.000000,47479.000000,116494.500000,73.919998,2649.000000,0.552335
88612.718750,62234.000000,93314.304688,63927.000000,37370.000000,112109.179688,97.790001,1553.000000,0.556396
70537.523438,50287.000000,91927.281250,137275.000000,64479.000000,139525.343750,267.959991,3979.000000,0.560457
52133.679688,40650.000000,84050.007812,46914.000000,27722.000000,110906.710938,147.069992,926.000000,0.575687
137950.593750,111169.000000,81324.195312,103697.000000,61813.000000,109942.671875,172.479996,2888.000000,0.585840
96273.351562,78663.000000,80207.601562,79474.000000,50343.000000,103458.437500,247.169998,3103.000000,0.587871
96924.312500,89883.000000,70670.007812,96321.000000,60171.000000,104909.226562,161.699997,2515.000000,0.589901
28520.580078,24815.000000,75322.375000,46989.000000,30319.000000,101569.015625,40.809998,1481.000000,0.598024
28086.080078,19515.000000,94319.710938,29787.000000,20255.000000,96377.226562,72.379997,724.000000,0.600055
130019.781250,111811.000000,76208.750000,58798.000000,43703.000000,88172.109375,189.419998,2983.000000,0.604116
33943.140625,25938.000000,85762.117188,53902.000000,30290.000000,116623.367188,132.440002,1858.000000,0.605131
28170.611328,20899.000000,88338.648438,54158.000000,32995.000000,107570.812500,113.189995,1614.000000,0.606147
160291.796875,140607.000000,74710.960938,90531.000000,54623.000000,108617.968750,313.389984,3415.000000,0.607162
86940.289062,80354.000000,70907.710938,59667.000000,41026.000000,95313.625000,190.959991,1953.000000,0.619346
125602.890625,93778.000000,87776.578125,108958.000000,54950.000000,129948.523438,308.000000,2689.000000,0.619346
121014.570312,101174.000000,78387.835938,58981.000000,45574.000000,84815.437500,70.839996,1517.000000,0.633560
19928.541016,11178.000000,116839.945312,63642.000000,23562.000000,177015.625000,196.349991,1465.000000,0.635591
136662.109375,110247.000000,81238.382812,99990.000000,56051.000000,116910.398438,164.009995,2166.000000,0.642698
51143.019531,47363.000000,70766.398438,51473.000000,33031.000000,102126.320312,248.709991,1946.000000,0.643713
59484.632812,35774.000000,108972.585938,56182.000000,30174.000000,122023.710938,53.129997,1269.000000,0.645744
122096.875000,102567.000000,78014.765625,63708.000000,45187.000000,92397.539062,163.239990,3067.000000,0.657928
47175.640625,33718.000000,91692.953125,43108.000000,22278.000000,126812.375000,91.629997,1351.000000,0.657928
32826.871094,27401.000000,78513.257812,54333.000000,30649.000000,116178.914062,127.049995,3087.000000,0.666050
136758.484375,109691.000000,81707.734375,60619.000000,45119.000000,88049.984375,51.590000,1445.000000,0.671127
57169.140625,49596.000000,75543.132812,80826.000000,47208.000000,112205.835938,131.669998,1871.000000,0.687372
89742.421875,65583.000000,89678.109375,65968.000000,35359.000000,122268.132812,57.750000,1445.000000,0.690418
36974.371094,28041.000000,86414.625000,58404.000000,33821.000000,113171.242188,209.440002,1946.000000,0.692449
67953.429688,58803.000000,75734.156250,71187.000000,47847.000000,97504.781250,119.349998,2208.000000,0.693464
21291.291016,10740.000000,129920.484375,51636.000000,28608.000000,118289.187500,46.969997,1508.000000,0.699556
69830.468750,64047.000000,71453.929688,72916.000000,48715.000000,98093.460938,182.489990,1776.000000,0.704633
