"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
54259.6,50798,70001.9,79568.8,46538,112051,974.98,6207.46,0.004,0
68693.7,59364,75835.7,42077.6,30928,89161.9,1758.08,1737.2,0.022,1
68214.9,59529,75098.4,29631.4,22205,87454.3,1100.44,760.53,0.026,2
76514.7,61267,81846.1,69887,45815,99969.7,2521.5,5969.1,0.049,4
133854,117323,74770.4,55873.2,42011,87160.7,14053.2,3518.84,0.049,5
83529.1,75941,72084.4,35393.4,28385,81717.2,2076.24,1525.1,0.056,6
58848.7,43490,88680.3,61346.4,29010,138587,2040.16,3785.48,0.061,7
33552.9,29683,74080.2,43656.2,27171,105298,3099.6,2065.45,0.086,9
76016.2,50825,98018.6,90832.3,37785,157544,811.8,4311.69,0.09,10
76404.9,54111,92537,65603.5,32943,130510,3916.32,4892.44,0.092,11
62444.8,39367,103955,49514.2,32003,101396,931.52,4492.48,0.099,12
61980.2,43334,93735.6,61585.8,25910,155773,1260.34,2387.64,0.112,14
62122.4,54902,74155,32661.4,25030,85517.2,333.74,1159.48,0.113,15
50543.4,37307,88788,40045.5,22719,115517,3966.34,3559.24,0.114,16
64974.3,47059,90485.5,88682,39575,146857,3986.84,2493.69,0.114,17
97201.6,78538,81109.8,65672.2,46314,92928.6,4249.24,1722.05,0.116,20
78267.7,74101,69221.1,45658.1,33457,89435.6,1893.38,1634.18,0.117,21
78335.6,59371,86469.9,47166,26027,118764,3538.3,2169.48,0.118,22
100452,92234,71375.5,79305.2,49242,105547,642.88,2288.66,0.118,23
72721.9,72195,66014.3,53321.9,38183,91520,3286.56,3952.13,0.118,24
52984.5,47490,73118.4,39770.8,27874,93507.1,1679.36,2786.59,0.118,25
70009.8,52807,86885.5,50637.4,34211,97003,10396,13872.3,0.126,27
55171.2,47478,76155.3,44895.5,28338,103828,3973.72,963.54,0.135,31
46969.5,36863,83503.5,54829.9,34815,103212,605.98,2396.73,0.137,32
100452,86967,75697.7,65387.4,47703,89831.4,3237.36,3744.07,0.139,33
64830.6,50682,83831.2,62254.4,40586,100525,1047.96,3664.28,0.145,34
67176.9,51995,84671.7,50568.7,29771,111319,820.82,1169.58,0.149,36
86358.1,69939,80921.4,52219,36439,93916.6,5102.04,2235.13,0.15,37
39192.7,24681,104069,65870.2,29309,147288,2742.9,2256.34,0.154,38
54044.7,50787,69739.8,36477.2,23363,102323,2473.12,6057.98,0.163,40
30309.9,27346,72639.2,47969.9,28034,112141,1000.4,4696.5,0.165,41
26198,23954,71675.3,60252.6,30034,131475,700.28,2429.05,0.167,42
61085.2,53043,75472.3,44399.6,29463,98760.2,953.66,1696.8,0.169,43
47704.9,42887,72898.3,42947.2,29043,96911.1,3386.6,2876.48,0.175,46
54969.8,34563,104230,57208.4,29171,128525,3873.68,3486.52,0.178,47
61447,53159,75753.7,69591,39619,115114,6980.66,6970.01,0.179,48
84883.1,66460,83703,64814.7,42652,99589.7,2812.6,2246.24,0.181,49
25488.6,21603,77323.5,54644,28179,127086,4018.82,12463.4,0.183,50
69843.9,61839,74019.5,52548.3,37131,92747.4,3104.52,2553.28,0.183,51
76724,63722,78908.2,46047.9,30462,99067.6,2808.5,2352.29,0.185,52
46454.4,35555,85626,44432.9,25155,115761,864.28,2580.55,0.191,53
109563,97695,73497.1,63264.4,47535,87221.9,1412.86,1861.43,0.194,54
78875.2,71078,72725.2,32929,25826,83560.6,1080.76,2238.16,0.197,55
80049.9,53854,97414.3,46424.6,27454,110821,1671.98,2079.59,0.199,57
54791.2,53818,66721.1,42229.1,28094,98509.5,2615.8,2507.83,0.205,59
40539.6,28234,94099.5,51038.3,27930,119758,3948.3,1368.55,0.213,61
84008.6,62258,88431.8,66105.5,31730,136536,4000.78,5185.34,0.219,62
62621.7,47086,87159.2,44197.6,29822,97127.4,3563.72,1943.24,0.226,66
15920.1,14562,71648,60394,54306,72882.9,535.46,3115.85,0.232,67
38532.2,32655,77331.2,75754,42843,115879,2751.1,14008.7,0.236,68
56709.4,48820,76126.7,55865.1,28176,129940,1506.34,2253.31,0.237,69
83939.9,77099,71350.9,36857.9,30523,79137.8,660.92,1200.89,0.241,71
90207.7,81434,72596.9,55135.9,42862,84302.8,1107,3009.8,0.243,73
109893,89871,80136.5,96928.7,50107,126775,1720.36,3377.44,0.251,74
119238,102730,76067.1,73110.9,53678,89261.8,1622.78,4421.78,0.251,75
83059.8,68674,79264.5,47738.7,32050,97616.2,1152.1,2141.2,0.255,78
85813,76839,73189.9,49523.3,37959,85501.8,1013.52,2246.24,0.257,79
43261.2,26058,108802,59265.8,27738,140026,1744.96,2260.38,0.267,80
117062,90654,84627.1,74223.9,48522,100250,1429.26,2796.69,0.269,81
49572.5,39878,81468.1,39109.2,23602,108595,1153.74,2079.59,0.271,82
47074.5,24342,126739,73898.7,21954,220599,751.94,4725.79,0.274,83
73105,63809,75083.6,51561.5,33617,100519,1029.1,1119.08,0.282,84
59563.6,48810,79974.6,52276.6,32058,106869,3972.08,3013.84,0.286,85
48980,26715,120155,60218.2,25451,155061,1625.24,2660.34,0.29,87
79830.3,63611,82246.1,76289.3,47007,106361,3976.18,3822.85,0.293,88
106283,94381,73800.2,44788.4,35177,83442.5,1021.72,1979.6,0.302,90
45813.7,38483,78020,58253.8,35043,108944,749.48,1877.59,0.304,91
82309.3,73053,73839.9,44949,34621,85086.5,4408.32,8299.17,0.306,92
55370.3,48690,74527.6,48527.5,28502,111582,598.6,1653.37,0.306,93
70185.2,63434,72510.9,52404.9,32218,106599,2473.12,1712.96,0.307,94
50921,32135,103848,51964.5,20199,168600,1655.58,2201.8,0.308,96
44822.2,40642,72276.7,73327,43122,111441,1908.14,7807.3,0.314,97
109969,91285,78949.6,60371.7,42517,93057.4,612.54,2214.93,0.316,99
24969.5,14823,110396,56195.4,18327,200951,2535.44,3648.12,0.325,101
67577.4,60471,73237.6,50650.5,32931,100800,431.32,2603.78,0.33,102
62038.7,39055,104104,66596.4,31595,138138,11214.3,7508.34,0.337,103
56634.3,37518,98928.1,63122,32330,127954,4541.98,3344.11,0.338,104
69951.3,59158,77493,40830.3,31538,84845.3,599.42,950.41,0.346,105
54563.7,40506,88280.5,35622.7,23114,101002,616.64,987.78,0.352,107
77447.6,68478,74120.3,51748.4,39770,85274.8,701.92,1779.62,0.357,108
52200.8,32793,104322,82240.3,33577,160518,7717.02,5463.09,0.357,109
87599.9,77470,74105.5,54511.7,41450,86187.7,1195.56,4151.1,0.363,110
57245.8,47003,79817.4,38692.1,26043,97366.8,1489.94,1024.14,0.369,112
69519.2,53874,84567.9,60677.8,35122,113222,3931.9,3725.89,0.375,113
71043.9,58330,79820.6,56277.2,29530,124896,1516.18,3737,0.375,114
66774.8,58117,75299,53705.7,33969,103614,1536.68,2724.98,0.376,115
77776.3,61262,83202.4,51492.8,35466,95151.2,2311.58,4245.03,0.383,117
67654,48534,91354,72181.7,40406,117074,3941.74,2977.48,0.389,119
32596.2,23446,91112.5,48086.1,26166,120438,1593.26,4231.9,0.395,120
79876.9,72067,72638.1,41614,32103,84952.1,213.2,1196.85,0.403,121
29944.2,24507,80075.9,55578.3,25899,140638,1296.42,1511.97,0.404,122
34881.7,19655,116307,71204,25495,183033,1965.54,2492.68,0.406,123
77566.9,64907,78318.6,44186.5,34239,84576.2,2097.56,3320.88,0.407,124
82829.9,57346,94659.5,67165,34806,126465,3734.28,2502.78,0.408,125
74263.2,67890,71688.2,31962.5,26642,78623.7,1951.6,1795.78,0.413,126
61015.7,54302,73638.6,45381.3,28510,104318,3428.42,1662.46,0.414,127
88551.1,73357,79110.2,66597.4,43817,99608.1,8480.44,3424.91,0.414,128
103914,88435,77007.1,65290.4,46519,91981.2,523.98,5372.19,0.43,131
55800.1,44029,83056.9,30231.3,20206,98052.1,1867.14,996.87,0.431,132
36589.6,27511,87162.9,48538.6,27459,115846,3500.58,4857.09,0.432,133
57034.1,34311,108938,53433,26935,130009,5791.66,2890.62,0.432,134
66213.1,59282,73198.3,30155.6,22886,86353,517.42,933.24,0.433,135
48716.9,42595,74955.1,31319.1,22103,92862,2441.14,3841.03,0.437,136
76241.3,70495,70878.1,35651,27931,83649.8,979.08,1055.45,0.445,138
79183.3,65517,79206.2,83811.8,49609,110720,3052.86,5957.99,0.448,140
124637,109214,74790.7,64168.3,45018,93414.5,824.1,2286.64,0.452,141
87883.6,77203,74602.5,56422.6,40659,90944.5,1669.52,9763.67,0.453,142
62769.5,50600,81297.6,36371.1,23292,102336,1523.56,1209.98,0.473,144
54426.3,45958,77611.7,36657.9,25702,93471.9,2570.7,3191.6,0.475,146
55700.5,43909,83135.4,55832.8,29281,124964,3132.4,3042.12,0.476,147
57672.4,45847,82439.8,42388.7,26179,106115,891.34,1247.35,0.477,148
81143.3,72458,73391.6,36412.5,27822,85771.4,1264.44,1544.29,0.478,149
88955.6,67902,85856,106432,45914,151917,6472.26,2366.43,0.48,150
99976.9,76766,85351.4,96330.8,41486,152175,10574.7,2948.19,0.483,151
40522.3,29710,89386.3,47063,27722,111259,3448.92,4068.28,0.483,152
79497.7,67490,77196.1,38787,29266,86856.7,7972.04,3079.49,0.485,153
61008.5,53250,75084.6,54358.2,27766,128301,1051.24,4597.52,0.486,154
36599.1,24699,97111.6,44922.8,21995,133851,1084.86,10534.3,0.491,156
64437.9,49704,84963.1,32423,17752,119698,9071.66,1440.26,0.492,157
90721.2,70311,84560.1,45150,29283,101047,10094.2,1158.47,0.492,158
89826.2,73967,79587.5,104022,56923,119761,1799.08,3406.73,0.493,159
55967.6,54406,67417,37621.5,24338,101305,961.04,1168.57,0.493,160
66654.7,62459,69938.4,37851.8,29227,84875.4,1438.28,1581.66,0.5,163
54659.3,49472,72407.7,53731,27156,129670,2651.06,1439.25,0.5,164
69598.2,57924,78744.4,46896.3,30435,100982,1442.38,1637.21,0.503,166
58019.2,37011,102736,38522.4,22247,113481,2204.98,1227.15,0.507,168
65117.3,54411,78431.4,67799.3,35023,126868,3406.28,5902.44,0.514,171
65050.2,47138,90439.3,76825.6,38038,132364,4934.76,2081.61,0.517,172
69068.9,60548,74758.9,61548.4,41488,97224.1,1964.72,4073.33,0.527,175
47920.6,38891,80752,100919,52939,124933,7779.34,6687.21,0.536,177
41582.4,24559,110963,53053.3,31055,111959,2501.82,3413.8,0.54,178
61989.7,56887,71414.5,35006.6,24743,92720.9,544.48,1691.75,0.545,179
84670.6,76111,72906.3,46219.6,37051,81753.5,1427.62,1687.71,0.551,180
47473.5,36854,84420.2,48806.2,24758,129193,1913.88,2907.79,0.551,181
35354.9,25527,90767.3,74438,45543,107116,2795.38,3492.58,0.554,182
94730.5,82318,75418,61643.3,35838,112726,3922.06,2036.16,0.56,183
60905.1,56514,70628.1,56943.8,32818,113714,2954.46,2679.53,0.563,185
36337.6,29963,79478.8,42024.1,24847,110842,1530.94,2113.93,0.563,186
55706.9,51266,71213,50178.8,27858,118046,927.42,3124.94,0.566,188
75780.8,53630,92604.3,59324.4,35470,109610,959.4,3761.24,0.567,189
72236,56159,84297.4,65128.8,38527,110787,2414.08,2237.15,0.574,191
47202.5,43007,71929.3,37587.1,28411,86702.7,469.86,1839.21,0.58,193
32955.6,26239,82311.9,49826.3,31807,102664,2318.14,10866.6,0.585,195
43164,29951,94447.5,47705.3,22879,136650,1213.6,3883.45,0.587,196
67881.5,58618,75892.8,47210.4,32890,94070.6,1678.54,1744.27,0.59,197
69503.4,60191,75675.4,46998.3,32331,95267.2,505.94,2060.4,0.591,198
56364.1,43391,85130.1,45402.5,27179,109478,539.56,2129.08,0.593,199
50447.8,39758,83156.8,61926.1,36826,110204,6847.82,10705,0.6,200
74862,67235,72970.2,44364.2,34067,85345.2,2815.06,1742.25,0.607,204
56494.5,48631,76133,41294.9,24371,111046,3705.58,1365.52,0.618,205
50079.7,40374,81290.5,34516.8,25586,88411.2,1517.82,2636.1,0.62,206
103857,88567,76850.2,71057.5,43459,107154,4706.8,3475.41,0.623,207
94745.5,79534,78070.3,72878.6,43678,109350,2822.44,3380.47,0.623,208
57786.9,48234,78515.6,38491.1,27486,91775.9,2755.2,1102.92,0.638,211
45315.2,35346,84020.2,37246.8,22594,108038,5985.18,2593.68,0.64,212
72257.4,67942,69698.5,37370,29794,82200.5,961.04,1533.18,0.64,213
54151.3,40470,87691.2,51753.4,32498,104367,2361.6,4881.33,0.641,214
42905.7,34812,80772.9,40096,25320,103781,2400.96,1411.98,0.644,216
48886.8,37634,85131.6,43196.7,23266,121677,1078.3,3779.42,0.647,217
53007.4,41945,82820.2,51261.5,19785,169799,3667.04,3108.78,0.649,219
49761.3,41153,79244.7,48309.3,28949,109365,7164.34,2797.7,0.653,221
86786.2,78011,72908,41542.3,29327,92833.1,998.76,1385.72,0.653,222
37029.7,20014,121254,41195.9,18842,143287,3969.62,3684.48,0.656,224
54642.7,45298,79055.7,51851.4,27878,121893,1034.84,6731.65,0.662,226
111604,97083,75338.5,56675.1,41599,89287.3,965.14,3805.68,0.666,229
48014.6,42815,73494.9,34926.8,20571,111271,7869.54,1196.85,0.667,230
70961,62602,74286.7,43210.8,29022,97576.5,396.88,1535.2,0.668,231
66834,57466,76219.6,68715.4,41946,107360,1451.4,3402.69,0.674,234
21142,10096,137239,70998,22403,207692,1.64,1447.33,0.679,235
25881.2,19102,88794.4,73777.5,28510,169592,8204.92,4014.75,0.68,237
56526.1,49946,74170,36430.7,25790,92575.5,961.04,1535.2,0.683,239
53066.7,44750,77715.7,28581,22410,83582.5,478.88,1003.94,0.687,241
59718.5,47837,81813.5,56025.7,29609,124006,5120.08,2412.89,0.689,242
67981.9,62159,71675.2,32785.6,25307,84902.9,2678.94,1551.36,0.691,243
96137.5,85074,74058.6,44373.3,33638,86451.4,6202.48,5109.59,0.692,244
47060.3,37514,82213.1,35800.5,23402,100257,850.34,1471.57,0.7,245
58927.7,55915,69067.1,35839.9,27035,86880,455.92,1355.42,0.703,246
67745.7,64874,68437,44225.9,28874,100381,1361.2,1319.06,0.707,247
39903.7,33990,76938.2,55838.9,29858,122562,2274.68,2429.05,0.718,248
54414.4,51790,68857,40045.5,30414,86289.9,663.38,3084.54,0.721,249
50304,42818,76993.9,50340.4,28514,115701,3430.88,2671.45,0.726,250
52101.3,42812,79755.9,44788.4,23976,122425,1336.6,3048.18,0.727,252
70932.5,64787,71752.6,54897.5,40371,89117.6,623.2,2649.23,0.728,253
