"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
76318.7,70114,71335.6,54689.5,35402,101241,6710.88,1452.38,0.002,0
57370.6,47486,79177.8,58125.5,27450,138773,2167.26,2803.76,0.012,1
70554.9,65240,70875,26931.7,22456,78597.8,461.66,841.33,0.013,2
77081.1,68018,74268.4,75044,47714,103074,3106.98,2081.61,0.023,3
60455.5,51782,76513.4,45362.1,26086,113964,12038.4,1567.52,0.036,5
71592.2,47537,98699.2,99394.1,38162,170691,17695.6,3082.52,0.101,7
52855.7,45118,76775.4,40255.6,22682,116312,5650.62,1914.96,0.11,9
120252,102494,76890.8,67905.3,42590,104490,11731.7,1843.25,0.126,10
70231.8,63362,72641.5,46721.6,31170,98233.8,793.76,1462.48,0.165,12
41380.2,33367,81274.7,37664.9,24723,99842.6,9648.94,1480.66,0.169,14
115403,96886,78061.5,64783.4,45346,93627.8,4343.54,2986.57,0.187,15
64970.4,40632,104792,39535.4,21964,117966,1508.8,1070.6,0.195,16
84788.3,69760,79654.4,48987,32980,97344.2,32006.2,1302.9,0.209,17
87701.1,73763,77919.5,58983,42019,91994.3,6057.34,1431.17,0.223,19
76360.6,63022,79406.7,55821.7,28042,130459,1968.82,1265.53,0.224,20
57895.9,48566,78126,46808.4,29218,104991,4650.22,1500.86,0.237,21
78273.2,67877,75573.6,50910.1,33121,100735,9721.1,1229.17,0.259,22
63663.7,52123,80046.5,38808.2,21595,117774,12620.6,1265.53,0.288,24
54792,43127,83262.2,47028.6,27651,111463,12729.7,1426.12,0.303,25
55547.3,44455,81888.3,43720.9,21907,130793,2143.48,938.29,0.334,26
114119,99370,75263.5,87544.8,50990,112519,14519.7,3281.49,0.338,28
95056.8,85174,73140.1,50327.3,37270,88496.1,3524.36,1851.33,0.338,29
60886.9,56903,70124.3,44297.6,28707,101128,1130.78,1556.41,0.345,30
61512.6,41414,97341.2,57555.9,31366,120257,4451.78,1408.95,0.364,32
45016.6,23898,123450,42049.3,16318,168878,1589.16,1426.12,0.366,33
27646.1,22904,79104.6,51836.2,28200,120466,11045.4,1928.09,0.377,34
86663.8,81319,69843.4,41114.1,30983,86965.5,11776,1968.49,0.382,35
75426.8,70763,69855.3,42671.5,30959,90329.8,7187.3,1583.68,0.406,37
64957.8,54315,78377.5,49351.6,31595,102368,2103.3,1114.03,0.413,38
66402.7,51327,84785.1,59810.2,33087,118467,10802.7,2258.36,0.421,39
63957.6,60237,69583.9,48891.1,31113,102983,14891.2,1339.26,0.433,40
42889.9,34283,81989.1,49680.9,27311,119215,7163.52,2103.83,0.435,41
107859,85925,82265.7,63460.3,39973,104044,2856.88,2056.36,0.451,42
72153.9,62044,76214.9,39327.4,28588,90155.3,1502.24,1042.32,0.457,43
43598.5,32017,89242.4,43762.3,25637,111870,15571,1129.18,0.486,45
74252.9,65359,74454,54766.2,36395,98616.9,19787.4,2837.09,0.492,46
78370.4,59947,85677,54482.4,38539,92648,2149.22,1803.86,0.52,47
64951.4,48162,88382.1,65165.2,36370,117423,2578.08,1876.58,0.523,48
70909.6,64311,72260.3,57907.3,33491,113314,1583.42,1510.96,0.532,49
60175.9,50371,78292.8,29974.8,20835,94285,2945.44,947.38,0.565,50
59871.7,48914,80217.4,39721.3,24578,105915,4664.16,1171.6,0.577,51
72925.7,57046,83779,46410.5,28470,106834,9783.42,1340.27,0.578,52
85153.3,62187,89739.1,73361.4,40555,118550,4815.86,2546.21,0.597,53
87801.4,66135,87006.1,70351.5,33687,136865,8127.02,2359.36,0.599,54
53354.2,36893,94777.4,48623.4,24249,131411,2551.02,1509.95,0.607,55
42279.2,31827,87058.5,77851.8,38311,133176,11741.6,2997.68,0.61,56
