"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
136614,108790,82297.4,117237,59990,128075,7389.84,20783.8,0.056,1
52822.6,48973,70687.5,48930.5,32205,99571.7,1208.68,5632.77,0.067,3
56750.4,45896,81035.3,44267.3,32060,90489.7,1551.44,1102.92,0.087,4
47332.9,44211,70163.7,40233.4,24375,108174,1577.68,5035.86,0.093,5
67282.7,48587,90753.5,56166.1,24767,148621,501.02,2750.23,0.163,9
62737.9,58229,70610.7,27117.5,22161,80193.7,412.46,1561.46,0.167,10
56633.5,39890,93044.2,44046.1,23074,125102,267.32,6202.41,0.185,11
53850.4,51381,68685.6,32956.3,24513,88109.3,129.56,1522.07,0.189,12
67475.5,58003,76238.7,28666.8,22627,83029.5,923.32,1733.16,0.195,13
55897.2,50544,72477.1,54516.8,31728,112608,553.5,6440.77,0.224,15
69215.9,55179,82207.5,54277.4,38395,92645.5,2568.24,4632.87,0.226,16
36817.2,29390,82097.6,54646.1,34014,105289,1084.86,6568.03,0.257,17
55255,51692,70053.2,34576.3,22124,102422,316.52,3570.35,0.336,19
42104.6,33251,82986.1,44331.9,20163,144092,462.48,89415.3,0.394,20
82745.4,75076,72230.8,37928.5,31092,79946.1,461.66,2791.64,0.471,23
60896.4,43784,91149.8,40142.4,23784,110611,194.34,3591.56,0.488,25
54999,47618,75694.4,43959.2,24898,115709,632.22,10063.6,0.492,27
31392.2,17720,116102,45879.2,21560,139459,2626.46,1861.43,0.498,28
55675.2,45847,79585,30713.1,23379,86094.9,918.4,1968.49,0.502,29
41146.4,24334,110815,46733.7,18122,169007,1411.22,20506,0.514,31
78838.1,71606,72155,53882.5,36550,96614,2096.74,2181.6,0.517,32
59006.7,53102,72823.3,38341.6,26842,93612.9,389.5,3619.84,0.52,34
47996.5,43273,72689.6,36823.6,25693,93927.2,1845,2219.98,0.523,35
61855.4,56426,71842,41450.4,31422,86452,399.34,4702.56,0.537,37
52113.9,45830,74521.9,40106.1,29170,90106,938.08,2903.75,0.542,38
45440.8,43063,69154.7,41206,27955,96600.8,1585.06,5016.67,0.545,39
53672.6,44391,79238.8,36093.4,25863,91459.4,448.54,2106.86,0.554,40
50590.8,46070,71967,37446.8,25030,98046.8,738.82,3609.74,0.561,42
63556.3,54887,75887.3,59167.8,39591,97942,551.86,4172.31,0.562,43
82600,69339,78069.7,65922.7,44463,97166.4,484.62,3407.74,0.563,44
62949.6,38947,105925,62088.7,33571,121207,487.9,1566.51,0.57,46
73810.5,51661,93634.4,54481.4,31518,113284,560.88,8631.46,0.595,47
26729.7,20130,87022.1,54824.8,29574,121492,1670.34,3959.2,0.603,48
54492.6,48486,73654.8,51327.2,31650,106281,778.18,1912.94,0.633,52
43966.7,27270,105662,45865.1,23206,129528,704.38,2908.8,0.633,53
86885,76173,74752.1,48575.9,37513,84863.2,1111.92,4671.25,0.653,55
65411.2,55979,76578.5,38656.7,29323,86396.6,2100.84,3622.87,0.667,57
77186.2,73086,69212.6,33594.6,26714,82415.9,1015.16,3201.7,0.669,59
73307.3,53942,89063.5,51145.4,31794,105424,940.54,3848.1,0.68,61
55869.6,47995,76288.6,43891.6,31259,92020.8,1771.2,1034.24,0.682,62
100287,88840,73980,47421.5,31260,99418.3,1398.92,3962.23,0.694,67
85317.6,71051,78695.2,78474,38667,133004,749.48,3790.53,0.695,68
51794,31699,107081,78710.3,30851,167202,806.88,2915.87,0.698,69
78706.9,70279,73395.1,45489.4,35191,84714.6,361.62,1204.93,0.709,70
