"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
62567.2,53910,76060.2,39073.9,26498,96639.2,349.32,1994.75,0.021,1
70889.9,65950,70444.9,48411.3,35530,89295.9,1279.2,17874,0.021,2
69889.7,56333,81307.5,42038.2,29497,93399.9,1034.84,2475.51,0.024,3
84297.7,72993,75685.8,71787.8,49173,95676.1,1681,7825.48,0.025,4
62827.9,60258,68331,47703.3,33234,94068.8,735.54,1402.89,0.028,5
35568.2,30687,75960.4,60967.6,32571,122673,596.96,3638.02,0.031,6
62643.8,50374,81498.9,39889.9,24278,107679,578.92,2525,0.037,7
61266.1,54035,74306.2,41738.2,26691,102482,286.18,1909.91,0.041,8
95270.1,73881,84509.1,47628.6,32365,96443.3,1798.26,5546.92,0.042,9
73554.5,66826,72134.6,40186.9,28430,92637.6,5814.62,2597.72,0.042,10
67162.6,62563,70354.2,56328.7,41459,89041.2,3421.86,55203.6,0.044,11
60755.7,48882,81455.1,36294.4,26194,90806.5,4053.26,7247.76,0.053,12
51715,44332,76450.3,45018.7,28776,102528,554.32,6390.27,0.057,14
60984.8,56139,71193,38080,26559,93964.9,1402.2,1336.23,0.058,15
59430.9,41183,94574.6,51039.3,28623,116861,523.98,5064.14,0.059,17
56878.4,48234,77281.2,51289.8,32202,104383,398.52,3275.43,0.06,18
75622,67278,73663.9,50924.2,36622,91130.2,1614.58,6994.25,0.06,19
102318,92289,72657.5,79268.8,51665,100551,363.26,5283.31,0.064,20
62122.4,50391,80793.3,62576.6,40275,101825,1175.88,5670.14,0.065,21
63965.5,56409,74315.2,51154.5,37497,89406.1,983.18,4417.74,0.07,22
73436.8,55618,86532.3,52896.7,34806,99598.9,367.36,4792.45,0.07,23
126267,98327,84158.5,143207,71719,130861,742.1,5780.23,0.071,24
101403,84646,78509.7,67877,46610,95438.5,702.74,5165.14,0.074,25
80310.6,64295,81860.7,99409.2,47143,138194,747.02,3469.35,0.085,27
83753.4,76414,71830.6,47249.8,32318,95815.5,2250.9,19770.8,0.092,28
75550.9,64639,76599.3,68027.5,39791,112042,1954.88,3335.02,0.103,29
72947.8,60535,78974.3,60836.3,42243,94381.8,1214.42,6985.16,0.109,30
97068.1,84279,75480.9,45506.6,36051,82725,492,4316.74,0.11,31
80486,68715,76762.4,44865.2,32879,89427.5,155.8,2513.89,0.115,32
56193.5,45087,81679.8,66460,25963,167759,367.36,3752.15,0.115,33
72768.5,59439,80232.8,36789.2,26955,89446.1,1095.52,5601.46,0.127,35
79861.1,70567,74167.5,44201.6,32887,88083.4,1875.34,1962.43,0.132,36
87233.4,77033,74214,71181.8,43773,106572,917.58,6047.88,0.135,37
74395.9,65598,74325.6,38992.1,28974,88195.8,315.7,1635.19,0.139,39
55784.3,44571,82023.7,56257,33887,108799,254.2,1717,0.142,40
101262,87423,75910.5,54859.2,38319,93824.2,281.26,1686.7,0.151,41
71242.2,57731,80873.9,56112.6,35667,103104,298.48,17384.1,0.184,44
60146.7,54382,72483,48442.6,30558,103892,592.86,2343.2,0.194,46
66077.2,53560,80852,58502.2,32796,116905,1809.74,22785.6,0.195,47
92666.2,75787,80132.1,54257.2,38703,91874,408.36,4009.7,0.206,48
65713,57156,75347.6,48530.5,32032,99291.2,6254.14,3388.55,0.208,49
70863,55834,83176.5,67621.5,37806,117221,1008.6,4408.65,0.208,51
66001.3,60282,71753.8,39330.4,27934,92273.1,334.56,3052.22,0.21,52
