"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
67733.8,55647,79770.8,45586.3,25727,116125,610.9,1494.8,0.01,0
59039.9,51847,74628,64912.7,37971,112036,606.8,1655.39,0.02,2
71145,66451,70165.4,36287.3,27991,84960.3,581.38,900.92,0.053,5
69776,53874,84880.2,48225.5,31906,99056.8,241.08,1037.27,0.058,7
92043.7,81697,73836,46993.3,32389,95086.4,831.48,2150.29,0.059,8
67902.9,50010,88983.9,82430.1,39998,135060,578.1,2047.27,0.064,10
81998.8,70471,76256.6,46990.2,34291,89806.5,708.48,1253.41,0.065,11
93679,79726,77005.6,47994.2,33006,95296.2,759.32,1346.33,0.069,12
33141.3,23454,92604.6,52726,31710,108970,924.96,1223.11,0.069,13
46286.9,33327,91021,106064,52491,132423,2551.84,3740.03,0.075,16
41055.5,22558,119275,87548.8,35050,163698,1588.34,2139.18,0.077,17
56555.3,46135,80338.3,65258.1,32791,130425,298.48,1760.43,0.082,18
86057.9,80963,69660.1,43991.6,33187,86872.3,313.24,925.16,0.089,19
69832.1,58138,78718.1,47839.7,32510,96438.6,738,922.13,0.093,20
79979.6,70375,74480.2,58857.8,39463,97744.8,851.16,1327.14,0.094,21
86763.3,66534,85461.9,64951.1,42242,100768,855.26,1081.71,0.101,24
40169.1,36407,72308.2,41806.9,25075,109267,490.36,1213.01,0.105,25
68629.7,56098,80176,56499.4,29650,124882,467.4,938.29,0.108,26
128312,101859,82555.7,78599.2,50419,102165,817.54,1904.86,0.108,27
103011,86843,77737.4,53003.8,39199,88615.9,474.78,1854.36,0.108,28
68745,64599,69742.2,56220.6,35271,104462,566.62,1356.43,0.119,29
65686.9,53819,79987.7,64800.6,36395,116686,403.44,1685.69,0.122,30
80995.5,68876,77067.8,69686,42796,106714,646.16,1136.25,0.124,31
26908.2,16070,109736,65701.5,30658,140447,902,1428.14,0.127,33
61075.7,51667,77470.3,43025,30387,92792.5,806.06,888.8,0.141,35
71884.5,59429,79271.4,68781,40961,110047,775.72,1630.14,0.145,37
45277.3,32521,91242.3,45335.9,25321,117339,350.14,1000.91,0.146,38
59356.7,48131,80821,57106.4,34151,109588,747.02,1059.49,0.151,40
71468.9,51119,91625.2,100164,55231,118852,1522.74,2685.59,0.151,41
40442.5,28632,92569.1,48119.4,24700,127674,268.14,1285.73,0.152,42
44129.4,40670,71110.5,59866.7,31262,125501,769.16,1152.41,0.158,43
102024,93039,71864.8,76663,49071,102386,1454.68,2194.73,0.163,44
119457,102507,76373,62883.6,42555,96842.7,792.94,1765.48,0.163,45
49020.3,41263,77856.5,45782.3,25855,116047,414.92,1074.64,0.168,46
67759.9,52499,84586.6,87333.7,51251,111676,386.22,1385.72,0.172,47
60713.1,55447,71760.3,61616.1,38199,105711,1573.58,1771.54,0.174,48
98791.1,87087,74343.7,44000.6,34427,83760.6,392.78,1018.08,0.18,50
70219.9,63054,72984,37159.9,28922,84202.8,557.6,671.65,0.18,51
75692.3,65801,75387.4,72204.9,43085,109830,510.86,1932.13,0.182,52
38959.6,31287,81607.7,49303.1,32135,100549,812.62,1086.76,0.189,54
