"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
63628.2,57463,72567.3,45086.4,31847,92780.5,267.32,994.85,0.002,0
71021,64582,72070.1,42165.5,31346,88156.6,125.46,935.26,0.007,1
82112.6,73182,73533.5,33692.6,25914,85207.9,232.88,837.29,0.012,4
56451.8,49482,74767.1,26628.7,21498,81176.6,158.26,438.34,0.016,5
87863.8,74234,77568.8,51494.8,36426,92647.2,395.24,1126.15,0.017,6
80681.1,73163,72270.4,58733.5,39675,97017.3,384.58,1748.31,0.018,7
57696.1,54123,69862.5,36948.8,27275,88780.1,159.9,840.32,0.018,8
67217.9,61800,71281.5,40812.1,29096,91925.4,139.4,683.77,0.021,9
83747.9,74954,73224.9,47776,32074,97619.6,164.82,1059.49,0.028,11
51697.6,47819,70851.6,30761.6,23931,84241.8,159.08,633.27,0.029,12
57392.7,48510,77536.4,46058,29978,100689,397.7,1048.38,0.032,14
79617,73743,70756.3,49843.5,34127,95717.3,378.84,1229.17,0.033,15
64356.6,58891,71618.3,30970.6,23903,84913.7,189.42,799.92,0.033,16
95320.6,86126,72532.5,56118.6,40366,91111.1,265.68,1198.87,0.036,17
58129,50298,75739.4,35327.8,26606,87019.5,102.5,755.48,0.036,18
94021.1,80471,76571.2,51126.2,37047,90442,371.46,1324.11,0.041,19
45692.8,25666,116673,47217.5,23906,129442,1027.46,1734.17,0.041,20
75509,68186,72574.4,52270.5,35742,95842.5,479.7,1757.4,0.042,21
85602.8,78646,71333.1,54842,39894,90091.9,291.1,1386.73,0.054,23
57006.4,49734,75119.1,33355.2,22146,98707.2,186.14,649.43,0.059,24
63204.7,50534,81968.3,57636.7,34582,109227,411.64,1683.67,0.062,25
60049.5,52135,75484.8,41723.1,29091,93993.5,692.08,2198.77,0.066,27
65546.3,58507,73421,58439.6,37487,102166,306.68,2049.29,0.071,28
58116.4,49818,76452.5,47246.8,28810,107475,430.5,994.85,0.073,29
101272,90319,73483.3,49107.2,38719,83119.2,383.76,1462.48,0.075,30
59690,50511,77445.4,41250.4,29979,90176,404.26,1091.81,0.075,31
101948,90086,74165.4,55597.5,43286,84175.8,486.26,1833.15,0.079,32
61746.4,51624,78386.3,67237.7,39480,111613,642.06,2614.89,0.082,33
58298.1,51666,73948.5,38608.3,27346,92526.5,251.74,1583.68,0.083,35
90570.3,78299,75807.1,60003.1,41247,95336.9,390.32,1279.67,0.088,37
54927.9,44621,80674,51942.3,35101,96979.8,243.54,1199.88,0.091,38
52288.5,42899,79880.2,47761.9,29715,105338,560.88,1174.63,0.093,39
87726.3,72372,79440,68860.8,42740,105589,500.2,1761.44,0.095,40
74905.4,62751,78229.9,59565.8,40219,97061.1,300.94,1431.17,0.098,41
81720,72474,73896.8,48878.9,34798,92055,264.86,1328.15,0.102,42
77726.5,69615,73172.2,51179.7,36347,92280.4,261.58,1346.33,0.103,43
66843.5,63931,68521.6,50033.4,35291,92912.9,397.7,1331.18,0.108,44
81577,70543,75786.8,41348.4,29115,93072.6,498.56,1326.13,0.111,45
49420,44014,73585.5,47782.1,28442,110099,288.64,1146.35,0.115,46
72368,64330,73724.6,39753.6,30602,85134.7,472.32,926.17,0.116,47
117185,103351,74308.6,52066.5,37671,90579.8,293.56,1452.38,0.118,49
82337,73809,73108.1,44280.4,32853,88331.7,365.72,1325.12,0.119,50
73873.7,62622,77311.3,57147.8,38042,98450.1,409.18,1339.26,0.122,51
72853,66481,71817.4,40991.9,31665,84839.5,308.32,949.4,0.124,52
80377,73371,71793.8,30854.5,25055,80705.7,200.9,1293.81,0.132,54
76566.8,63486,79039.2,52364.5,37514,91479.4,635.5,1144.33,0.14,55
92612.5,83119,73021.2,49746.5,36075,90372.5,359.98,1193.82,0.149,56
82138.7,75473,71324.1,49599.1,36341,89445.1,364.08,1358.45,0.157,59
