"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
79627.3,67263,77582.8,49997,33119,98934.3,435.42,907.99,0,0
41126.6,35955,74962.4,50858.6,31543,105667,997.94,1141.3,0.023,2
33513.4,21943,100093,50408.1,27303,120996,665.84,1094.84,0.063,4
21924.1,14766,97305.7,63927.9,32266,129845,1125.04,2007.88,0.108,7
91728.5,81031,74187.9,44723.8,30551,95938.6,328.82,923.14,0.116,9
69169.2,54310,83466.7,48320.4,31186,101543,727.34,772.65,0.128,10
95648.5,82735,75765,56303.5,35435,104132,495.28,1149.38,0.162,12
81474.3,64814,82381.9,50740.4,32778,101450,271.42,728.21,0.172,14
93353.5,84218,72645,86668.1,50858,111681,1066.82,1437.23,0.178,15
83081.9,72626,74971.2,63367.4,40838,101691,1154.56,1382.69,0.184,16
27077.2,16911,104934,75882.3,42415,117247,2455.9,2115.95,0.186,17
115865,101519,74796.8,79302.2,47099,110345,942.18,2036.16,0.207,19
117880,100289,77031.1,50781.8,38885,85586.6,442.8,1026.16,0.212,20
70336.9,65675,70188,42033.2,28107,98007.1,2044.26,1017.07,0.232,21
70573.9,46915,98585.3,66371.1,40307,107914,547.76,953.44,0.291,24
101002,93906,70488.4,60715.1,42530,93558.1,912.66,741.34,0.301,27
72363.2,60431,78476.2,43244.2,29163,97179.6,237.8,799.92,0.302,28
143206,123894,75751.7,77434.7,55254,91844.2,1125.04,1346.33,0.304,29
93391.4,85046,71966.9,41979.6,31222,88116.6,669.12,799.92,0.329,31
93809.3,75957,80939.1,70603,41221,112250,570.72,1848.3,0.341,32
112862,93807,78848.2,64537,41823,101128,1488.3,1052.42,0.374,33
38193.3,19461,128618,94105.7,37537,164300,1608.84,2458.34,0.375,34
84203.7,63388,87057.1,76924.6,44252,113923,747.02,1362.49,0.387,36
124992,108470,75518.5,65826.8,46854,92073.7,1345.62,1460.46,0.391,37
82272.2,72394,74478.4,47548.8,34238,91014.6,461.66,770.63,0.392,38
29030.1,21598,88087.7,55640.9,25870,140954,1950.78,1173.62,0.397,39
55101.7,49281,73276.6,35774.2,27313,85838.2,576.46,708.01,0.407,41
85489.1,79035,70887.7,63915.8,39647,105652,443.62,1461.47,0.41,42
58463.2,35554,107764,63379.5,28514,145670,804.42,1214.02,0.412,44
69548.4,49191,92657.8,74969.3,38003,129284,715.04,1010,0.412,46
92743.6,77070,78864,63531,46442,89650.9,763.42,1435.21,0.414,47
41450.5,29042,93537,50027.3,25174,130237,459.2,1088.78,0.416,49
92586.4,69615,87161.4,81498.9,47487,112475,657.64,1220.08,0.421,50
56234.6,45926,80246.2,54920.8,28326,127067,530.54,1062.52,0.422,51
120665,109473,72236.3,60590.9,43189,91942.1,653.54,1040.3,0.424,52
96450.3,86250,73286.6,58526.5,40218,95370,496.1,1271.59,0.425,53
64901.7,39872,106676,60290.9,31872,123972,427.22,1087.77,0.426,54
63377,55586,74721.6,45200.5,30274,97848.4,499.38,787.8,0.433,58
18142.3,12867,92405.1,67990.2,32279,138040,1362.84,3306.74,0.434,59
16262.2,9723,109612,73847.2,31743,152463,1083.22,1758.41,0.435,61
90407.6,81371,72814.1,55726.8,38671,94440.5,445.26,751.44,0.438,63
23507.2,18422,83626.7,62766.4,28162,146064,1112.74,1600.85,0.447,66
65961.1,58778,73544.9,38858.7,24586,103581,590.4,993.84,0.45,67
81641,73387,72907,61520.1,39503,102063,416.56,1236.24,0.457,69
66710,44877,97419.7,63723.9,29449,141812,557.6,1264.52,0.458,70
67862.6,56651,78506,58004.3,36127,105222,458.38,1089.79,0.461,71
60924.8,43714,91338.4,57682.1,34738,108822,844.6,792.85,0.462,72
88978.5,77743,75007.3,48604.2,34779,91587.7,359.16,922.13,0.466,74
35685.9,32670,71585.9,49555.6,31674,102535,919.22,1020.1,0.466,75
74429.1,62178,78448.7,41519.1,31718,85787.1,397.7,1173.62,0.467,76
67989.8,62798,70954.1,50088.9,31774,103312,427.22,906.98,0.468,77
77863.2,56018,91092.9,71961.5,42374,111296,476.42,1317.04,0.471,78
55211.5,53706,67373.1,47441.7,32730,94993.6,733.9,1041.31,0.489,84
43657.8,30106,95036.1,64120.9,35166,119497,318.98,1109.99,0.503,87
73243.3,61735,77752.8,75035.9,46007,106887,620.74,1021.11,0.504,88
65053.3,58212,73238.1,45705.5,31044,96487.5,642.06,768.61,0.506,89
116164,100099,76053.9,46853.9,36999,82991.9,362.44,1277.65,0.509,91
76381.1,66238,75571.7,44015.8,32746,88090.7,434.6,720.13,0.516,95
80588.7,74191,71187.4,59015.3,37627,102789,884.78,1135.24,0.516,96
18326.4,14423,83272.6,60480.8,33607,117942,1167.68,1362.49,0.517,97
66531.4,63911,68223.1,49394.1,32131,100747,309.96,1080.7,0.53,101
32435.8,24655,86218.4,55596.5,35087,103844,913.48,1309.97,0.534,103
78462,69203,74304.4,48935.5,33571,95530,455.1,805.98,0.536,105
34229.9,29971,74848.7,49798.1,33319,97949.1,1102.08,1414,0.545,107
95796.2,82182,76392.6,85100.6,49014,113787,477.24,1573.58,0.552,110
62951.9,57466,71792.3,55298.5,34254,105799,610.08,777.7,0.558,114
78684,63436,81288.8,55750,37020,98693.4,624.02,825.17,0.564,115
96630.4,78746,80420.2,73009.9,45086,106126,1187.36,1313,0.566,116
46343.8,33716,90081.4,43000.8,26224,107463,935.62,750.43,0.566,118
165308,132899,81517.9,157432,74119,139201,2812.6,3861.23,0.567,119
96085.3,84520,74503.6,46517.6,33836,90098.6,707.66,1004.95,0.57,120
77852.1,67967,75067.6,56980.2,38443,97137.4,649.44,1194.83,0.571,121
39101.8,28506,89896.1,61416.1,38126,105570,913.48,1023.13,0.579,122
70190.7,52239,88057.2,81986.8,35387,151838,638.78,1483.69,0.58,123
50309.6,41771,78932.5,47789.2,27919,112178,335.38,726.19,0.581,124
110953,88492,82170.4,69463.8,42536,107024,635.5,1359.46,0.586,126
117425,102158,75329.9,101053,63630,104079,788.02,2244.22,0.588,128
83795.3,77643,70729,59251.6,39659,97912.6,748.66,1035.25,0.588,129
96509.6,85131,74295.5,38928.4,30395,83935.3,198.44,976.67,0.592,131
62748.1,57122,71990.8,37048.8,26594,91300,506.76,743.36,0.593,132
43192.5,30038,94236,69279.9,39558,114777,436.24,1140.29,0.593,133
77932.7,61239,83401.1,68005.3,43191,103188,651.08,1346.33,0.598,134
50801.7,46529,71554.1,38554.7,28305,89267.7,521.52,700.94,0.605,135
39788.4,31539,82677.6,53238.1,32055,108845,1104.54,1344.31,0.608,136
102156,87566,76455.2,58028.5,42734,88991.4,2227.94,1141.3,0.608,137
54890.8,46233,77808.5,53186.6,33401,104357,383.76,891.83,0.612,139
93048.6,80733,75533.3,70776.8,41757,111081,914.3,1264.52,0.621,140
61960.5,51258,79219.7,38514.3,27530,91684.5,145.14,603.98,0.625,141
113262,89758,82696.9,137001,76122,117949,540.38,2007.88,0.625,142
69046.8,62971,71859.3,37500.3,28111,87425.5,252.56,728.21,0.629,144
83905.9,72138,76226.9,66772.1,39134,111820,605.16,1181.7,0.63,145
76122,65414,76264,60734.3,39238,101440,876.58,984.75,0.635,146
84646.9,68318,81200,60670.7,42302,93993.5,494.46,890.82,0.636,147
79471.6,62603,83194.9,66867,39867,109920,555.96,1396.83,0.643,148
126546,110270,75209.3,93398.7,62682,97651.3,1149.64,1955.36,0.651,150
110089,90568,79661.5,79101.2,47528,109072,935.62,1617.01,0.656,151
79465.3,62455,83385.5,71476.7,41779,112121,752.76,1188.77,0.656,152
41215.1,33567,80468.1,66995.3,35727,122893,225.5,957.48,0.658,153
125970,111411,74100.3,70666.7,46387,99838.6,721.6,1481.67,0.66,154
86507.4,73802,76818.3,89966.8,47646,123747,2503.46,1752.35,0.662,156
86926.1,75766,75189.2,48970.9,35622,90094.7,537.92,989.8,0.668,159
63770.4,58819,71052.8,45275.3,28807,103001,302.58,822.14,0.669,160
130736,112979,75836.1,96447.9,58499,108050,978.26,1555.4,0.67,161
80343.8,72534,72592.3,67463,40018,110482,440.34,912.03,0.675,163
41316.2,37210,72768.1,40479.8,26558,99890.2,1016.8,672.66,0.676,164
25536,17083,97964.3,85862.1,37035,151939,1918.8,2904.76,0.679,165
98313.1,86617,74385.5,47632.6,35449,88060.3,471.5,980.71,0.691,167
60070,52691,74713.9,54285.5,29495,120619,398.52,921.12,0.704,168
60524.3,53783,73750.4,26681.2,20579,84969,291.1,794.87,0.71,171
53253.1,49090,71093.8,56214.6,32326,113966,675.68,1059.49,0.714,173
86731.7,68471,83014,92980.6,48243,126310,482.16,1457.43,0.718,174
134188,112374,78257.7,80657.6,52258,101152,393.6,1226.14,0.718,175
102949,90867,74249.8,65484.4,47299,90733.1,718.32,1430.16,0.72,176
53599.9,43579,80605.9,44816.7,27295,107606,569.9,701.95,0.72,177
35022.3,27606,83142.1,86238.9,45814,123363,3775.28,3506.72,0.726,178
89369.5,82119,71322.4,46514.5,34707,87831.8,575.64,835.27,0.732,179
101965,91162,73302.5,53136.1,39278,88658.5,792.12,737.3,0.736,180
