"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
85219.7,71631,77968.4,57856.8,39782,95312.1,167.28,1239.27,0.003,0
51566.5,46394,72842.6,32930,24218,89111.5,205,979.7,0.011,2
65459.4,57930,74054,51652.4,32526,104073,378.02,1370.57,0.02,5
59576.3,55551,70284.8,50670.7,36399,91232,282.08,1222.1,0.031,6
51658.9,44510,76061.9,44328.9,31678,91708.4,223.04,1164.53,0.037,8
15346.5,8391,119861,71720.1,39571,118780,61.5,1436.22,0.041,10
52509.7,47203,72903.8,38758.8,23527,107965,61.5,705.99,0.054,13
46902.3,38339,80174,45496.5,28391,105021,150.06,1041.31,0.055,14
67293.8,54448,80997.7,48573.9,35220,90384.5,320.62,858.5,0.064,15
58721.5,46807,82217.9,83075.5,44515,122306,407.54,1901.83,0.078,19
38180.7,32754,76394,43085.6,31378,89988.4,199.26,1067.57,0.086,22
43327.6,36071,78720.1,44757.1,28579,102635,139.4,1189.78,0.088,23
40269.5,20538,128498,65425.8,27950,153408,179.58,1336.23,0.09,25
51428.2,45882,73458,62786.6,43114,95439.7,577.28,1681.65,0.101,26
89157.8,63955,91361.8,83143.2,40711,133843,278.8,2167.46,0.104,27
66431.9,61794,70454.7,33962.3,26902,82735.5,193.52,1270.58,0.104,28
67245.6,53744,82000,53055.3,28880,120396,186.96,1000.91,0.123,32
50894.2,45754,72898.6,58142.7,36314,104930,318.16,1286.74,0.157,35
54624.6,49806,71876.4,41689.8,31802,85912.2,231.24,1289.77,0.159,36
32473,15735,135249,45769.2,16999,176453,279.62,1357.44,0.166,39
36105.4,18946,124892,49331.4,23346,138481,310.78,1551.36,0.174,41
69986.9,58841,77950.1,37236.7,29197,83582,76.26,906.98,0.188,42
72418.5,60206,78829.7,54528.9,38746,92231.6,366.54,1415.01,0.216,51
67266.9,55157,79924.7,55150,28309,127674,187.78,1352.39,0.237,53
66365.5,59923,72582,39743.5,29779,87465.3,121.36,867.59,0.273,62
60368.6,52023,76049.4,34033,25783,86506,43.46,928.19,0.282,64
69851,62494,73251.1,40069.7,29998,87539.5,168.1,933.24,0.286,66
58950.6,48888,79025.2,37251.8,31896,76540.5,294.38,2494.7,0.287,67
52655.1,49178,70169.7,47519.5,32794,94963.6,211.56,1076.66,0.289,68
57167.6,48697,76935.6,45033.9,33001,89431.8,145.14,1008.99,0.306,72
56733.9,51322,72446.7,57515.5,35230,106992,230.42,1273.61,0.33,76
62520.6,46398,88308.8,59896,33454,117336,268.14,1684.68,0.337,78
61154.7,53474,74949.2,34777.3,27634,82476.9,301.76,1130.19,0.341,80
52769.6,29546,117048,56048.9,22394,164027,171.38,1463.49,0.358,82
63394.3,54938,75623.6,34817.7,25162,90685,90.2,700.94,0.36,83
53765,47552,74098.8,34720.8,21040,108149,81.18,518.13,0.38,85
89513.3,77263,75927,50212.1,37503,87745.1,105.78,1089.79,0.416,90
60498.2,51991,76259.5,38026.5,26931,92536.7,225.5,813.05,0.418,91
71369.4,63365,73814.6,41152.4,32625,82665.7,327.18,1419.05,0.422,92
73494.5,67070,71813.6,37315.5,29518,82848,212.38,997.88,0.442,95
54760.4,42058,85329.3,54549.1,26270,136084,159.9,940.31,0.462,99
72937.5,61378,77878.6,62382.6,38486,106228,356.7,1392.79,0.463,100
62947.2,50970,80936,95368.2,41034,152314,424.76,1792.75,0.467,101
52783.9,44179,78300.6,67099.4,40119,109609,99.22,1198.87,0.478,104
54080.2,36627,96764.8,31266.6,17219,119001,176.3,831.23,0.48,105
48197.9,43869,72003,66596.4,31373,139115,410.82,2084.64,0.514,108
44716.4,33466,87567.5,36151.9,15422,153628,46.74,654.48,0.522,109
71937.4,65879,71562.9,52780.6,39447,87688,165.64,1409.96,0.523,110
28963,19759,96063.5,48986,19099,168090,176.3,1111,0.533,114
49825.3,32910,99220.6,59321.3,27886,139413,199.26,1314.01,0.535,115
49646.8,27740,117291,60487.9,31656,125225,177.94,1114.03,0.552,120
66807.9,45078,97127.7,84856.2,47014,118287,503.48,1815.98,0.552,121
53111.7,44638,77976.8,45785.3,29486,101763,227.96,1027.17,0.574,126
54905,47655,75506.3,36257,24099,98599,167.28,883.75,0.59,130
56784.4,51314,72522.6,42592.7,31974,87300.8,209.1,841.33,0.614,133
75628.3,62143,79757.6,49545.6,36555,88825.5,116.44,637.31,0.618,135
67594.8,59403,74573.5,69994,52203,87871,117.26,1050.4,0.624,136
56398.1,47735,77429.7,42615.9,26867,103952,200.9,874.66,0.627,137
57883.3,52350,72463,46442.8,34842,87356.6,265.68,1179.68,0.63,138
46605.3,31663,96463.5,58085.1,29455,129237,329.64,2204.83,0.634,140
36025.6,16275,145067,57089.2,19127,195608,208.28,1344.31,0.637,141
65537.6,54011,79522.2,46076.2,31759,95080.1,148.42,979.7,0.653,145
87758.7,72141,79723.8,93413.9,64153,95427.7,720.78,5740.84,0.668,148
53456.9,48934,71593.4,29066.8,21814,87325.6,123.82,529.24,0.692,150
41240.4,31421,86016.6,38390.1,25337,99298.8,340.3,1127.16,0.703,151
40925.2,37322,71863,41202.9,28606,94395.5,164,635.29,0.704,152
67964.5,56214,79235.1,46987.2,32946,93466.7,77.08,827.19,0.713,153
52546.9,47351,72727.3,39632.4,28931,89777.4,123,757.5,0.714,154
45738.6,42382,70726.4,35539.9,23850,97657.9,241.08,938.29,0.714,155
98371.6,80183,80402.1,60660.6,42547,93436.8,287,1759.42,0.725,158
116964,94126,81437.3,80941.4,53610,98947.5,308.32,2138.17,0.734,160
68645.5,61051,73688.4,45429.8,32463,91713.3,130.38,1142.31,0.738,161
30806.1,25706,78538.3,80148.5,47838,109800,374.74,2399.76,0.744,162
52706.4,50390,68548.7,37185.2,26850,90762.3,197.62,792.85,0.779,167
45191.2,37258,79490.3,36544.8,25130,95304.5,128.74,1217.05,0.792,171
35835.2,28301,82982.8,52924,32697,106078,236.98,1421.07,0.795,173
33970,28498,78119.8,44772.3,25778,113826,218.12,914.05,0.8,175
78375.9,69543,73860,48893.1,37267,85981.1,298.48,1102.92,0.808,179
92000.2,80454,74941.3,64537,46854,90269.7,258.3,1523.08,0.82,182
