"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
66690.757812,54879.000000,79641.500000,61260.750000,35515.000000,113044.765625,213.850006,6569.250000,0.431956
46914.800781,38583.000000,79688.171875,57819.847656,37703.000000,100503.445312,218.400009,7016.699707,0.464102
55653.281250,52852.000000,69009.570312,34264.597656,25952.000000,86527.617188,270.270020,2113.750000,0.487206
36201.839844,27161.000000,87350.382812,70713.250000,34413.000000,134666.062500,910.910034,17309.000000,0.499261
97362.078125,84254.000000,75731.976562,70695.195312,50046.000000,92576.437500,455.000000,11849.349609,0.508302
79171.476562,65047.000000,79766.656250,79708.796875,46547.000000,112226.265625,443.170013,11402.849609,0.628848
79131.195312,69782.000000,74316.320312,45070.847656,35462.000000,83293.750000,993.720032,3249.949951,0.659989
28612.480469,25182.000000,74463.804688,31583.699219,20094.000000,103009.328125,424.059998,4265.500000,0.666016
71708.281250,65414.000000,71842.023438,39081.097656,31814.000000,80506.031250,1042.859985,10508.899414,0.721266
59659.238281,53392.000000,73228.718750,43248.750000,32452.000000,87339.773438,80.080002,2338.899902,0.823730
62038.039062,58398.000000,69620.976562,40820.550781,29386.000000,91037.085938,439.529999,6729.799805,0.870944
50349.238281,41631.000000,79260.351562,57743.847656,33759.000000,112097.546875,1890.980103,8772.299805,0.943272
64236.718750,55171.000000,76304.898438,53795.648438,38419.000000,91765.828125,1835.470093,25007.798828,0.972404
19900.599609,17784.000000,73335.906250,45012.898438,31196.000000,94562.296875,498.680023,9424.000000,0.982449
51482.398438,29310.000000,115112.601562,103439.796875,42970.000000,157761.937500,1077.440063,14445.700195,1.003545
81002.320312,62898.000000,84399.632812,50049.800781,35570.000000,92214.328125,195.650009,4145.799805,1.008568
23477.919922,16619.000000,92583.726562,35981.250000,25771.000000,91500.812500,305.760010,5325.699707,1.016604
37966.558594,23205.000000,107225.867188,58567.500000,30325.000000,126571.460938,342.160004,5387.449707,1.039708
66290.242188,61243.000000,70937.046875,41566.300781,31007.000000,87854.015625,642.460022,4290.199707,1.074868
35406.878906,33730.000000,68794.109375,30621.349609,16018.000000,125284.109375,300.300018,6720.299805,1.080895
74775.640625,64234.000000,76291.312500,37293.199219,29374.000000,83204.437500,724.360046,4671.149902,1.135141
16400.039062,15367.000000,69941.625000,33051.449219,20903.000000,103624.351562,596.049988,9556.049805,1.191395
86373.242188,69400.000000,81564.210938,54099.648438,37580.000000,94344.718750,386.750000,3785.750000,1.205459
51000.558594,43706.000000,76473.992188,26682.650391,22346.000000,78254.468750,527.799988,1261.599976,1.226555
23529.599609,22114.000000,69731.210938,29654.250000,21474.000000,90501.117188,71.889999,9525.649414,1.265732
17581.080078,16306.000000,70660.710938,35137.648438,24786.000000,92906.523438,148.330002,10659.000000,1.339064
82504.835938,71546.000000,75574.273438,55062.000000,42426.000000,85055.000000,238.420013,2937.399902,1.443537
27359.240234,20437.000000,87733.781250,35023.648438,21569.000000,106417.070312,285.740021,5930.850098,1.454587
78840.882812,61791.000000,83619.234375,73557.546875,38543.000000,125072.445312,1316.770020,5360.850098,1.462624
83960.242188,62307.000000,88311.406250,79886.445312,35751.000000,146441.718750,406.770020,8462.599609,1.537965
36535.480469,33526.000000,71418.875000,70022.601562,41426.000000,110775.875000,1049.229980,9669.099609,1.546001
14807.080078,14067.000000,68983.921875,29774.900391,17603.000000,110852.007812,709.800049,17687.099609,1.659515
74401.718750,67439.000000,72302.242188,43263.000000,33167.000000,85485.093750,481.390015,9178.899414,1.700702
50147.839844,39418.000000,83375.335938,54069.250000,31502.000000,112484.359375,1071.979980,8958.500000,1.732848
21287.599609,15912.000000,87676.234375,35821.648438,22600.000000,103876.437500,234.780014,6127.500000,1.756957
