"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
86942.476562,79933.000000,71282.976562,53466.949219,40397.000000,86739.367188,2096.640137,3752.500000,0.504037
18879.160156,15483.000000,79911.164062,36400.199219,22063.000000,108123.257812,522.340027,4780.399902,0.517116
19270.560547,10718.000000,117831.257812,37550.648438,23374.000000,105284.468750,657.929993,7872.649902,0.535225
63393.878906,61350.000000,67719.335938,40156.500000,30646.000000,85874.054688,1349.530029,14324.099609,0.535225
64498.160156,56886.000000,74305.656250,59762.597656,40546.000000,96596.507812,468.650024,6346.949707,0.544280
45156.160156,31890.000000,92798.804688,50211.300781,26214.000000,125530.164062,821.730042,6994.850098,0.547298
21419.080078,15370.000000,91328.617188,34630.347656,23102.000000,98239.742188,1373.190063,7215.250000,0.562389
58003.199219,38390.000000,99017.914062,79152.101562,37318.000000,139002.937500,284.830017,8057.899902,0.564401
49297.398438,43838.000000,73697.578125,46098.750000,30910.000000,97739.492188,384.020020,4863.049805,0.581504
20192.439453,18091.000000,73148.617188,53207.597656,35663.000000,97776.781250,940.030029,24635.400391,0.583516
153494.921875,119434.000000,84225.960938,159941.046875,88206.000000,118834.281250,1617.070068,42409.898438,0.593577
23686.919922,17481.000000,88801.906250,51263.898438,27449.000000,122395.382812,1132.040039,14410.549805,0.597601
123404.242188,91506.000000,88381.312500,85500.945312,49250.000000,113774.421875,4364.360352,14039.099609,0.603638
61518.960938,56639.000000,71182.515625,47907.550781,32827.000000,95642.898438,1459.640015,31470.650391,0.608668
17034.640625,11167.000000,99971.546875,27589.900391,20079.000000,90050.890625,1220.310059,9084.849609,0.612692
22229.240234,21471.000000,67850.375000,29463.298828,20027.000000,96415.187500,325.779999,9359.399414,0.624765
102472.320312,92314.000000,72747.640625,79463.695312,52506.000000,99183.578125,980.070007,16535.699219,0.636838
73941.921875,63522.000000,76286.296875,46142.449219,36146.000000,83660.476562,2654.469971,8572.799805,0.641868
45220.000000,41082.000000,72137.148438,33385.847656,24750.000000,88403.031250,1851.850098,3316.449951,0.642874
79846.359375,71389.000000,73299.960938,36002.148438,28969.000000,81446.953125,2142.140137,6282.350098,0.643880
15014.559570,11366.000000,86573.484375,36974.949219,24582.000000,98575.796875,1260.349976,5471.049805,0.686135
12793.080078,8934.000000,93844.554688,31294.900391,22598.000000,90757.710938,379.470001,8571.849609,0.690159
51255.160156,30063.000000,111733.960938,84216.546875,43919.000000,125668.054688,2044.770020,10404.399414,0.692171
70939.921875,59491.000000,78148.273438,77127.648438,47363.000000,106721.242188,3360.630127,262143.000000,0.700220
132071.281250,110587.000000,78268.000000,93537.000000,64175.000000,95520.695312,1094.729980,22534.949219,0.702232
23075.878906,19103.000000,79165.617188,41428.550781,20991.000000,129344.078125,739.830017,9859.099609,0.704244
14918.799805,11230.000000,87063.085938,28941.750000,18270.000000,103816.453125,1031.030029,4525.799805,0.710280
20598.279297,17483.000000,77213.796875,36722.250000,28603.000000,84139.054688,-57.330002,2027.299927,0.722353
43157.359375,38302.000000,73843.687500,50912.398438,35770.000000,93279.148438,1135.680054,18414.798828,0.742474
13994.639648,10110.000000,90717.382812,34264.597656,17950.000000,125101.093750,464.100006,10209.649414,0.758571
