"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
31470.080078,26601.000000,77531.796875,47628.250000,25465.000000,122574.710938,565.110046,3420.000000,0.504867
66383.718750,45270.000000,96101.687500,59717.000000,35270.000000,110961.539062,433.160004,13073.899414,0.537989
88928.359375,82535.000000,70612.570312,41626.148438,32051.000000,85114.703125,380.380005,3940.599854,0.545015
48199.960938,43824.000000,72079.976562,36866.648438,27300.000000,88501.562500,111.020004,2760.699951,0.548026
71071.398438,52722.000000,88345.187500,52730.699219,35250.000000,98035.718750,967.330017,11523.500000,0.552041
36125.839844,32435.000000,72993.476562,24873.849609,19139.000000,85173.343750,602.420044,5746.549805,0.559067
36963.359375,25563.000000,94763.164062,45706.398438,23835.000000,125672.937500,343.980011,5742.750000,0.571112
62219.679688,54907.000000,74264.281250,43401.699219,34463.000000,82534.140625,597.869995,2392.099854,0.573119
69862.242188,55413.000000,82624.875000,67583.000000,48373.000000,91561.812500,114.660004,5991.649902,0.573119
71915.000000,64859.000000,72665.648438,45034.750000,35839.000000,82351.546875,147.419998,12245.500000,0.584160
52367.039062,44914.000000,76411.054688,34883.050781,26770.000000,85397.671875,212.940002,2400.649902,0.606242
41290.039062,27525.000000,98310.046875,57075.050781,36289.000000,103074.500000,292.110016,10432.899414,0.624308
57420.277344,55442.000000,67874.453125,27664.949219,23394.000000,77500.648438,420.420013,19717.250000,0.658435
46885.160156,39703.000000,77391.281250,45644.648438,32119.000000,93133.890625,477.750000,5442.549805,0.665461
57393.679688,50151.000000,75000.539062,47982.597656,34563.000000,90981.335938,181.090012,7522.100098,0.671483
53687.160156,47707.000000,73751.062500,34754.800781,26431.000000,86174.976562,134.680008,4918.149902,0.706613
82953.242188,72290.000000,75202.984375,48344.550781,36118.000000,87721.039062,529.619995,3230.000000,0.709624
85786.515625,76142.000000,73837.101562,53010.949219,39470.000000,88019.398438,417.690002,8604.149414,0.718657
32980.960938,22135.000000,97648.085938,39362.300781,27219.000000,94773.789062,1648.010010,2465.250000,0.725683
83545.281250,70530.000000,77629.710938,55262.449219,39238.000000,92300.320312,46.410000,5369.399902,0.731706
32408.679688,27035.000000,78562.421875,56713.097656,34591.000000,107448.460938,321.230011,9056.349609,0.738732
47785.757812,42932.000000,72945.296875,30200.500000,23584.000000,83922.156250,342.160004,7778.600098,0.749772
66485.562500,51318.000000,84905.843750,79398.148438,50294.000000,103460.398438,775.320007,5415.949707,0.767839
26388.718750,20227.000000,85500.132812,60557.750000,34995.000000,113408.000000,689.780029,14604.349609,0.776873
22306.759766,14558.000000,100418.726562,35398.898438,24366.000000,95210.640625,479.570007,4722.449707,0.787913
61798.640625,41882.000000,96701.109375,74315.648438,37326.000000,130481.453125,313.950012,4147.699707,0.787913
41458.000000,27616.000000,98384.695312,59218.250000,35396.000000,109643.101562,432.250000,8077.850098,0.789921
28576.000000,28470.000000,65780.007812,26315.949219,18434.000000,93557.671875,91.000000,4871.600098,0.805980
18423.160156,16455.000000,73374.671875,22577.699219,15127.000000,97815.304688,423.150024,3392.449951,0.806984
32116.080078,20439.000000,102977.609375,39998.800781,22851.000000,114715.398438,480.480011,10718.849609,0.815014
36459.480469,32475.000000,73576.859375,33261.398438,23323.000000,93462.203125,159.250000,7042.350098,0.832077
42403.441406,36522.000000,76089.820312,39715.699219,29710.000000,87607.132812,214.760010,30936.750000,0.842114
61645.878906,56897.000000,71005.929688,43041.648438,31301.000000,90117.804688,626.080017,3181.550049,0.853155
96085.281250,68314.000000,92177.968750,49872.148438,29806.000000,109656.476562,353.080017,6916.949707,0.857170
34785.199219,26987.000000,84473.367188,43469.148438,29099.000000,97900.070312,381.290009,7568.649902,0.861184
97450.242188,85121.000000,75028.476562,73753.250000,51717.000000,93460.429688,156.520004,2215.399902,0.867207
21656.958984,17130.000000,82855.257812,37557.300781,25406.000000,96880.867188,148.330002,7048.049805,0.868210
26682.839844,24104.000000,72547.562500,44893.199219,28796.000000,102171.156250,107.380005,5800.699707,0.874233
47033.359375,43627.000000,70652.992188,23601.798828,19275.000000,80247.335938,404.950012,6509.399902,0.902337
31119.718750,30610.000000,66627.312500,35016.050781,26310.000000,87222.039062,299.390015,8175.699707,0.920403
37406.441406,30827.000000,79523.421875,29032.949219,20923.000000,90938.367188,1229.410034,9786.899414,0.946500
23784.199219,21689.000000,71866.906250,24032.150391,18269.000000,86210.039062,456.820007,10424.349609,0.947504
62135.320312,55095.000000,73910.523438,51084.347656,34423.000000,97256.609375,415.870026,13424.450195,0.956537
58076.917969,52143.000000,72994.062500,25614.849609,22075.000000,76045.062500,125.580002,818.899963,0.967578
44808.078125,42451.000000,69174.859375,33554.949219,25827.000000,85145.664062,452.270020,2619.149902,0.987652
29558.679688,28576.000000,67789.664062,28394.548828,22708.000000,81947.570312,158.340012,7036.649902,1.008730
40283.039062,36185.000000,72958.109375,34927.699219,27897.000000,82052.617188,97.370003,3929.199951,1.009734
43492.519531,36490.000000,78112.507812,31996.000000,21950.000000,95530.296875,203.840012,3560.599854,1.009734
60221.640625,55307.000000,71359.609375,36238.699219,28571.000000,83124.125000,466.830017,3207.199951,1.022782
52794.160156,48718.000000,71019.304688,23857.349609,22186.000000,70473.062500,52.780003,3557.750000,1.036834
28045.519531,21629.000000,84978.093750,46935.699219,25213.000000,121999.687500,352.170013,4095.449951,1.061927
59773.238281,55991.000000,69963.015625,32026.400391,24455.000000,85826.304688,86.450005,1495.299927,1.094045
51437.558594,46183.000000,72992.484375,30209.048828,24263.000000,81596.679688,323.960022,1470.599976,1.095049
75775.796875,61854.000000,80286.523438,84970.851562,50730.000000,109770.359375,570.570007,18881.250000,1.096053
94096.359375,75950.000000,81194.195312,97879.445312,53854.000000,119111.437500,456.820007,13636.299805,1.103079
81673.398438,67107.000000,79761.398438,72260.796875,42727.000000,110835.859375,293.930023,6973.949707,1.115123
41118.281250,35662.000000,75563.000000,67873.695312,39914.000000,111443.867188,249.340012,14819.049805,1.115123
27040.039062,20867.000000,84923.375000,52739.250000,34327.000000,100688.078125,1292.200073,14596.750000,1.115123
34287.398438,20284.000000,110779.882812,87951.945312,43676.000000,131972.218750,338.520020,9290.049805,1.119138
51449.718750,47208.000000,71424.523438,51672.398438,35816.000000,94549.992188,557.830017,28469.599609,1.156276
30793.679688,24078.000000,83814.882812,40762.597656,28666.000000,93191.148438,258.440002,4450.750000,1.250624
63223.640625,57887.000000,71577.812500,27160.500000,21547.000000,82609.671875,269.360016,1045.000000,1.251628
30528.439453,24777.000000,80748.765625,36792.550781,26281.000000,91748.281250,283.920013,3073.250000,1.267688
45621.281250,41255.000000,72472.093750,44552.148438,29619.000000,98577.585938,256.619995,5038.799805,1.289769
69131.882812,62894.000000,72035.921875,46913.847656,33246.000000,92478.664062,620.619995,63954.949219,1.315866
51336.480469,48499.000000,69370.250000,33881.750000,27699.000000,80164.421875,101.010002,12250.250000,1.325903
27914.798828,22890.000000,79922.429688,30225.199219,22458.000000,88201.929688,152.880005,4585.649902,1.333932
19402.039062,17174.000000,74038.195312,60010.550781,53686.000000,73256.562500,118.300003,597.549988,1.357018
40808.960938,36913.000000,72452.960938,28179.849609,22021.000000,83865.156250,121.940002,2054.849854,1.369062
69222.320312,51375.000000,88302.757812,79554.898438,54047.000000,96466.226562,615.160034,35238.347656,1.384118
83324.882812,69763.000000,78276.164062,89802.546875,51731.000000,113767.375000,677.950012,76665.000000,1.424266
20900.759766,18220.000000,75178.492188,22010.548828,16140.000000,89373.187500,491.400024,2759.750000,1.433300
41043.800781,33555.000000,80162.312500,46447.398438,34099.000000,89268.796875,161.980011,4560.949707,1.443337
52923.359375,47621.000000,72833.109375,31984.599609,25761.000000,81368.835938,15.470000,3693.599854,1.444341
55235.281250,42470.000000,85234.273438,73215.546875,39766.000000,120662.226562,435.890015,17407.798828,1.464415
72119.437500,65166.000000,72528.914062,40337.949219,30990.000000,85304.539062,892.710022,10680.849609,1.472445
56516.640625,47975.000000,77204.265625,62549.898438,38819.000000,105599.585938,245.700012,5794.049805,1.514600
51304.558594,44535.000000,75497.828125,29098.500000,22935.000000,83148.000000,54.600002,1937.049927,1.537686
81070.718750,75746.000000,70142.984375,43459.648438,34722.000000,82027.867188,479.570007,15124.950195,1.546719
17870.640625,15687.000000,74658.656250,31732.849609,23063.000000,90172.312500,127.400002,4305.399902,1.548727
81485.679688,76107.000000,70167.601562,65272.597656,49151.000000,87031.898438,266.630005,4744.299805,1.557760
21578.679688,18898.000000,74832.281250,42622.699219,27202.000000,102688.078125,424.059998,7294.100098,1.569805
35271.597656,28755.000000,80388.101562,62020.750000,32643.000000,124516.492188,889.070007,8101.600098,1.603931
34272.960938,29982.000000,74915.375000,33023.898438,25818.000000,83827.335938,477.750000,1988.349976,1.615975
33908.917969,21950.000000,101241.687500,93498.046875,33882.000000,180847.890625,869.960022,13280.049805,1.627016
20975.240234,15514.000000,88605.992188,46445.500000,39310.000000,77432.007812,136.500000,2549.800049,1.627016
76632.320312,66802.000000,75180.023438,51670.500000,37142.000000,91171.125000,130.130005,5262.049805,1.644079
18437.599609,14155.000000,85363.945312,40105.199219,29259.000000,89829.953125,231.139999,8740.000000,1.649098
25372.599609,16270.000000,102201.515625,60921.597656,34558.000000,115532.085938,566.020020,10219.149414,1.654116
98145.640625,68891.000000,93365.937500,103010.398438,62779.000000,107534.210938,466.830017,9562.700195,1.656124
77051.835938,66647.000000,75767.390625,55574.050781,41687.000000,87367.789062,384.020020,5514.750000,1.679209
56637.480469,45067.000000,82361.679688,83011.945312,46779.000000,116297.281250,381.290009,9217.849609,1.680213
17332.560547,10745.000000,105714.906250,27622.199219,17113.000000,105782.062500,255.710007,7603.799805,1.696272
42082.718750,34577.000000,79762.070312,36713.699219,26981.000000,89176.429688,103.740005,3378.199951,1.707313
22510.439453,16881.000000,87390.804688,29379.699219,20805.000000,92546.406250,288.470001,5627.799805,1.754488
58165.839844,52328.000000,72847.351562,30646.048828,24876.000000,80737.226562,86.450005,3376.300049,1.765528
76056.242188,65764.000000,75792.562500,53022.347656,37200.000000,93410.562500,384.020020,2389.250000,1.768539
18686.119141,14615.000000,83791.554688,34103.097656,18391.000000,121525.781250,298.480011,7463.199707,1.787610
105502.437500,83142.000000,83161.429688,105267.601562,61782.000000,111663.875000,475.020020,15352.000000,1.792629
54815.757812,51635.000000,69573.078125,41366.800781,31319.000000,86561.343750,315.770020,3030.500000,1.802666
59064.917969,52738.000000,73398.281250,57453.148438,37362.000000,100777.507812,347.619995,7187.699707,1.809692
19192.279297,17074.000000,73666.695312,32525.150391,22402.000000,95150.796875,164.710007,5624.000000,1.820732
29657.480469,23707.000000,81985.609375,62790.250000,35915.000000,114576.687500,510.510010,13011.200195,1.822740
50767.238281,48159.000000,69085.359375,35833.050781,27659.000000,84903.820312,73.709999,13116.649414,1.828762
58168.878906,53598.000000,71124.960938,33685.097656,27066.000000,81563.093750,228.410004,1560.849976,1.839803
33148.160156,26240.000000,82789.554688,59977.300781,41236.000000,95321.382812,174.720001,6156.949707,1.846829
43081.359375,39911.000000,70741.898438,54888.148438,35559.000000,101160.031250,242.060013,10078.549805,1.848836
20205.359375,19023.000000,69609.343750,31332.900391,23787.000000,86325.851562,303.940002,5782.649902,1.938167
53480.437500,43856.000000,79918.242188,38095.000000,29092.000000,85817.195312,94.639999,2394.949951,1.944189
56845.718750,52619.000000,70800.304688,40515.597656,28751.000000,92352.625000,321.230011,9065.849609,1.952219
47997.039062,45850.000000,68604.890625,41275.597656,31642.000000,85488.835938,434.980011,5019.799805,1.955230
142300.125000,108898.000000,85637.773438,145741.390625,89554.000000,106654.179688,1285.830078,29000.650391,1.958241
56567.558594,44621.000000,83082.218750,45520.199219,34125.000000,87420.125000,190.190002,4306.350098,1.990360
90950.718750,64635.000000,92218.546875,79762.945312,44415.000000,117693.218750,445.900024,11407.599609,1.998389
43357.238281,34401.000000,82598.187500,28831.548828,20741.000000,91099.968750,72.800003,1386.049927,2.000397
55651.000000,46561.000000,78330.445312,30129.250000,23553.000000,83834.359375,218.400009,2713.199951,2.031512
38212.800781,34502.000000,72584.601562,25281.400391,19430.000000,85272.359375,46.410000,2488.050049,2.032516
54647.800781,52048.000000,68809.531250,36291.898438,27488.000000,86525.976562,267.540009,5586.949707,2.046567
38799.519531,31682.000000,80258.984375,63256.699219,38098.000000,108813.882812,599.690002,10640.000000,2.058612
45410.757812,42393.000000,70201.195312,39425.000000,29545.000000,87451.578125,247.520004,9833.450195,2.081697
64767.199219,57958.000000,73235.500000,60813.300781,39506.000000,100882.406250,359.450012,5086.299805,2.081697
54519.359375,50690.000000,70486.898438,34699.699219,28066.000000,81026.125000,193.830002,1816.400024,2.083705
153530.640625,118435.000000,84956.179688,89372.195312,47127.000000,124283.242188,490.490021,8874.899414,2.086716
31052.839844,25767.000000,78980.054688,32063.449219,25767.000000,81550.445312,279.369995,4345.299805,2.090731
20087.560547,18524.000000,71067.718750,33295.597656,23436.000000,93107.203125,1258.530029,7303.600098,2.096753
57678.679688,54084.000000,69891.828125,30779.048828,24976.000000,80762.960938,281.190002,5339.000000,2.104783
42472.597656,34191.000000,81409.859375,42346.250000,27371.000000,101392.125000,9.100000,2591.599854,2.117831
30470.679688,27123.000000,73624.843750,26875.500000,22067.000000,79816.593750,67.340004,8477.799805,2.125861
97083.921875,86644.000000,73432.570312,71775.351562,56580.000000,83136.609375,84.630005,18428.099609,2.126864
69603.078125,64006.000000,71266.867188,31214.150391,25602.000000,79901.984375,65.520004,4233.199707,2.158983
53877.917969,46671.000000,75656.046875,34337.750000,26507.000000,84896.773438,170.169998,8505.349609,2.162998
29909.798828,27023.000000,72537.054688,21730.298828,16619.000000,85692.093750,120.120003,7504.049805,2.185080
32952.839844,26187.000000,82468.296875,56587.699219,37627.000000,98560.382812,412.230011,8030.350098,2.198128
26350.718750,19541.000000,88374.226562,48930.699219,32981.000000,97229.382812,297.570007,10183.049805,2.205154
71813.156250,60650.000000,77598.476562,55458.148438,38878.000000,93484.882812,304.850006,12432.649414,2.209169
52024.281250,44730.000000,76223.187500,50365.199219,38078.000000,86683.484375,315.770020,2313.250000,2.223221
55612.238281,53124.000000,68605.593750,32243.000000,24564.000000,86023.343750,723.450012,3288.899902,2.231251
16213.839844,13591.000000,78183.367188,37985.750000,25411.000000,97966.789062,106.470001,6968.250000,2.252328
