"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
53519.960938,49509.000000,70845.390625,47666.250000,35345.000000,88381.820312,207.480011,13558.399414,0.557424
71690.796875,63411.000000,74093.257812,50307.250000,38899.000000,84756.320312,139.230011,7037.600098,0.563641
59458.597656,50042.000000,77868.164062,53184.800781,40810.000000,85408.460938,230.230011,11177.700195,0.565713
65534.039062,45935.000000,93498.179688,71569.195312,41023.000000,114334.867188,650.650024,62137.597656,0.566749
73906.960938,65660.000000,73767.382812,43259.199219,34760.000000,81560.265625,948.220032,40282.847656,0.566749
114899.835938,93486.000000,80547.632812,93773.546875,57630.000000,106637.914062,2244.969971,141548.093750,0.569857
58972.199219,51755.000000,74674.945312,38876.847656,32027.000000,79552.664062,684.320007,41657.500000,0.582291
54135.558594,47574.000000,74574.937500,33994.800781,26086.000000,85405.320312,727.090027,27118.699219,0.589543
28975.000000,26875.000000,70656.953125,45297.898438,30539.000000,97208.257812,326.690002,25777.298828,0.600940
74553.718750,70470.000000,69333.796875,44547.398438,35778.000000,81599.265625,425.880005,16663.000000,0.604049
52350.320312,45491.000000,75417.789062,37425.250000,27811.000000,88191.765625,657.020020,42827.898438,0.604049
22316.640625,21322.000000,68593.156250,25423.900391,18718.000000,89014.882812,160.160004,11191.000000,0.605085
45481.437500,44035.000000,67688.695312,40300.898438,27703.000000,95338.406250,668.850037,10185.899414,0.608193
62402.839844,56771.000000,72037.351562,47665.300781,31043.000000,100627.937500,821.730042,10765.399414,0.608193
60033.160156,54906.000000,71655.804688,62663.898438,42094.000000,97561.203125,477.750000,57916.750000,0.608193
58848.320312,53905.000000,71545.937500,62674.347656,41745.000000,98393.250000,355.809998,30677.400391,0.610265
51298.480469,44051.000000,76318.296875,37587.699219,25463.000000,96742.234375,566.929993,75030.046875,0.612338
65866.921875,59450.000000,72609.835938,55013.550781,37438.000000,96302.367188,899.990051,183286.343750,0.615446
86411.242188,60562.000000,93508.257812,75419.546875,38002.000000,130064.093750,597.869995,66150.398438,0.617518
44048.839844,30511.000000,94614.562500,29032.000000,20267.000000,93878.781250,482.300018,25680.400391,0.617518
54419.039062,49503.000000,72044.250000,37452.800781,27743.000000,88473.015625,258.440002,46183.300781,0.619590
