"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
28647.439453,24763.000000,75816.289062,35276.347656,24287.000000,95189.640625,26.390001,911.049988,0.514194
45426.718750,37966.000000,78414.515625,48683.699219,31802.000000,100324.976562,136.500000,1194.150024,0.519255
72052.562500,63259.000000,74646.078125,46190.898438,33231.000000,91094.656250,152.880005,1842.049927,0.520267
82683.437500,70495.000000,76867.046875,52660.398438,36111.000000,95570.648438,100.100006,3240.449951,0.551645
71326.757812,62670.000000,74588.648438,57815.097656,35866.000000,105642.398438,3.640000,2914.599854,0.574925
26980.759766,24871.000000,71095.289062,64705.449219,36771.000000,115322.851562,142.870010,1901.900024,0.582011
74792.359375,60567.000000,80928.429688,53499.250000,37123.000000,94446.210938,27.300001,2035.849976,0.587072
46857.800781,30521.000000,100615.078125,52320.300781,33817.000000,101394.664062,199.290009,2009.250000,0.597193
45537.679688,41515.000000,71886.242188,40431.050781,28495.000000,92987.875000,115.570000,1606.449951,0.602254
55900.281250,42979.000000,85238.859375,52375.398438,32067.000000,107040.703125,195.650009,2061.500000,0.606303
27923.919922,21175.000000,86423.718750,100054.945312,49847.000000,131546.546875,116.480003,3984.300049,0.609340
72946.320312,63703.000000,75045.289062,34402.347656,27491.000000,82012.015625,-12.740001,1208.400024,0.619462
77452.359375,63159.000000,80367.296875,53144.898438,35379.000000,98445.523438,101.920006,2154.599854,0.626547
47221.839844,44246.000000,69943.742188,36713.699219,25318.000000,95033.929688,-7.280000,1405.049927,0.629584
82394.640625,74048.000000,72923.171875,41508.347656,31344.000000,86788.250000,135.589996,1721.400024,0.638693
58953.199219,52023.000000,74266.328125,44337.449219,31715.000000,91619.085938,13.650001,1732.799927,0.644767
42706.679688,33751.000000,82925.687500,73650.648438,37891.000000,127385.632812,207.480011,3781.000000,0.650840
45886.519531,36639.000000,82077.000000,55438.199219,37023.000000,98133.531250,44.590000,1891.449951,0.650840
62883.917969,56854.000000,72486.726562,39471.550781,29570.000000,87480.812500,133.770004,1129.549927,0.667035
29760.080078,25095.000000,77718.937500,48174.500000,30131.000000,104781.257812,24.570002,2622.949951,0.673108
59965.519531,53879.000000,72939.375000,42135.347656,29191.000000,94597.031250,37.310001,1797.400024,0.689303
53404.437500,47907.000000,73056.406250,50695.800781,36355.000000,91387.703125,-20.020000,1298.650024,0.690315
107150.117188,92315.000000,76067.710938,131548.390625,65387.000000,131848.156250,243.880005,4465.000000,0.691327
68289.796875,60047.000000,74532.289062,44181.648438,31371.000000,92298.250000,30.030001,1304.349976,0.698413
19755.439453,14035.000000,92247.414062,27213.699219,14183.000000,125747.507812,30.940001,818.899963,0.698413
57823.839844,51403.000000,73722.218750,44295.648438,32795.000000,88518.359375,-8.190001,1384.150024,0.719669
51754.480469,49206.000000,68930.250000,40489.949219,29026.000000,91419.734375,42.770000,1236.900024,0.732827
85899.757812,66254.000000,84968.859375,68263.195312,44094.000000,101458.179688,167.440002,2672.349854,0.736876
45079.398438,42339.000000,69777.828125,39635.898438,26119.000000,99451.671875,44.590000,1918.049927,0.745986
37962.000000,35462.000000,70156.156250,39061.148438,27922.000000,91680.804688,14.560000,1242.599976,0.750034
40571.839844,24894.000000,106809.515625,70339.898438,37070.000000,124353.812500,49.140003,1935.150024,0.768254
82282.156250,71918.000000,74980.445312,69652.101562,43786.000000,104250.679688,80.080002,3182.500000,0.778376
67300.281250,58873.000000,74917.046875,33087.550781,24157.000000,89763.867188,167.440002,1108.650024,0.782425
26511.839844,13622.000000,127549.546875,62908.050781,25170.000000,163795.875000,91.910004,3493.149902,0.782425
80947.601562,71334.000000,74368.218750,63121.800781,44642.000000,92664.992188,16.380001,1371.799927,0.788498
74068.835938,68402.000000,70965.406250,44488.500000,34914.000000,83508.000000,173.809998,1254.949951,0.789510
79966.437500,69522.000000,75381.609375,62592.648438,42994.000000,95410.328125,9.100000,2268.599854,0.791534
107470.078125,95884.000000,73455.000000,90921.648438,57628.000000,103398.375000,22.750000,2918.399902,0.795583
51310.640625,44123.000000,76211.828125,89101.445312,45551.000000,128193.718750,155.610001,7998.049805,0.798620
78600.718750,69039.000000,74612.562500,90550.195312,52907.000000,112164.695312,134.680008,4151.500000,0.801656
62682.519531,53219.000000,77189.757812,55594.949219,35827.000000,101696.226562,166.529999,2185.949951,0.802669
72478.156250,65751.000000,72241.156250,38001.898438,29299.000000,85002.640625,-11.830000,1289.150024,0.803681
90181.601562,79704.000000,74151.125000,69940.898438,44584.000000,102809.234375,39.130001,2127.050049,0.805705
41635.839844,30954.000000,88151.664062,57013.300781,29994.000000,124572.367188,57.330002,1851.549927,0.807729
71136.757812,64275.000000,72532.382812,75162.101562,51603.000000,95456.156250,46.410000,2356.949951,0.809754
55017.917969,37400.000000,96407.875000,40777.800781,25048.000000,106691.718750,10.920000,1404.099976,0.819876
53514.640625,41639.000000,84227.171875,52302.250000,30647.000000,111843.898438,202.930008,2410.149902,0.822912
87759.476562,67934.000000,84661.656250,90321.250000,40702.000000,145430.046875,234.780014,3781.949951,0.822912
60292.320312,44646.000000,88503.281250,47169.398438,30226.000000,102272.671875,44.590000,1878.150024,0.849229
52063.800781,44091.000000,77386.625000,39843.000000,30591.000000,85356.843750,174.720001,1149.500000,0.855303
71510.679688,60951.000000,76890.023438,48122.250000,34291.000000,91969.898438,21.840000,1440.199951,0.857327
48504.718750,38307.000000,82982.359375,45245.648438,30951.000000,95803.656250,7.280000,1341.400024,0.860363
