"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
40637.199219,35746.000000,74503.429688,43077.750000,28918.000000,97625.820312,-30.030001,1026.000000,0.510328
19980.400391,12314.000000,106337.132812,22246.150391,16462.000000,88562.976562,-10.010000,1882.900024,0.515401
70588.039062,63602.000000,72734.476562,50201.800781,37126.000000,88617.820312,70.070000,4694.899902,0.532648
103455.000000,88247.000000,76830.117188,111964.148438,66551.000000,110256.531250,109.200005,5390.299805,0.540765
35948.000000,33941.000000,69411.281250,25966.349609,19429.000000,87587.156250,46.410000,746.700012,0.542794
33959.839844,23326.000000,95412.500000,44833.347656,32842.000000,89464.656250,217.490005,3367.750000,0.559027
26729.958984,23111.000000,75798.312500,22076.099609,17591.000000,82245.429688,26.390001,937.649963,0.566129
75538.679688,69631.000000,71096.250000,49597.597656,38479.000000,84472.781250,103.740005,1515.250000,0.571202
58812.597656,51671.000000,74593.921875,28202.650391,24247.000000,76227.531250,0.000000,1187.500000,0.578304
53095.121094,47249.000000,73644.773438,47008.847656,34577.000000,89098.882812,6.370000,1343.299927,0.589464
28399.679688,26211.000000,71008.414062,24854.849609,18359.000000,88724.195312,18.200001,912.000000,0.589464
21862.160156,19579.000000,73178.335938,30501.650391,21227.000000,94170.460938,176.540009,2006.400024,0.591493
55714.078125,49786.000000,73339.453125,43117.648438,34474.000000,81967.812500,44.590000,1449.699951,0.592508
29307.878906,28323.000000,67814.890625,30857.900391,23415.000000,86367.859375,16.380001,1159.000000,0.594537
19105.640625,13518.000000,92625.179688,34023.300781,18570.000000,120072.750000,132.860001,2162.199951,0.612799
58322.398438,52275.000000,73117.484375,49297.398438,30599.000000,105583.656250,45.500000,1992.150024,0.627003
22251.279297,17743.000000,82187.898438,45300.750000,30747.000000,96556.734375,32.760002,3161.599854,0.631062
64826.480469,61938.000000,68592.273438,46605.097656,36614.000000,83419.234375,-23.660000,2024.449951,0.632076
49767.078125,45343.000000,71930.289062,34273.148438,25455.000000,88239.054688,-10.920000,1282.500000,0.636134
45392.519531,42969.000000,69232.335938,39186.550781,29373.000000,87431.656250,11.830000,1312.900024,0.641207
37552.359375,27107.000000,90789.523438,70356.046875,36503.000000,126314.390625,50.050003,3670.800049,0.642222
31476.160156,27503.000000,75003.515625,33875.097656,24651.000000,90058.757812,58.240002,2846.199951,0.646280
47784.238281,43404.000000,72149.757812,30137.798828,24732.000000,79860.539062,52.780003,1115.299927,0.654397
24756.240234,18398.000000,88184.851562,37373.000000,26058.000000,93993.281250,80.990005,3288.899902,0.655411
20596.759766,18850.000000,71608.976562,29115.599609,19602.000000,97343.125000,167.440002,1459.199951,0.661499
38554.039062,37039.000000,68216.679688,32396.900391,24623.000000,86226.835938,60.970001,962.349976,0.669615
54109.718750,38109.000000,93052.421875,66497.148438,39513.000000,110291.726562,155.610001,2920.300049,0.673673
22054.439453,17085.000000,84598.171875,27105.400391,21081.000000,84264.484375,121.940002,1653.949951,0.673673
74062.000000,62117.000000,78138.468750,33563.500000,25221.000000,87213.734375,-7.280000,1131.449951,0.691936
48265.320312,45718.000000,69187.546875,31290.150391,25430.000000,80638.281250,-25.480001,850.250000,0.692950
68453.195312,58183.000000,77104.117188,45426.148438,32259.000000,92285.812500,39.130001,2811.050049,0.695994
18395.039062,13154.000000,91647.960938,31288.250000,21666.000000,94641.687500,30.030001,1554.199951,0.697008
23691.480469,23338.000000,66528.617188,23878.250000,17838.000000,87727.609375,-18.200001,1433.549927,0.704110
62694.679688,56149.000000,73175.984375,51212.597656,40277.000000,83329.664062,136.500000,2114.699951,0.707154
16297.439453,9627.000000,110945.156250,42069.800781,26459.000000,104202.218750,106.470001,17400.199219,0.709183
55965.640625,52486.000000,69880.812500,39703.347656,32178.000000,80862.656250,38.220001,1296.750000,0.713242
40192.597656,33206.000000,79324.882812,42894.398438,27058.000000,103892.648438,69.160004,2110.899902,0.717300
47726.480469,43919.000000,71217.531250,47091.500000,30335.000000,101736.890625,171.990005,1995.949951,0.727445
51003.597656,48795.000000,68502.343750,40551.699219,27663.000000,96070.429688,29.120001,1406.949951,0.728460
32974.878906,29519.000000,73208.500000,35101.550781,23247.000000,98955.359375,164.710007,1233.099976,0.731504
58460.718750,52583.000000,72861.601562,39450.648438,31267.000000,82689.031250,85.540001,1273.949951,0.735562
16419.798828,14710.000000,73153.500000,35927.097656,22886.000000,102880.296875,7.280000,2519.399902,0.738606
49708.558594,38454.000000,84716.812500,49415.199219,25750.000000,125766.000000,158.340012,2526.050049,0.738606
34451.558594,31979.000000,70603.125000,41506.449219,31659.000000,85920.804688,194.740005,4734.799805,0.743679
33452.160156,19849.000000,110449.937500,51166.050781,30665.000000,109350.023438,-7.280000,2611.550049,0.746722
61245.359375,54723.000000,73347.156250,43817.800781,32167.000000,89272.968750,41.860001,1654.900024,0.748752
26438.878906,20234.000000,85633.015625,30629.900391,20862.000000,96220.945312,125.580002,2679.000000,0.751795
41930.718750,38602.000000,71187.289062,35045.500000,27882.000000,82373.640625,33.670002,1264.449951,0.756868
28830.599609,19606.000000,96370.609375,50565.648438,28770.000000,115184.929688,84.630005,3681.250000,0.757883
30324.000000,25620.000000,77568.843750,30306.900391,21492.000000,92415.460938,31.850000,1178.949951,0.758897
33159.558594,26059.000000,83393.257812,45173.449219,28779.000000,102869.703125,-41.860001,1392.699951,0.761941
53000.121094,47779.000000,72697.539062,39115.300781,30819.000000,83177.921875,-10.920000,1923.750000,0.770057
56718.800781,53332.000000,69697.812500,30529.199219,25204.000000,79382.703125,22.750000,1015.549988,0.770057
20419.679688,17556.000000,76226.023438,29930.699219,20004.000000,98057.312500,80.080002,1723.299927,0.773101
83778.601562,73839.000000,74357.921875,59210.648438,41419.000000,93687.171875,18.200001,1991.199951,0.781218
93779.437500,84271.000000,72930.531250,35200.347656,27515.000000,83841.179688,60.060001,1926.599976,0.784261
61204.320312,46695.000000,85899.703125,57670.699219,38375.000000,98488.781250,39.130001,1411.699951,0.787305
70425.398438,65539.000000,70422.179688,66362.250000,45539.000000,95503.117188,34.580002,2513.699951,0.791363
36020.960938,31382.000000,75223.695312,22752.500000,18162.000000,82100.421875,-3.640000,693.500000,0.792378
57679.437500,52909.000000,71444.929688,37953.449219,30585.000000,81324.742188,-29.120001,1016.500000,0.795422
80279.562500,70970.000000,74132.757812,72056.546875,54762.000000,86233.117188,120.120003,2767.349854,0.797451
53842.960938,34545.000000,102146.539062,37642.800781,25697.000000,96001.812500,45.500000,1301.500000,0.798465
11799.000000,9703.000000,79692.804688,35427.398438,23523.000000,98702.125000,46.410000,2300.899902,0.803538
50843.238281,43847.000000,75992.945312,51793.050781,34835.000000,97439.625000,110.110001,2286.649902,0.808611
55895.718750,52434.000000,69862.718750,48274.250000,36322.000000,87101.515625,204.750000,2164.099854,0.808611
28724.199219,26775.000000,70306.968750,26896.400391,19795.000000,89046.859375,106.470001,2328.449951,0.809626
28691.519531,28570.000000,65814.750000,31614.099609,21706.000000,95451.093750,104.650002,2605.849854,0.815713
32015.759766,22422.000000,93577.054688,44986.300781,27858.000000,105830.367188,13.650001,1491.500000,0.827888
36824.281250,32539.000000,74166.882812,44704.148438,31003.000000,94498.312500,104.650002,1675.799927,0.829917
