"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
74256.562500,54057.000000,90024.937500,74049.648438,38861.000000,124878.867188,1261.260010,5699.049805,0.615807
70077.320312,56643.000000,81079.523438,50363.300781,32515.000000,101510.359375,232.960007,3182.500000,0.616830
92758.757812,84606.000000,71851.148438,52812.398438,38398.000000,90137.859375,188.370010,3241.399902,0.629105
39574.718750,26258.000000,98772.531250,65385.648438,31762.000000,134913.234375,972.790039,4062.199951,0.632174
75337.281250,59747.000000,82636.851562,53205.699219,37319.000000,93434.671875,315.770020,3037.149902,0.633197
97877.359375,82580.000000,77676.085938,51088.148438,38096.000000,87886.210938,258.440002,2621.050049,0.636266
93209.437500,80288.000000,76083.273438,79486.500000,47024.000000,110778.062500,225.680008,3541.599854,0.637289
42530.359375,34199.000000,81501.492188,42576.148438,25011.000000,111561.734375,275.730011,3795.250000,0.638312
45511.078125,35198.000000,84738.171875,47348.000000,29258.000000,106056.414062,170.169998,1856.299927,0.638312
118429.281250,101427.000000,76521.851562,64551.550781,44983.000000,94045.539062,2152.150146,8866.349609,0.638312
45695.000000,38527.000000,77729.062500,49324.949219,28239.000000,114471.476562,676.130005,4085.000000,0.639335
59720.800781,45738.000000,85571.343750,46176.648438,31454.000000,96211.382812,167.440002,2300.899902,0.639335
31966.359375,20731.000000,101053.851562,35985.050781,18875.000000,124943.914062,62.790001,3633.750000,0.642403
66316.835938,51369.000000,84606.281250,41043.800781,28089.000000,95761.562500,430.430023,1822.099976,0.643426
49466.878906,39560.000000,81947.960938,60610.000000,35736.000000,111152.257812,261.170013,2777.800049,0.649564
143254.671875,109955.000000,85383.453125,112236.796875,69783.000000,105406.062500,262.990021,6745.949707,0.651610
98392.640625,83375.000000,77340.453125,61537.199219,37099.000000,108706.484375,379.470001,3978.599854,0.658770
73273.117188,49699.000000,96622.210938,82523.648438,47463.000000,113947.070312,556.010010,3895.949951,0.659793
91395.320312,82066.000000,72986.179688,76493.046875,44870.000000,111723.835938,530.530029,5240.199707,0.665931
69630.437500,59918.000000,76159.085938,57579.500000,39438.000000,95682.593750,119.210007,2015.900024,0.672068
56922.480469,36231.000000,102963.523438,54407.449219,31331.000000,113805.703125,353.990021,3110.300049,0.673091
39988.160156,37333.000000,70196.992188,50891.500000,30257.000000,110229.867188,171.080002,2505.149902,0.677183
47860.238281,38129.000000,82262.023438,72983.750000,40917.000000,116896.718750,702.520020,10291.349609,0.679229
81917.359375,72390.000000,74161.296875,58757.500000,37538.000000,102582.226562,411.320007,4545.750000,0.690481
39152.160156,31743.000000,80832.812500,56667.500000,35871.000000,103531.023438,713.440002,5271.549805,0.690481
81320.000000,72127.000000,73888.937500,47113.347656,35291.000000,87490.304688,91.000000,2299.000000,0.691504
36350.800781,34306.000000,69442.257812,36005.949219,22658.000000,104143.609375,288.470001,2144.149902,0.696619
14236.319336,9900.000000,94241.554688,45086.050781,26284.000000,112416.664062,400.400024,1908.549927,0.697642
30916.039062,20855.000000,97152.414062,32614.449219,14007.000000,152596.609375,65.520004,1594.099976,0.700711
76361.000000,59871.000000,83586.296875,86603.898438,51327.000000,110578.703125,367.640015,7818.500000,0.704802
51974.121094,49579.000000,68701.992188,37753.949219,26895.000000,91996.382812,432.250000,2935.500000,0.706848
173884.203125,137824.000000,82682.812500,113316.000000,61620.000000,120517.320312,1314.040039,8864.450195,0.709917
156042.437500,124171.000000,82357.382812,83163.000000,50639.000000,107627.921875,751.660034,6431.500000,0.728330
19809.400391,12726.000000,102013.906250,31561.849609,23270.000000,88888.585938,572.390015,2654.300049,0.736513
23908.839844,16319.000000,96016.281250,38076.949219,20799.000000,119977.445312,249.340012,1595.049927,0.739582
54048.917969,44462.000000,79666.906250,52759.199219,32954.000000,104922.835938,297.570007,2567.849854,0.751857
54630.320312,47299.000000,75694.046875,33720.250000,24695.000000,89487.359375,205.660004,2375.949951,0.756972
89550.039062,81702.000000,71831.179688,46094.949219,36198.000000,83454.296875,130.130005,3887.399902,0.761064
124500.921875,106618.000000,76528.281250,124693.195312,72266.000000,113080.750000,931.840027,14340.250000,0.763110
65483.121094,60826.000000,70553.742188,39058.300781,28494.000000,89833.820312,667.030029,3544.449951,0.771293
118005.960938,92506.000000,83601.484375,112868.546875,58362.000000,126742.625000,462.279999,5572.699707,0.772316
50615.238281,43405.000000,76422.546875,65332.449219,39549.000000,108261.328125,779.869995,4997.000000,0.774362
66999.320312,42761.000000,102683.929688,102092.695312,37501.000000,178415.156250,1586.130005,6341.250000,0.774362
51615.398438,47804.000000,70761.164062,41920.648438,28572.000000,96153.984375,217.490005,1608.349976,0.774362
50226.121094,37949.000000,86737.968750,54449.250000,32761.000000,108921.773438,1820.910034,5397.899902,0.775385
40349.917969,36163.000000,73123.695312,33140.750000,25459.000000,85310.195312,217.490005,1628.299927,0.776408
51537.121094,41799.000000,80804.250000,45312.148438,26307.000000,112881.632812,159.250000,2882.300049,0.787660
56871.558594,44838.000000,83124.460938,51887.097656,31746.000000,107115.000000,513.239990,4196.149902,0.792775
58529.878906,57624.000000,66566.257812,34443.199219,23976.000000,94147.039062,166.529999,1672.000000,0.800958
21976.919922,16581.000000,86863.234375,56796.699219,28529.000000,130471.750000,253.890015,3383.899902,0.804027
15640.040039,10147.000000,101013.664062,40692.300781,24615.000000,108340.882812,277.550018,2236.300049,0.806073
41515.757812,27182.000000,100094.789062,65458.800781,36494.000000,117551.046875,3013.920166,5022.649902,0.813234
18820.640625,16990.000000,72597.382812,42898.199219,27662.000000,101633.164062,723.450012,3115.050049,0.815279
62975.121094,40735.000000,101316.750000,75213.398438,42847.000000,115041.554688,1424.150024,7253.250000,0.836761
98266.476562,77699.000000,82883.843750,66108.601562,36567.000000,118480.953125,111.020004,2242.000000,0.839830
42367.718750,41383.000000,67095.445312,28834.400391,19719.000000,95831.000000,140.139999,1393.650024,0.841876
23412.560547,17795.000000,86224.531250,63594.898438,34179.000000,121939.062500,3543.540039,6285.199707,0.842899
56727.160156,43170.000000,86117.007812,70507.101562,39810.000000,116070.164062,281.190002,3735.399902,0.851082
36159.281250,25386.000000,93348.093750,37582.949219,20138.000000,122307.882812,265.720001,2265.750000,0.861311
50789.281250,39706.000000,83829.304688,48266.648438,30730.000000,102935.343750,183.820007,2015.900024,0.864380
82107.359375,66024.000000,81500.484375,107281.601562,56924.000000,123512.179688,889.070007,6732.649902,0.869495
53648.398438,39483.000000,89048.484375,69592.250000,40827.000000,111710.335938,442.260010,3811.399902,0.870518
77379.398438,70424.000000,72008.648438,52590.097656,39016.000000,88336.695312,47.320000,3577.699951,0.871541
34418.121094,20847.000000,108199.070312,82341.250000,30283.000000,178196.218750,650.650024,4812.699707,0.871541
49601.398438,42555.000000,76387.671875,55540.800781,31663.000000,114958.210938,746.200012,3383.899902,0.875633
65396.480469,62354.000000,68733.734375,36832.449219,27522.000000,87706.265625,412.230011,1721.400024,0.878701
87078.515625,78595.000000,72609.937500,43610.699219,32663.000000,87501.781250,157.430008,2337.949951,0.882793
33716.640625,28203.000000,78348.187500,38738.148438,23071.000000,110040.453125,71.889999,1900.949951,0.889954
46352.398438,39143.000000,77606.492188,44040.097656,28247.000000,102177.640625,558.739990,2788.250000,0.899160
