"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
55296.839844,51494.000000,70375.843750,37238.097656,28034.000000,87052.726562,661.570007,2066.250000,1.098534
22534.759766,17082.000000,86455.812500,30296.449219,21162.000000,93824.218750,588.770020,1441.150024,1.273440
46797.000000,42519.000000,72129.828125,42254.097656,24115.000000,114831.632812,183.820007,1843.949951,1.282646
22223.160156,13513.000000,107778.960938,36364.097656,22025.000000,108202.390625,429.520020,1808.799927,1.348108
15641.559570,11663.000000,87892.070312,54884.347656,32255.000000,111514.507812,947.309998,3922.550049,1.633481
66801.718750,58467.000000,74878.437500,42532.449219,32867.000000,84808.687500,342.160004,8903.399414,1.866689
18799.359375,15822.000000,77868.468750,39303.398438,30106.000000,85557.281250,-2.730000,599.450012,2.576543
25064.798828,19178.000000,85652.664062,46448.347656,25194.000000,120823.960938,1477.840088,22095.099609,3.727242
29741.080078,28014.000000,69576.335938,40724.597656,27098.000000,98491.664062,266.630005,1878.150024,3.818274
17127.359375,12363.000000,90791.765625,27671.599609,18907.000000,95916.117188,522.340027,1907.599976,4.030003
21025.400391,19012.000000,72476.367188,30139.699219,23232.000000,85022.179688,8.190001,1355.650024,4.233549
52999.359375,47994.000000,72370.835938,31525.750000,25806.000000,80061.679688,303.029999,1469.650024,4.426867
86906.000000,76308.000000,74637.937500,43480.550781,31380.000000,90807.570312,136.500000,1845.849976,4.433003
26970.119141,24167.000000,73137.484375,25593.949219,21635.000000,77528.312500,101.010002,1467.750000,4.545516
30615.839844,17769.000000,112917.984375,73923.296875,31817.000000,152265.671875,383.110016,2995.349854,4.786907
17005.759766,13562.000000,82177.367188,57835.050781,27402.000000,138321.218750,1749.930054,5155.649902,4.806341
39748.757812,22442.000000,116075.867188,47032.597656,21374.000000,144209.250000,52.780003,1552.299927,4.950562
61414.078125,54083.000000,74419.562500,34086.000000,26275.000000,85018.460938,186.550003,981.349976,5.725878
22571.240234,20198.000000,73236.406250,23963.750000,17302.000000,90769.179688,199.290009,1086.799927,5.815887
46508.960938,40094.000000,76021.640625,43374.148438,27150.000000,104698.648438,1461.460083,2797.750000,6.181043
35376.480469,31523.000000,73547.351562,47728.949219,34391.000000,90952.992188,772.590027,3916.849854,6.381521
18483.199219,17433.000000,69484.031250,26351.099609,22169.000000,77899.125000,182.000000,2092.849854,6.641323
31505.798828,28119.000000,73429.492188,51499.500000,31043.000000,108722.460938,1796.340088,3933.949951,6.713945
36198.800781,21206.000000,111870.445312,39905.699219,25026.000000,104501.718750,863.590027,2660.949951,6.747698
62513.039062,57539.000000,71201.359375,40710.347656,32503.000000,82084.523438,400.400024,2113.750000,6.796795
20526.080078,17923.000000,75054.234375,49864.550781,29571.000000,110511.078125,312.130005,3517.849854,7.331742
20861.240234,17735.000000,77088.375000,20748.000000,14659.000000,92758.101562,357.630005,929.099976,7.389021
50182.039062,44684.000000,73599.718750,30932.949219,23064.000000,87895.507812,57.330002,1098.199951,7.793045
87899.320312,81502.000000,70680.109375,61446.000000,38490.000000,104622.632812,1749.930054,5973.600098,7.845209
35648.558594,31855.000000,73340.562500,44125.597656,29999.000000,96397.054688,247.520004,2158.399902,8.117286
18129.798828,14071.000000,84439.945312,32661.949219,20215.000000,105888.382812,67.340004,1558.000000,8.158199
59089.238281,54487.000000,71071.492188,39911.398438,32371.000000,80801.750000,-4.550000,1742.299927,8.746334
68606.718750,64966.000000,69208.664062,50610.300781,39234.000000,84538.835938,1056.510010,3361.099854,9.073644
19839.798828,18725.000000,69437.710938,69549.500000,63393.000000,71900.617188,942.760010,40610.597656,9.331401
46486.160156,40293.000000,75609.085938,25640.500000,19765.000000,85017.742188,155.610001,1123.849976,9.784520
55991.480469,50836.000000,72182.265625,45448.000000,32928.000000,90454.328125,2036.580078,7829.899902,10.481076
73598.398438,64413.000000,74881.546875,62542.300781,39101.000000,104825.250000,427.700012,3487.449951,12.190248
49465.359375,46579.000000,69597.062500,43109.097656,28279.000000,99904.445312,629.720032,6442.899902,12.812137
33089.640625,31601.000000,68623.234375,30916.798828,21841.000000,92768.804688,103.740005,1330.000000,12.960449
